year,state,county,hpsascore,hpsascore_quality
2020,01,001,12,1
2020,01,003,0,1
2020,01,005,20,1
2020,01,007,16,1
2020,01,009,15,1
2020,01,011,21,1
2020,01,013,15,1
2020,01,015,0,1
2020,01,017,14,1
2020,01,019,15,1
2020,01,021,13,1
2020,01,023,20,1
2020,01,025,18,1
2020,01,027,12,1
2020,01,029,18,1
2020,01,031,0,1
2020,01,033,0,1
2020,01,035,15,1
2020,01,037,14,1
2020,01,039,0,1
2020,01,041,15,1
2020,01,043,0,1
2020,01,045,15,1
2020,01,047,15,1
2020,01,049,14,1
2020,01,051,0,1
2020,01,053,11,1
2020,01,055,0,1
2020,01,057,0,1
2020,01,059,10,1
2020,01,061,14,1
2020,01,063,23,1
2020,01,065,20,1
2020,01,067,11,1
2020,01,069,0,1
2020,01,071,0,1
2020,01,073,0,1
2020,01,075,15,1
2020,01,077,0,1
2020,01,079,15,1
2020,01,081,0,1
2020,01,083,15,1
2020,01,085,22,1
2020,01,087,18,1
2020,01,089,0,1
2020,01,091,17,1
2020,01,093,0,1
2020,01,095,10,1
2020,01,097,0,1
2020,01,099,18,1
2020,01,101,0,1
2020,01,103,0,1
2020,01,105,19,1
2020,01,107,13,1
2020,01,109,0,1
2020,01,111,17,1
2020,01,113,19,1
2020,01,115,9,1
2020,01,117,0,1
2020,01,119,18,1
2020,01,121,13,1
2020,01,123,0,1
2020,01,125,0,1
2020,01,127,0,1
2020,01,129,14,1
2020,01,131,18,1
2020,01,133,15,1
2020,02,013,16,1
2020,02,016,15,1
2020,02,020,0,1
2020,02,050,17,1
2020,02,060,15,1
2020,02,068,15,1
2020,02,070,0,1
2020,02,090,0,1
2020,02,100,0,1
2020,02,105,16,1
2020,02,110,0,1
2020,02,122,0,1
2020,02,130,0,1
2020,02,150,0,1
2020,02,158,0,1
2020,02,164,0,1
2020,02,170,0,1
2020,02,180,17,1
2020,02,185,15,1
2020,02,188,0,1
2020,02,195,0,1
2020,02,198,16,1
2020,02,220,0,1
2020,02,230,15,1
2020,02,240,13,1
2020,02,261,16,1
2020,02,275,0,1
2020,02,282,15,1
2020,02,290,15,1
2020,04,001,16,1
2020,04,003,16,1
2020,04,003,12,1
