year,state,place,index_transportation_cost,index_transportation_cost_quality
2015,01,03076,32.11,1
2015,01,07000,27.65,1
2015,01,35896,26.76,1
2015,01,37000,28.69,1
2015,01,50000,NA,NA
2015,01,51000,28.45,1
2015,01,77256,31.87,1
2015,02,03000,NA,NA
2015,04,04720,29.04,1
2015,04,07940,32.33,1
2015,04,12000,NA,NA
2015,04,23620,30.94,1
2015,04,27400,28.89,1
2015,04,27820,26.46,1
2015,04,28380,NA,NA
2015,04,46000,26.01,1
2015,04,54050,28.74,1
2015,04,55000,NA,NA
2015,04,65000,26.7,1
2015,04,71510,29.45,1
2015,04,73000,23.72,1
2015,04,77000,NA,NA
2015,04,85540,32.49,1
2015,05,23290,30.32,1
2015,05,24550,32.97,1
2015,05,35710,32.82,1
2015,05,41000,27.39,1
2015,05,66080,31.57,1
2015,06,00562,17.62,1
2015,06,00884,22.6,1
2015,06,02000,NA,NA
2015,06,02252,21.15,1
2015,06,02364,31.8,1
2015,06,03526,30.87,1
2015,06,04982,22.94,1
2015,06,06000,17.27,1
2015,06,08786,26.38,1
2015,06,08954,23.12,1
2015,06,11194,23.96,1
2015,06,11530,26.25,1
2015,06,13014,31.58,1
2015,06,13210,31.94,1
2015,06,13214,33.15,1
2015,06,13392,23.45,1
2015,06,13588,23.96,1
2015,06,14218,31.76,1
2015,06,15044,24.83,1
2015,06,16000,19.61,1
2015,06,16350,30.6,1
2015,06,16532,23.35,1
2015,06,17918,18.78,1
2015,06,19766,NA,NA
2015,06,21712,21.31,1
2015,06,22020,27.5,1
2015,06,22230,23.4,1
2015,06,22804,25.09,1
2015,06,23182,NA,NA
2015,06,24638,26.56,1
2015,06,24680,29.39,1
2015,06,26000,20,1
2015,06,27000,NA,NA
2015,06,28000,NA,NA
2015,06,29000,24.77,1
2015,06,30000,22.56,1
2015,06,32548,21.85,1
2015,06,33000,19.54,1
2015,06,33182,29.83,1
2015,06,33434,29.77,1
2015,06,36000,25.67,1
2015,06,36448,32.05,1
2015,06,36546,22,1
2015,06,36770,24.7,1
2015,06,37692,NA,NA
2015,06,39496,26.31,1
2015,06,39892,25.32,1
2015,06,40130,NA,NA
2015,06,41992,21.89,1
2015,06,43000,NA,NA
2015,06,44000,NA,NA
2015,06,45484,32.12,1
2015,06,46842,33.04,1
2015,06,46898,NA,NA
2015,06,47766,18.76,1
2015,06,48256,27.61,1
2015,06,48354,30.76,1
2015,06,49270,30.36,1
2015,06,49670,17.19,1
2015,06,50076,31.5,1
2015,06,50258,23.16,1
2015,06,51182,24.45,1
2015,06,52526,25.52,1
2015,06,53000,18.82,1
2015,06,53322,25,1
2015,06,53896,29.46,1
2015,06,53980,26.06,1
2015,06,54652,NA,NA
2015,06,55156,NA,NA
2015,06,56000,22.86,1
2015,06,56700,30.67,1
2015,06,57456,20.87,1
2015,06,57792,21.36,1
2015,06,58072,NA,NA
2015,06,59444,24.55,1
2015,06,59451,29.32,1
2015,06,59920,30.89,1
2015,06,60102,19.55,1
2015,06,60466,NA,NA
2015,06,60620,19.17,1
2015,06,62000,NA,NA
2015,06,62938,25.44,1
2015,06,64000,NA,NA
2015,06,64224,NA,NA
2015,06,65000,NA,NA
2015,06,65042,NA,NA
2015,06,66000,NA,NA
2015,06,67000,NA,NA
2015,06,68000,NA,NA
2015,06,68084,19.46,1
2015,06,68196,25.89,1
2015,06,68252,18.92,1
2015,06,68378,21.62,1
2015,06,69000,23.28,1
2015,06,69070,31.04,1
2015,06,69084,16.88,1
2015,06,69088,28.14,1
2015,06,69196,28.58,1
2015,06,70000,20.16,1
2015,06,70098,24.14,1
2015,06,72016,NA,NA
2015,06,73080,23.15,1
2015,06,75000,30.06,1
2015,06,77000,17.13,1
2015,06,78120,32.73,1
2015,06,78582,NA,NA
2015,06,80000,24.7,1
2015,06,80238,29.57,1
2015,06,80854,24.95,1
2015,06,81344,29.65,1
2015,06,81554,NA,NA
2015,06,81666,23.48,1
2015,06,82590,NA,NA
2015,06,82954,NA,NA
2015,06,82996,25.3,1
2015,06,84200,23.75,1
2015,06,84550,24.95,1
2015,06,85292,23.55,1
2015,08,03455,22.82,1
2015,08,04000,21.11,1
2015,08,07850,19.11,1
2015,08,12815,22.18,1
2015,08,16000,24.68,1
2015,08,20000,NA,NA
2015,08,27425,NA,NA
2015,08,32155,NA,NA
2015,08,43000,21.14,1
2015,08,45970,21.52,1
2015,08,46465,25.85,1
2015,08,62000,NA,NA
2015,08,77290,22.62,1
2015,08,83835,22.03,1
2015,09,08000,15.71,1
2015,09,18430,18.13,1
2015,09,37000,14.07,1
2015,09,52000,18.06,1
2015,09,55990,17.86,1
2015,09,73000,17.08,1
2015,09,80000,20.71,1
2015,11,50000,10.58,1
2015,12,07300,NA,NA
2015,12,07875,26.1,1
2015,12,10275,28.37,1
2015,12,12875,24.89,1
2015,12,14400,26.97,1
2015,12,16475,28.12,1
2015,12,16725,28.57,1
2015,12,17200,32.83,1
2015,12,17935,24.5,1
2015,12,24000,26.22,1
2015,12,24125,NA,NA
2015,12,25175,26.78,1
2015,12,30000,26.02,1
2015,12,32000,25.71,1
2015,12,32275,27.64,1
2015,12,35000,NA,NA
2015,12,36950,26.26,1
2015,12,38250,NA,NA
2015,12,39425,24.56,1
2015,12,43975,26.28,1
2015,12,45000,NA,NA
2015,12,45025,NA,NA
2015,12,45060,26.92,1
2015,12,45975,27.69,1
2015,12,49675,27.25,1
2015,12,53000,26.73,1
2015,12,54000,28.5,1
2015,12,54200,30.81,1
2015,12,55775,29.15,1
2015,12,57425,26.08,1
2015,12,58050,27.61,1
2015,12,58715,29.41,1
2015,12,63000,26.43,1
2015,12,69700,28.4,1
2015,12,70600,NA,NA
2015,12,71000,NA,NA
2015,12,76600,NA,NA
2015,13,03440,30.13,1
2015,13,04000,NA,NA
2015,13,04204,31.46,1
2015,13,19000,30.23,1
2015,13,42425,27,1
2015,13,49008,NA,NA
2015,13,67284,25.39,1
2015,13,68516,25.22,1
2015,13,69000,NA,NA
2015,13,72122,NA,NA
2015,13,80508,30,1
2015,15,71550,NA,NA
2015,16,08830,29.44,1
2015,16,52120,30,1
2015,16,56260,29.07,1
2015,17,02154,21.96,1
2015,17,03012,23.07,1
2015,17,06613,24.51,1
2015,17,12385,27.09,1
2015,17,14000,18.58,1
2015,17,14351,18.19,1
2015,17,23074,23.54,1
2015,17,24582,18.72,1
2015,17,38570,23.48,1
2015,17,51622,23.54,1
2015,17,59000,26.83,1
2015,17,65000,NA,NA
2015,17,68003,22.42,1
2015,17,72000,26.47,1
2015,17,79293,22.42,1
2015,18,05860,28.54,1
2015,18,10342,28.2,1
2015,18,22000,28.29,1
2015,18,23278,28.56,1
2015,18,25000,NA,NA
2015,18,31000,28.36,1
2015,18,36003,24.9,1
2015,18,71000,28.47,1
2015,19,12000,25.65,1
2015,19,19000,NA,NA
2015,19,21000,25.39,1
2015,19,73335,26.92,1
2015,20,36000,NA,NA
2015,20,38900,28.55,1
2015,20,52575,25.29,1
2015,20,53775,24.22,1
2015,20,71000,28.34,1
2015,20,79000,28.81,1
2015,21,46027,26.94,1
2015,21,48006,26.5,1
2015,22,05000,NA,NA
2015,22,40735,NA,NA
2015,22,41155,NA,NA
2015,22,55000,NA,NA
2015,22,70000,28.38,1
2015,24,04000,NA,NA
2015,24,30325,17.12,1
2015,25,07000,NA,NA
2015,25,09000,17.81,1
2015,25,11000,12.53,1
2015,25,23000,20.28,1
2015,25,34550,15.89,1
2015,25,37000,17.4,1
2015,25,37490,16.5,1
2015,25,45000,21.58,1
2015,25,45560,18.17,1
2015,25,55745,16.2,1
2015,25,62535,13.44,1
2015,25,67000,21.68,1
2015,25,82000,NA,NA
2015,26,03000,19.67,1
2015,26,21000,24.08,1
2015,26,22000,NA,NA
2015,26,27440,24.96,1
2015,26,29000,NA,NA
2015,26,34000,31.6,1
2015,26,46000,NA,NA
2015,26,49000,27.16,1
2015,26,69035,26.7,1
2015,26,74900,22.57,1
2015,26,76460,25.89,1
2015,26,80700,25.73,1
2015,26,84000,NA,NA
2015,26,86000,24.74,1
2015,26,88940,26.91,1
2015,27,06616,20.05,1
2015,27,07966,20.54,1
2015,27,17000,24.93,1
2015,27,43000,18.66,1
2015,27,51730,21.2,1
2015,27,54880,24.2,1
2015,27,58000,17.86,1
2015,27,71428,21.64,1
2015,28,36000,32.26,1
2015,29,15670,25.95,1
2015,29,35000,27.98,1
2015,29,38000,NA,NA
2015,29,41348,27.09,1
2015,29,54074,27.32,1
2015,29,65000,20.93,1
2015,29,70000,27.12,1
2015,30,06550,30.49,1
2015,31,28000,NA,NA
2015,31,37000,NA,NA
2015,32,31900,28.31,1
2015,32,40000,26.54,1
2015,32,51800,27.66,1
2015,32,60600,NA,NA
2015,32,68400,27.25,1
2015,33,45140,17.9,1
2015,33,50260,19.28,1
2015,34,13690,18.31,1
2015,34,21000,17.9,1
2015,34,36000,NA,NA
2015,34,51000,NA,NA
2015,34,57000,15.97,1
2015,34,74000,NA,NA
2015,35,02000,27.3,1
2015,35,39380,31.53,1
2015,35,63460,29.57,1
2015,35,70500,30.11,1
2015,36,01000,NA,NA
2015,36,11000,NA,NA
2015,36,50617,14.23,1
2015,36,51000,NA,NA
2015,36,63000,NA,NA
2015,36,73000,NA,NA
2015,36,84000,NA,NA
2015,37,02140,NA,NA
2015,37,10740,24.33,1
2015,37,12000,NA,NA
2015,37,14100,28.97,1
2015,37,19000,NA,NA
2015,37,22920,NA,NA
2015,37,25580,28.67,1
2015,37,28000,30.08,1
2015,37,28080,29.54,1
2015,37,31400,30.08,1
2015,37,55000,NA,NA
2015,37,74440,30.48,1
2015,37,75000,NA,NA
2015,38,25700,23,1
2015,39,01000,24.71,1
2015,39,15000,26.39,1
2015,39,16000,NA,NA
2015,39,18000,NA,NA
