year,state,county,race_category1,mean_tcost,mean_trans,mean_tcost_quality,mean_trans_quality
2016,06,011,2,28.39,37.92,1,1
2016,06,011,3,30.1,38.61,1,1
2016,06,013,1,87.95,22.73,1,1
2016,06,013,2,87.05,32.94,1,1
2016,06,013,3,89.77,51.9,1,1
2016,06,015,1,18.21,23.51,1,1
2016,06,015,2,10,48,1,1
2016,06,017,1,48.73,35.01,1,1
2016,06,017,2,59.84,59.33,1,1
2016,06,019,1,29.47,54.43,1,1
2016,06,019,2,36.85,62.39,1,1
2016,06,019,3,31.7,61.41,1,1
2016,06,019,NA,NaN,NaN,1,1
2016,06,021,1,11.96,2.2,1,1
2016,06,021,2,7,23,1,1
2016,06,021,3,8,12,1,1
2016,06,023,0,14,47,1,1
2016,06,023,1,20.43,15.17,1,1
2016,06,023,2,15,0,1,1
2016,06,025,0,14,25,1,1
2016,06,025,1,16.17,35.93,1,1
2016,06,025,2,11.3,33.1,1,1
2016,06,025,3,20.18,33.28,1,1
2016,06,027,1,26.27,16.32,1,1
2016,06,027,2,20.44,12.55,1,1
2016,06,029,1,32.27,48.24,1,1
2016,06,029,2,35.94,46.21,1,1
2016,06,029,3,36.48,51.66,1,1
2016,06,029,NA,NaN,NaN,1,1
2016,06,031,1,23.58,43.46,1,1
2016,06,031,2,19.9,34.86,1,1
2016,06,031,3,25.56,48.98,1,1
2016,06,031,NA,NaN,NaN,1,1
2016,06,033,1,4.65,5.18,1,1
2016,06,033,2,5.93,0,1,1
2016,06,035,1,27.34,26.1,1,1
2016,06,037,1,80.24,86.84,1,1
2016,06,037,2,79.25,84.54,1,1
2016,06,037,3,81.2,89.52,1,1
2016,06,037,NA,NaN,NaN,1,1
2016,06,039,1,10.24,17.11,1,1
2016,06,039,2,14.51,16.92,1,1
2016,06,039,3,19.27,28.63,1,1
2016,06,041,1,86.96,60.46,1,1
2016,06,041,2,90.26,66.85,1,1
2016,06,041,3,94.71,85.62,1,1
2016,06,041,NA,NaN,NaN,1,1
2016,06,043,1,20.37,18.15,1,1
2016,06,045,1,18.17,5.7,1,1
2016,06,045,2,13.26,13.05,1,1
2016,06,047,1,7.96,5.41,1,1
2016,06,047,2,16.1,6.45,1,1
2016,06,047,3,18.06,13.53,1,1
2016,06,049,1,8.76,9.99,1,1
2016,06,051,1,39,51,1,1
2016,06,051,2,49.81,63.45,1,1
2016,06,053,1,56.88,71.24,1,1
2016,06,053,2,60.25,66.17,1,1
2016,06,053,3,59.19,75.13,1,1
2016,06,053,NA,NaN,NaN,1,1
2016,06,055,1,77.25,47.46,1,1
2016,06,055,2,78.16,43.72,1,1
2016,06,055,3,82.2,49.89,1,1
2016,06,057,1,40.65,23.47,1,1
2016,06,059,1,73.69,62.11,1,1
2016,06,059,2,77.73,76.29,1,1
2016,06,059,3,80.41,90.35,1,1
2016,06,059,NA,NaN,NaN,1,1
2016,06,061,1,56.28,43.79,1,1
2016,06,061,2,59.68,43.21,1,1
2016,06,061,3,42.47,47.03,1,1
2016,06,063,1,22.21,20.01,1,1
2016,06,065,1,46.74,51.38,1,1
2016,06,065,2,47.67,51.35,1,1
2016,06,065,3,48.96,54.84,1,1
2016,06,065,NA,NaN,NaN,1,1
2016,06,067,1,69.72,65.61,1,1
2016,06,067,2,72.53,71.11,1,1
2016,06,067,3,69.01,69.3,1,1
2016,06,067,NA,NaN,NaN,1,1
2016,06,069,1,85.92,83.67,1,1
2016,06,069,2,88.3,61.15,1,1
2016,06,069,3,89.66,82.55,1,1
2016,06,071,1,38.74,28.97,1,1
2016,06,071,2,48.78,53.76,1,1
2016,06,071,3,52.72,61.05,1,1
2016,06,071,NA,NaN,NaN,1,1
2016,06,073,0,53,79,1,1
2016,06,073,1,73.03,78.5,1,1
2016,06,073,2,79.23,83.47,1,1
2016,06,073,3,79.7,84.44,1,1
2016,06,073,NA,NaN,NaN,1,1
2016,06,075,1,97.48,95.61,1,1
2016,06,075,2,97.22,95.57,1,1
2016,06,075,3,96.87,94.98,1,1
2016,06,075,NA,NaN,NaN,1,1
2016,06,077,1,44.72,38.95,1,1
2016,06,077,2,46.13,53.33,1,1
2016,06,077,3,51.32,65.43,1,1
2016,06,079,1,60.5,67.11,1,1
2016,06,079,2,59.28,57.93,1,1
2016,06,079,3,71.54,73.98,1,1
2016,06,079,NA,NaN,NaN,1,1
2016,06,081,1,87.57,70.38,1,1
2016,06,081,2,91.69,80.66,1,1
2016,06,081,3,92.7,82.72,1,1
2016,06,083,1,67.36,56.11,1,1
2016,06,083,2,73.12,55.61,1,1
2016,06,083,3,73.95,47.6,1,1
2016,06,083,NA,NaN,NaN,1,1
2016,06,085,1,92.88,73.71,1,1
2016,06,085,2,94.69,79.48,1,1
2016,06,085,3,94.61,79.69,1,1
2016,06,087,1,76.09,68.72,1,1
2016,06,087,2,76.7,73.39,1,1
2016,06,087,3,75.68,68.12,1,1
2016,06,089,1,23.07,31.78,1,1
2016,06,089,2,43,32,1,1
2016,06,091,1,12,16,1,1
