year,state,place,index_transit_trips,index_transit_trips_quality
2019,01,03076,85.41,1
2019,01,07000,99.31,1
2019,01,35896,61.4,1
2019,01,37000,98.96,1
2019,01,50000,99.48,1
2019,01,51000,99.14,1
2019,01,77256,97.75,1
2019,02,03000,86.36,1
2019,04,04720,79.33,1
2019,04,07940,13.89,1
2019,04,12000,98.67,1
2019,04,23620,98.44,1
2019,04,27400,91.56,1
2019,04,27820,97.33,1
2019,04,28380,98.89,1
2019,04,46000,98.22,1
2019,04,54050,93.78,1
2019,04,55000,99.11,1
2019,04,65000,96.67,1
2019,04,71510,81,1
2019,04,73000,97.56,1
2019,04,77000,99.56,1
2019,04,85540,98,1
2019,05,23290,99.26,1
2019,05,24550,94.64,1
2019,05,35710,95.75,1
2019,05,41000,99.63,1
2019,05,66080,95.56,1
2019,06,00562,88.07,1
2019,06,00884,93.87,1
2019,06,02000,96.11,1
2019,06,02252,45.62,1
2019,06,02364,55.17,1
2019,06,03526,95.85,1
2019,06,04982,93.28,1
2019,06,06000,94.79,1
2019,06,08786,87.87,1
2019,06,08954,92.81,1
2019,06,11194,91.89,1
2019,06,11530,90.9,1
2019,06,13014,95.65,1
2019,06,13210,88.2,1
2019,06,13214,55.64,1
2019,06,13392,95.72,1
2019,06,13588,87.61,1
2019,06,14218,84.18,1
2019,06,15044,94.66,1
2019,06,16000,79.43,1
2019,06,16350,74.36,1
2019,06,16532,91.36,1
2019,06,17918,93.8,1
2019,06,19766,96.64,1
2019,06,21712,95.19,1
2019,06,22020,68.66,1
2019,06,22230,94.2,1
2019,06,22804,93.74,1
2019,06,23182,96.97,1
2019,06,24638,86.55,1
2019,06,24680,95.25,1
2019,06,26000,90.24,1
2019,06,27000,97.1,1
2019,06,28000,97.17,1
2019,06,29000,93.61,1
2019,06,30000,95.58,1
2019,06,32548,94.59,1
2019,06,33000,93.08,1
2019,06,33182,76.99,1
2019,06,33434,89.39,1
2019,06,36000,93.21,1
2019,06,36448,63.38,1
2019,06,36546,95.32,1
2019,06,36770,91.56,1
2019,06,37692,NA,NA
2019,06,39496,67.7,1
2019,06,39892,93.14,1
2019,06,40130,97.43,1
2019,06,41992,45.15,1
2019,06,43000,97.76,1
2019,06,44000,97.82,1
2019,06,45484,29.73,1
2019,06,46842,48.88,1
2019,06,46898,97.96,1
2019,06,47766,64.6,1
2019,06,48256,80.36,1
2019,06,48354,95.78,1
2019,06,49270,87.54,1
2019,06,49670,87.74,1
2019,06,50076,49.11,1
2019,06,50258,65.85,1
2019,06,51182,85.37,1
2019,06,52526,92.35,1
2019,06,53000,95.98,1
2019,06,53322,93.41,1
2019,06,53896,94.86,1
2019,06,53980,89.78,1
2019,06,54652,98.02,1
2019,06,55156,98.09,1
2019,06,56000,95.45,1
2019,06,56700,58.21,1
2019,06,57456,51.29,1
2019,06,57792,43.94,1
2019,06,58072,98.15,1
2019,06,59444,85.76,1
2019,06,59451,79.83,1
2019,06,59920,95.39,1
2019,06,60102,84.51,1
2019,06,60466,98.29,1
2019,06,60620,85.5,1
2019,06,62000,98.35,1
2019,06,62938,68.23,1
2019,06,64000,98.42,1
2019,06,64224,98.55,1
2019,06,65000,98.68,1
2019,06,65042,98.75,1
2019,06,66000,98.81,1
2019,06,67000,98.88,1
2019,06,68000,98.95,1
2019,06,68084,92.49,1
2019,06,68196,81.81,1
2019,06,68252,90.11,1
2019,06,68378,28.64,1
2019,06,69000,94.92,1
2019,06,69070,95.06,1
2019,06,69084,84.77,1
2019,06,69088,91.69,1
2019,06,69196,82.53,1
2019,06,70000,95.12,1
2019,06,70098,70.53,1
2019,06,72016,99.21,1
2019,06,73080,93.94,1
2019,06,75000,95.91,1
2019,06,77000,90.18,1
2019,06,78120,33.52,1
2019,06,78582,99.41,1
2019,06,80000,92.75,1
2019,06,80238,83.32,1
2019,06,80854,86.42,1
2019,06,81344,82.99,1
2019,06,81554,99.54,1
2019,06,81666,71,1
2019,06,82590,99.6,1
2019,06,82954,99.67,1
2019,06,82996,92.09,1
2019,06,84200,94.26,1
2019,06,84550,89.19,1
2019,06,85292,91.63,1
2019,08,03455,91.72,1
2019,08,04000,93.46,1
2019,08,07850,92.81,1
2019,08,12815,92.59,1
2019,08,16000,93.68,1
2019,08,20000,95.21,1
2019,08,27425,95.64,1
2019,08,32155,96.51,1
2019,08,43000,93.25,1
2019,08,45970,88.02,1
2019,08,46465,91.07,1
2019,08,62000,98.26,1
2019,08,77290,91.94,1
2019,08,83835,93.03,1
2019,09,08000,97.18,1
2019,09,18430,90.14,1
2019,09,37000,98.59,1
2019,09,52000,97.89,1
2019,09,55990,94.37,1
2019,09,73000,96.48,1
2019,09,80000,95.07,1
2019,11,50000,NA,NA
2019,12,07300,97.39,1
2019,12,07875,94.14,1
2019,12,10275,95.22,1
2019,12,12875,94.57,1
2019,12,14400,93.7,1
2019,12,16475,85.45,1
