year,state,county,mean_tcost,mean_transit,mean_tcost_quality,mean_transit_quality
2016,01,001,16.4270235818993,18.497981729339283,1,1
2016,01,003,27.469650808530584,22.5053316147176,1,1
2016,01,005,1.2868940754039497,7.156912028725314,1,1
2016,01,007,21.529491833030853,26.36978221415608,1,1
2016,01,009,20.31153714481342,20.543478260869566,1,1
2016,01,011,0,9.226749335695306,1,1
2016,01,013,1.6139159949087825,2.6207042851081885,1,1
2016,01,015,13.215210502489814,24.448709823449526,1,1
2016,01,017,2.8890150439965936,2.922509225092251,1,1
2016,01,019,4.364219815483353,51.94705174488568,1,1
2016,01,021,22.54496986555401,25.124478442280946,1,1
2016,01,023,0.7923728813559322,11.800242130750606,1,1
2016,01,025,0.6662404092071611,7.523657289002558,1,1
2016,01,027,4.516626115166261,13.751824817518248,1,1
2016,01,029,2.5317705120296115,7.852560148056755,1,1
2016,01,031,18.253891985393043,17.247165097059387,1,1
2016,01,033,17.03865061874894,22.680454314290557,1,1
2016,01,035,0,7.093117408906883,1,1
2016,01,037,3.39289055191768,14.425631431244154,1,1
2016,01,039,3.090575620767494,8.852990970654627,1,1
2016,01,041,3.31985515992758,10.975859987929994,1,1
2016,01,043,5.984738268435316,7.720439309656254,1,1
2016,01,045,14.0386803185438,14.61111111111111,1,1
2016,01,047,0.30845942228335627,4.492606602475928,1,1
2016,01,049,3.427266797129811,23.4779843444227,1,1
2016,01,051,17.578187650360867,14.20850040096231,1,1
2016,01,053,0.7663043478260869,0.7894021739130435,1,1
2016,01,055,10.743913435527503,15.815248973048792,1,1
2016,01,057,2.60857908847185,3.1849865951742626,1,1
2016,01,059,2.6681346335325573,2.5872916011324314,1,1
2016,01,061,5.908838071693449,19.3831891223733,1,1
2016,01,063,0,4.618260244428469,1,1
2016,01,065,14.018189884649512,27.24267968056788,1,1
2016,01,067,6.274796747967479,21.100813008130082,1,1
2016,01,069,13.329106156678257,8.862855389650235,1,1
2016,01,071,4.390723270440252,8.42944182389937,1,1
2016,01,073,44.37679474733023,42.24665321138419,1,1
2016,01,075,1,0,1,1
2016,01,077,20.358546168958743,19.94440078585462,1,1
2016,01,079,11.091687379177023,25.938690969345483,1,1
2016,01,081,26.050044729779508,33.37925590696206,1,1
2016,01,083,39.157803132856316,37.67501450396442,1,1
2016,01,085,18.388917929952953,39.86670151594355,1,1
2016,01,087,1.0304925723221268,1.2068021892103205,1,1
2016,01,089,56.30061723489364,59.21603221277385,1,1
2016,01,091,0.38822679667750093,1.6695557963163596,1,1
2016,01,093,1.146163215590743,5.018879415347137,1,1
2016,01,095,6.211439888164026,5.5740913327120225,1,1
2016,01,097,24.188939309374167,34.16227037783008,1,1
2016,01,099,0,0.7281408534765742,1,1
2016,01,101,31.102116123202048,37.39728142179381,1,1
2016,01,103,21.403685827117158,28.441860465116278,1,1
2016,01,105,0,0,1,1
2016,01,107,11.995946493717065,18.00243210376976,1,1
2016,01,109,1.5091240875912408,2.781021897810219,1,1
2016,01,111,3.153197158081705,3.25044404973357,1,1
2016,01,113,20.051059879313012,35.75305585641343,1,1
2016,01,115,22.216695395222853,19.81556266929328,1,1
2016,01,117,27.647322500600335,25.561914672216442,1,1
2016,01,119,0,0,1,1
2016,01,121,4.879592850049653,9.4272591857001,1,1
2016,01,123,5.7293859649122805,5.1019736842105265,1,1
2016,01,125,28.576041448607914,36.12329914172074,1,1
2016,01,127,23.52081447963801,21.925188536953243,1,1
2016,01,129,5.3676108374384235,25.90948275862069,1,1
2016,01,131,0,3.658991910392035,1,1
2016,01,133,1.2250206440957887,6.495871180842279,1,1
2016,02,013,60,23,1,1
2016,02,016,85.24365482233503,74.80203045685279,1,1
2016,02,020,88.06676362953927,76.1526226893122,1,1
2016,02,050,27.73784817039869,6.386673948661933,1,1
2016,02,060,87,51,1,1
2016,02,068,85,62,1,1
2016,02,070,35.030973451327434,15.876106194690266,1,1
2016,02,090,77.27833929404447,54.54392784947908,1,1
2016,02,100,25,0,1,1
2016,02,105,30.757322175732217,20.10041841004184,1,1
2016,02,110,86.0545364402578,81.28309370352008,1,1
2016,02,122,54.61352300018474,35.03196009606503,1,1
2016,02,130,60.952100840336136,27.76638655462185,1,1
2016,02,150,69.46943231441048,59.61244541484716,1,1
2016,02,158,3,0,1,1
2016,02,164,21,18,1,1
2016,02,170,74.20163670512477,35.323852964851085,1,1
2016,02,180,24,8.746294681778553,1,1
2016,02,185,69.9921875,36.296875,3,3
2016,02,188,43.07383627608347,34.16211878009631,1,1
2016,02,195,50,34,1,1
2016,02,198,27.694050991501417,46.17847025495751,1,1
2016,02,220,68.6510989010989,59.260989010989015,1,1
2016,02,230,61,31,1,1
2016,02,240,51.24710424710425,30.85135135135135,1,1
2016,02,261,80.52096569250318,54.099110546378654,1,1
2016,02,275,31,26,1,1
2016,02,282,71,30,1,1
2016,02,290,8.434782608695652,0,1,1
2016,04,001,1.3926120601547671,32.28617316396554,1,1
2016,04,003,18.26251400017231,25.72576893254071,1,1
2016,04,005,37.20667856611632,49.911423471664435,1,1
2016,04,007,7.808675112733519,13.441056474124974,1,1
2016,04,009,19.652631578947368,26.549473684210525,1,1
2016,04,011,28.205980066445182,52.411960132890364,1,1
2016,04,012,9.73545966228893,26.73827392120075,1,1
2016,04,013,62.06207426195598,69.90610591111988,1,1
2016,04,015,12.832976445396145,23.79148098848313,1,1
2016,04,017,4.409050664043286,17.567535661583864,1,1
2016,04,019,41.238358613643506,55.77208425023578,1,1
2016,04,021,39.0212100983129,42.73755916980216,1,1
