year,state,county,subgroup_type,subgroup,rate_injury_death,rate_injury_death_lb,rate_injury_death_ub,rate_injury_death_quality
2021,01,001,all,All,65.7,55.2,76.3,1
2021,01,001,race-ethncity,"Black, Non-Hispanic",83.5,59.1,114.6,1
2021,01,001,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,001,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,001,race-ethncity,"White, Hon-Hispanic",66.1,53.7,78.4,1
2021,01,003,all,All,80.8,74.9,86.6,1
2021,01,003,race-ethncity,"Black, Non-Hispanic",79.7,61.1,102.1,1
2021,01,003,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,003,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,003,race-ethncity,"White, Hon-Hispanic",86,79.4,92.6,1
2021,01,005,all,All,85.8,68.5,106,1
2021,01,005,race-ethncity,"Black, Non-Hispanic",84.5,60.4,115,1
2021,01,005,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,005,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,005,race-ethncity,"White, Hon-Hispanic",91,65.3,123.5,1
2021,01,007,all,All,101.8,81.9,125,1
2021,01,007,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,007,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,007,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,007,race-ethncity,"White, Hon-Hispanic",110.1,86.3,138.4,1
2021,01,009,all,All,95,82.5,107.5,1
2021,01,009,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,009,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,009,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,009,race-ethncity,"White, Hon-Hispanic",103.7,89.6,117.7,1
2021,01,011,all,All,115.9,85.2,154.2,1
2021,01,011,race-ethncity,"Black, Non-Hispanic",128.9,90.3,178.5,1
2021,01,011,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,011,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,011,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,01,013,all,All,109.7,87.6,135.6,1
2021,01,013,race-ethncity,"Black, Non-Hispanic",115.7,82.6,157.5,1
2021,01,013,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,013,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,013,race-ethncity,"White, Hon-Hispanic",108.8,78.7,146.5,1
2021,01,015,all,All,95.1,86.2,104.1,1
2021,01,015,race-ethncity,"Black, Non-Hispanic",77.8,61.2,97.5,1
