year,state,county,rate_injury_death,rate_injury_death_lb,rate_injury_death_ub,rate_injury_death_quality
2014,01,001,76.8,66.5,87.2,1
2014,01,003,69.5,64.2,74.8,1
2014,01,005,66.3,53.3,81.5,1
2014,01,007,79.4,63.9,97.6,1
2014,01,009,89.8,78.9,100.7,1
2014,01,011,95.6,71.2,125.7,1
2014,01,013,86.9,69.8,106.9,1
2014,01,015,72.8,65.9,79.7,1
2014,01,017,72.7,59.9,85.6,1
2014,01,019,99,81.9,116.1,1
2014,01,021,83.9,71.8,96.1,1
2014,01,023,116.4,92.2,145.1,1
2014,01,025,89.9,73.4,106.4,1
2014,01,027,68.8,50.6,91.6,1
2014,01,029,92.4,71.9,116.9,1
2014,01,031,61.1,51.5,70.7,1
2014,01,033,70.5,60.5,80.4,1
2014,01,035,97.1,74.6,124.3,1
2014,01,037,109.1,83.2,140.4,1
2014,01,039,67.5,55.8,79.2,1
2014,01,041,74.4,55.6,97.6,1
2014,01,043,81.5,72.7,90.4,1
2014,01,045,60,50.4,69.6,1
2014,01,047,84.2,71.9,96.5,1
2014,01,049,84.1,74.5,93.6,1
2014,01,051,71.6,63.4,79.9,1
2014,01,053,101,86.7,115.3,1
2014,01,055,73.6,66.2,80.9,1
2014,01,057,95.1,75.5,118.2,1
2014,01,059,124.9,107.5,142.3,1
2014,01,061,77.6,62.7,92.6,1
2014,01,063,79.3,55.2,110.3,1
2014,01,065,70,52.6,91.3,1
2014,01,067,65.9,49.9,85.4,1
2014,01,069,66.2,59.2,73.2,1
2014,01,071,92,80.5,103.6,1
2014,01,073,77.5,74.5,80.5,1
2014,01,075,70,51.9,92.3,1
2014,01,077,67.5,60,74.9,1
2014,01,079,108.1,92.4,123.7,1
2014,01,081,47.7,42.7,52.7,1
2014,01,083,60.2,52.9,67.5,1
2014,01,085,93.4,69.6,122.8,1
2014,01,087,83.1,66.4,102.8,1
2014,01,089,56.9,53.3,60.5,1
2014,01,091,72.3,56.8,90.7,1
2014,01,093,102.4,86.3,118.4,1
2014,01,095,76.2,68.3,84,1
2014,01,097,78.6,74.8,82.4,1
2014,01,099,68.4,54,85.5,1
2014,01,101,62.7,58.2,67.3,1
2014,01,103,71.6,64.8,78.4,1
2014,01,105,78.4,56,106.8,1
2014,01,107,88.5,70.9,109.2,1
2014,01,109,73,60,86,1
2014,01,111,96.8,78.7,114.9,1
2014,01,113,77.3,67.1,87.5,1
2014,01,115,92.4,83.3,101.6,1
2014,01,117,60.5,55.7,65.3,1
2014,01,119,77.4,57.8,101.5,1
2014,01,121,76.9,68.4,85.4,1
2014,01,123,73.5,61.8,85.2,1
2014,01,125,62,57.1,66.9,1
2014,01,127,140.6,127.9,153.4,1
2014,01,129,102.6,82.3,126.4,1
2014,01,131,115.8,89.6,147.3,1
2014,01,133,99,81.3,116.7,1
2014,02,013,NA,NA,NA,NA
2014,02,016,NA,NA,NA,NA
2014,02,020,71.1,66.8,75.4,1
2014,02,050,142.4,117.4,167.3,1
2014,02,060,NA,NA,NA,NA
2014,02,068,NA,NA,NA,NA
2014,02,070,205.2,152.8,269.8,1
2014,02,090,67.4,60.2,74.6,1
2014,02,100,NA,NA,NA,NA
2014,02,105,NA,NA,NA,NA
2014,02,110,67.1,54.4,79.7,1
2014,02,122,88.3,77.3,99.2,1
2014,02,130,79,59.3,103.1,1
2014,02,150,70.2,51.9,92.8,1
2014,02,164,NA,NA,NA,NA
2014,02,170,84,75.7,92.3,1
2014,02,180,163.4,129.5,203.3,1
2014,02,185,79.2,56.1,108.7,1
2014,02,188,119.6,87.5,159.5,1
2014,02,195,NA,NA,NA,NA
2014,02,198,NA,NA,NA,NA
2014,02,220,71.4,48.9,100.8,1
2014,02,230,NA,NA,NA,NA
2014,02,240,88,59.8,124.9,1
2014,02,261,74.4,52.1,103,1
2014,02,270,246.7,199.8,301.2,1
2014,02,275,NA,NA,NA,NA
2014,02,282,NA,NA,NA,NA
2014,02,290,247.7,193.1,313,1
2014,04,001,176,162.3,189.6,1
2014,04,003,76.6,69.9,83.4,1
2014,04,005,96.6,89.2,104,1
2014,04,007,117.3,104.3,130.3,1
2014,04,009,77.4,64.8,90.1,1
2014,04,011,81.4,57,112.7,1
2014,04,012,122.9,101.3,144.4,1
2014,04,013,67.3,66.1,68.4,1
2014,04,015,112.7,106.2,119.3,1
2014,04,017,140.3,130.3,150.3,1
2014,04,019,77.7,75.2,80.1,1
2014,04,021,61.7,58.2,65.2,1
2014,04,023,44.1,35.6,52.6,1
2014,04,025,114.9,108.5,121.3,1
2014,04,027,55.5,50.9,60.2,1
2014,05,001,104.1,84.5,126.8,1
2014,05,003,93.2,74.9,111.5,1
2014,05,005,94.2,81,107.5,1
2014,05,007,59.3,54.8,63.7,1
2014,05,009,74.8,62.4,87.2,1
2014,05,011,89.8,66.9,118.1,1
2014,05,013,87.6,55.5,131.4,2
2014,05,015,99.2,82.6,115.8,1
2014,05,017,71.3,51.2,96.8,1
2014,05,019,80.6,65,98.9,1
