year,state,place,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,03076,all,All,0.43758127438231464,0.3364099475757798,0.5387526011888495,2
2014,01,03076,income,"$50,000 or More",0.4782152230971129,0.33810709386441395,0.6183233523298118,2
2014,01,03076,income,"Less than $50,000",0.4090070136581764,0.26683024899720376,0.5511837783191491,2
2014,01,07000,all,All,0.3684918591987287,0.27124764553253794,0.4657360728649194,3
2014,01,07000,income,"$50,000 or More",0.49379537325232353,0.3300623444671605,0.6575284020374865,3
2014,01,07000,income,"Less than $50,000",0.3180899767689826,0.22288025477882656,0.41329969875913863,3
2014,01,35896,all,All,0.49471957592116256,0.40572731834366305,0.5837118334986621,3
2014,01,35896,income,"$50,000 or More",0.5530453819832938,0.43815518140657705,0.6679355825600105,3
2014,01,35896,income,"Less than $50,000",NA,NA,NA,NA
2014,01,37000,all,All,0.3416184327973794,0.25803378849243114,0.4252030771023277,3
2014,01,37000,income,"$50,000 or More",0.4187865436222422,0.2960841388898515,0.541488948354633,3
2014,01,37000,income,"Less than $50,000",0.2884592418533182,0.1704587423455179,0.40645974136111857,3
2014,01,50000,all,All,0.450876022519726,0.3539100710971047,0.5478419739423472,3
2014,01,50000,income,"$50,000 or More",0.5315509461429127,0.3638049200419369,0.6992969722438884,3
2014,01,50000,income,"Less than $50,000",0.4206782180511616,0.3036583510502461,0.5376980850520771,3
2014,01,51000,all,All,0.518824593921026,0.4440881312250441,0.5935610566170079,3
2014,01,51000,income,"$50,000 or More",0.562443995639872,0.4587444454433546,0.6661435458363895,3
2014,01,51000,income,"Less than $50,000",0.47513579931915695,0.35608734246838597,0.594184256169928,3
2014,01,77256,all,All,0.362451296685685,0.25119799500723494,0.47370459836413503,2
2014,01,77256,income,"$50,000 or More",0.4498319845514718,0.27473214853064587,0.6249318205722977,2
2014,01,77256,income,"Less than $50,000",0.2963955615209544,0.16891675982062093,0.4238743632212879,2
2014,02,03000,all,All,0.363961387200572,0.2764155605844795,0.4515072138166646,2
2014,02,03000,income,"$50,000 or More",0.3671295415636294,0.27353700686988774,0.4607220762573711,2
2014,02,03000,income,"Less than $50,000",0.35864709636247605,0.1809225636110416,0.5363716291139105,2
2014,04,04720,all,All,0.1863033362840492,0.10523554074527224,0.2673711318228261,2
2014,04,04720,income,"$50,000 or More",0.2143984125844843,0.11080630907334492,0.3179905160956237,2
2014,04,04720,income,"Less than $50,000",NA,NA,NA,NA
2014,04,07940,all,All,0.3468760710405678,0.23172586108137955,0.462026280999756,2
2014,04,07940,income,"$50,000 or More",NA,NA,NA,NA
2014,04,07940,income,"Less than $50,000",NA,NA,NA,NA
2014,04,12000,all,All,0.4455354833597084,0.379233996868243,0.5118369698511738,3
2014,04,12000,income,"$50,000 or More",0.5204870331783525,0.4452804749044867,0.5956935914522183,3
2014,04,12000,income,"Less than $50,000",0.3371644727982997,0.2187105034420681,0.4556184421545313,3
2014,04,23620,all,All,0.459511391710129,0.3618806913172647,0.5571420921029933,3
2014,04,23620,income,"$50,000 or More",0.4707585408222351,0.33447680693830717,0.6070402747061631,3
2014,04,23620,income,"Less than $50,000",0.4493736951983298,0.3043143605775863,0.5944330298190733,3
2014,04,27400,all,All,0.42776453079153354,0.3517670475289827,0.5037620140540844,1
2014,04,27400,income,"$50,000 or More",0.4557543854561648,0.3788431846486011,0.5326655862637285,1
2014,04,27400,income,"Less than $50,000",0.3143770831777064,0.15587876677995752,0.4728753995754553,1
2014,04,27820,all,All,0.2268786447920812,0.15554154486152882,0.2982157447226336,1
2014,04,27820,income,"$50,000 or More",0.2920926101712648,0.1927639886758061,0.3914212316667235,1
2014,04,27820,income,"Less than $50,000",0.1858678628770675,0.09465952686093156,0.27707619889320345,1
2014,04,28380,all,All,0.3041025552051586,0.1877587019367613,0.4204464084735559,2
2014,04,28380,income,"$50,000 or More",0.3790252139751495,0.23583064568728715,0.5222197822630118,2
2014,04,28380,income,"Less than $50,000",NA,NA,NA,NA
2014,04,46000,all,All,0.3451132161644721,0.30495946675586316,0.38526696557308104,2
2014,04,46000,income,"$50,000 or More",0.4296501871203868,0.36774591947423535,0.4915544547665382,2
2014,04,46000,income,"Less than $50,000",0.23714335829006647,0.1810172442969461,0.29326947228318684,2
2014,04,54050,all,All,0.4118838706372634,0.3124838185325439,0.5112839227419829,2
2014,04,54050,income,"$50,000 or More",0.42432621755031874,0.31765977715648297,0.5309926579441545,2
2014,04,54050,income,"Less than $50,000",0.39316205331662096,0.2169204427081667,0.5694036639250752,2
2014,04,55000,all,All,0.3086438408361355,0.2859073517991206,0.3313803298731504,2
2014,04,55000,income,"$50,000 or More",0.4311874293456453,0.3884647265234009,0.4739101321678896,2
2014,04,55000,income,"Less than $50,000",0.2095524879877073,0.1817933364458641,0.23731163952955048,2
2014,04,65000,all,All,0.28254919003405665,0.23446582544542852,0.3306325546226848,3
2014,04,65000,income,"$50,000 or More",0.33423464667726344,0.26893237160440403,0.3995369217501229,3
2014,04,65000,income,"Less than $50,000",0.2274795029275284,0.15695614643050512,0.29800285942455174,3
2014,04,71510,all,All,0.32539776939086806,0.20591867771322356,0.44487686106851254,1
2014,04,71510,income,"$50,000 or More",0.37572952950774735,0.23633024231051175,0.515128816704983,1
2014,04,71510,income,"Less than $50,000",NA,NA,NA,NA
2014,04,73000,all,All,0.26401666571862276,0.1940111617270442,0.3340221697102013,3
2014,04,73000,income,"$50,000 or More",0.37405026785727863,0.26972066799136407,0.4783798677231932,3
2014,04,73000,income,"Less than $50,000",0.17481838361458066,0.0908777617144113,0.25875900551475,3
2014,04,77000,all,All,0.35449173644867865,0.3125448383596713,0.396438634537686,2
2014,04,77000,income,"$50,000 or More",0.4248106800471846,0.35810684362538475,0.4915145164689843,2
2014,04,77000,income,"Less than $50,000",0.28990751920142427,0.23972270012803135,0.3400923382748172,2
2014,04,85540,all,All,0.41361771944216574,0.32874593394426904,0.4984895049400624,2
2014,04,85540,income,"$50,000 or More",0.4195188071840054,0.3096110026266333,0.5294266117413775,2
2014,04,85540,income,"Less than $50,000",0.4080788804071247,0.28985705270736284,0.5263007081068866,2
2014,05,23290,all,All,0.3883349269225515,0.3053029853028989,0.4713668685422042,2
2014,05,23290,income,"$50,000 or More",0.46718694572543457,0.3301700900583338,0.6042038013925353,2
2014,05,23290,income,"Less than $50,000",0.33913043478260874,0.24013904758729276,0.4381218219779247,2
2014,05,24550,all,All,0.49385805277525024,0.3924920815515543,0.5952240239989461,2
2014,05,24550,income,"$50,000 or More",0.5856164383561644,0.4365849556136757,0.7346479210986531,2
2014,05,24550,income,"Less than $50,000",0.4141156462585034,0.2861705723846326,0.5420607201323742,2
2014,05,35710,all,All,0.49046830920547896,0.4177978780685037,0.5631387403424543,2
2014,05,35710,income,"$50,000 or More",0.5058821137660436,0.3552376887546137,0.6565265387774736,2
2014,05,35710,income,"Less than $50,000",0.4803191794255031,0.38408223214731974,0.5765561267036865,2
2014,05,41000,all,All,0.4707304388249685,0.3790745423105846,0.56238633533935245,1
2014,05,41000,income,"$50,000 or More",0.6687039775425258,0.5289502989461887,0.8084576561388628,1
2014,05,41000,income,"Less than $50,000",0.29585867722498493,0.19101760738157195,0.4006997470683979,1
2014,05,66080,all,All,0.38291127734831354,0.3080134067216752,0.4578091479749518,3
2014,05,66080,income,"$50,000 or More",0.46030909136717935,0.34237688468915256,0.5782412980452062,3
2014,05,66080,income,"Less than $50,000",0.3307532123732635,0.23892391326546655,0.4225825114810604,3
2014,06,00562,all,All,0.58320987654321,0.48264000449041783,0.6837797485960022,2
2014,06,00562,income,"$50,000 or More",0.6412411118293471,0.5193586682745072,0.763123555384187,2
2014,06,00562,income,"Less than $50,000",NA,NA,NA,NA
2014,06,00884,all,All,0.5458122540753232,0.40549758720895435,0.686126920941692,2
2014,06,00884,income,"$50,000 or More",0.5504504504504505,0.3643932887432144,0.7365076121576866,2
2014,06,00884,income,"Less than $50,000",NA,NA,NA,NA
2014,06,02000,all,All,0.3522836183450487,0.2792663782148408,0.42530085847525656,3
2014,06,02000,income,"$50,000 or More",0.3091647847913649,0.21705706783395273,0.40127250174877704,3
2014,06,02000,income,"Less than $50,000",0.4014497898577766,0.28884600256395154,0.5140535771516016,3
2014,06,02252,all,All,0.45982124183656536,0.3296116541606882,0.5900308295124426,1
2014,06,02252,income,"$50,000 or More",0.4671196638325156,0.26108487036842165,0.6731544572966095,1
2014,06,02252,income,"Less than $50,000",NA,NA,NA,NA
2014,06,02364,all,All,0.3604782177669203,0.24402857118468596,0.47692786434915474,2
2014,06,02364,income,"$50,000 or More",NA,NA,NA,NA
2014,06,02364,income,"Less than $50,000",NA,NA,NA,NA
2014,06,03526,all,All,0.30706936752584685,0.24060944003941404,0.37352929501227966,2
2014,06,03526,income,"$50,000 or More",0.31989722596751596,0.23151635238932455,0.4082780995457074,2
2014,06,03526,income,"Less than $50,000",0.2925465361804731,0.19877353292483,0.3863195394361162,2
2014,06,04982,all,All,0.3942923788195528,0.30877706026897067,0.4798076973701349,2
2014,06,04982,income,"$50,000 or More",0.38597953129885826,0.27208612840598134,0.4998729341917352,2
