year,state,county,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,001,0.4293064876957495,0.3188239576848476,0.5397890177066513,3
2014,01,003,0.3452904420273085,0.25475895303439855,0.4358219310202185,1
2014,01,005,NA,NA,NA,NA
2014,01,007,NA,NA,NA,NA
2014,01,009,0.3148148148148148,0.22293193923985835,0.4066976903897713,2
2014,01,011,NA,NA,NA,NA
2014,01,013,0.35030165912518857,0.2563801462023576,0.44422317204801953,3
2014,01,015,0.39425,0.287610047660085,0.500889952339915,1
2014,01,017,0.3427952850613423,0.2600006573564929,0.42558991276619174,3
2014,01,019,NA,NA,NA,NA
2014,01,021,0.3427952850613423,0.2600006573564929,0.42558991276619174,3
2014,01,023,NA,NA,NA,NA
2014,01,025,NA,NA,NA,NA
2014,01,027,NA,NA,NA,NA
2014,01,029,NA,NA,NA,NA
2014,01,031,0.35030165912518857,0.2563801462023576,0.44422317204801953,2
2014,01,033,0.4194831013916501,0.32122573921736197,0.5177404635659383,3
2014,01,035,NA,NA,NA,NA
2014,01,037,NA,NA,NA,NA
2014,01,039,0.3503016591251885,0.2563801462023575,0.44422317204801953,3
2014,01,041,NA,NA,NA,NA
2014,01,043,0.21528455284552847,0.13214878940267738,0.29842031628837956,1
2014,01,045,0.3874085684430512,0.3089866229429439,0.4658305139431584,3
2014,01,047,0.4827085149665794,0.3636127290557382,0.6018043008774205,3
2014,01,049,0.2659019812304484,0.16388107491294449,0.3679228875479523,2
2014,01,051,0.4293064876957494,0.3188239576848475,0.5397890177066513,2
2014,01,053,0.41011235955056174,0.3169165751908822,0.5033081439102413,3
2014,01,055,0.3356602675974404,0.18122429089825115,0.4900962442966296,1
2014,01,057,NA,NA,NA,NA
2014,01,059,NA,NA,NA,NA
2014,01,061,0.3874085684430512,0.30898662294294393,0.4658305139431585,3
2014,01,063,NA,NA,NA,NA
2014,01,065,NA,NA,NA,NA
2014,01,067,NA,NA,NA,NA
2014,01,069,0.3874085684430512,0.3089866229429439,0.46583051394315855,2
2014,01,071,0.2659019812304484,0.16388107491294449,0.3679228875479523,2
2014,01,073,0.4367638540258737,0.3709538895282829,0.5025738185234645,1
2014,01,075,NA,NA,NA,NA
2014,01,077,0.4194831013916501,0.3212257392173619,0.5177404635659384,2
2014,01,079,0.39436241610738254,0.2821414373035157,0.5065833949112494,3
2014,01,081,0.4375812743823147,0.3364099475757799,0.5387526011888495,1
2014,01,083,0.3656303236797274,0.2732799760608641,0.4579806712985907,2
2014,01,085,NA,NA,NA,NA
2014,01,087,NA,NA,NA,NA
2014,01,089,0.35399768137586535,0.2895553953169486,0.41843996743478207,1
2014,01,091,NA,NA,NA,NA
2014,01,093,0.3701619775490782,0.28772282358543055,0.45260113151272585,3
2014,01,095,0.29253060204846365,0.22112712421589156,0.36393407988103577,1
2014,01,097,0.4041789095657852,0.32082204913751966,0.4875357699940507,1
2014,01,099,NA,NA,NA,NA
2014,01,101,0.5121819657007022,0.4410868097030237,0.5832771216983806,1
2014,01,103,0.39436241610738254,0.2821414373035157,0.5065833949112494,1
2014,01,105,NA,NA,NA,NA
2014,01,107,NA,NA,NA,NA
2014,01,109,0.4106899372784292,0.3044832268190105,0.5168966477378479,3
2014,01,111,NA,NA,NA,NA
2014,01,113,0.4106899372784292,0.3044832268190105,0.5168966477378479,2
2014,01,115,0.3148148148148148,0.22293193923985832,0.4066976903897713,2
2014,01,117,0.4402071563088512,0.3354693180945324,0.54494499452317,1
2014,01,119,NA,NA,NA,NA
2014,01,121,0.3787633538361929,0.28037847865051463,0.4771482290218712,2
2014,01,123,0.3427952850613423,0.2600006573564929,0.42558991276619174,3
2014,01,125,0.35832948002708453,0.27892850762254306,0.437730452431626,1
2014,01,127,0.3576271186440678,0.26257625629618103,0.4526779809919546,2
2014,01,129,NA,NA,NA,NA
2014,01,131,NA,NA,NA,NA
2014,01,133,NA,NA,NA,NA
2014,02,013,NA,NA,NA,NA
2014,02,016,NA,NA,NA,NA
2014,02,020,0.363961387200572,0.2764155605844795,0.4515072138166646,1
2014,02,050,0.4404186795491143,0.38013933967910546,0.5006980194191232,3
2014,02,060,NA,NA,NA,NA
2014,02,063,NA,NA,NA,NA
2014,02,066,NA,NA,NA,NA
2014,02,068,NA,NA,NA,NA
2014,02,070,NA,NA,NA,NA
2014,02,090,0.46247125235208025,0.36956929129185834,0.5553732134123022,2
2014,02,100,NA,NA,NA,NA
2014,02,105,NA,NA,NA,NA
2014,02,110,NA,NA,NA,NA
2014,02,122,0.3706264403938823,0.29301245592466363,0.448240424863101,2
2014,02,130,NA,NA,NA,NA
2014,02,150,0.44041867954911434,0.3801393396791056,0.5006980194191232,3
2014,02,158,0.44041867954911434,0.3801393396791056,0.5006980194191232,3
2014,02,164,NA,NA,NA,NA
2014,02,170,0.37062644039388226,0.2930124559246636,0.44824042486310095,2
2014,02,180,0.44041867954911434,0.3801393396791056,0.5006980194191231,3
2014,02,185,0.4404186795491144,0.3801393396791057,0.5006980194191231,3
2014,02,188,0.44041867954911434,0.3801393396791056,0.5006980194191231,3
2014,02,195,NA,NA,NA,NA
2014,02,198,NA,NA,NA,NA
2014,02,220,0.44041867954911434,0.3801393396791056,0.5006980194191231,3
