year,state,place,score_transit_trips,score_transit_trips_quality,share_transportation_cost,share_transportation_cost_quality
2015,24,30325,1,1,0.160482738565951,1
2015,25,07000,56,1,0.12696407251047628,1
2015,25,09000,3,1,0.17809577585154437,1
2015,25,11000,49,1,0.1268813497408735,1
2015,25,23000,4,1,0.2024467947891139,1
2015,25,34550,10,1,0.16284668226768326,1
2015,25,37000,11,1,0.17548728208059444,1
2015,25,37490,14,1,0.1663461597802944,1
2015,25,45000,3,1,0.21891418205973276,1
2015,25,45560,21,1,0.18152106059143416,1
2015,25,55745,19,1,0.16013020569459926,1
2015,25,62535,47,1,0.1339259190205401,1
2015,25,67000,13,1,0.2196738192797067,1
2015,25,82000,5,1,0.18818784997666818,1
2015,26,03000,9,1,0.19404947934629413,1
2015,26,21000,6,1,0.2413900704717161,1
2015,26,22000,10,1,0.22900547430984597,1
2015,26,27440,3,1,0.24400742142343557,1
2015,26,29000,12,1,0.280543219076006,1
2015,26,34000,10,1,0.24514298627892736,1
2015,26,46000,10,1,0.2390904532836624,1
2015,26,49000,2,1,0.2711398155864405,1
2015,26,69035,0,1,0.2683446034340471,1
2015,26,74900,5,1,0.22239889506191998,1
2015,26,76460,2,1,0.25732202087209777,1
2015,26,80700,2,1,0.25700181747371165,1
2015,26,84000,3,1,0.2527719514702859,1
2015,26,86000,5,1,0.24389417801109237,1
2015,26,88940,6,1,0.2634440618818825,1
2015,27,06616,6,1,0.20035797834720634,1
2015,27,07966,6,1,0.2059963375439121,1
2015,27,17000,5,1,0.2380701986222251,1
2015,27,43000,19,1,0.1654666259626474,1
2015,27,51730,2,1,0.21156147970229827,1
2015,27,54880,1,1,0.22052540396782253,1
2015,27,58000,20,1,0.1750203561440153,1
2015,27,71428,0,1,0.2164172885291222,1
2015,28,36000,2,1,0.27772371993042116,1
2015,29,15670,3,1,0.26050979382512135,1
2015,29,35000,3,1,0.2493750762648458,1
2015,29,38000,6,1,0.230391548665826,1
2015,29,41348,0,1,0.2639979844485848,1
