year,state,place,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2015,01,03076,0,1,0.29790277165521745,1
2015,01,03076,NA,NA,NA,NA
2015,01,03076,0,1,0.29625603116072435,1
2015,01,03076,0,1,0.30131510083144736,1
2015,01,07000,0.010488433748659393,1,0.24299662706245317,1
2015,01,07000,0.012501585722094097,1,0.2456468695609222,1
2015,01,07000,0.007252144936019852,2,0.23146322831755084,2
2015,01,07000,0,2,0.24576967587046045,2
2015,01,35896,5.34253306630402e-4,1,0.2655414531499612,1
2015,01,35896,0.005777912373286793,1,0.20000000000000004,1
2015,01,35896,0,1,0.2793644307362733,1
2015,01,35896,0,1,0.23141984267565163,1
2015,01,37000,0.006354655001649762,1,0.25020682249393705,1
2015,01,37000,0.00844913045512466,1,0.2408678061579413,1
2015,01,37000,0.005101029109026787,1,0.26041624060986746,1
2015,01,37000,0.006197271677524441,1,0.23789187141263027,1
2015,01,50000,0.021545286685193284,1,0.27991049543584284,1
2015,01,50000,0.02145244975219993,1,0.28065371332253547,1
2015,01,50000,0.02047880359429431,1,0.28365669741382604,1
2015,01,50000,0.02337009577946348,1,0.2728295971074318,1
2015,01,51000,0.015110793344670928,1,0.271170438082968,1
2015,01,51000,0.0195397613766443,1,0.26294776377149176,1
2015,01,51000,0.008113875044258766,1,0.2841262853090382,1
2015,01,51000,0.006804366475841695,1,0.2866598304352288,1
2015,01,77256,0.0073443274085705865,1,0.29298699216796364,1
2015,01,77256,0.009080067529855731,1,0.2907249448024616,1
2015,01,77256,0.004896906243277853,1,0.29756244183473807,1
2015,01,77256,0.008734267906271133,1,0.2885576392457103,1
2015,02,03000,0.031151033990967438,1,0.20637081055383882,1
2015,02,03000,0.05046417973717677,1,0.18289105553200508,1
2015,02,03000,0.019322850936174616,1,0.22356491155477398,1
2015,02,03000,0.039367142013332204,1,0.1935127837313307,1
2015,04,04720,0.02332998445629871,1,0.2816625508742989,1
2015,04,04720,0.026613943024960684,1,0.2771873903100663,1
2015,04,04720,NA,NA,NA,NA
2015,04,04720,0.017811301906075338,1,0.2891830448144346,1
2015,04,07940,2.7475394130024174e-5,1,0.31463558516066475,1
2015,04,07940,NA,NA,NA,NA
2015,04,07940,4.551436485890952e-6,1,0.3420893134291927,1
2015,04,07940,3.5341437024128595e-5,1,0.3052152133594373,1
2015,04,12000,0.029730506677336132,1,0.27015326977307463,1
2015,04,12000,0.05480828308112412,1,0.24960177494595517,1
2015,04,12000,0.02159348079384098,1,0.28096072797130833,1
2015,04,12000,0.03884416566573282,1,0.2535720503833881,1
2015,04,23620,0.021731997008852654,1,0.2844490810036888,1
2015,04,23620,0.02,1,0.26,1
2015,04,23620,0.01808142311291465,1,0.29822748537359867,1
2015,04,23620,0.02814781407643253,1,0.2698481247776115,1
2015,04,27400,0.019181291223600155,1,0.2910719187546915,1
2015,04,27400,NA,NA,NA,NA
2015,04,27400,0.01866389886461158,1,0.29255026933612827,1
2015,04,27400,0.02467057309968451,1,0.27538733642138563,1
2015,04,27820,0.04901520850562193,1,0.2586373232164568,1
2015,04,27820,0.05820848142215951,1,0.24450275945019628,1
2015,04,27820,0.03994094542340612,1,0.27073824207148756,1
2015,04,27820,0.05282792242269421,1,0.2569692259556122,1
2015,04,28380,0.00490955130844975,1,0.30486719175198085,1
2015,04,28380,0.005330793370088451,1,0.2940076198897347,1
2015,04,28380,0,1,0.3228348154477352,1
2015,04,28380,0.006544242668039563,1,0.2996098406450944,1
