year,state,place,index_transit_trips,index_transit_trips_quality
2019,12,58050,97.18,1
2019,12,58715,72.48,1
2019,12,63000,98.15,1
2019,12,69700,95.87,1
2019,12,70600,99.57,1
2019,12,71000,99.67,1
2019,12,76600,99.78,1
2019,13,03440,99.2,1
2019,13,04000,99.36,1
2019,13,04204,94.16,1
2019,13,19000,98.4,1
2019,13,42425,92.48,1
2019,13,49008,NA,NA
2019,13,67284,97.6,1
2019,13,68516,99.04,1
2019,13,69000,99.68,1
2019,13,72122,NA,NA
2019,13,80508,10.8,1
2019,15,71550,98.68,1
2019,16,08830,99.56,1
2019,16,52120,25.55,1
2019,16,56260,95.59,1
2019,17,02154,98.32,1
2019,17,03012,97.44,1
2019,17,06613,98.68,1
2019,17,12385,99.42,1
2019,17,14000,99.78,1
2019,17,14351,99.56,1
2019,17,23074,97.15,1
2019,17,24582,99.49,1
2019,17,38570,94.52,1
2019,17,51622,91.89,1
2019,17,59000,98.25,1
2019,17,65000,99.93,1
2019,17,68003,97.51,1
2019,17,72000,98.46,1
2019,17,79293,97.22,1
2019,18,05860,98.39,1
2019,18,10342,28.01,1
2019,18,22000,98.68,1
2019,18,23278,77.57,1
2019,18,25000,99.27,1
2019,18,31000,96.63,1
2019,18,36003,99.41,1
2019,18,71000,99.12,1
2019,19,12000,99.11,1
2019,19,19000,99.7,1
2019,19,21000,99.8,1
2019,19,73335,99.31,1
2019,20,36000,99.55,1
2019,20,38900,99.11,1
2019,20,52575,98.51,1
2019,20,53775,98.81,1
2019,20,71000,98.96,1
2019,20,79000,99.26,1
2019,21,46027,99.24,1
2019,21,48006,99.43,1
2019,22,05000,99.16,1
2019,22,40735,98.52,1
2019,22,41155,96.84,1
2019,22,55000,99.79,1
2019,22,70000,98.73,1
2019,24,04000,99.42,1
2019,24,30325,89.79,1
2019,25,07000,98.36,1
2019,25,09000,86.48,1
2019,25,11000,97.95,1
2019,25,23000,89.96,1
2019,25,34550,92.21,1
2019,25,37000,93.44,1
2019,25,37490,93.85,1
2019,25,45000,89.34,1
2019,25,45560,95.49,1
2019,25,55745,94.26,1
2019,25,62535,97.54,1
2019,25,67000,97.13,1
2019,25,82000,99.59,1
2019,26,03000,98.27,1
2019,26,21000,97.84,1
2019,26,22000,98.56,1
2019,26,27440,95.24,1
2019,26,29000,98.99,1
2019,26,34000,98.41,1
2019,26,46000,99.28,1
2019,26,49000,94.66,1
2019,26,69035,87.45,1
2019,26,74900,96.97,1
2019,26,76460,95.38,1
2019,26,80700,93.22,1
2019,26,84000,99.71,1
2019,26,86000,97.69,1
2019,26,88940,97.26,1
2019,27,06616,98.79,1
2019,27,07966,98.24,1
2019,27,17000,99.23,1
2019,27,43000,99.56,1
2019,27,51730,96.36,1
2019,27,54880,95.37,1
2019,27,58000,99.45,1
2019,27,71428,87.27,1
2019,28,36000,99.17,1
2019,29,15670,99.22,1
2019,29,35000,99.51,1
2019,29,38000,99.81,1
2019,29,41348,91.6,1
2019,29,54074,86.46,1
2019,29,65000,99.71,1
2019,29,70000,99.61,1
2019,30,06550,98.9,1
2019,31,28000,99.83,1
2019,31,37000,99.66,1
2019,32,31900,94.62,1
2019,32,40000,97.69,1
2019,32,51800,93.85,1
2019,32,60600,98.46,1
2019,32,68400,90.77,1
2019,33,45140,97.94,1
2019,33,50260,96.91,1
2019,34,13690,97.8,1
2019,34,21000,98.35,1
2019,34,36000,98.72,1
2019,34,51000,99.08,1
2019,34,57000,98.53,1
2019,34,74000,99.63,1
2019,35,02000,99.77,1
2019,35,39380,99.1,1
2019,35,63460,98.2,1
2019,35,70500,99.32,1
2019,36,01000,98.39,1
2019,36,11000,98.73,1
2019,36,50617,98.31,1
2019,36,51000,99.32,1
2019,36,63000,99.58,1
2019,36,73000,97.29,1
2019,36,84000,98.56,1
2019,37,02140,98.24,1
2019,37,10740,97.97,1
2019,37,12000,99.05,1
2019,37,14100,97.3,1
2019,37,19000,99.19,1
2019,37,22920,99.32,1
2019,37,25580,96.89,1
2019,37,28000,98.78,1
2019,37,28080,95.95,1
2019,37,31400,98.38,1
2019,37,55000,98.92,1
2019,37,74440,98.11,1
2019,37,75000,98.65,1
2019,38,25700,99.25,1
2019,39,01000,99.5,1
2019,39,15000,99.67,1
2019,39,16000,99.75,1
2019,39,18000,99.83,1
2019,39,21000,99.59,1
2019,39,61000,99,1
2019,39,77000,99.34,1
2019,40,09050,98.64,1
2019,40,23200,99.45,1
2019,40,41850,99.05,1
2019,40,52500,99.59,1
2019,40,55000,100,1
2019,40,75000,99.73,1
2019,41,05350,98.41,2
2019,41,05800,89.92,1
2019,41,23850,98.94,1
2019,41,31250,99.2,1
2019,41,34100,97.88,1
2019,41,47000,93.37,1
2019,41,59000,99.73,1
2019,41,64900,98.67,1
2019,42,02000,99.38,1
2019,42,06088,98.64,1
2019,42,24000,99.55,1
2019,42,60000,99.72,1
2019,42,61000,99.77,1
2019,42,63624,99.49,1
2019,42,69000,99.09,1
2019,44,19180,88.24,1
2019,44,54640,91.18,1
2019,44,59000,97.06,1
2019,44,74300,100,1
2019,45,13330,98.99,1
2019,45,16000,99.24,1
2019,45,48535,97.22,1
2019,45,50875,98.74,1
2019,46,59020,99.74,1
2019,47,14000,98.6,1
2019,47,15160,98.14,1
2019,47,27740,59.79,1
2019,47,40000,99.07,1
2019,47,48000,99.3,1
2019,47,51560,97.44,1
2019,47,52006,99.53,1
2019,48,01000,99.09,1
2019,48,01924,92.57,1
2019,48,03000,96.4,1
2019,48,04000,98.46,1
2019,48,05000,99.14,1
2019,48,06128,96.86,1
2019,48,07000,98.06,1
2019,48,10768,99.2,1
2019,48,10912,57.72,1
2019,48,13024,98.68,1
2019,48,13552,66.72,1
2019,48,15976,99.26,1
2019,48,16432,22.98,2
2019,48,17000,99.31,1
2019,48,19000,99.37,1
2019,48,19972,98.11,1
2019,48,22660,88.97,1
