year,state,place,index_transportation_cost,index_transportation_cost_quality
2015,12,58050,25.4,1
2015,12,58715,29.64,1
2015,12,63000,25.18,1
2015,12,69700,25.75,1
2015,12,70600,26.03,1
2015,12,71000,24.61,1
2015,12,76600,25.79,1
2015,13,03440,31.15,1
2015,13,04000,21.15,1
2015,13,04204,29.01,1
2015,13,19000,30.16,1
2015,13,42425,26.93,1
2015,13,49008,NA,NA
2015,13,67284,25.26,1
2015,13,68516,22.22,1
2015,13,69000,25.27,1
2015,13,72122,NA,NA
2015,13,80508,28.57,1
2015,15,71550,17.27,1
2015,16,08830,27.02,1
2015,16,52120,30.31,1
2015,16,56260,29.54,1
2015,17,02154,22.1,1
2015,17,03012,23.02,1
2015,17,06613,21.82,1
2015,17,12385,24.4,1
2015,17,14000,16.46,1
2015,17,14351,18.43,1
2015,17,23074,23.26,1
2015,17,24582,18.42,1
2015,17,38570,23.76,1
2015,17,51622,23.33,1
2015,17,59000,23.93,1
2015,17,65000,24.88,1
2015,17,68003,22.12,1
2015,17,72000,22.22,1
2015,17,79293,21.81,1
2015,18,05860,26.82,1
2015,18,10342,28.27,1
2015,18,22000,26.83,1
2015,18,23278,29.04,1
2015,18,25000,26.8,1
2015,18,31000,23.15,1
2015,18,36003,25.24,1
2015,18,71000,27.18,1
2015,19,12000,23.67,1
2015,19,19000,25.05,1
2015,19,21000,21.57,1
2015,19,73335,27.76,1
2015,20,36000,23.94,1
2015,20,38900,26.16,1
2015,20,52575,25.43,1
2015,20,53775,23.81,1
2015,20,71000,25.02,1
2015,20,79000,27.8,1
2015,21,46027,27.11,1
2015,21,48006,25.8,1
2015,22,05000,24.96,1
2015,22,40735,27.12,1
2015,22,41155,28.67,1
2015,22,55000,23.56,1
2015,22,70000,29.07,1
2015,24,04000,14.82,1
2015,24,30325,16.03,1
2015,25,07000,12.7,1
2015,25,09000,17.81,1
2015,25,11000,12.69,1
2015,25,23000,20.24,1
2015,25,34550,16.28,1
2015,25,37000,17.55,1
2015,25,37490,16.63,1
2015,25,45000,21.89,1
2015,25,45560,18.15,1
2015,25,55745,16.01,1
2015,25,62535,13.39,1
2015,25,67000,21.97,1
2015,25,82000,18.82,1
2015,26,03000,19.4,1
2015,26,21000,24.14,1
2015,26,22000,22.9,1
2015,26,27440,24.4,1
2015,26,29000,28.05,1
2015,26,34000,24.51,1
2015,26,46000,23.89,1
2015,26,49000,27.11,1
2015,26,69035,26.83,1
2015,26,74900,22.24,1
2015,26,76460,25.73,1
2015,26,80700,25.7,1
2015,26,84000,25.28,1
2015,26,86000,24.39,1
2015,26,88940,26.34,1
2015,27,06616,20.04,1
2015,27,07966,20.6,1
2015,27,17000,23.81,1
2015,27,43000,16.55,1
2015,27,51730,21.16,1
2015,27,54880,22.05,1
2015,27,58000,17.5,1
2015,27,71428,21.64,1
2015,28,36000,27.77,1
2015,29,15670,26.05,1
2015,29,35000,24.94,1
2015,29,38000,23.04,1
2015,29,41348,26.4,1
2015,29,54074,27.22,1
2015,29,65000,20.83,1
2015,29,70000,27.94,1
2015,30,06550,25.78,1
2015,31,28000,25.33,1
2015,31,37000,23.04,1
2015,32,31900,28.44,1
2015,32,40000,26.44,1
2015,32,51800,28.18,1
2015,32,60600,25.61,1
2015,32,68400,26.96,1
2015,33,45140,18.32,1
2015,33,50260,19.28,1
2015,34,13690,18.42,1
2015,34,21000,15.41,1
2015,34,36000,11,1
2015,34,51000,12.97,1
2015,34,57000,16.19,1
2015,34,74000,15.09,1
2015,35,02000,25.03,1
2015,35,39380,33.2,1
2015,35,63460,29.41,1
2015,35,70500,24.19,1
2015,36,01000,17.12,1
2015,36,11000,21.4,1
2015,36,50617,18.29,1
2015,36,51000,10.23,1
2015,36,63000,21.87,1
2015,36,73000,21.11,1
2015,36,84000,17.3,1
2015,37,02140,27.24,1
2015,37,10740,23.84,1
2015,37,12000,25.1,1
2015,37,14100,28.19,1
2015,37,19000,24.1,1
2015,37,22920,29.04,1
2015,37,25580,26.72,1
2015,37,28000,27.54,1
2015,37,28080,30.07,1
2015,37,31400,29.2,1
2015,37,55000,21.43,1
2015,37,74440,24.83,1
2015,37,75000,27.34,1
2015,38,25700,23.24,1
2015,39,01000,24.77,1
2015,39,15000,21.36,1
2015,39,16000,21.56,1
2015,39,18000,22.37,1
2015,39,21000,24.09,1
2015,39,61000,25.52,1
2015,39,77000,26.92,1
2015,40,09050,30.93,1
2015,40,23200,29,1
2015,40,41850,29.33,1
2015,40,52500,28.3,1
2015,40,55000,27.52,1
2015,40,75000,26.58,1
2015,41,05350,22.39,1
2015,41,05800,28.4,1
2015,41,23850,27.8,1
2015,41,31250,22.99,1
2015,41,34100,23.92,1
2015,41,47000,29.03,1
2015,41,59000,20.77,1
2015,41,64900,26.37,1
2015,42,02000,19.71,1
2015,42,06088,21.38,1
2015,42,24000,24.85,1
2015,42,60000,15.97,1
2015,42,61000,19.88,1
2015,42,63624,20.5,1
2015,42,69000,24.94,1
2015,44,19180,23.06,1
2015,44,54640,20.23,1
2015,44,59000,18.79,1
2015,44,74300,24.17,1
2015,45,13330,25.06,1
2015,45,16000,24.34,1
2015,45,48535,26.76,1
2015,45,50875,24.76,1
2015,46,59020,23.71,1
2015,47,14000,26.76,1
2015,47,15160,30.3,1
2015,47,27740,27.21,1
2015,47,40000,26.4,1
2015,47,48000,25.6,1
2015,47,51560,26.13,1
2015,47,52006,24.78,1
2015,48,01000,29.19,1
2015,48,01924,25.62,1
2015,48,03000,28.01,1
2015,48,04000,23.51,1
2015,48,05000,20.74,1
2015,48,06128,24.51,1
2015,48,07000,27.71,1
2015,48,10768,39.39,1
2015,48,10912,31.9,1
2015,48,13024,22.99,1
2015,48,13552,24.01,1
2015,48,15976,30.07,1
2015,48,16432,25.35,2
2015,48,17000,27.27,1
2015,48,19000,21.06,1
2015,48,19972,23.8,1
2015,48,22660,40.41,1
2015,48,24000,32.09,1
2015,48,26232,26.51,1
2015,48,27000,24.09,1
2015,48,27684,25.33,1
2015,48,29000,23.8,1
2015,48,30464,24.32,1
2015,48,35000,21.66,1
2015,48,37000,21.37,1
2015,48,39148,26.52,1
2015,48,41464,35.52,1
2015,48,41980,26.2,1
2015,48,42508,22.35,1
2015,48,43888,28.7,1
2015,48,45000,28.72,1
2015,48,45384,39.62,1
2015,48,45744,24.66,1
2015,48,47892,24.29,1
2015,48,48072,21.89,1
2015,48,48768,41.58,1
2015,48,50820,29.24,1
2015,48,53388,25.4,1
2015,48,56000,24.06,1
2015,48,56348,26.96,1
2015,48,57200,39.97,1
2015,48,58016,23.27,1
2015,48,61796,23.03,1
2015,48,63500,23.46,1
2015,48,64472,29.33,1
2015,48,65000,25.64,1
2015,48,70808,26.69,1
2015,48,72176,27.78,1
2015,48,74144,28.44,1
2015,48,76000,29.46,1
2015,48,79000,28.47,1
2015,49,43660,25.26,1
2015,49,44320,29.05,1
2015,49,55980,23.4,1
2015,49,57300,25.85,1
2015,49,62470,24.32,1
2015,49,65330,29.41,1
2015,49,67000,21.4,1
2015,49,67440,25.35,1
2015,49,70850,26.7,1
2015,49,82950,25.54,1
2015,49,83470,24.1,1
2015,51,01000,12.26,1
2015,51,16000,24.88,1
2015,51,35000,23.45,1
2015,51,47672,25.6,1
2015,51,56000,22.43,1
2015,51,57000,20.66,1
2015,51,64000,22.64,1
2015,51,67000,19.35,1
2015,51,68000,24.59,1
2015,51,76432,27,1
2015,51,82000,22.92,1
2015,53,03180,21.06,1
2015,53,05210,19.64,1
2015,53,05280,26.03,1
2015,53,22640,19.66,1
2015,53,23515,20.4,1
2015,53,35275,26.18,1
2015,53,35415,20.38,1
2015,53,35940,20.01,1
2015,53,53545,27.4,1
2015,53,57745,20.27,1
2015,53,63000,17.52,1
2015,53,67000,24.81,1
2015,53,67167,26.86,1
2015,53,70000,19.25,1
2015,53,74060,23.14,1
2015,53,80010,32.14,1
2015,55,02375,23.36,1
2015,55,31000,25.12,1
2015,55,39225,22.59,1
2015,55,48000,20.36,1
2015,55,53000,20.57,1
2015,55,66000,23.35,1
2019,01,03076,29.37,1
2019,01,07000,23.81,1
2019,01,35896,27.75,1
2019,01,37000,24.9,1
2019,01,50000,29.72,1
2019,01,51000,28.61,1
2019,01,77256,29.46,1
2019,02,03000,21.37,1
2019,04,04720,29.2,1
2019,04,07940,33.95,1
2019,04,12000,27.6,1
2019,04,23620,28.24,1
2019,04,27400,29.69,1
2019,04,27820,26.61,1
2019,04,28380,31.21,1
2019,04,46000,25.78,1
2019,04,54050,28.52,1
2019,04,55000,26.17,1
2019,04,65000,25.11,1
2019,04,71510,28.49,1
2019,04,73000,23.51,1
2019,04,77000,27.01,1
2019,04,85540,34.61,1
2019,05,23290,25.16,1
2019,05,24550,32.38,1
2019,05,35710,33.5,1
2019,05,41000,27.05,1
2019,05,66080,27.85,1
2019,06,00562,15.83,1
2019,06,00884,23,1
2019,06,02000,26.04,1
2019,06,02252,19.69,1
2019,06,02364,30.81,1
2019,06,03526,34.55,1
2019,06,04982,24.52,1
2019,06,06000,15.59,1
2019,06,08786,27.08,1
2019,06,08954,22.63,1
2019,06,11194,23.74,1
2019,06,11530,28.31,1
2019,06,13014,29.14,1
2019,06,13210,32.79,1
2019,06,13214,33.13,1
2019,06,13392,24.87,1
2019,06,13588,23,1
2019,06,14218,33.13,1
2019,06,15044,26.32,1
2019,06,16000,18.02,1
2019,06,16350,31.36,1
2019,06,16532,22.6,1
2019,06,17918,18.02,1
2019,06,19766,26.14,1
2019,06,21712,21.79,1
2019,06,22020,27.7,1
2019,06,22230,24.84,1
2019,06,22804,23.62,1
2019,06,23182,24.18,1
2019,06,24638,25.54,1
2019,06,24680,32.18,1
2019,06,26000,18.16,1
2019,06,27000,30.21,1
2019,06,28000,25.55,1
2019,06,29000,26.81,1
2019,06,30000,19.96,1
2019,06,32548,21.92,1
2019,06,33000,18.27,1
2019,06,33182,27.25,1
2019,06,33434,31.14,1
2019,06,36000,23.91,1
2019,06,36448,31.29,1
2019,06,36546,20.89,1
2019,06,36770,22.89,1
2019,06,37692,NA,NA
2019,06,39496,26,1
2019,06,39892,26.23,1
2019,06,40130,25.15,1
2019,06,41992,20.31,1
2019,06,43000,20.66,1
2019,06,44000,20.19,1
2019,06,45484,31.08,1
2019,06,46842,32.14,1
2019,06,46898,31.28,1
2019,06,47766,16.64,1
2019,06,48256,26.63,1
2019,06,48354,28.96,1
2019,06,49270,32.63,1
2019,06,49670,14.09,1
2019,06,50076,31.31,1
2019,06,50258,23.14,1
2019,06,51182,21.63,1
2019,06,52526,27.84,1
2019,06,53000,15.73,1
2019,06,53322,23.93,1
2019,06,53896,30.82,1
2019,06,53980,26.04,1
2019,06,54652,24.51,1
2019,06,55156,27.96,1
2019,06,56000,20.53,1
2019,06,56700,33.94,1
2019,06,57456,19.64,1
2019,06,57792,19.73,1
2019,06,58072,26.55,1
2019,06,59444,24.71,1
2019,06,59451,29.9,1
2019,06,59920,29.92,1
2019,06,60102,17.36,1
2019,06,60466,31.24,1
2019,06,60620,17.44,1
2019,06,62000,29.97,1
2019,06,62938,24.73,1
2019,06,64000,22.88,1
2019,06,64224,29.51,1
2019,06,65000,28.06,1
2019,06,65042,21.38,1
2019,06,66000,22.29,1
2019,06,67000,11.34,1
2019,06,68000,16.13,1
2019,06,68084,18.07,1
2019,06,68196,24.64,1
2019,06,68252,17.15,1
2019,06,68378,19.95,1
2019,06,69000,27.25,1
2019,06,69070,22.21,1
2019,06,69084,15.33,1
2019,06,69088,26.22,1
2019,06,69196,27.16,1
2019,06,70000,15.36,1
2019,06,70098,22.08,1
2019,06,72016,23.72,1
2019,06,73080,25.35,1
2019,06,75000,28.43,1
2019,06,77000,15.11,1
2019,06,78120,32.49,1
2019,06,78582,22.98,1
2019,06,80000,24.11,1
2019,06,80238,32.95,1
2019,06,80854,23.85,1
2019,06,81344,27.93,1
2019,06,81554,23.56,1
2019,06,81666,22.63,1
2019,06,82590,30.01,1
2019,06,82954,36.29,1
2019,06,82996,24.64,1
2019,06,84200,27.07,1
2019,06,84550,24.86,1
2019,06,85292,26.2,1
2019,08,03455,21.67,1
2019,08,04000,20.85,1
2019,08,07850,17.8,1
2019,08,12815,22.16,1
2019,08,16000,23.19,1
2019,08,20000,18.29,1
2019,08,27425,22.45,1
2019,08,32155,23.46,1
2019,08,43000,19.75,1
2019,08,45970,20.82,1
2019,08,46465,23.9,1
2019,08,62000,30.59,1
2019,08,77290,22.61,1
2019,08,83835,21.94,1
2019,09,08000,16.8,1
2019,09,18430,19.26,1
2019,09,37000,14.8,1
2019,09,52000,18.44,1
2019,09,55990,18.55,1
2019,09,73000,17.88,1
2019,09,80000,21.18,1
2019,11,50000,12.23,1
2019,12,07300,23.98,1
2019,12,07875,25.09,1
2019,12,10275,28.41,1
2019,12,12875,23.79,1
2019,12,14400,27.18,1
2019,12,16475,27.07,1
2019,12,16725,24.18,1
2019,12,17200,33.8,1
2019,12,17935,25.25,1
2019,12,24000,22.5,1
2019,12,24125,25.1,1
2019,12,25175,27.91,1
2019,12,30000,23.43,1
2019,12,32000,23.71,1
2019,12,32275,28.54,1
2019,12,35000,26.38,1
2019,12,36950,26.79,1
2019,12,38250,29.45,1
2019,12,39425,23.47,1
2019,12,43975,26.26,1
2019,12,45000,18.99,1
2019,12,45025,18.2,1
2019,12,45060,26.75,1
2019,12,45975,30.02,1
2019,12,49675,28.91,1
2019,12,53000,23.71,1
2019,12,54000,29.53,1
2019,12,54200,32.61,1
2019,12,55775,27.5,1
2019,12,57425,25.46,1
2019,12,58050,24.11,1
2019,12,58715,30.52,1
2019,12,63000,24.87,1
2019,12,69700,25.31,1
2019,12,70600,26.57,1
2019,12,71000,24.37,1
2019,12,76600,24.79,1
2019,13,03440,29.66,1
2019,13,04000,20.28,1
2019,13,04204,29.54,1
2019,13,19000,31.12,1
2019,13,42425,27.37,1
2019,13,49008,NA,NA
2019,13,67284,25.48,1
