year,state,county,share_access,share_access_lb,share_access_ub,access_quality
2021,01,001,0.7025340605,0.6673358258,0.7377322953,2
2021,01,003,0.6929174858,0.6575637346,0.728271237,1
2021,01,005,0.5331998872,0.4946077298,0.5717920447,2
2021,01,007,0.4282221769,0.384762186,0.4716821677,2
2021,01,009,0.5826156556,0.5407112767,0.6245200345,2
2021,01,011,0.5331998829,0.4946077254,0.5717920403,2
2021,01,013,0.5518096722,0.5195509934,0.584068351,2
2021,01,015,0.5829356277,0.5362762147,0.6295950407,1
2021,01,017,0.5289780402,0.485613317,0.5723427635,2
2021,01,019,0.5620434619,0.5250506363,0.5990362875,2
2021,01,021,0.5289780439,0.4856133207,0.5723427672,2
2021,01,023,0.332149421,0.2958854823,0.3684133597,2
2021,01,025,0.3321494294,0.2958854905,0.3684133683,2
2021,01,027,0.5620434577,0.5250506321,0.5990362833,2
2021,01,029,0.5620434567,0.525050631,0.5990362823,2
2021,01,031,0.5518097121,0.5195510336,0.5840683907,2
2021,01,033,0.5388443608,0.5037481158,0.5739406058,2
2021,01,035,0.3321494112,0.2958854728,0.3684133496,2
2021,01,037,0.5289780377,0.4856133144,0.572342761,2
2021,01,039,0.5518096857,0.519551007,0.5840683645,2
2021,01,041,0.551809697,0.5195510183,0.5840683756,2
2021,01,043,0.61330731,0.5715697287,0.6550448914,1
2021,01,045,0.6126613592,0.590169035,0.6351536834,2
2021,01,047,0.4282221675,0.3847621768,0.4716821583,2
2021,01,049,0.6329078212,0.5962170277,0.6695986147,2
2021,01,051,0.7025340626,0.667335828,0.7377322973,2
2021,01,053,0.332149419,0.2958854804,0.3684133576,2
2021,01,055,0.5907751408,0.5443007234,0.6372495581,1
2021,01,057,0.5001144711,0.4575057766,0.5427231657,2
2021,01,059,0.538844353,0.503748108,0.5739405981,2
2021,01,061,0.6126613535,0.5901690292,0.6351536778,2
2021,01,063,0.4282221743,0.3847621835,0.4716821652,2
2021,01,065,0.4282221605,0.3847621698,0.4716821511,2
2021,01,067,0.6126613573,0.5901690331,0.6351536816,2
2021,01,069,0.6126613575,0.5901690332,0.6351536817,2
2021,01,071,0.632907835,0.5962170418,0.6695986282,2
2021,01,073,0.7398776958,0.7222189824,0.7575364092,1
2021,01,075,0.5001144824,0.4575057879,0.5427231769,2
2021,01,077,0.5388443553,0.5037481103,0.5739406004,2
2021,01,079,0.596305681,0.5569149778,0.6356963842,2
2021,01,081,0.7172867365,0.6757716119,0.7588018612,1
2021,01,083,0.7379948625,0.7006984537,0.7752912712,2
2021,01,085,0.7025340638,0.6673358292,0.7377322984,2
2021,01,087,0.5331998774,0.4946077199,0.5717920349,2
2021,01,089,0.7800180367,0.7632627107,0.7967733628,1
2021,01,091,0.4282221664,0.3847621757,0.4716821572,2
2021,01,093,0.5108891869,0.4837570336,0.5380213403,2
2021,01,095,0.7604689836,0.7325071153,0.7884308519,1
2021,01,097,0.6246855095,0.6003110579,0.6490599611,1
2021,01,099,0.3321494142,0.2958854757,0.3684133527,2
2021,01,101,0.7795069804,0.7572592566,0.8017547041,1
2021,01,103,0.5963056738,0.5569149705,0.6356963771,1
2021,01,105,0.4282221664,0.3847621757,0.4716821572,2
2021,01,107,0.6525349422,0.6092083495,0.6958615348,2
2021,01,109,0.5331998832,0.4946077258,0.5717920407,2
2021,01,111,0.5620434528,0.5250506271,0.5990362784,2
