year,state,county,low_birth_weight,low_birth_weight_lb,low_birth_weight_ub,low_birth_weight_quality
2018,01,001,0.10073359,0.09678819,0.10467898,3
2018,01,003,0.085664339,0.074196517,0.097132161,1
2018,01,005,0.10073359,0.09678819,0.10467898,3
2018,01,007,0.10073359,0.09678819,0.10467898,3
2018,01,009,0.10073359,0.09678819,0.10467898,3
2018,01,011,0.10073359,0.09678819,0.10467898,3
2018,01,013,0.10073359,0.09678819,0.10467898,3
2018,01,015,0.098023713,0.081637673,0.11440975,1
2018,01,017,0.10073359,0.09678819,0.10467898,3
2018,01,019,0.10073359,0.09678819,0.10467898,3
2018,01,021,0.10073359,0.09678819,0.10467898,3
2018,01,023,0.10073359,0.09678819,0.10467898,3
2018,01,025,0.10073359,0.09678819,0.10467898,3
2018,01,027,0.10073359,0.09678819,0.10467898,3
2018,01,029,0.10073359,0.09678819,0.10467898,3
2018,01,031,0.10073359,0.09678819,0.10467898,3
2018,01,033,0.10073359,0.09678819,0.10467898,3
2018,01,035,0.10073359,0.09678819,0.10467898,3
2018,01,037,0.10073359,0.09678819,0.10467898,3
2018,01,039,0.10073359,0.09678819,0.10467898,3
2018,01,041,0.10073359,0.09678819,0.10467898,3
2018,01,043,0.10073359,0.09678819,0.10467898,3
2018,01,045,0.10073359,0.09678819,0.10467898,3
2018,01,047,0.10073359,0.09678819,0.10467898,3
2018,01,049,0.10073359,0.09678819,0.10467898,3
2018,01,051,0.10073359,0.09678819,0.10467898,3
2018,01,053,0.10073359,0.09678819,0.10467898,3
2018,01,055,0.10663308,0.089103922,0.12416224,1
2018,01,057,0.10073359,0.09678819,0.10467898,3
2018,01,059,0.10073359,0.09678819,0.10467898,3
2018,01,061,0.10073359,0.09678819,0.10467898,3
2018,01,063,0.10073359,0.09678819,0.10467898,3
2018,01,065,0.10073359,0.09678819,0.10467898,3
2018,01,067,0.10073359,0.09678819,0.10467898,3
2018,01,069,0.10672515,0.090363055,0.12308724,1
2018,01,071,0.10073359,0.09678819,0.10467898,3
2018,01,073,0.11694936,0.11008961,0.12380911,1
2018,01,075,0.10073359,0.09678819,0.10467898,3
2018,01,077,0.10073359,0.09678819,0.10467898,3
2018,01,079,0.10073359,0.09678819,0.10467898,3
2018,01,081,0.098342538,0.084623985,0.11206109,1
2018,01,083,0.10073359,0.09678819,0.10467898,3
2018,01,085,0.10073359,0.09678819,0.10467898,3
2018,01,087,0.10073359,0.09678819,0.10467898,3
2018,01,089,0.10607839,0.096832179,0.11532459,1
