year,state,county,subgroup_type,subgroup,rate_low_birth_weight,rate_low_birth_weight_lb,rate_low_birth_weight_ub,rate_low_birth_weight_quality
2018,01,001,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,001,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,001,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,003,all,All,0.085664339,0.074196517,0.097132161,1
2018,01,003,race-ethnicity,"Black, Non-Hispanic",0.12547529,0.085439965,0.16551061,1
2018,01,003,race-ethnicity,Hispanic,0.083798885,0.043206546,0.12439123,2
2018,01,003,race-ethnicity,Other Races and Ethnicities,0.15730338,0.081660904,0.23294584,2
2018,01,003,race-ethnicity,"White, Non-Hispanic",0.076309793,0.063891925,0.08872766,1
2018,01,005,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,005,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,005,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,007,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,007,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,009,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,009,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,011,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,011,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,011,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,013,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,013,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,015,all,All,0.098023713,0.081637673,0.11440975,1
2018,01,015,race-ethnicity,"Black, Non-Hispanic",0.15337424,0.11425691,0.19249158,1
2018,01,015,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.080389768,0.061790887,0.098988645,1
2018,01,017,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,017,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,017,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,019,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,019,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,021,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,021,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,023,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,023,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,023,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,025,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,025,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,025,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,027,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,027,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,027,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,027,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,027,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
2018,01,029,all,All,0.10073359,0.09678819,0.10467898,3
2018,01,029,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
2018,01,029,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
2018,01,029,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
2018,01,029,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
