year,state,county,subgroup_type,subgroup,lbw,lbw_lb,lbw_ub,lbw_quality
2020,01,001,all,All,.10317565,.099224299,.107127,3
2020,01,001,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,001,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,001,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,001,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,003,all,All,.089005239,.077347495,.10066298,1
2020,01,003,race-ethnicity,"Black, Non-Hispanic",.16115703,.11483225,.2074818,1
2020,01,003,race-ethnicity,Hispanic,.079681277,.046179604,.11318295,2
2020,01,003,race-ethnicity,Other Races and Ethnicities,,,,3
2020,01,003,race-ethnicity,"White, Non-Hispanic",.082175925,.069226928,.095124923,1
2020,01,005,all,All,.10317565,.099224299,.107127,3
2020,01,005,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,005,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,005,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,005,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,007,all,All,.10317565,.099224299,.107127,3
2020,01,007,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,007,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,007,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,007,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,009,all,All,.10317565,.099224299,.107127,3
2020,01,009,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,009,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,009,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,009,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,011,all,All,.10317565,.099224299,.107127,3
2020,01,011,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,011,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,011,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,011,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,013,all,All,.10317565,.099224299,.107127,3
2020,01,013,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,013,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,013,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,013,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,015,all,All,.097464345,.08110065,.11382804,1
2020,01,015,race-ethnicity,"Black, Non-Hispanic",.14239483,.10343046,.18135919,1
2020,01,015,race-ethnicity,Hispanic,,,,3
2020,01,015,race-ethnicity,Other Races and Ethnicities,,,,3
2020,01,015,race-ethnicity,"White, Non-Hispanic",.084725536,.065870956,.10358012,1
2020,01,017,all,All,.10317565,.099224299,.107127,3
2020,01,017,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,017,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,017,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,017,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,019,all,All,.10317565,.099224299,.107127,3
2020,01,019,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,019,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,019,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,019,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,021,all,All,.10317565,.099224299,.107127,3
2020,01,021,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,021,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,021,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,021,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,023,all,All,.10317565,.099224299,.107127,3
2020,01,023,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,023,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,023,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,023,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,025,all,All,.10317565,.099224299,.107127,3
2020,01,025,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,025,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,025,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,025,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,027,all,All,.10317565,.099224299,.107127,3
2020,01,027,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,027,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,027,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,027,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,029,all,All,.10317565,.099224299,.107127,3
2020,01,029,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,029,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,029,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,029,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,031,all,All,.10317565,.099224299,.107127,3
2020,01,031,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,031,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,031,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,031,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,033,all,All,.10317565,.099224299,.107127,3
2020,01,033,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,033,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,033,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
2020,01,033,race-ethnicity,"White, Non-Hispanic",.083810166,.079354003,.088266328,3
2020,01,035,all,All,.10317565,.099224299,.107127,3
2020,01,035,race-ethnicity,"Black, Non-Hispanic",.16537568,.15524253,.17550883,3
2020,01,035,race-ethnicity,Hispanic,.083648391,.07185176,.095445022,3
2020,01,035,race-ethnicity,Other Races and Ethnicities,.1152,.090169765,.14023022,3
