year,state,county,subgroup_type,subgroup,lbw,lbw_lb,lbw_ub,lbw_quality
2018,01,001,all,All,.10073359,.09678819,.10467898,3
2018,01,001,race-ethnicity,"Black, Non-Hispanic",.15997504,.14961191,.17033817,3
2018,01,001,race-ethnicity,Hispanic,.064606741,.05318632,.076027162,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,.10458715,.078894518,.13027979,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",.086104907,.081647351,.090562463,3
2018,01,003,all,All,.085664339,.074196517,.097132161,1
2018,01,003,race-ethnicity,"Black, Non-Hispanic",.12547529,.085439965,.16551061,1
2018,01,003,race-ethnicity,Hispanic,.083798885,.043206546,.12439123,2
2018,01,003,race-ethnicity,Other Races and Ethnicities,.15730338,.081660904,.23294584,2
2018,01,003,race-ethnicity,"White, Non-Hispanic",.076309793,.063891925,.08872766,1
2018,01,005,all,All,.10073359,.09678819,.10467898,3
2018,01,005,race-ethnicity,"Black, Non-Hispanic",.15997504,.14961191,.17033817,3
2018,01,005,race-ethnicity,Hispanic,.064606741,.05318632,.076027162,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,.10458715,.078894518,.13027979,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",.086104907,.081647351,.090562463,3
2018,01,007,all,All,.10073359,.09678819,.10467898,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",.15997504,.14961191,.17033817,3
2018,01,007,race-ethnicity,Hispanic,.064606741,.05318632,.076027162,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,.10458715,.078894518,.13027979,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",.086104907,.081647351,.090562463,3
2018,01,009,all,All,.10073359,.09678819,.10467898,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",.15997504,.14961191,.17033817,3
2018,01,009,race-ethnicity,Hispanic,.064606741,.05318632,.076027162,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,.10458715,.078894518,.13027979,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",.086104907,.081647351,.090562463,3
2018,01,011,all,All,.10073359,.09678819,.10467898,3
2018,01,011,race-ethnicity,"Black, Non-Hispanic",.15997504,.14961191,.17033817,3
2018,01,011,race-ethnicity,Hispanic,.064606741,.05318632,.076027162,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,.10458715,.078894518,.13027979,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",.086104907,.081647351,.090562463,3
2018,01,013,all,All,.10073359,.09678819,.10467898,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",.15997504,.14961191,.17033817,3
2018,01,013,race-ethnicity,Hispanic,.064606741,.05318632,.076027162,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,.10458715,.078894518,.13027979,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",.086104907,.081647351,.090562463,3
2018,01,015,all,All,.098023713,.081637673,.11440975,1
2018,01,015,race-ethnicity,"Black, Non-Hispanic",.15337424,.11425691,.19249158,1
2018,01,015,race-ethnicity,Hispanic,,,,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,,,,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",.080389768,.061790887,.098988645,1
2018,01,017,all,All,.10073359,.09678819,.10467898,3
2018,01,017,race-ethnicity,"Black, Non-Hispanic",.15997504,.14961191,.17033817,3
2018,01,017,race-ethnicity,Hispanic,.064606741,.05318632,.076027162,3
