year,state,county,lbw,lbw_lb,lbw_ub,lbw_quality,subgroup_type,subgroup
2018,01,027,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,029,.10073359,.09678819,.10467898,3,all,All
2018,01,029,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,029,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,029,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,029,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,031,.10073359,.09678819,.10467898,3,all,All
2018,01,031,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,031,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,031,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,031,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,033,.10073359,.09678819,.10467898,3,all,All
2018,01,033,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,033,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,033,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,033,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,035,.10073359,.09678819,.10467898,3,all,All
2018,01,035,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,035,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,035,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,035,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,037,.10073359,.09678819,.10467898,3,all,All
2018,01,037,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,037,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,037,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,037,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,039,.10073359,.09678819,.10467898,3,all,All
2018,01,039,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,039,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,039,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,039,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,041,.10073359,.09678819,.10467898,3,all,All
2018,01,041,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,041,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,041,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,041,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,043,.10073359,.09678819,.10467898,3,all,All
2018,01,043,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,043,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,043,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,043,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,045,.10073359,.09678819,.10467898,3,all,All
2018,01,045,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,045,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,045,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,045,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,047,.10073359,.09678819,.10467898,3,all,All
2018,01,047,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,047,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,047,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,047,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,049,.10073359,.09678819,.10467898,3,all,All
2018,01,049,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,049,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,049,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,049,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,051,.10073359,.09678819,.10467898,3,all,All
2018,01,051,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,051,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,051,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,051,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,053,.10073359,.09678819,.10467898,3,all,All
2018,01,053,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,053,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,053,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,053,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,055,.10663308,.089103922,.12416224,1,all,All
2018,01,055,.16826923,.11742776,.21911071,1,race-ethnicity,"Black, non-Hispanic"
2018,01,055,,,,3,race-ethnicity,Hispanic
2018,01,055,,,,3,race-ethnicity,Other Races and Ethnicities
2018,01,055,.097303636,.077414453,.11719282,1,race-ethnicity,"White, Non-Hispanic"
2018,01,057,.10073359,.09678819,.10467898,3,all,All
2018,01,057,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,057,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,057,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,057,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,059,.10073359,.09678819,.10467898,3,all,All
