year,state,county,subgroup_type,subgroup,ratio_living_wage,ratio_living_wage_quality
2014,01,001,all,All,.5818889,1
2014,01,001,industry,Goods Producing,.960382,1
2014,01,001,industry,Public Administration,.716307,1
2014,01,001,industry,"Trade, Transit, Utilities",.5093738,1
2014,01,001,industry,Information Services,1.066501,3
2014,01,001,industry,Professional Services,.649098,1
2014,01,001,industry,Education and Health,.485497,1
2014,01,001,industry,Leisure and Other,.271047,1
2014,01,003,all,All,.555265,1
2014,01,003,industry,Goods Producing,.7226291,1
2014,01,003,industry,Public Administration,.7357044,1
2014,01,003,industry,"Trade, Transit, Utilities",.5038354,1
2014,01,003,industry,Information Services,.6868898,1
2014,01,003,industry,Professional Services,.6611751,1
2014,01,003,industry,Education and Health,.6860182,1
2014,01,003,industry,Leisure and Other,.3791841,1
2014,01,005,all,All,.6006613,1
2014,01,005,industry,Goods Producing,.6943424,1
2014,01,005,industry,Public Administration,.7421014,1
2014,01,005,industry,"Trade, Transit, Utilities",.5923954,1
2014,01,005,industry,Information Services,.9340559,3
2014,01,005,industry,Professional Services,.5570353,1
2014,01,005,industry,Education and Health,.5960691,1
2014,01,005,industry,Leisure and Other,.3182403,1
2014,01,007,all,All,.6271869,1
2014,01,007,industry,Goods Producing,.8266271,1
2014,01,007,industry,Public Administration,.7502333,1
2014,01,007,industry,"Trade, Transit, Utilities",.4907278,1
2014,01,007,industry,Information Services,NA,NA
2014,01,007,industry,Professional Services,.8021344,1
2014,01,007,industry,Education and Health,.4863541,3
2014,01,007,industry,Leisure and Other,NA,NA
2014,01,009,all,All,.5519595,1
2014,01,009,industry,Goods Producing,.620189,1
2014,01,009,industry,Public Administration,.6986238,1
2014,01,009,industry,"Trade, Transit, Utilities",.5187194,1
2014,01,009,industry,Information Services,.8808608,3
2014,01,009,industry,Professional Services,.6468685,1
2014,01,009,industry,Education and Health,.6219385,1
2014,01,009,industry,Leisure and Other,.3017845,1
2014,01,011,all,All,.5784205,1
2014,01,011,industry,Goods Producing,.6034483,3
2014,01,011,industry,Public Administration,.7332221,3
2014,01,011,industry,"Trade, Transit, Utilities",.5404153,1
2014,01,011,industry,Information Services,.7684464,3
2014,01,011,industry,Professional Services,.5190953,3
2014,01,011,industry,Education and Health,.5793475,3
2014,01,011,industry,Leisure and Other,.2604746,3
2014,01,013,all,All,.5645162,1
2014,01,013,industry,Goods Producing,.7452726,1
2014,01,013,industry,Public Administration,.714065,1
2014,01,013,industry,"Trade, Transit, Utilities",.526511,1
2014,01,013,industry,Information Services,.4949945,3
2014,01,013,industry,Professional Services,.4866519,1
2014,01,013,industry,Education and Health,.6433074,1
2014,01,013,industry,Leisure and Other,.3299963,1
2014,01,015,all,All,.6522535,1
2014,01,015,industry,Goods Producing,.8079882,1
2014,01,015,industry,Public Administration,.833944,1
2014,01,015,industry,"Trade, Transit, Utilities",.5496519,1
2014,01,015,industry,Information Services,.7594356,3
2014,01,015,industry,Professional Services,.7012641,1
2014,01,015,industry,Education and Health,.6476731,1
2014,01,015,industry,Leisure and Other,.3613961,1
2014,01,017,all,All,.5832421,1
2014,01,017,industry,Goods Producing,.7548376,1
2014,01,017,industry,Public Administration,.6942924,1
2014,01,017,industry,"Trade, Transit, Utilities",.5293903,1
2014,01,017,industry,Information Services,.6325302,3
2014,01,017,industry,Professional Services,.5941949,1
2014,01,017,industry,Education and Health,.6124498,1
2014,01,017,industry,Leisure and Other,.3851771,1
2014,01,019,all,All,.5710049,1
2014,01,019,industry,Goods Producing,.6562848,1
2014,01,019,industry,Public Administration,.6862563,1
2014,01,019,industry,"Trade, Transit, Utilities",.5394884,1
2014,01,019,industry,Information Services,.7248796,3
2014,01,019,industry,Professional Services,.5932518,1
2014,01,019,industry,Education and Health,.6831665,1
2014,01,019,industry,Leisure and Other,.284112,1
2014,01,021,all,All,.589544,1
2014,01,021,industry,Goods Producing,.7072674,1
2014,01,021,industry,Public Administration,.7060314,1
2014,01,021,industry,"Trade, Transit, Utilities",.5561736,1
2014,01,021,industry,Information Services,.6915091,3
2014,01,021,industry,Professional Services,.5524657,1
2014,01,021,industry,Education and Health,.6275492,1
2014,01,021,industry,Leisure and Other,.3332407,1
2014,01,023,all,All,.8419118,1
2014,01,023,industry,Goods Producing,1.252757,1
2014,01,023,industry,Public Administration,.580576,1
2014,01,023,industry,"Trade, Transit, Utilities",.4917279,1
2014,01,023,industry,Information Services,.5441176,3
2014,01,023,industry,Professional Services,.5707721,1
2014,01,023,industry,Education and Health,.6222426,3
2014,01,023,industry,Leisure and Other,.2987132,1
2014,01,025,all,All,.6794587,1
2014,01,025,industry,Goods Producing,1.010382,1
2014,01,025,industry,Public Administration,.7891484,1
2014,01,025,industry,"Trade, Transit, Utilities",.505191,1
2014,01,025,industry,Information Services,.6210605,3
2014,01,025,industry,Professional Services,.7322952,1
2014,01,025,industry,Education and Health,.5385614,1
2014,01,025,industry,Leisure and Other,.3156285,1
2014,01,027,all,All,.5441231,1
2014,01,027,industry,Goods Producing,.5793475,1
2014,01,027,industry,Public Administration,.6853294,1
2014,01,027,industry,"Trade, Transit, Utilities",.4551354,1
2014,01,027,industry,Information Services,.6349648,3
2014,01,027,industry,Professional Services,.5913979,1
2014,01,027,industry,Education and Health,.5116796,3
2014,01,027,industry,Leisure and Other,.2919911,3
2014,01,029,all,All,.7081943,1
2014,01,029,industry,Goods Producing,.9844272,1
2014,01,029,industry,Public Administration,.6884193,1
2014,01,029,industry,"Trade, Transit, Utilities",.5153875,1
2014,01,029,industry,Information Services,1.383018,3
2014,01,029,industry,Professional Services,.5014831,1
2014,01,029,industry,Education and Health,.4912866,3
2014,01,029,industry,Leisure and Other,.3735632,3
2014,01,031,all,All,.5609443,1
2014,01,031,industry,Goods Producing,.5856515,1
2014,01,031,industry,Public Administration,.7653123,1
2014,01,031,industry,"Trade, Transit, Utilities",.5408126,1
