year,state,county,subgroup_type,subgroup,share_medical_debt_coll,share_medical_debt_coll_quality
2023,01,001,all,All,0.0339623,1
2023,01,001,race-ethnicity,Neighborhoods of color,0.0285714,1
2023,01,001,race-ethnicity,White neighborhoods,0.034212,1
2023,01,003,all,All,0.0383917,1
2023,01,003,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,003,race-ethnicity,White neighborhoods,0.0382349,1
2023,01,005,all,All,0.0440587,1
2023,01,005,race-ethnicity,Neighborhoods of color,0.0432277,1
2023,01,005,race-ethnicity,White neighborhoods,0.0545455,1
2023,01,007,all,All,0.0709571,1
2023,01,007,race-ethnicity,Neighborhoods of color,0.0666667,1
2023,01,007,race-ethnicity,White neighborhoods,0.0717054,1
2023,01,009,all,All,0.0552735,1
2023,01,009,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,009,race-ethnicity,White neighborhoods,0.0553047,1
2023,01,011,all,All,0.0403226,1
2023,01,011,race-ethnicity,Neighborhoods of color,0.0404858,1
2023,01,011,race-ethnicity,White neighborhoods,NA,NA
2023,01,013,all,All,0.0709779,1
2023,01,013,race-ethnicity,Neighborhoods of color,0.0788288,1
2023,01,013,race-ethnicity,White neighborhoods,0.0526316,1
2023,01,015,all,All,0.1076271,1
2023,01,015,race-ethnicity,Neighborhoods of color,0.1888112,1
2023,01,015,race-ethnicity,White neighborhoods,0.0919811,1
2023,01,017,all,All,0.0406091,1
2023,01,017,race-ethnicity,Neighborhoods of color,0.0412926,1
2023,01,017,race-ethnicity,White neighborhoods,0.04,1
2023,01,019,all,All,0.08625,1
2023,01,019,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,019,race-ethnicity,White neighborhoods,0.08625,1
2023,01,021,all,All,0.0685401,1
2023,01,021,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,021,race-ethnicity,White neighborhoods,0.0685401,1
2023,01,023,all,All,0.0583333,1
2023,01,023,race-ethnicity,Neighborhoods of color,0.1204819,1
2023,01,023,race-ethnicity,White neighborhoods,0.0397112,1
2023,01,025,all,All,0.0458333,1
2023,01,025,race-ethnicity,Neighborhoods of color,0.0402477,1
2023,01,025,race-ethnicity,White neighborhoods,0.0503778,1
2023,01,027,all,All,0.0578358,1
2023,01,027,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,027,race-ethnicity,White neighborhoods,0.0542636,1
2023,01,029,all,All,0.0804829,1
2023,01,029,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,029,race-ethnicity,White neighborhoods,0.0804829,1
2023,01,031,all,All,0.0819277,1
2023,01,031,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,031,race-ethnicity,White neighborhoods,0.0819277,1
2023,01,033,all,All,0.0621153,1
2023,01,033,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,033,race-ethnicity,White neighborhoods,0.0621153,1
2023,01,035,all,All,0.0652921,1
2023,01,035,race-ethnicity,Neighborhoods of color,0.0580357,1
2023,01,035,race-ethnicity,White neighborhoods,0.0895522,1
2023,01,037,all,All,0.0723684,1
2023,01,037,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,037,race-ethnicity,White neighborhoods,0.0833333,1
2023,01,039,all,All,0.1005868,1
2023,01,039,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,039,race-ethnicity,White neighborhoods,0.1006711,1
2023,01,041,all,All,0.0678295,1
2023,01,041,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,041,race-ethnicity,White neighborhoods,0.0678295,1
2023,01,043,all,All,0.0760573,1
2023,01,043,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,043,race-ethnicity,White neighborhoods,0.0760833,1
2023,01,045,all,All,0.0676038,1
2023,01,045,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,045,race-ethnicity,White neighborhoods,0.0676038,1
2023,01,047,all,All,0.0623202,1
2023,01,047,race-ethnicity,Neighborhoods of color,0.0620079,1
2023,01,047,race-ethnicity,White neighborhoods,NA,NA
2023,01,049,all,All,0.090301,1
2023,01,049,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,049,race-ethnicity,White neighborhoods,0.090301,1
2023,01,051,all,All,0.0415603,1
2023,01,051,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,051,race-ethnicity,White neighborhoods,0.0415603,1
2023,01,053,all,All,0.0616438,1
2023,01,053,race-ethnicity,Neighborhoods of color,0.0581655,1
2023,01,053,race-ethnicity,White neighborhoods,0.0638003,1
2023,01,055,all,All,0.0821701,1
2023,01,055,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,055,race-ethnicity,White neighborhoods,0.0823529,1
2023,01,057,all,All,0.0358491,1
2023,01,057,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,057,race-ethnicity,White neighborhoods,0.0342205,1
2023,01,059,all,All,0.0850112,1
2023,01,059,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,059,race-ethnicity,White neighborhoods,0.0850112,1
2023,01,061,all,All,0.0787402,1
2023,01,061,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,061,race-ethnicity,White neighborhoods,0.0788288,1
2023,01,063,all,All,0.0478261,1
2023,01,063,race-ethnicity,Neighborhoods of color,0.0478261,1
2023,01,063,race-ethnicity,White neighborhoods,NA,NA
2023,01,065,all,All,0.0537428,1
2023,01,065,race-ethnicity,Neighborhoods of color,0.0568862,1
2023,01,065,race-ethnicity,White neighborhoods,0.0481283,1
2023,01,067,all,All,0.0251799,1
2023,01,067,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,067,race-ethnicity,White neighborhoods,0.0260223,1
2023,01,069,all,All,0.044553,1
2023,01,069,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,069,race-ethnicity,White neighborhoods,0.044553,1
2023,01,071,all,All,0.1002401,1
2023,01,071,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,071,race-ethnicity,White neighborhoods,0.1002401,1
2023,01,073,all,All,0.0739003,1
2023,01,073,race-ethnicity,Neighborhoods of color,0.110068,1
2023,01,073,race-ethnicity,White neighborhoods,0.0439639,1
2023,01,075,all,All,0.0461165,1
2023,01,075,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,075,race-ethnicity,White neighborhoods,0.0461165,1
2023,01,077,all,All,0.0471986,1
2023,01,077,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,077,race-ethnicity,White neighborhoods,0.0471986,1
2023,01,079,all,All,0.0796209,1
2023,01,079,race-ethnicity,Neighborhoods of color,0.0714286,1
2023,01,079,race-ethnicity,White neighborhoods,0.0800801,1
2023,01,081,all,All,0.0241851,1
2023,01,081,race-ethnicity,Neighborhoods of color,NA,NA
2023,01,081,race-ethnicity,White neighborhoods,0.0242411,1
2023,01,083,all,All,0.0661786,1
2023,01,083,race-ethnicity,Neighborhoods of color,0.1311475,1
2023,01,083,race-ethnicity,White neighborhoods,0.0650746,1
2023,01,085,all,All,0.0779221,1
2023,01,085,race-ethnicity,Neighborhoods of color,0.0801887,1
2023,01,085,race-ethnicity,White neighborhoods,0.0729167,1
2023,01,087,all,All,0.0418848,1
2023,01,087,race-ethnicity,Neighborhoods of color,0.0482759,1
2023,01,087,race-ethnicity,White neighborhoods,0.0217391,1
2023,01,089,all,All,0.0586176,1
2023,01,089,race-ethnicity,Neighborhoods of color,0.1284355,1
2023,01,089,race-ethnicity,White neighborhoods,0.0459051,1
2023,01,091,all,All,0.041806,1
2023,01,091,race-ethnicity,Neighborhoods of color,0.0417633,1
2023,01,091,race-ethnicity,White neighborhoods,0.0424242,1
2023,01,093,all,All,0.0406593,1
2023,01,093,race-ethnicity,Neighborhoods of color,NA,NA
