year,state,county,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality
2018,04,019,0.3235588,0.3308018,0.3163157,1
2018,04,021,0.3707705,0.3827035,0.3588375,1
2018,04,023,0.3182927,0.3501953,0.2863901,1
2018,04,025,0.2608584,0.2746574,0.2470594,1
2018,04,027,0.3484017,0.3651853,0.331618,1
2018,05,001,0.3456376,0.3997252,0.29155,1
2018,05,003,0.4697406,0.5223292,0.4171521,1
2018,05,005,0.3058824,0.3385564,0.2732083,1
2018,05,007,0.3022332,0.3164135,0.288053,1
2018,05,009,0.3596899,0.3967556,0.3226242,1
2018,05,011,0.4494382,0.5227219,0.3761545,1
2018,05,013,0.3571429,0.4837776,0.2305081,1
2018,05,015,0.3325635,0.3769915,0.2881356,1
2018,05,017,0.6178011,0.6868963,0.5487058,1
2018,05,019,0.3184932,0.3720228,0.2649635,1
2018,05,021,0.4504132,0.5132294,0.38759710000000003,1
2018,05,023,0.3283898,0.3708028,0.2859768,1
2018,05,025,0.3272727,0.4153608,0.2391846,1
2018,05,027,0.5155807,0.5677895,0.4633719,1
2018,05,029,0.3800623,0.4332465,0.3268781,1
2018,05,031,0.4273504,0.4522201,0.4024807,1
2018,05,033,0.433095,0.4641501,0.4020399,1
2018,05,035,0.5425667,0.5773953,0.5077382,1
2018,05,037,0.4760274,0.53341,0.4186448,1
2018,05,039,0.4183674,0.5165362,0.3201986,1
2018,05,041,0.4777778,0.550954,0.4046015,1
2018,05,043,0.4146341,0.4717319,0.3575363,1
2018,05,045,0.3213281,0.343047,0.2996091,1
2018,05,047,0.3114754,0.3697024,0.2532484,1
2018,05,049,0.3271605,0.399634,0.254687,1
2018,05,051,0.3877791,0.4109344,0.3646238,1
2018,05,053,0.3134921,0.3708846,0.2560996,1
2018,05,055,0.4408284,0.4782836,0.4033733,1
2018,05,057,0.491573,0.5435786,0.4395674,1
2018,05,059,0.3642241,0.4080572,0.3203911,1
2018,05,061,0.3907563,0.4528762,0.3286365,1
2018,05,063,0.4092409,0.4484217,0.3700601,1
2018,05,065,0.3719512,0.4461509,0.2977515,1
2018,05,067,0.4448669,0.5050423,0.3846915,1
2018,05,069,0.4920495,0.5211861,0.4629128,1
2018,05,071,0.3630573,0.4163321,0.3097825,1
2018,05,073,0.5,0.5947402,0.4052598,1
2018,05,075,0.3754941,0.4352837,0.3157045,1
2018,05,077,0.5258621,0.6171252,0.434599,1
2018,05,079,0.3851852,0.467582,0.3027883,1
2018,05,081,0.515,0.5844391,0.4455609,1
2018,05,083,0.3629032,0.4118323,0.3139741,1
2018,05,085,0.3345622,0.3626511,0.3064734,1
2018,05,087,0.3478261,0.4168331,0.2788191,1
2018,05,089,0.3542435,0.411294,0.2971931,1
2018,05,091,0.544919,0.5824035,0.5074345,1
2018,05,093,0.5212418,0.5608526,0.4816311,1
2018,05,095,0.4351145,0.5203394,0.3498896,1
2018,05,097,0.272,0.3503241,0.1936759,1
2018,05,099,0.5462963,0.6406295,0.4519631,1
2018,05,101,0.2920354,0.3762468,0.2078241,1
2018,05,103,0.4465753,0.4976473,0.3955034,1
2018,05,105,0.3450704,0.4235393,0.2666015,1
2018,05,107,0.5239853,0.5835575,0.464413,1
2018,05,109,0.28125,0.3511364,0.2113636,1
2018,05,111,0.5506849,0.6017863,0.4995836,1
2018,05,113,0.358156,0.4142161,0.3020959,1
2018,05,115,0.3972999,0.4270979,0.367502,1
2018,05,117,0.3421053,0.4295785,0.2546321,1
2018,05,119,0.3854569,0.3975573,0.3733565,1
2018,05,121,0.3368794,0.3921427,0.2816162,1
2018,05,123,0.5611285,0.6156719,0.5065851,1
2018,05,125,0.310231,0.3315013,0.2889608,1
2018,05,127,0.479452,0.5607678,0.3981362,1
2018,05,129,0.3619048,0.4542638,0.2695458,1
2018,05,131,0.414162,0.4359582,0.3923658,1
2018,05,133,0.4322034,0.4955411,0.3688656,1
2018,05,135,0.4140969,0.4783162,0.3498776,1
2018,05,137,0.308642,0.3799966,0.2372873,1
2018,05,139,0.4544159,0.4912759,0.417556,1
2018,05,141,0.3085106,0.37471139999999997,0.2423099,1
2018,05,143,0.3448753,0.3603833,0.3293673,1
2018,05,145,0.3441226,0.3713105,0.3169348,1
2018,05,147,0.4049587,0.492789,0.3171284,1
2018,05,149,0.3814103,0.4353953,0.3274252,1
2018,06,001,0.1895871,0.194254,0.1849202,1
2018,06,003,NA,NA,NA,NA
2018,06,005,0.215311,0.2475106,0.1831114,1
2018,06,007,0.2918169,0.3066589,0.2769749,1
2018,06,009,0.2688614,0.3010688,0.2366541,1
2018,06,011,0.2966102,0.3442598,0.2489605,1
2018,06,013,0.224478,0.2304166,0.2185393,1
2018,06,015,0.3433584,0.3900085,0.2967083,1
2018,06,017,0.198815,0.2130097,0.1846204,1
2018,06,019,0.3700293,0.3779337,0.3621249,1
2018,06,021,0.2795455,0.3215265,0.2375644,1
2018,06,023,0.288868,0.3081253,0.2696107,1
2018,06,025,0.3385621,0.355332,0.3217922,1
2018,06,027,0.2395833,0.2889654,0.1902013,1
2018,06,029,0.3940749,0.402412,0.3857377,1
2018,06,031,0.4092425,0.4302826,0.3882024,1
2018,06,033,0.3923006,0.4212872,0.3633141,1
2018,06,035,0.3567839,0.4039079,0.30966,1
2018,06,037,0.2736868,0.2758053,0.2715683,1
2018,06,039,0.3213067,0.3415218,0.3010916,1
2018,06,041,0.1285617,0.1384676,0.1186557,1
2018,06,043,0.2384106,0.2865495,0.1902717,1
2018,06,045,0.3106996,0.3344626,0.2869366,1
2018,06,047,0.3509705,0.3662261,0.3357149,1
2018,06,049,0.261745,0.3325669,0.1909231,1
2018,06,051,0.2393617,0.3005195,0.1782039,1
2018,06,053,0.2975121,0.3083846,0.2866397,1
2018,06,055,0.2008772,0.2173268,0.1844276,1
2018,06,057,0.186722,0.2053234,0.1681206,1
2018,06,059,0.2210564,0.2245707,0.2175421,1
2018,06,061,0.1677058,0.1769654,0.1584463,1
2018,06,063,0.2419825,0.287374,0.196591,1
2018,06,065,0.3196272,0.324378,0.3148763,1
2018,06,067,0.275745,0.2813803,0.2701097,1
2018,06,069,0.2958763,0.3246154,0.2671372,1
2018,06,071,0.3649233,0.3700053,0.3598413,1
2018,06,073,0.2495187,0.2531333,0.2459042,1
2018,06,075,0.1312895,0.13663,0.1259489,1
2018,06,077,0.3261604,0.3348254,0.3174954,1
2018,06,079,0.1874304,0.1988506,0.1760101,1
2018,06,081,0.1439915,0.1499759,0.1380072,1
2018,06,083,0.2349072,0.2449541,0.2248603,1
2018,06,085,0.135489,0.1392081,0.13177,1
2018,06,087,0.1804223,0.192098,0.1687465,1
2018,06,089,0.2936641,0.3100109,0.2773173,1
2018,06,091,NA,NA,NA,NA
2018,06,093,0.2653333,0.2969529,0.2337137,1
2018,06,095,0.2954171,0.3058924,0.2849419,1
2018,06,097,0.1969093,0.2054739,0.1883448,1
2018,06,099,0.3170339,0.327182,0.3068858,1
2018,06,101,0.2975871,0.3207942,0.2743801,1
2018,06,103,0.3552381,0.3842001,0.3262762,1
2018,06,105,0.3165829,0.3813732,0.2517926,1
2018,06,107,0.3851311,0.3967739,0.3734883,1
2018,06,109,0.2709751,0.3003248,0.2416253,1
2018,06,111,0.2472296,0.2543793,0.2400798,1
2018,06,113,0.1732991,0.1865914,0.1600068,1
2018,06,115,0.3785901,0.4066482,0.3505319,1
2018,08,001,0.3404398,0.3511951,0.3296845,1
2018,08,003,0.3491379,0.4106122,0.2876637,1
2018,08,005,0.2824245,0.2912348,0.2736142,1
2018,08,007,0.260274,0.3185216,0.2020263,1
2018,08,009,0.3333333,0.460248,0.2064186,1
2018,08,011,0.5294118,0.6489305,0.4098931,1
2018,08,013,0.1697111,0.180435,0.1589872,1
2018,08,014,0.1661342,0.1899537,0.1423147,1
2018,08,015,0.1637011,0.2070405,0.1203616,1
2018,08,017,NA,NA,NA,NA
2018,08,019,0.2662722,0.3331115,0.1994329,1
2018,08,021,0.2977099,0.3763129,0.2191069,1
2018,08,023,0.32,0.4506133,0.1893867,1
2018,08,025,NA,NA,NA,NA
2018,08,027,0.2,0.3020681,0.0979319,1
2018,08,029,0.189899,0.2244868,0.1553111,1
2018,08,031,0.3022919,0.3108595,0.2937242,1
2018,08,033,NA,NA,NA,NA
2018,08,035,0.1393623,0.1489754,0.1297493,1
2018,08,037,0.1921516,0.2205775,0.1637256,1
2018,08,039,0.1733333,0.2116976,0.1349691,1
2018,08,041,0.2928585,0.3014265,0.2842904,1
2018,08,043,0.3318043,0.3679197,0.2956889,1
2018,08,045,0.2693157,0.2982176,0.2404137,1
2018,08,047,0.2567568,0.3569691,0.1565444,1
2018,08,049,0.2383178,0.2955356,0.1810999,1
2018,08,051,0.124,0.1649373,0.0830627,1
2018,08,053,NA,NA,NA,NA
2018,08,055,0.3619048,0.4542638,0.2695458,1
2018,08,057,NA,NA,NA,NA
2018,08,059,0.2091055,0.2173557,0.2008553,1
2018,08,061,NA,NA,NA,NA
2018,08,063,0.212963,0.2905366,0.1353894,1
2018,08,065,0.2909091,0.3761744,0.2056438,1
2018,08,067,0.2338129,0.2625562,0.2050697,1
2018,08,069,0.2134634,0.2246829,0.2022439,1
2018,08,071,0.34,0.3988394,0.2811607,1
2018,08,073,0.3837209,0.4871025,0.2803394,1
2018,08,075,0.2733813,0.3258685,0.220894,1
2018,08,077,0.2464613,0.2636993,0.2292233,1
2018,08,079,NA,NA,NA,NA
2018,08,081,0.347032,0.4102234,0.2838405,1
2018,08,083,0.2915531,0.3381147,0.2449915,1
2018,08,085,0.1978193,0.2286581,0.1669805,1
2018,08,087,0.3264368,0.3705532,0.2823204,1
2018,08,089,0.3286219,0.383445,0.2737988,1
2018,08,091,0.1463415,0.2233146,0.0693683,1
2018,08,093,0.2415254,0.2962489,0.1868019,1
2018,08,095,0.225,0.3170841,0.1329159,1
2018,08,097,0.1558074,0.1936952,0.1179195,1
2018,08,099,0.2732241,0.3379652,0.208483,1
2018,08,101,0.3900929,0.4089038,0.371282,1
2018,08,103,0.1858407,0.2578804,0.113801,1
2018,08,105,0.3227513,0.3895834,0.2559192,1
2018,08,107,0.1762114,0.2112973,0.1411256,1
2018,08,109,0.2830189,0.3691823,0.1968554,1
2018,08,111,NA,NA,NA,NA
2018,08,113,0.1181102,0.1744639,0.0617566,1
2018,08,115,NA,NA,NA,NA
2018,08,117,0.2084168,0.2440912,0.1727425,1
2018,08,119,0.212963,0.2516145,0.1743114,1
2018,08,121,0.2878788,0.3979519,0.1778057,1
2018,08,123,0.2870103,0.299743,0.2742776,1
2018,08,125,0.2132353,0.2823294,0.1441412,1
2018,09,001,0.222902,0.2294487,0.2163554,1
2018,09,003,0.2827153,0.2900501,0.2753804,1
2018,09,005,0.2435689,0.2587527,0.228385,1
2018,09,007,0.1910708,0.2060621,0.1760794,1
2018,09,009,0.2843271,0.2918258,0.2768285,1
2018,09,011,0.2474948,0.2604089,0.2345806,1
2018,09,013,0.209603,0.2267484,0.1924575,1
2018,09,015,0.304419,0.3254909,0.2833471,1
2018,10,001,0.3649913,0.3825621,0.3474206,1
2018,10,003,0.3301271,0.3398191,0.3204352,1
2018,10,005,0.2823561,0.2968608,0.2678514,1
2018,11,001,0.3003229,0.3088327,0.2918131,1
2018,12,001,0.3154158,0.3299202,0.3009115,1
2018,12,003,0.4710145,0.519156,0.422873,1
2018,12,005,0.4464823,0.46338,0.4295846,1
2018,12,007,0.4889975,0.537503,0.4404921,1
2018,12,009,0.3273551,0.3363868,0.3183234,1
2018,12,011,0.3457364,0.3507122,0.3407606,1
2018,12,013,0.448718,0.5270183,0.3704176,1
2018,12,015,0.2586151,0.2740195,0.2432108,1
2018,12,017,0.3334573,0.3512767,0.3156378,1
2018,12,019,0.3634472,0.3797015,0.347193,1
2018,12,021,0.2848808,0.2963037,0.273458,1
