year,state,county,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2022,01,067,race-ethnicity,Majority White,0.2696629,1
2022,01,069,race-ethnicity,All,0.3215846,1
2022,01,069,race-ethnicity,Majority Non-White,NA,NA
2022,01,069,race-ethnicity,Majority White,0.3142976,1
2022,01,071,race-ethnicity,All,0.3296837,1
2022,01,071,race-ethnicity,Majority Non-White,NA,NA
2022,01,071,race-ethnicity,Majority White,0.3296837,1
2022,01,073,race-ethnicity,All,0.358093,1
2022,01,073,race-ethnicity,Majority Non-White,0.5388932,1
2022,01,073,race-ethnicity,Majority White,0.2252166,1
2022,01,075,race-ethnicity,All,0.3100961,1
2022,01,075,race-ethnicity,Majority Non-White,NA,NA
2022,01,075,race-ethnicity,Majority White,0.3100961,1
2022,01,077,race-ethnicity,All,0.2913117,1
2022,01,077,race-ethnicity,Majority Non-White,NA,NA
2022,01,077,race-ethnicity,Majority White,0.2918381,1
2022,01,079,race-ethnicity,All,0.3812207,1
2022,01,079,race-ethnicity,Majority Non-White,0.4576271,1
2022,01,079,race-ethnicity,Majority White,0.3767396,1
2022,01,081,race-ethnicity,All,0.2730619,1
2022,01,081,race-ethnicity,Majority Non-White,NA,NA
2022,01,081,race-ethnicity,Majority White,0.2673983,1
2022,01,083,race-ethnicity,All,0.2744739,1
2022,01,083,race-ethnicity,Majority Non-White,NA,NA
2022,01,083,race-ethnicity,Majority White,0.2965377,1
2022,01,085,race-ethnicity,All,0.4371069,1
2022,01,085,race-ethnicity,Majority Non-White,0.4907407,1
2022,01,085,race-ethnicity,Majority White,0.3389831,1
2022,01,087,race-ethnicity,All,0.4863388,1
2022,01,087,race-ethnicity,Majority Non-White,0.5084746,1
2022,01,087,race-ethnicity,Majority White,NA,NA
2022,01,089,race-ethnicity,All,0.2838273,1
2022,01,089,race-ethnicity,Majority Non-White,0.5578368,1
2022,01,089,race-ethnicity,Majority White,0.2286996,1
2022,01,091,race-ethnicity,All,0.3722872,1
2022,01,091,race-ethnicity,Majority Non-White,0.4105263,1
2022,01,091,race-ethnicity,Majority White,0.3773585,1
2022,01,093,race-ethnicity,All,0.3659622,1
2022,01,093,race-ethnicity,Majority Non-White,NA,NA
2022,01,093,race-ethnicity,Majority White,0.3663697,1
2022,01,095,race-ethnicity,All,0.3286304,1
2022,01,095,race-ethnicity,Majority Non-White,NA,NA
2022,01,095,race-ethnicity,Majority White,0.3283993,1
2022,01,097,race-ethnicity,All,0.3737675,1
2022,01,097,race-ethnicity,Majority Non-White,0.5177492,1
2022,01,097,race-ethnicity,Majority White,0.3064818,1
2022,01,099,race-ethnicity,All,0.4176829,1
2022,01,099,race-ethnicity,Majority Non-White,0.5454546,1
2022,01,099,race-ethnicity,Majority White,0.3231441,1
2022,01,101,race-ethnicity,All,0.4061192,1
2022,01,101,race-ethnicity,Majority Non-White,0.4526657,1
2022,01,101,race-ethnicity,Majority White,0.2746154,1
2022,01,103,race-ethnicity,All,0.3522613,1
2022,01,103,race-ethnicity,Majority Non-White,NA,NA
2022,01,103,race-ethnicity,Majority White,0.3077453,1
2022,01,105,race-ethnicity,All,0.502008,1
2022,01,105,race-ethnicity,Majority Non-White,0.502008,1
2022,01,105,race-ethnicity,Majority White,NA,NA
2022,01,107,race-ethnicity,All,0.3756806,1
2022,01,107,race-ethnicity,Majority Non-White,0.4565217,1
2022,01,107,race-ethnicity,Majority White,0.3293413,1
2022,01,109,race-ethnicity,All,0.3826754,1
2022,01,109,race-ethnicity,Majority Non-White,NA,NA
2022,01,109,race-ethnicity,Majority White,0.3047619,1
2022,01,111,race-ethnicity,All,0.4019886,1
2022,01,111,race-ethnicity,Majority Non-White,NA,NA
2022,01,111,race-ethnicity,Majority White,0.4019886,1
2022,01,113,race-ethnicity,All,0.4661781,1
2022,01,113,race-ethnicity,Majority Non-White,0.4899103,1
2022,01,113,race-ethnicity,Majority White,0.4129032,1
2022,01,115,race-ethnicity,All,0.312456,1
2022,01,115,race-ethnicity,Majority Non-White,NA,NA
2022,01,115,race-ethnicity,Majority White,0.3115507,1
2022,01,117,race-ethnicity,All,0.2314038,1
2022,01,117,race-ethnicity,Majority Non-White,NA,NA
2022,01,117,race-ethnicity,Majority White,0.2317659,1
2022,01,119,race-ethnicity,All,0.443804,1
2022,01,119,race-ethnicity,Majority Non-White,0.443804,1
2022,01,119,race-ethnicity,Majority White,NA,NA
2022,01,121,race-ethnicity,All,0.4486356,1
2022,01,121,race-ethnicity,Majority Non-White,NA,NA
2022,01,121,race-ethnicity,Majority White,0.4309963,1
2022,01,123,race-ethnicity,All,0.3139278,1
2022,01,123,race-ethnicity,Majority Non-White,0.3294118,1
2022,01,123,race-ethnicity,Majority White,0.3137417,1
2022,01,125,race-ethnicity,All,0.3276284,1
2022,01,125,race-ethnicity,Majority Non-White,NA,NA
2022,01,125,race-ethnicity,Majority White,0.2596368,1
2022,01,127,race-ethnicity,All,0.3820564,1
2022,01,127,race-ethnicity,Majority Non-White,NA,NA
2022,01,127,race-ethnicity,Majority White,0.3842975,1
2022,01,129,race-ethnicity,All,0.2964427,1
2022,01,129,race-ethnicity,Majority Non-White,0.3486238,1
2022,01,129,race-ethnicity,Majority White,0.309375,1
2022,01,131,race-ethnicity,All,0.3977591,1
2022,01,131,race-ethnicity,Majority Non-White,0.3982036,1
2022,01,131,race-ethnicity,Majority White,NA,NA
2022,01,133,race-ethnicity,All,0.3311346,1
2022,01,133,race-ethnicity,Majority Non-White,NA,NA
2022,01,133,race-ethnicity,Majority White,0.3311346,1
2022,02,013,race-ethnicity,All,NA,NA
2022,02,013,race-ethnicity,Majority Non-White,NA,NA
2022,02,013,race-ethnicity,Majority White,NA,NA
2022,02,016,race-ethnicity,All,0.1948052,1
2022,02,016,race-ethnicity,Majority Non-White,0.1948052,1
2022,02,016,race-ethnicity,Majority White,NA,NA
2022,02,020,race-ethnicity,All,0.179714,1
2022,02,020,race-ethnicity,Majority Non-White,0.2488839,1
2022,02,020,race-ethnicity,Majority White,0.1298133,1
2022,02,050,race-ethnicity,All,0.2517731,1
2022,02,050,race-ethnicity,Majority Non-White,0.2517731,1
2022,02,050,race-ethnicity,Majority White,NA,NA
2022,02,060,race-ethnicity,All,NA,NA
2022,02,060,race-ethnicity,Majority Non-White,NA,NA
2022,02,060,race-ethnicity,Majority White,NA,NA
2022,02,068,race-ethnicity,All,0.0980392,1
2022,02,068,race-ethnicity,Majority Non-White,NA,NA
2022,02,068,race-ethnicity,Majority White,0.0980392,1
2022,02,070,race-ethnicity,All,0.1584158,1
2022,02,070,race-ethnicity,Majority Non-White,0.1584158,1
2022,02,070,race-ethnicity,Majority White,NA,NA
2022,02,090,race-ethnicity,All,0.1492537,1
2022,02,090,race-ethnicity,Majority Non-White,NA,NA
2022,02,090,race-ethnicity,Majority White,0.1273997,1
2022,02,100,race-ethnicity,All,0.0684932,1
2022,02,100,race-ethnicity,Majority Non-White,NA,NA
2022,02,100,race-ethnicity,Majority White,0.0684932,1
2022,02,110,race-ethnicity,All,0.1607516,1
2022,02,110,race-ethnicity,Majority Non-White,NA,NA
2022,02,110,race-ethnicity,Majority White,0.1668712,1
2022,02,122,race-ethnicity,All,0.1519353,1
