year,state,county,subgroup_type,subgroup,share_medical_debt_coll,share_medical_debt_coll_quality
2025,01,001,race-ethnicity,All,0.0417335,1
2025,01,001,race-ethnicity,Majority Non-White,0.0582524,1
2025,01,001,race-ethnicity,Majority White,0.0407932,1
2025,01,003,race-ethnicity,All,0.0435797,1
2025,01,003,race-ethnicity,Majority Non-White,NA,NA
2025,01,003,race-ethnicity,Majority White,0.0434352,1
2025,01,005,race-ethnicity,All,0.0816619,1
2025,01,005,race-ethnicity,Majority Non-White,0.0819912,1
2025,01,005,race-ethnicity,Majority White,NA,NA
2025,01,007,race-ethnicity,All,0.0681431,1
2025,01,007,race-ethnicity,Majority Non-White,0.0722892,1
2025,01,007,race-ethnicity,Majority White,0.0674603,1
2025,01,009,race-ethnicity,All,0.0457019,1
2025,01,009,race-ethnicity,Majority Non-White,NA,NA
2025,01,009,race-ethnicity,Majority White,0.0446866,1
2025,01,011,race-ethnicity,All,0.0594406,1
2025,01,011,race-ethnicity,Majority Non-White,0.0588235,1
2025,01,011,race-ethnicity,Majority White,NA,NA
2025,01,013,race-ethnicity,All,0.0332226,1
2025,01,013,race-ethnicity,Majority Non-White,0.0235294,1
2025,01,013,race-ethnicity,Majority White,0.0564972,1
2025,01,015,race-ethnicity,All,0.0918453,1
2025,01,015,race-ethnicity,Majority Non-White,0.1571165,1
2025,01,015,race-ethnicity,Majority White,0.0802752,1
2025,01,017,race-ethnicity,All,0.0425909,1
2025,01,017,race-ethnicity,Majority Non-White,0.0451128,1
2025,01,017,race-ethnicity,Majority White,0.0412088,1
2025,01,019,race-ethnicity,All,0.1092637,1
2025,01,019,race-ethnicity,Majority Non-White,NA,NA
2025,01,019,race-ethnicity,Majority White,0.1092637,1
2025,01,021,race-ethnicity,All,0.0550098,1
2025,01,021,race-ethnicity,Majority Non-White,NA,NA
2025,01,021,race-ethnicity,Majority White,0.0550033,1
2025,01,023,race-ethnicity,All,0.0300546,1
2025,01,023,race-ethnicity,Majority Non-White,0.0634921,1
2025,01,023,race-ethnicity,Majority White,0.0231023,1
2025,01,025,race-ethnicity,All,0.0264256,1
2025,01,025,race-ethnicity,Majority Non-White,0.022508,1
2025,01,025,race-ethnicity,Majority White,0.0294118,1
2025,01,027,race-ethnicity,All,0.0452489,1
2025,01,027,race-ethnicity,Majority Non-White,NA,NA
2025,01,027,race-ethnicity,Majority White,0.0428571,1
2025,01,029,race-ethnicity,All,0.0659134,1
2025,01,029,race-ethnicity,Majority Non-White,NA,NA
2025,01,029,race-ethnicity,Majority White,0.0659134,1
2025,01,031,race-ethnicity,All,0.063121,1
2025,01,031,race-ethnicity,Majority Non-White,NA,NA
2025,01,031,race-ethnicity,Majority White,0.063121,1
2025,01,033,race-ethnicity,All,0.0725983,1
