year,state,place,share_debt_coll,share_debt_coll_quality
2019,01,07000,0.37891245,1
2019,01,50000,0.45068663,1
2019,01,51000,0.43235493,1
2019,01,77256,0.41469195,1
2019,02,03000,0.30883744,1
2019,04,12000,0.25731641,1
2019,04,27400,0.2356479,1
2019,04,27820,0.32228175,1
2019,04,46000,0.33763334,1
2019,04,55000,0.35834751,1
2019,04,73000,0.36791924,1
2019,05,41000,0.40294716,1
2019,06,00884,0.15975104,1
2019,06,02000,0.22687696,1
2019,06,02252,0.33087191,1
2019,06,06000,0.12803532,1
2019,06,08954,0.16853933,1
2019,06,13392,0.30956468,1
2019,06,19766,0.30929264,1
2019,06,20802,0.30103618,1
2019,06,22020,0.22245467,1
2019,06,22230,0.24845088,1
2019,06,22804,0.23796101,1
2019,06,24680,0.3878012,1
2019,06,27000,0.34513882,1
2019,06,28000,0.24852459,1
2019,06,29000,0.2968615,1
2019,06,30000,NA,3
2019,06,33000,0.17815267,1
2019,06,36000,0.22040921,1
2019,06,36546,0.36623749,1
2019,06,36770,0.15478367,1
2019,06,40130,0.42682353,1
2019,06,43000,0.3331497,1
2019,06,44000,0.27634484,1
2019,06,48354,0.31747034,1
2019,06,49270,0.37939233,1
2019,06,52526,0.24318382,1
2019,06,53000,0.23930521,1
2019,06,53896,0.2953271,1
2019,06,54652,0.29947314,1
2019,06,55156,0.2791096,1
2019,06,56000,0.27889353,1
2019,06,58072,0.23603664,1
2019,06,59451,0.27335906,1
2019,06,62000,0.31499311,1
2019,06,62938,0.16737188,1
2019,06,64000,0.2961379,1
2019,06,64224,0.34205744,1
2019,06,66000,0.2275192,1
2019,06,67000,0.12633535,1
2019,06,68000,0.15652879,1
2019,06,69000,0.26405153,1
2019,06,69084,0.069788799,1
2019,06,70000,0.1515625,1
2019,06,70098,0.20101523,1
2019,06,72016,0.2086629,1
2019,06,75000,0.33111259,1
2019,06,77000,0.069074489,1
2019,06,78582,0.16791604,1
2019,06,80000,0.14938956,1
2019,06,81666,0.33647376,1
2019,06,82954,0.36510578,1
2019,08,07850,0.14565217,1
2019,08,16000,0.28528801,1
2019,08,20000,0.29301736,1
2019,08,27425,0.21550876,1
2019,08,62000,0.3919414,1
2019,09,08000,0.44746378,1
2019,09,37000,0.57724023,1
2019,09,52000,0.40825927,1
2019,09,80000,0.51189131,1
2019,11,50000,0.3018522,1
2019,12,10275,0.33048731,1
2019,12,24000,0.4157097,1
2019,12,25175,0.32115483,1
2019,12,30000,0.40357095,1
2019,12,35000,0.44314519,1
2019,12,45000,0.28606817,1
2019,12,58715,0.38728324,1
2019,12,63000,0.37904763,1
2019,12,71000,0.40310243,1
2019,13,03440,0.36137441,1
2019,13,04000,0.38138548,1
2019,13,04204,0.56979775,1
2019,17,14000,0.346228,1
2019,17,65000,0.32812801,1
2019,18,25000,0.31054899,1
2019,18,36003,0.42046711,1
2019,18,71000,0.32672113,1
2019,19,21000,0.22722977,1
2019,20,36000,0.35772461,1
2019,20,38900,0.30405679,1
2019,20,71000,0.30017251,1
2019,21,46027,0.34331056,1
2019,22,50115,0.31946924,1
2019,22,55000,0.47632661,1
2019,22,70000,0.49850652,1
2019,24,04000,0.48883218,1
2019,25,07000,0.24606687,1
2019,25,09000,0.33135802,1
2019,25,11000,0.10791729,1
2019,25,23000,0.34691432,1
2019,25,37000,0.31512606,1
2019,25,37490,0.31535271,1
2019,25,45000,0.39001188,1
2019,25,55745,0.16142656,1
2019,25,67000,0.34129462,1
2019,25,82000,0.33938748,1
2019,26,03000,0.21965174,1
2019,26,22000,0.62880963,1
2019,26,29000,0.62545645,1
2019,26,34000,0.28568062,1
2019,26,46000,0.28844011,1
2019,26,76460,0.20430622,1
2019,26,84000,0.41290322,1
2019,27,17000,0.16975221,1
2019,27,43000,0.21733356,1
2019,27,54880,0.27879554,1
2019,27,58000,0.2518045,1
2019,28,36000,0.40283263,1
2019,29,65000,0.49125028,1
2019,30,06550,0.27234253,1
2019,31,28000,0.19727047,1
2019,31,37000,0.23523292,1
2019,32,31900,0.3410739,1
2019,32,40000,0.42540905,1
2019,32,51800,0.42155862,1
2019,32,60600,0.32303223,1
2019,33,45140,0.31220779,1
2019,34,21000,0.46958524,1
2019,34,36000,0.30708551,1
2019,34,51000,0.53644109,1
2019,34,57000,0.46619067,1
2019,34,74000,0.6087172,1
2019,35,02000,0.36314833,1
2019,36,01000,0.4417235,1
2019,36,11000,0.49296117,1
2019,36,51000,0.24183181,1
2019,36,63000,NA,3
2019,36,73000,0.33870968,1
2019,36,84000,0.31190476,1
2019,37,12000,0.36479637,1
2019,37,19000,0.28577954,1
2019,37,22920,0.40589231,1
2019,37,28000,0.39411011,1
2019,37,74440,0.37693709,1
2019,37,75000,0.37758505,1
2019,38,25700,0.17658423,1
2019,39,01000,0.3217324,1
2019,39,15000,0.35884494,1
2019,39,16000,0.55854875,1
2019,39,21000,0.43337584,1
2019,39,77000,0.3455891,1
2019,40,41850,0.47317073,1
2019,41,59000,0.19918387,1
2019,42,02000,0.41167435,1
2019,42,24000,0.42917421,1
2019,42,60000,0.43638316,1
2019,42,61000,0.30924371,1
2019,44,59000,0.37331149,1
2019,46,59020,0.15965347,1
2019,47,14000,0.36012581,1
2019,47,40000,0.3465381,1
2019,47,48000,0.45885092,1
2019,47,52006,0.34832269,1
2019,48,01000,0.4680312,1
2019,48,03000,0.46251911,1
2019,48,05000,0.33165634,1
2019,48,07000,0.4743146,1
2019,48,10768,0.52289671,1
2019,48,17000,0.52625781,1
2019,48,19000,0.45519319,1
2019,48,24000,0.4351795,1
2019,48,35000,0.39240208,1
2019,48,41464,0.53027618,1
2019,48,42508,0.34052247,1
2019,48,45000,0.43818223,1
2019,48,45384,0.5346598,1
2019,48,56000,NA,3
2019,48,58016,0.25124791,1
2019,48,64472,0.40746933,1
2019,48,65000,0.44467065,1
2019,48,74144,0.42488915,1
2019,48,76000,0.45378789,1
2019,48,79000,0.42816365,1
2019,49,62470,0.21371858,1
2019,51,01000,0.21377102,1
2019,51,03000,0.12986687,1
2019,51,16000,0.33834183,1
2019,51,35000,0.47554728,1
2019,51,56000,0.50604433,1
2019,51,57000,0.5078696,1
2019,51,64000,0.5288915,1
2019,51,67000,0.30432886,1
2019,51,68000,0.3623817,1
2019,51,82000,0.33632043,1
2019,53,05210,0.092236951,1
2019,53,63000,0.1476258,1
2019,53,67000,0.21998596,1
2019,53,80010,0.26229507,1
2019,55,31000,0.23114714,1
2019,55,53000,0.43799719,1
2021,01,07000,0.507882,1
2021,01,50000,0.41254401,1
2021,01,51000,NA,3
2021,01,77256,NA,3
2021,02,03000,0.28255329,1
2021,04,12000,0.1995506,1
2021,04,27400,0.2215322,1
2021,04,27820,0.32697359,1
2021,04,46000,0.3210046,1
2021,04,55000,0.3667613,1
2021,04,73000,0.3108868,1
2021,04,77000,0.31923541,1
2021,05,41000,NA,3
2021,06,00884,NA,3
2021,06,02000,0.27134559,1
2021,06,02252,NA,3
2021,06,03526,0.4070819,1
2021,06,06000,NA,3
2021,06,08954,NA,3
2021,06,13392,0.25893891,1
2021,06,19766,NA,3
2021,06,20802,NA,3
2021,06,22020,NA,3
2021,06,22230,NA,3
2021,06,22804,NA,3
2021,06,24680,0.35857511,1
2021,06,27000,0.29360211,1
2021,06,28000,NA,3
2021,06,29000,NA,3
2021,06,30000,NA,3
2021,06,33000,NA,3
2021,06,36000,NA,3
2021,06,36546,NA,3
2021,06,36770,NA,3
2021,06,40130,NA,3
2021,06,43000,0.25352389,1
2021,06,44000,0.2460994,1
2021,06,48354,0.28902581,1
2021,06,49270,NA,3
2021,06,52526,NA,3
2021,06,53000,0.232017,1
2021,06,53896,NA,3
2021,06,54652,NA,3
2021,06,55156,NA,3
2021,06,56000,NA,3
2021,06,58072,NA,3
2021,06,59451,NA,3
2021,06,62000,0.2678481,1
2021,06,62938,NA,3
2021,06,64000,0.2569882,1
2021,06,64224,NA,3
2021,06,66000,0.22574329,1
2021,06,67000,0.1248253,1
2021,06,68000,0.1689456,1
2021,06,69000,0.268729,1
2021,06,69084,NA,3
2021,06,70000,NA,3
2021,06,70098,NA,3
2021,06,72016,NA,3
2021,06,75000,0.32893959,1
2021,06,77000,NA,3
2021,06,78582,NA,3
2021,06,80000,NA,3
2021,06,81666,NA,3
2021,06,82954,NA,3
2021,08,04000,0.34860459,1
2021,08,07850,NA,3
2021,08,16000,0.28139961,1
2021,08,20000,0.26084101,1
