year,state,county,subgroup_type,subgroup,share_medical_debt_coll,share_medical_debt_coll_quality
2023,01,051,race-ethnicity,Majority Non-White,NA,NA
2023,01,051,race-ethnicity,Majority White,0.0415603,1
2023,01,053,race-ethnicity,All,0.0616438,1
2023,01,053,race-ethnicity,Majority Non-White,0.0581655,1
2023,01,053,race-ethnicity,Majority White,0.0638003,1
2023,01,055,race-ethnicity,All,0.0821701,1
2023,01,055,race-ethnicity,Majority Non-White,NA,NA
2023,01,055,race-ethnicity,Majority White,0.0823529,1
2023,01,057,race-ethnicity,All,0.0358491,1
2023,01,057,race-ethnicity,Majority Non-White,NA,NA
2023,01,057,race-ethnicity,Majority White,0.0342205,1
2023,01,059,race-ethnicity,All,0.0850112,1
2023,01,059,race-ethnicity,Majority Non-White,NA,NA
2023,01,059,race-ethnicity,Majority White,0.0850112,1
2023,01,061,race-ethnicity,All,0.0787402,1
2023,01,061,race-ethnicity,Majority Non-White,NA,NA
2023,01,061,race-ethnicity,Majority White,0.0788288,1
2023,01,063,race-ethnicity,All,0.0478261,1
2023,01,063,race-ethnicity,Majority Non-White,0.0478261,1
2023,01,063,race-ethnicity,Majority White,NA,NA
2023,01,065,race-ethnicity,All,0.0537428,1
2023,01,065,race-ethnicity,Majority Non-White,0.0568862,1
2023,01,065,race-ethnicity,Majority White,0.0481283,1
2023,01,067,race-ethnicity,All,0.0251799,1
2023,01,067,race-ethnicity,Majority Non-White,NA,NA
2023,01,067,race-ethnicity,Majority White,0.0260223,1
2023,01,069,race-ethnicity,All,0.044553,1
2023,01,069,race-ethnicity,Majority Non-White,NA,NA
2023,01,069,race-ethnicity,Majority White,0.044553,1
2023,01,071,race-ethnicity,All,0.1002401,1
2023,01,071,race-ethnicity,Majority Non-White,NA,NA
2023,01,071,race-ethnicity,Majority White,0.1002401,1
2023,01,073,race-ethnicity,All,0.0739003,1
2023,01,073,race-ethnicity,Majority Non-White,0.110068,1
2023,01,073,race-ethnicity,Majority White,0.0439639,1
2023,01,075,race-ethnicity,All,0.0461165,1
2023,01,075,race-ethnicity,Majority Non-White,NA,NA
2023,01,075,race-ethnicity,Majority White,0.0461165,1
2023,01,077,race-ethnicity,All,0.0471986,1
2023,01,077,race-ethnicity,Majority Non-White,NA,NA
2023,01,077,race-ethnicity,Majority White,0.0471986,1
2023,01,079,race-ethnicity,All,0.0796209,1
2023,01,079,race-ethnicity,Majority Non-White,0.0714286,1
2023,01,079,race-ethnicity,Majority White,0.0800801,1
2023,01,081,race-ethnicity,All,0.0241851,1
2023,01,081,race-ethnicity,Majority Non-White,NA,NA
2023,01,081,race-ethnicity,Majority White,0.0242411,1
2023,01,083,race-ethnicity,All,0.0661786,1
2023,01,083,race-ethnicity,Majority Non-White,0.1311475,1
2023,01,083,race-ethnicity,Majority White,0.0650746,1
2023,01,085,race-ethnicity,All,0.0779221,1
2023,01,085,race-ethnicity,Majority Non-White,0.0801887,1
2023,01,085,race-ethnicity,Majority White,0.0729167,1
2023,01,087,race-ethnicity,All,0.0418848,1
2023,01,087,race-ethnicity,Majority Non-White,0.0482759,1
2023,01,087,race-ethnicity,Majority White,0.0217391,1
2023,01,089,race-ethnicity,All,0.0586176,1
2023,01,089,race-ethnicity,Majority Non-White,0.1284355,1
2023,01,089,race-ethnicity,Majority White,0.0459051,1
2023,01,091,race-ethnicity,All,0.041806,1
2023,01,091,race-ethnicity,Majority Non-White,0.0417633,1
2023,01,091,race-ethnicity,Majority White,0.0424242,1
2023,01,093,race-ethnicity,All,0.0406593,1
2023,01,093,race-ethnicity,Majority Non-White,NA,NA
2023,01,093,race-ethnicity,Majority White,0.0406593,1
2023,01,095,race-ethnicity,All,0.0831117,1
2023,01,095,race-ethnicity,Majority Non-White,NA,NA
2023,01,095,race-ethnicity,Majority White,0.0831117,1
2023,01,097,race-ethnicity,All,0.0798892,1
2023,01,097,race-ethnicity,Majority Non-White,0.1123401,1
2023,01,097,race-ethnicity,Majority White,0.0620451,1
2023,01,099,race-ethnicity,All,0.1086956,1
2023,01,099,race-ethnicity,Majority Non-White,0.1166253,1
2023,01,099,race-ethnicity,Majority White,0.0954357,1
2023,01,101,race-ethnicity,All,0.0586875,1
2023,01,101,race-ethnicity,Majority Non-White,0.0644155,1
2023,01,101,race-ethnicity,Majority White,0.0374404,1
2023,01,103,race-ethnicity,All,0.0877014,1
2023,01,103,race-ethnicity,Majority Non-White,0.1027858,1
2023,01,103,race-ethnicity,Majority White,0.08223,1
2023,01,105,race-ethnicity,All,0.0675105,1
2023,01,105,race-ethnicity,Majority Non-White,0.0675105,1
2023,01,105,race-ethnicity,Majority White,NA,NA
2023,01,107,race-ethnicity,All,0.0598911,1
2023,01,107,race-ethnicity,Majority Non-White,0.0686695,1
2023,01,107,race-ethnicity,Majority White,0.0534591,1
2023,01,109,race-ethnicity,All,0.131019,1
2023,01,109,race-ethnicity,Majority Non-White,NA,NA
2023,01,109,race-ethnicity,Majority White,0.131019,1
2023,01,111,race-ethnicity,All,0.0790569,1
2023,01,111,race-ethnicity,Majority Non-White,NA,NA
2023,01,111,race-ethnicity,Majority White,0.0790569,1
2023,01,113,race-ethnicity,All,0.1095968,1
2023,01,113,race-ethnicity,Majority Non-White,0.1133263,1
2023,01,113,race-ethnicity,Majority White,0.1054591,1
2023,01,115,race-ethnicity,All,0.05625,1
2023,01,115,race-ethnicity,Majority Non-White,NA,NA
2023,01,115,race-ethnicity,Majority White,0.0564067,1
2023,01,117,race-ethnicity,All,0.0547021,1
2023,01,117,race-ethnicity,Majority Non-White,NA,NA
2023,01,117,race-ethnicity,Majority White,0.0544512,1
2023,01,119,race-ethnicity,All,0.0537313,1
2023,01,119,race-ethnicity,Majority Non-White,0.0545455,1
2023,01,119,race-ethnicity,Majority White,NA,NA
2023,01,121,race-ethnicity,All,0.1145038,1
2023,01,121,race-ethnicity,Majority Non-White,0.1370787,1
2023,01,121,race-ethnicity,Majority White,0.1019387,1
2023,01,123,race-ethnicity,All,0.0392593,1
2023,01,123,race-ethnicity,Majority Non-White,0.0344828,1
2023,01,123,race-ethnicity,Majority White,0.0395883,1
2023,01,125,race-ethnicity,All,0.0362982,1
2023,01,125,race-ethnicity,Majority Non-White,0.0334113,1
2023,01,125,race-ethnicity,Majority White,0.039065,1
2023,01,127,race-ethnicity,All,0.0991401,1
2023,01,127,race-ethnicity,Majority Non-White,NA,NA
2023,01,127,race-ethnicity,Majority White,0.0991401,1
2023,01,129,race-ethnicity,All,0.0761523,1
2023,01,129,race-ethnicity,Majority Non-White,0.0827068,1
2023,01,129,race-ethnicity,Majority White,0.0737705,1
2023,01,131,race-ethnicity,All,0.0422535,1
2023,01,131,race-ethnicity,Majority Non-White,0.041791,1
2023,01,131,race-ethnicity,Majority White,NA,NA
2023,01,133,race-ethnicity,All,0.0696721,1
2023,01,133,race-ethnicity,Majority Non-White,NA,NA
2023,01,133,race-ethnicity,Majority White,0.0696721,1
2023,02,013,race-ethnicity,All,NA,NA
2023,02,013,race-ethnicity,Majority Non-White,NA,NA
2023,02,013,race-ethnicity,Majority White,NA,NA
2023,02,016,race-ethnicity,All,0.0740741,1
2023,02,016,race-ethnicity,Majority Non-White,0.0740741,1
2023,02,016,race-ethnicity,Majority White,NA,NA
2023,02,020,race-ethnicity,All,0.037421,1
2023,02,020,race-ethnicity,Majority Non-White,0.0546407,1
2023,02,020,race-ethnicity,Majority White,0.029386,1
2023,02,050,race-ethnicity,All,0.0215827,1
2023,02,050,race-ethnicity,Majority Non-White,0.0218978,1
2023,02,050,race-ethnicity,Majority White,NA,NA
2023,02,060,race-ethnicity,All,NA,NA
2023,02,060,race-ethnicity,Majority Non-White,NA,NA
2023,02,060,race-ethnicity,Majority White,NA,NA
2023,02,063,race-ethnicity,All,0.010929,1
2023,02,063,race-ethnicity,Majority Non-White,NA,NA
2023,02,063,race-ethnicity,Majority White,0.0057143,1
2023,02,066,race-ethnicity,All,0.0135135,1
2023,02,066,race-ethnicity,Majority Non-White,NA,NA
2023,02,066,race-ethnicity,Majority White,0.0136986,1
2023,02,068,race-ethnicity,All,0.08,1
2023,02,068,race-ethnicity,Majority Non-White,NA,NA
2023,02,068,race-ethnicity,Majority White,0.08,1
2023,02,070,race-ethnicity,All,0.0210526,1
2023,02,070,race-ethnicity,Majority Non-White,0.0210526,1
2023,02,070,race-ethnicity,Majority White,NA,NA
2023,02,090,race-ethnicity,All,0.0488936,1
2023,02,090,race-ethnicity,Majority Non-White,0.0185185,1
2023,02,090,race-ethnicity,Majority White,0.0493643,1
2023,02,100,race-ethnicity,All,0.027027,1
2023,02,100,race-ethnicity,Majority Non-White,NA,NA
2023,02,100,race-ethnicity,Majority White,0.027027,1
2023,02,105,race-ethnicity,All,0.037037,1
2023,02,105,race-ethnicity,Majority Non-White,NA,NA
2023,02,105,race-ethnicity,Majority White,NA,NA
2023,02,110,race-ethnicity,All,0.022869,1
2023,02,110,race-ethnicity,Majority Non-White,NA,NA
2023,02,110,race-ethnicity,Majority White,0.022869,1
2023,02,122,race-ethnicity,All,0.0346562,1
2023,02,122,race-ethnicity,Majority Non-White,NA,NA
2023,02,122,race-ethnicity,Majority White,0.0347339,1
2023,02,130,race-ethnicity,All,0.0283224,1
2023,02,130,race-ethnicity,Majority Non-White,NA,NA
2023,02,130,race-ethnicity,Majority White,0.0283224,1
2023,02,150,race-ethnicity,All,0.0147059,1
2023,02,150,race-ethnicity,Majority Non-White,0.0147059,1
2023,02,150,race-ethnicity,Majority White,NA,NA
2023,02,158,race-ethnicity,All,0.0254237,1
2023,02,158,race-ethnicity,Majority Non-White,0.0254237,1
2023,02,158,race-ethnicity,Majority White,NA,NA
2023,02,164,race-ethnicity,All,NA,NA
2023,02,164,race-ethnicity,Majority Non-White,NA,NA
2023,02,164,race-ethnicity,Majority White,NA,NA
2023,02,170,race-ethnicity,All,0.0314361,1
2023,02,170,race-ethnicity,Majority Non-White,NA,NA
2023,02,170,race-ethnicity,Majority White,0.0314361,1
2023,02,180,race-ethnicity,All,0.0182927,1
2023,02,180,race-ethnicity,Majority Non-White,0.0182927,1
2023,02,180,race-ethnicity,Majority White,NA,NA
2023,02,185,race-ethnicity,All,0.0197368,1
2023,02,185,race-ethnicity,Majority Non-White,0.0198676,1
2023,02,185,race-ethnicity,Majority White,NA,NA
2023,02,188,race-ethnicity,All,0.0542636,1
2023,02,188,race-ethnicity,Majority Non-White,0.0542636,1
2023,02,188,race-ethnicity,Majority White,NA,NA
2023,02,195,race-ethnicity,All,0,1
2023,02,195,race-ethnicity,Majority Non-White,NA,NA
2023,02,195,race-ethnicity,Majority White,0,1
2023,02,198,race-ethnicity,All,0.0273973,1
2023,02,198,race-ethnicity,Majority Non-White,0.0243902,1
2023,02,198,race-ethnicity,Majority White,0.03125,1
2023,02,220,race-ethnicity,All,0.0393013,1
2023,02,220,race-ethnicity,Majority Non-White,NA,NA
2023,02,220,race-ethnicity,Majority White,0.0393013,1
2023,02,230,race-ethnicity,All,NA,NA
2023,02,230,race-ethnicity,Majority Non-White,NA,NA
2023,02,230,race-ethnicity,Majority White,NA,NA
2023,02,240,race-ethnicity,All,0.0410959,1
2023,02,240,race-ethnicity,Majority Non-White,NA,NA
2023,02,240,race-ethnicity,Majority White,0.0373832,1
2023,02,275,race-ethnicity,All,0.0166667,1
2023,02,275,race-ethnicity,Majority Non-White,NA,NA
2023,02,275,race-ethnicity,Majority White,0.0166667,1
2023,02,282,race-ethnicity,All,NA,NA
2023,02,282,race-ethnicity,Majority Non-White,NA,NA
2023,02,282,race-ethnicity,Majority White,NA,NA
2023,02,290,race-ethnicity,All,0.0315789,1
2023,02,290,race-ethnicity,Majority Non-White,0.0344828,1
2023,02,290,race-ethnicity,Majority White,NA,NA
2023,04,001,race-ethnicity,All,0.0651934,1
2023,04,001,race-ethnicity,Majority Non-White,0.0488923,1
2023,04,001,race-ethnicity,Majority White,0.1077844,1
2023,04,003,race-ethnicity,All,0.0624082,1
2023,04,003,race-ethnicity,Majority Non-White,0.1009989,1
2023,04,003,race-ethnicity,Majority White,0.0514914,1
2023,04,005,race-ethnicity,All,0.0655257,1
2023,04,005,race-ethnicity,Majority Non-White,0.0741127,1
2023,04,005,race-ethnicity,Majority White,0.063141,1
2023,04,007,race-ethnicity,All,0.0689445,1
2023,04,007,race-ethnicity,Majority Non-White,0.1048035,1
2023,04,007,race-ethnicity,Majority White,0.0631206,1
2023,04,009,race-ethnicity,All,0.084,1
2023,04,009,race-ethnicity,Majority Non-White,0.0857988,1
2023,04,009,race-ethnicity,Majority White,0.0802469,1
2023,04,011,race-ethnicity,All,0.1013825,1
2023,04,011,race-ethnicity,Majority Non-White,0.1142857,1
2023,04,011,race-ethnicity,Majority White,0.0779221,1
2023,04,012,race-ethnicity,All,0.0365854,1
2023,04,012,race-ethnicity,Majority Non-White,0.0243902,1
2023,04,012,race-ethnicity,Majority White,0.0528455,1
2023,04,013,race-ethnicity,All,0.055147,1
2023,04,013,race-ethnicity,Majority Non-White,0.080244,1
2023,04,013,race-ethnicity,Majority White,0.0400224,1
2023,04,015,race-ethnicity,All,0.044341,1
2023,04,015,race-ethnicity,Majority Non-White,NA,NA
2023,04,015,race-ethnicity,Majority White,0.0439092,1
2023,04,017,race-ethnicity,All,0.068,1
2023,04,017,race-ethnicity,Majority Non-White,0.0717629,1
2023,04,017,race-ethnicity,Majority White,0.0654971,1
2023,04,019,race-ethnicity,All,0.0398417,1
2023,04,019,race-ethnicity,Majority Non-White,0.0516297,1
2023,04,019,race-ethnicity,Majority White,0.0334583,1
2023,04,021,race-ethnicity,All,0.0588462,1
2023,04,021,race-ethnicity,Majority Non-White,0.0670075,1
2023,04,021,race-ethnicity,Majority White,0.0536956,1
2023,04,023,race-ethnicity,All,0.0505457,1
2023,04,023,race-ethnicity,Majority Non-White,0.0546875,1
2023,04,023,race-ethnicity,Majority White,0.0195122,1
2023,04,025,race-ethnicity,All,0.0607091,1
2023,04,025,race-ethnicity,Majority Non-White,0.1311475,1
2023,04,025,race-ethnicity,Majority White,0.0601835,1
2023,04,027,race-ethnicity,All,0.0514295,1
2023,04,027,race-ethnicity,Majority Non-White,0.0548895,1
2023,04,027,race-ethnicity,Majority White,0.0314193,1
2023,05,001,race-ethnicity,All,0.036036,1
2023,05,001,race-ethnicity,Majority Non-White,NA,NA
2023,05,001,race-ethnicity,Majority White,0.0366972,1
2023,05,003,race-ethnicity,All,0.1362916,1
2023,05,003,race-ethnicity,Majority Non-White,NA,NA
2023,05,003,race-ethnicity,Majority White,0.1353135,1
2023,05,005,race-ethnicity,All,0.1066056,1
2023,05,005,race-ethnicity,Majority Non-White,NA,NA
2023,05,005,race-ethnicity,Majority White,0.1066056,1
2023,05,007,race-ethnicity,All,0.0573726,1
2023,05,007,race-ethnicity,Majority Non-White,0.107438,1
2023,05,007,race-ethnicity,Majority White,0.0567056,1
2023,05,009,race-ethnicity,All,0.0637611,1
2023,05,009,race-ethnicity,Majority Non-White,NA,NA
2023,05,009,race-ethnicity,Majority White,0.0637611,1
2023,05,011,race-ethnicity,All,0.1446541,1
2023,05,011,race-ethnicity,Majority Non-White,NA,NA
2023,05,011,race-ethnicity,Majority White,0.1446541,1
2023,05,013,race-ethnicity,All,0.1923077,1
2023,05,013,race-ethnicity,Majority Non-White,NA,NA
2023,05,013,race-ethnicity,Majority White,0.1880342,1
2023,05,015,race-ethnicity,All,0.0598389,1
2023,05,015,race-ethnicity,Majority Non-White,NA,NA
2023,05,015,race-ethnicity,Majority White,0.0598389,1
2023,05,017,race-ethnicity,All,0.1941748,1
2023,05,017,race-ethnicity,Majority Non-White,0.2038217,1
2023,05,017,race-ethnicity,Majority White,0.1842105,1
2023,05,019,race-ethnicity,All,0.0504886,1
2023,05,019,race-ethnicity,Majority Non-White,NA,NA
2023,05,019,race-ethnicity,Majority White,0.0486577,1
2023,05,021,race-ethnicity,All,0.1512415,1
2023,05,021,race-ethnicity,Majority Non-White,NA,NA
2023,05,021,race-ethnicity,Majority White,0.1512415,1
2023,05,023,race-ethnicity,All,0.0357895,1
2023,05,023,race-ethnicity,Majority Non-White,NA,NA
2023,05,023,race-ethnicity,Majority White,0.0357895,1
2023,05,025,race-ethnicity,All,0.1032864,1
2023,05,025,race-ethnicity,Majority Non-White,NA,NA
2023,05,025,race-ethnicity,Majority White,0.1032864,1
2023,05,027,race-ethnicity,All,0.1169591,1
2023,05,027,race-ethnicity,Majority Non-White,NA,NA
2023,05,027,race-ethnicity,Majority White,0.1178203,1
2023,05,029,race-ethnicity,All,0.0486322,1
2023,05,029,race-ethnicity,Majority Non-White,NA,NA
2023,05,029,race-ethnicity,Majority White,0.0490798,1
2023,05,031,race-ethnicity,All,0.1359807,1
2023,05,031,race-ethnicity,Majority Non-White,NA,NA
2023,05,031,race-ethnicity,Majority White,0.1359807,1
2023,05,033,race-ethnicity,All,0.0484375,1
2023,05,033,race-ethnicity,Majority Non-White,NA,NA
2023,05,033,race-ethnicity,Majority White,0.0484627,1
2023,05,035,race-ethnicity,All,0.1525424,1
2023,05,035,race-ethnicity,Majority Non-White,0.1688312,1
2023,05,035,race-ethnicity,Majority White,0.1305732,1
2023,05,037,race-ethnicity,All,0.1058601,1
2023,05,037,race-ethnicity,Majority Non-White,NA,NA
2023,05,037,race-ethnicity,Majority White,0.1037924,1
2023,05,039,race-ethnicity,All,0.1606218,1
2023,05,039,race-ethnicity,Majority Non-White,0.2,1
2023,05,039,race-ethnicity,Majority White,NA,NA
2023,05,041,race-ethnicity,All,0.10344830000000001,1
2023,05,041,race-ethnicity,Majority Non-White,0.1333333,1
2023,05,041,race-ethnicity,Majority White,0.0718954,1
2023,05,043,race-ethnicity,All,0.1516755,1
2023,05,043,race-ethnicity,Majority Non-White,NA,NA
2023,05,043,race-ethnicity,Majority White,0.1507353,1
2023,05,045,race-ethnicity,All,0.0512284,1
2023,05,045,race-ethnicity,Majority Non-White,NA,NA
2023,05,045,race-ethnicity,Majority White,0.0512284,1
2023,05,047,race-ethnicity,All,0.0646465,1
2023,05,047,race-ethnicity,Majority Non-White,NA,NA
2023,05,047,race-ethnicity,Majority White,0.0646465,1
2023,05,049,race-ethnicity,All,0.0833333,1
2023,05,049,race-ethnicity,Majority Non-White,NA,NA
2023,05,049,race-ethnicity,Majority White,0.0809249,1
2023,05,051,race-ethnicity,All,0.0504615,1
2023,05,051,race-ethnicity,Majority Non-White,NA,NA
2023,05,051,race-ethnicity,Majority White,0.0504615,1
2023,05,053,race-ethnicity,All,0.0551601,1
2023,05,053,race-ethnicity,Majority Non-White,NA,NA
2023,05,053,race-ethnicity,Majority White,0.0554562,1
2023,05,055,race-ethnicity,All,0.1160261,1
2023,05,055,race-ethnicity,Majority Non-White,NA,NA
2023,05,055,race-ethnicity,Majority White,0.1160261,1
2023,05,057,race-ethnicity,All,0.1093502,1
2023,05,057,race-ethnicity,Majority Non-White,NA,NA
2023,05,057,race-ethnicity,Majority White,0.106961,1
2023,05,059,race-ethnicity,All,0.04,1
2023,05,059,race-ethnicity,Majority Non-White,NA,NA
2023,05,059,race-ethnicity,Majority White,0.04,1
2023,05,061,race-ethnicity,All,0.1264368,1
2023,05,061,race-ethnicity,Majority Non-White,0.1014493,1
2023,05,061,race-ethnicity,Majority White,0.1311475,1
2023,05,063,race-ethnicity,All,0.0620748,1
2023,05,063,race-ethnicity,Majority Non-White,NA,NA
2023,05,063,race-ethnicity,Majority White,0.0620748,1
2023,05,065,race-ethnicity,All,0.0860534,1
2023,05,065,race-ethnicity,Majority Non-White,NA,NA
2023,05,065,race-ethnicity,Majority White,0.0860534,1
2023,05,067,race-ethnicity,All,0.0951374,1
2023,05,067,race-ethnicity,Majority Non-White,NA,NA
2023,05,067,race-ethnicity,Majority White,0.0951374,1
2023,05,069,race-ethnicity,All,0.1059908,1
2023,05,069,race-ethnicity,Majority Non-White,0.1144131,1
2023,05,069,race-ethnicity,Majority White,0.0873147,1
2023,05,071,race-ethnicity,All,0.0727003,1
2023,05,071,race-ethnicity,Majority Non-White,NA,NA
2023,05,071,race-ethnicity,Majority White,0.0727003,1
2023,05,073,race-ethnicity,All,0.102439,1
2023,05,073,race-ethnicity,Majority Non-White,0.1351351,1
2023,05,073,race-ethnicity,Majority White,0.0839695,1
2023,05,075,race-ethnicity,All,0.1026549,1
2023,05,075,race-ethnicity,Majority Non-White,NA,NA
2023,05,075,race-ethnicity,Majority White,0.1026549,1
2023,05,077,race-ethnicity,All,0.1128205,1
2023,05,077,race-ethnicity,Majority Non-White,0.1271676,1
2023,05,077,race-ethnicity,Majority White,NA,NA
2023,05,079,race-ethnicity,All,0.1025641,1
2023,05,079,race-ethnicity,Majority Non-White,NA,NA
2023,05,079,race-ethnicity,Majority White,0.1073171,1
2023,05,081,race-ethnicity,All,0.1305556,1
2023,05,081,race-ethnicity,Majority Non-White,NA,NA
2023,05,081,race-ethnicity,Majority White,0.1305556,1
2023,05,083,race-ethnicity,All,0.0682853,1
2023,05,083,race-ethnicity,Majority Non-White,NA,NA
2023,05,083,race-ethnicity,Majority White,0.0682853,1
2023,05,085,race-ethnicity,All,0.0452946,1
2023,05,085,race-ethnicity,Majority Non-White,NA,NA
2023,05,085,race-ethnicity,Majority White,0.0453944,1
2023,05,087,race-ethnicity,All,0.0595534,1
2023,05,087,race-ethnicity,Majority Non-White,NA,NA
2023,05,087,race-ethnicity,Majority White,0.0595534,1
2023,05,089,race-ethnicity,All,0.1175439,1
2023,05,089,race-ethnicity,Majority Non-White,NA,NA
2023,05,089,race-ethnicity,Majority White,0.1175439,1
2023,05,091,race-ethnicity,All,0.1156463,1
2023,05,091,race-ethnicity,Majority Non-White,NA,NA
2023,05,091,race-ethnicity,Majority White,0.1156463,1
2023,05,093,race-ethnicity,All,0.1436077,1
2023,05,093,race-ethnicity,Majority Non-White,0.14054729999999999,1
2023,05,093,race-ethnicity,Majority White,0.1510574,1
2023,05,095,race-ethnicity,All,0.0628019,1
2023,05,095,race-ethnicity,Majority Non-White,NA,NA
2023,05,095,race-ethnicity,Majority White,0.05,1
2023,05,097,race-ethnicity,All,0.0588235,1
2023,05,097,race-ethnicity,Majority Non-White,NA,NA
2023,05,097,race-ethnicity,Majority White,0.0588235,1
2023,05,099,race-ethnicity,All,0.0846561,1
2023,05,099,race-ethnicity,Majority Non-White,NA,NA
2023,05,099,race-ethnicity,Majority White,0.0846561,1
2023,05,101,race-ethnicity,All,0.0301724,1
2023,05,101,race-ethnicity,Majority Non-White,NA,NA
2023,05,101,race-ethnicity,Majority White,0.0301724,1
2023,05,103,race-ethnicity,All,0.0632911,1
2023,05,103,race-ethnicity,Majority Non-White,NA,NA
2023,05,103,race-ethnicity,Majority White,0.0648968,1
2023,05,105,race-ethnicity,All,0.0384615,1
2023,05,105,race-ethnicity,Majority Non-White,NA,NA
2023,05,105,race-ethnicity,Majority White,0.0384615,1
2023,05,107,race-ethnicity,All,0.1150628,1
2023,05,107,race-ethnicity,Majority Non-White,0.1189427,1
2023,05,107,race-ethnicity,Majority White,NA,NA
2023,05,109,race-ethnicity,All,0.0510949,1
2023,05,109,race-ethnicity,Majority Non-White,NA,NA
2023,05,109,race-ethnicity,Majority White,0.0510949,1
2023,05,111,race-ethnicity,All,0.172028,1
2023,05,111,race-ethnicity,Majority Non-White,NA,NA
2023,05,111,race-ethnicity,Majority White,0.172028,1
2023,05,113,race-ethnicity,All,0.0559322,1
2023,05,113,race-ethnicity,Majority Non-White,NA,NA
2023,05,113,race-ethnicity,Majority White,0.0559322,1
2023,05,115,race-ethnicity,All,0.055332,1
