year,state,place,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2019,01,07000,all,All,0.37891245,1
2019,01,07000,race-ethnicity,Neighborhoods of color,0.5778051,1
2019,01,07000,race-ethnicity,White neighborhoods,0.27076375,1
2019,01,50000,all,All,0.45068663,1
2019,01,50000,race-ethnicity,Neighborhoods of color,0.57982492,1
2019,01,50000,race-ethnicity,White neighborhoods,0.37340984,1
2019,01,51000,all,All,0.43235493,1
2019,01,51000,race-ethnicity,Neighborhoods of color,0.5067184,1
2019,01,51000,race-ethnicity,White neighborhoods,0.33578905,1
2019,01,77256,all,All,0.41469195,1
2019,01,77256,race-ethnicity,Neighborhoods of color,0.51522535,1
2019,01,77256,race-ethnicity,White neighborhoods,0.31949249,1
2019,02,03000,all,All,0.30883744,1
2019,02,03000,race-ethnicity,Neighborhoods of color,0.42038691,1
2019,02,03000,race-ethnicity,White neighborhoods,0.2569252,1
2019,04,12000,all,All,0.25731641,1
2019,04,12000,race-ethnicity,Neighborhoods of color,0.40450451,1
2019,04,12000,race-ethnicity,White neighborhoods,0.23068145,1
2019,04,27400,all,All,0.2356479,1
2019,04,27400,race-ethnicity,Neighborhoods of color,NA,3
2019,04,27400,race-ethnicity,White neighborhoods,0.2356479,1
2019,04,27820,all,All,0.32228175,1
2019,04,27820,race-ethnicity,Neighborhoods of color,0.44935909,1
2019,04,27820,race-ethnicity,White neighborhoods,0.23722054,1
2019,04,46000,all,All,0.33763334,1
2019,04,46000,race-ethnicity,Neighborhoods of color,0.46934462,1
2019,04,46000,race-ethnicity,White neighborhoods,0.28295594,1
2019,04,55000,all,All,0.35834751,1
2019,04,55000,race-ethnicity,Neighborhoods of color,0.49412289,1
2019,04,55000,race-ethnicity,White neighborhoods,0.26189271,1
2019,04,73000,all,All,0.36791924,1
2019,04,73000,race-ethnicity,Neighborhoods of color,0.38374719,1
2019,04,73000,race-ethnicity,White neighborhoods,0.35228539,1
2019,05,41000,all,All,0.40294716,1
2019,05,41000,race-ethnicity,Neighborhoods of color,0.52652925,1
2019,05,41000,race-ethnicity,White neighborhoods,0.2787776,1
2019,06,00884,all,All,0.15975104,1
2019,06,00884,race-ethnicity,Neighborhoods of color,0.15975104,1
2019,06,00884,race-ethnicity,White neighborhoods,NA,3
2019,06,02000,all,All,0.22687696,1
2019,06,02000,race-ethnicity,Neighborhoods of color,0.24434428,1
2019,06,02000,race-ethnicity,White neighborhoods,0.14545454,1
2019,06,02252,all,All,0.33087191,1
2019,06,02252,race-ethnicity,Neighborhoods of color,0.33087191,1
2019,06,02252,race-ethnicity,White neighborhoods,NA,3
2019,06,06000,all,All,0.12803532,1
2019,06,06000,race-ethnicity,Neighborhoods of color,0.1427256,1
2019,06,06000,race-ethnicity,White neighborhoods,0.11450382,1
2019,06,08954,all,All,0.16853933,1
2019,06,08954,race-ethnicity,Neighborhoods of color,NA,3
2019,06,08954,race-ethnicity,White neighborhoods,0.16853933,1
2019,06,13392,all,All,0.30956468,1
2019,06,13392,race-ethnicity,Neighborhoods of color,0.31242955,1
2019,06,13392,race-ethnicity,White neighborhoods,0.11267605,1
2019,06,19766,all,All,0.30929264,1
2019,06,19766,race-ethnicity,Neighborhoods of color,0.30929264,1
2019,06,19766,race-ethnicity,White neighborhoods,NA,3
2019,06,20802,all,All,0.30103618,1
2019,06,20802,race-ethnicity,Neighborhoods of color,0.30103618,1
2019,06,20802,race-ethnicity,White neighborhoods,NA,3
2019,06,22020,all,All,0.22245467,1
2019,06,22020,race-ethnicity,Neighborhoods of color,0.2237971,1
2019,06,22020,race-ethnicity,White neighborhoods,0.20320855,1
2019,06,22230,all,All,0.24845088,1
2019,06,22230,race-ethnicity,Neighborhoods of color,0.24845088,1
2019,06,22230,race-ethnicity,White neighborhoods,NA,3
2019,06,22804,all,All,0.23796101,1
2019,06,22804,race-ethnicity,Neighborhoods of color,0.25256455,1
2019,06,22804,race-ethnicity,White neighborhoods,0.2090909,1
2019,06,24680,all,All,0.3878012,1
2019,06,24680,race-ethnicity,Neighborhoods of color,0.38849056,1
2019,06,24680,race-ethnicity,White neighborhoods,NA,3
2019,06,27000,all,All,0.34513882,1
2019,06,27000,race-ethnicity,Neighborhoods of color,0.367277,1
2019,06,27000,race-ethnicity,White neighborhoods,0.1859155,1
2019,06,28000,all,All,0.24852459,1
2019,06,28000,race-ethnicity,Neighborhoods of color,0.27272728,1
2019,06,28000,race-ethnicity,White neighborhoods,0.15452363,1
2019,06,29000,all,All,0.2968615,1
2019,06,29000,race-ethnicity,Neighborhoods of color,0.2968615,1
2019,06,29000,race-ethnicity,White neighborhoods,NA,3
2019,06,30000,all,All,NA,3
2019,06,30000,race-ethnicity,Neighborhoods of color,NA,3
2019,06,30000,race-ethnicity,White neighborhoods,NA,3
2019,06,33000,all,All,0.17815267,1
2019,06,33000,race-ethnicity,Neighborhoods of color,0.1842384,1
2019,06,33000,race-ethnicity,White neighborhoods,0.12128713,1
2019,06,36000,all,All,0.22040921,1
2019,06,36000,race-ethnicity,Neighborhoods of color,0.26630434,1
2019,06,36000,race-ethnicity,White neighborhoods,0.1921306,1
2019,06,36546,all,All,0.36623749,1
2019,06,36546,race-ethnicity,Neighborhoods of color,0.38796347,1
2019,06,36546,race-ethnicity,White neighborhoods,0.19491525,1
2019,06,36770,all,All,0.15478367,1
2019,06,36770,race-ethnicity,Neighborhoods of color,0.14828898,1
2019,06,36770,race-ethnicity,White neighborhoods,0.1636416,1
2019,06,40130,all,All,0.42682353,1
2019,06,40130,race-ethnicity,Neighborhoods of color,0.42682353,1
2019,06,40130,race-ethnicity,White neighborhoods,NA,3
2019,06,43000,all,All,0.3331497,1
2019,06,43000,race-ethnicity,Neighborhoods of color,0.39440504,1
2019,06,43000,race-ethnicity,White neighborhoods,0.19084668,1
2019,06,44000,all,All,0.27634484,1
2019,06,44000,race-ethnicity,Neighborhoods of color,0.30740061,1
2019,06,44000,race-ethnicity,White neighborhoods,0.17771119,1
2019,06,48354,all,All,0.31747034,1
2019,06,48354,race-ethnicity,Neighborhoods of color,0.33165982,1
2019,06,48354,race-ethnicity,White neighborhoods,0.2483321,1
2019,06,49270,all,All,0.37939233,1
2019,06,49270,race-ethnicity,Neighborhoods of color,0.42253521,1
2019,06,49270,race-ethnicity,White neighborhoods,0.19945355,1
2019,06,52526,all,All,0.24318382,1
2019,06,52526,race-ethnicity,Neighborhoods of color,0.37062147,1
2019,06,52526,race-ethnicity,White neighborhoods,0.16198704,1
2019,06,53000,all,All,0.23930521,1
2019,06,53000,race-ethnicity,Neighborhoods of color,0.26119488,1
2019,06,53000,race-ethnicity,White neighborhoods,0.10230547,1
2019,06,53896,all,All,0.2953271,1
2019,06,53896,race-ethnicity,Neighborhoods of color,0.30349252,1
2019,06,53896,race-ethnicity,White neighborhoods,0.17473684,1
2019,06,54652,all,All,0.29947314,1
2019,06,54652,race-ethnicity,Neighborhoods of color,0.31848225,1
2019,06,54652,race-ethnicity,White neighborhoods,0.18181819,1
2019,06,55156,all,All,0.2791096,1
2019,06,55156,race-ethnicity,Neighborhoods of color,0.31593597,1
2019,06,55156,race-ethnicity,White neighborhoods,0.11111111,1
2019,06,56000,all,All,0.27889353,1
