state,puma12,place,place_name,afact,afact2,afact_product,afact_sum
6,102,562,Alameda city,0.001,0.0014,1.40E-06,0.334532
6,105,562,Alameda city,0.335,0.9986,0.334531,0.334532
6,3717,884,Alhambra city,0.0009,0.0034,3.10E-06,0.652577
6,3736,884,Alhambra city,0.6548,0.9966,0.652574,0.652577
36,2001,1000,Albany city,0.8948,1,0.8948,0.8948
39,1801,1000,Akron city,0.0044,0.0114,0.00005,0.734884
39,1802,1000,Akron city,0.0104,0.0084,0.000087,0.734884
39,1803,1000,Akron city,0.8846,0.4393,0.388605,0.734884
39,1804,1000,Akron city,0.649,0.5333,0.346112,0.734884
39,1805,1000,Akron city,0.0039,0.0077,0.00003,0.734884
48,2600,1000,Abilene city,0.0008,0.1226,0.000098,0.089768
48,2700,1000,Abilene city,0.1022,0.8774,0.08967,0.089768
51,51255,1000,Alexandria city,0.9926,0.9899,0.982575,0.982625
51,59302,1000,Alexandria city,0.005,0.0101,0.00005,0.982625
48,1903,1924,Allen city,0.0003,0.0003,9.00E-08,0.404877
48,1904,1924,Allen city,0.4561,0.8862,0.404196,0.404877
48,1907,1924,Allen city,0.006,0.1135,0.000681,0.404877
6,5905,2000,Anaheim city,0.0566,0.1541,0.008722,0.692033
6,5906,2000,Anaheim city,0.0132,0.0153,0.000202,0.692033
6,5907,2000,Anaheim city,0.0378,0.0224,0.000847,0.692033
6,5908,2000,Anaheim city,0.0049,0.0034,0.000017,0.692033
6,5909,2000,Anaheim city,0.8556,0.2408,0.206028,0.692033
6,5910,2000,Anaheim city,0.8836,0.5383,0.475642,0.692033
6,5911,2000,Anaheim city,0.0186,0.0095,0.000177,0.692033
6,5912,2000,Anaheim city,0.0244,0.0092,0.000224,0.692033
6,5913,2000,Anaheim city,0.0242,0.0072,0.000174,0.692033
35,600,2000,Albuquerque city,0,0.0006,0,0.434689
35,700,2000,Albuquerque city,0.0005,0.0033,1.60E-06,0.434689
35,801,2000,Albuquerque city,0.5663,0.1369,0.077526,0.434689
35,802,2000,Albuquerque city,1,0.1063,0.1063,0.434689
35,803,2000,Albuquerque city,0.4258,0.2529,0.107685,0.434689
35,804,2000,Albuquerque city,0.6507,0.1277,0.083094,0.434689
35,805,2000,Albuquerque city,0.149,0.3093,0.046086,0.434689
35,806,2000,Albuquerque city,0.2211,0.0633,0.013996,0.434689
42,2802,2000,Allentown city,0.0047,0.0364,0.000171,0.883021
42,2803,2000,Allentown city,0.9162,0.9636,0.88285,0.883021
37,2201,2140,Asheville city,0.2214,0.8612,0.19067,0.192569
37,2202,2140,Asheville city,0.0137,0.1386,0.001899,0.192569
37,2500,2140,Asheville city,0,0.0002,0,0.192569
17,3401,2154,Arlington Heights village,0.0114,0.0485,0.000553,0.245894
17,3415,2154,Arlington Heights village,0.2998,0.5491,0.16462,0.245894
17,3419,2154,Arlington Heights village,0.2006,0.4024,0.080721,0.245894
6,1307,2252,Antioch city,0.0061,0.0123,0.000075,0.430046
6,1308,2252,Antioch city,0.4386,0.9803,0.42996,0.430046
6,1309,2252,Antioch city,0.0015,0.0074,0.000011,0.430046
6,7101,2364,Apple Valley town,0.0001,0.0181,1.80E-06,0.33124
6,7102,2364,Apple Valley town,0.0042,0.018,0.000076,0.33124
6,7103,2364,Apple Valley town,0.3579,0.925,0.331057,0.33124
6,7104,2364,Apple Valley town,0.0027,0.0389,0.000105,0.33124
55,1401,2375,Appleton city,0.0032,0.1329,0.000425,0.028601
55,1500,2375,Appleton city,0.0331,0.8508,0.028161,0.028601
55,1501,2375,Appleton city,0.0009,0.0163,0.000015,0.028601
2,101,3000,Anchorage municipality,0.6272,0.6298,0.395011,0.616465
2,102,3000,Anchorage municipality,0.711,0.3114,0.221405,0.616465
2,200,3000,Anchorage municipality,0.0002,0.0051,1.00E-06,0.616465
2,300,3000,Anchorage municipality,0.0009,0.0537,0.000048,0.616465
26,2701,3000,Ann Arbor city,0.0001,0.0012,1.20E-07,0.919347
26,2702,3000,Ann Arbor city,0.9383,0.9797,0.919253,0.919347
26,2703,3000,Ann Arbor city,0.0049,0.0191,0.000094,0.919347
48,200,3000,Amarillo city,0.0758,0.6727,0.050991,0.063003
48,300,3000,Amarillo city,0.0367,0.3273,0.012012,0.063003
17,3005,3012,Aurora city,0.6382,0.4804,0.306591,0.389596
17,3007,3012,Aurora city,0.0195,0.0268,0.000523,0.389596
17,3009,3012,Aurora city,0.0109,0.0881,0.00096,0.389596
17,3106,3012,Aurora city,0.041,0.066,0.002706,0.389596
17,3209,3012,Aurora city,0.2457,0.3207,0.078796,0.389596
17,3700,3012,Aurora city,0.0011,0.0181,0.00002,0.389596
1,1900,3076,Auburn city,0.0998,1,0.0998,0.0998
53,11505,3180,Auburn city,0.0196,0.0556,0.00109,0.373379
53,11613,3180,Auburn city,0.0126,0.0158,0.000199,0.373379
53,11614,3180,Auburn city,0.4007,0.9286,0.37209,0.373379
13,3600,3440,Athens-Clarke County unified government (balance),0.9757,1,0.9757,0.9757
8,801,3455,Arvada city,0.0034,0.1359,0.000462,0.511655
8,804,3455,Arvada city,0.0439,0.1268,0.005567,0.511655
8,807,3455,Arvada city,0.0004,0.0019,7.60E-07,0.511655
8,817,3455,Arvada city,0.6883,0.7346,0.505625,0.511655
8,818,3455,Arvada city,0.0007,0.0007,4.90E-07,0.511655
6,2901,3526,Bakersfield city,0.0098,0.1883,0.001845,0.430557
6,2902,3526,Bakersfield city,0.7281,0.3422,0.249156,0.430557
6,2903,3526,Bakersfield city,0.429,0.2798,0.120034,0.430557
6,2904,3526,Bakersfield city,0.3399,0.1751,0.059516,0.430557
6,2905,3526,Bakersfield city,0.0004,0.0147,5.90E-06,0.430557
8,808,4000,Aurora city,0.3436,0.0643,0.022093,0.295203
8,809,4000,Aurora city,0.9894,0.1339,0.132481,0.295203
8,810,4000,Aurora city,0.9955,0.1107,0.110202,0.295203
8,811,4000,Aurora city,0.0087,0.0025,0.000022,0.295203
8,812,4000,Aurora city,0.0049,0.0017,8.30E-06,0.295203
8,815,4000,Aurora city,0.0066,0.0011,7.30E-06,0.295203
8,823,4000,Aurora city,0.0054,0.0171,0.000092,0.295203
8,824,4000,Aurora city,0.0453,0.6688,0.030297,0.295203
13,1001,4000,Atlanta city,0.1782,0.0604,0.010763,0.807613
13,1003,4000,Atlanta city,0.3797,0.1984,0.075332,0.807613
13,1006,4000,Atlanta city,0.9992,0.246,0.245803,0.807613
13,1007,4000,Atlanta city,0.988,0.1917,0.1894,0.807613
13,1008,4000,Atlanta city,0.0012,0.0007,8.40E-07,0.807613
13,2002,4000,Atlanta city,0.0604,0.0163,0.000985,0.807613
13,2004,4000,Atlanta city,0.0023,0.0006,1.40E-06,0.807613
13,4600,4000,Atlanta city,0.998,0.2859,0.285328,0.807613
24,801,4000,Baltimore city,1,0.2142,0.2142,1
24,802,4000,Baltimore city,1,0.1514,0.1514,1
24,803,4000,Baltimore city,1,0.1641,0.1641,1
24,804,4000,Baltimore city,1,0.2068,0.2068,1
24,805,4000,Baltimore city,1,0.2635,0.2635,1
48,2502,4000,Arlington city,0.323,0.1285,0.041506,0.583588
48,2503,4000,Arlington city,0.8295,0.2614,0.216831,0.583588
48,2504,4000,Arlington city,0.7248,0.2072,0.150179,0.583588
48,2505,4000,Arlington city,0.2863,0.1313,0.037591,0.583588
48,2506,4000,Arlington city,0.0396,0.0349,0.001382,0.583588
48,2507,4000,Arlington city,0.6218,0.2178,0.135428,0.583588
48,2509,4000,Arlington city,0.0353,0.019,0.000671,0.583588
13,4000,4204,Augusta-Richmond County consolidated government (balance),0.9286,0.9998,0.928414,0.928414
13,4100,4204,Augusta-Richmond County consolidated government (balance),0.0002,0.0002,4.00E-08,0.928414
4,132,4720,Avondale city,0.0042,0.0131,0.000055,0.320281
4,133,4720,Avondale city,0.6238,0.5106,0.318512,0.320281
4,134,4720,Avondale city,0.0036,0.4762,0.001714,0.320281
6,3755,4982,Bellflower city,0.128,0.2427,0.031066,0.40237
6,3756,4982,Bellflower city,0.4903,0.7573,0.371304,0.40237
22,1500,5000,Baton Rouge city,0.1877,0.2017,0.037859,0.593748
22,1501,5000,Baton Rouge city,0.8705,0.6291,0.547632,0.593748
22,1502,5000,Baton Rouge city,0.0488,0.1692,0.008257,0.593748
48,5100,5000,Austin city,0,0,0,0.661815
48,5203,5000,Austin city,0.4573,0.0637,0.02913,0.661815
48,5204,5000,Austin city,0.0003,0.0001,3.00E-08,0.661815
48,5301,5000,Austin city,0.0507,0.0256,0.001298,0.661815
48,5302,5000,Austin city,0.9645,0.0795,0.076678,0.661815
48,5303,5000,Austin city,0.7995,0.1368,0.109372,0.661815
48,5304,5000,Austin city,0.7522,0.1282,0.096432,0.661815
48,5305,5000,Austin city,0.5553,0.1654,0.091847,0.661815
48,5306,5000,Austin city,1,0.0851,0.0851,0.661815
48,5307,5000,Austin city,0.9824,0.0783,0.076922,0.661815
48,5308,5000,Austin city,0.6578,0.1358,0.089329,0.661815
48,5309,5000,Austin city,0.0623,0.0907,0.005651,0.661815
48,5400,5000,Austin city,0.0051,0.0109,0.000056,0.661815
53,11607,5210,Bellevue city,0.003,0.0033,9.90E-06,0.838351
53,11608,5210,Bellevue city,0.8903,0.9401,0.836971,0.838351
53,11609,5210,Bellevue city,0.0242,0.0566,0.00137,0.838351
53,10100,5280,Bellingham city,0.0148,1,0.0148,0.0148
41,1320,5350,Beaverton city,0.0032,0.0071,0.000023,0.424203
41,1321,5350,Beaverton city,0.0004,0.0107,4.30E-06,0.424203
41,1323,5350,Beaverton city,0.3594,0.3831,0.137686,0.424203
41,1324,5350,Beaverton city,0.4782,0.5991,0.28649,0.424203
41,400,5800,Bend city,0.0113,1,0.0113,0.0113
18,2800,5860,Bloomington city,0.0589,1,0.0589,0.0589
6,101,6000,Berkeley city,0.7782,0.9576,0.745204,0.745612
6,102,6000,Berkeley city,0.0119,0.0179,0.000213,0.745612
6,103,6000,Berkeley city,0.008,0.0244,0.000195,0.745612
42,2901,6088,Bethlehem city,0.2134,1,0.2134,0.2134
48,4400,6128,Baytown city,0.0021,0.1012,0.000213,0.269493
48,4623,6128,Baytown city,0.2996,0.8988,0.26928,0.269493
30,600,6550,Billings city,0.0002,0.2251,0.000045,0.590984
30,700,6550,Billings city,0.7626,0.7749,0.590939,0.590984
17,2000,6613,Bloomington city,0.0229,1,0.0229,0.0229
27,1408,6616,Bloomington city,0.0098,0.0083,0.000081,0.747283
27,1409,6616,Bloomington city,0.0011,0.0019,2.10E-06,0.747283
27,1410,6616,Bloomington city,0.7549,0.9898,0.7472,0.747283
1,1200,7000,Birmingham city,0.0049,0.0263,0.000129,0.495339
1,1301,7000,Birmingham city,0.7387,0.2316,0.171083,0.495339
1,1302,7000,Birmingham city,0.8998,0.3212,0.289016,0.495339
1,1303,7000,Birmingham city,0.155,0.1426,0.022103,0.495339
1,1304,7000,Birmingham city,0.0472,0.1454,0.006863,0.495339
1,1305,7000,Birmingham city,0.0462,0.133,0.006145,0.495339
25,506,7000,Boston city,0.0043,0.0006,2.60E-06,0.958631
25,507,7000,Boston city,0.0065,0.001,6.50E-06,0.958631
25,3301,7000,Boston city,0.9897,0.113,0.111836,0.958631
25,3302,7000,Boston city,0.9342,0.1843,0.172173,0.958631
25,3303,7000,Boston city,0.9983,0.1783,0.177997,0.958631
25,3304,7000,Boston city,0.9998,0.1386,0.138572,0.958631
25,3305,7000,Boston city,0.9984,0.3555,0.354931,0.958631
25,3306,7000,Boston city,0.1188,0.0261,0.003101,0.958631
25,3400,7000,Boston city,0.005,0.0025,0.000012,0.958631
25,3603,7000,Boston city,0,0,0,0.958631
48,4301,7000,Beaumont city,0.9839,0.9085,0.893873,0.894733
48,4302,7000,Beaumont city,0.0094,0.0915,0.00086,0.894733
12,9907,7300,Boca Raton city,0.0089,0.0106,0.000094,0.762239
12,9908,7300,Boca Raton city,0.7843,0.9714,0.761869,0.762239
12,9909,7300,Boca Raton city,0.0154,0.0179,0.000276,0.762239
8,801,7850,Boulder city,0.002,0.1188,0.000238,0.292861
8,802,7850,Boulder city,0.0001,0.0006,6.00E-08,0.292861
8,803,7850,Boulder city,0.3323,0.8806,0.292623,0.292861
12,9905,7875,Boynton Beach city,0.0007,0.0011,7.70E-07,0.307513
12,9906,7875,Boynton Beach city,0.3447,0.8697,0.299786,0.307513
12,9907,7875,Boynton Beach city,0.0598,0.1292,0.007726,0.307513
4,132,7940,Buckeye city,0.0338,0.0127,0.000429,0.061049
4,134,7940,Buckeye city,0.0614,0.9873,0.06062,0.061049
27,1403,7966,Brooklyn Park city,0.571,1,0.571,0.571
9,104,8000,Bridgeport city,0.9996,0.9947,0.994302,0.994305
9,105,8000,Bridgeport city,0.0006,0.0053,3.20E-06,0.994305
6,3764,8786,Buena Park city,0.0048,0.0092,0.000044,0.230426
6,5907,8786,Buena Park city,0.0146,0.0413,0.000603,0.230426
6,5908,8786,Buena Park city,0.261,0.8548,0.223103,0.230426
6,5909,8786,Buena Park city,0.0705,0.0947,0.006676,0.230426
16,400,8830,Boise City city,0.0009,0.0299,0.000027,0.287505
16,600,8830,Boise City city,0.003,0.0039,0.000012,0.287505
16,701,8830,Boise City city,0.2409,0.1169,0.028161,0.287505
16,702,8830,Boise City city,0.7049,0.3284,0.231489,0.287505
16,800,8830,Boise City city,0.0534,0.5209,0.027816,0.287505
6,3719,8954,Burbank city,0.0022,0.0035,7.70E-06,0.570104
6,3720,8954,Burbank city,0.5725,0.9958,0.570095,0.570104
6,3721,8954,Burbank city,0.0012,0.0007,8.40E-07,0.570104
25,4000,9000,Brockton city,0.512,1,0.512,0.512
25,4901,9000,Brockton city,0,0,0,0.512
40,1202,9050,Broken Arrow city,0.3956,0.6578,0.260226,0.275488
