state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
06,49670,California,Mountain View city,96.556%,90.057%,100.000%,1
06,50076,California,Murrieta city,95.305%,88.675%,100.000%,1
06,50258,California,Napa city,92.805%,87.721%,97.889%,1
06,51182,California,Newport Beach city,95.056%,89.454%,100.000%,1
06,52526,California,Norwalk city,90.945%,83.774%,98.116%,1
06,53000,California,Oakland city,90.423%,87.833%,93.014%,1
06,53322,California,Oceanside city,94.136%,89.741%,98.530%,1
06,53896,California,Ontario city,94.844%,89.949%,99.738%,1
06,53980,California,Orange city,96.209%,90.969%,100.000%,1
06,54652,California,Oxnard city,90.171%,84.573%,95.769%,1
06,55156,California,Palmdale city,93.975%,88.594%,99.355%,1
06,56000,California,Pasadena city,92.670%,88.094%,97.246%,1
06,56700,California,Perris city,92.584%,82.467%,100.000%,2
06,57456,California,Pittsburg city,94.138%,85.689%,100.000%,1
06,57792,California,Pleasanton city,95.665%,89.697%,100.000%,1
06,58072,California,Pomona city,92.632%,86.545%,98.719%,1
06,59444,California,Rancho Cordova city,92.244%,84.586%,99.901%,1
06,59451,California,Rancho Cucamonga city,96.474%,91.741%,100.000%,1
06,59920,California,Redding city,92.055%,85.821%,98.289%,1
06,60102,California,Redwood City city,95.426%,89.242%,100.000%,1
06,60466,California,Rialto city,88.229%,81.292%,95.165%,1
06,60620,California,Richmond city,90.849%,84.938%,96.760%,1
06,62000,California,Riverside city,93.898%,90.150%,97.646%,1
06,62938,California,Roseville city,94.374%,90.375%,98.374%,1
06,64000,California,Sacramento city,92.715%,90.239%,95.192%,1
06,64224,California,Salinas city,91.642%,85.466%,97.819%,1
06,65000,California,San Bernardino city,87.247%,82.472%,92.022%,1
06,65042,California,San Buenaventura (Ventura) city,93.979%,88.564%,99.394%,1
06,66000,California,San Diego city,94.385%,93.013%,95.758%,1
06,67000,California,San Francisco city,93.055%,91.478%,94.633%,1
06,68000,California,San Jose city,95.195%,93.404%,96.986%,1
06,68084,California,San Leandro city,94.301%,88.477%,100.000%,1
06,68196,California,San Marcos city,91.911%,84.237%,99.585%,1
06,68252,California,San Mateo city,95.338%,90.090%,100.000%,1
06,68378,California,San Ramon city,NA,NA,NA,NA
06,69000,California,Santa Ana city,93.008%,89.069%,96.947%,1
06,69070,California,Santa Barbara city,91.361%,84.942%,97.780%,1
06,69084,California,Santa Clara city,94.724%,90.224%,99.223%,1
06,69088,California,Santa Clarita city,95.349%,92.104%,98.594%,1
06,69196,California,Santa Maria city,91.030%,83.503%,98.556%,1
06,70000,California,Santa Monica city,94.809%,88.505%,100.000%,1
06,70098,California,Santa Rosa city,95.189%,90.943%,99.434%,1
06,72016,California,Simi Valley city,95.253%,89.237%,100.000%,1
06,73080,California,South Gate city,88.726%,81.406%,96.045%,1
06,75000,California,Stockton city,91.568%,88.533%,94.602%,1
06,77000,California,Sunnyvale city,95.124%,90.584%,99.664%,1
06,78120,California,Temecula city,94.905%,88.599%,100.000%,1
06,78582,California,Thousand Oaks city,94.525%,88.203%,100.000%,1
06,80000,California,Torrance city,95.201%,90.483%,99.918%,1
06,80238,California,Tracy city,96.702%,89.932%,100.000%,1
06,80854,California,Tustin city,95.659%,88.912%,100.000%,1
06,81344,California,Upland city,96.399%,89.612%,100.000%,1
06,81554,California,Vacaville city,93.204%,87.123%,99.285%,1
06,81666,California,Vallejo city,90.193%,84.554%,95.831%,1
06,82590,California,Victorville city,93.085%,86.862%,99.308%,1
06,82954,California,Visalia city,93.873%,88.202%,99.545%,1
06,82996,California,Vista city,96.338%,89.361%,100.000%,1
06,84200,California,West Covina city,93.552%,88.626%,98.478%,1
06,84550,California,Westminster city,93.300%,84.756%,100.000%,1
06,85292,California,Whittier city,91.031%,85.207%,96.854%,1
08,03455,Colorado,Arvada city,94.887%,90.025%,99.748%,1
08,04000,Colorado,Aurora city,92.887%,90.174%,95.600%,1
08,07850,Colorado,Boulder city,95.109%,90.571%,99.648%,1
08,12815,Colorado,Centennial city,94.920%,89.854%,99.986%,1
08,16000,Colorado,Colorado Springs city,93.975%,92.045%,95.905%,1
08,20000,Colorado,Denver city,91.367%,89.679%,93.056%,1
08,27425,Colorado,Fort Collins city,92.469%,88.638%,96.300%,1
08,32155,Colorado,Greeley city,89.559%,83.413%,95.706%,1
