state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
48,27684,Texas,Frisco city,97.037%,93.075%,100.000%,1
48,29000,Texas,Garland city,93.989%,90.105%,97.872%,1
48,30464,Texas,Grand Prairie city,92.546%,87.711%,97.382%,1
48,35000,Texas,Houston city,90.197%,88.680%,91.714%,1
48,37000,Texas,Irving city,92.347%,87.880%,96.814%,1
48,39148,Texas,Killeen city,86.674%,81.486%,91.862%,1
48,41464,Texas,Laredo city,84.715%,81.465%,87.965%,1
48,41980,Texas,League City city,96.107%,90.186%,100.000%,1
48,42508,Texas,Lewisville city,96.307%,89.828%,100.000%,1
48,43888,Texas,Longview city,88.913%,82.538%,95.289%,1
48,45000,Texas,Lubbock city,87.631%,84.639%,90.623%,1
48,45384,Texas,McAllen city,88.514%,83.944%,93.084%,1
48,45744,Texas,McKinney city,96.655%,91.780%,100.000%,1
48,47892,Texas,Mesquite city,93.726%,87.014%,100.000%,1
48,48072,Texas,Midland city,91.448%,85.961%,96.934%,1
48,48768,Texas,Mission city,87.143%,79.906%,94.380%,1
48,50820,Texas,New Braunfels city,94.093%,87.611%,100.000%,1
48,53388,Texas,Odessa city,88.535%,81.573%,95.496%,1
48,56000,Texas,Pasadena city,92.118%,85.763%,98.472%,1
48,56348,Texas,Pearland city,95.817%,89.623%,100.000%,1
48,57200,Texas,Pharr city,92.030%,84.295%,99.765%,1
48,58016,Texas,Plano city,96.340%,92.901%,99.779%,1
48,61796,Texas,Richardson city,94.814%,87.354%,100.000%,1
48,63500,Texas,Round Rock city,95.168%,89.439%,100.000%,1
48,64472,Texas,San Angelo city,86.512%,80.548%,92.475%,1
48,65000,Texas,San Antonio city,91.042%,89.408%,92.677%,1
48,70808,Texas,Sugar Land city,94.959%,89.935%,99.983%,1
48,72176,Texas,Temple city,89.739%,82.160%,97.317%,1
48,74144,Texas,Tyler city,90.470%,83.328%,97.611%,1
48,76000,Texas,Waco city,84.372%,79.209%,89.536%,1
48,79000,Texas,Wichita Falls city,87.695%,82.945%,92.444%,1
49,43660,Utah,Layton city,95.731%,89.273%,100.000%,1
49,44320,Utah,Lehi city,96.371%,91.324%,100.000%,1
49,55980,Utah,Ogden city,91.987%,85.273%,98.701%,1
49,57300,Utah,Orem city,90.299%,84.512%,96.086%,1
49,62470,Utah,Provo city,86.633%,81.200%,92.066%,1
49,65330,Utah,St. George city,92.670%,86.298%,99.041%,1
49,67000,Utah,Salt Lake City city,91.545%,87.714%,95.376%,1
49,67440,Utah,Sandy city,93.543%,86.347%,100.000%,1
49,70850,Utah,South Jordan city,92.540%,85.387%,99.693%,1
49,82950,Utah,West Jordan city,95.158%,89.093%,100.000%,1
49,83470,Utah,West Valley City city,93.458%,86.250%,100.000%,1
51,01000,Virginia,Alexandria city,93.879%,91.164%,96.594%,1
51,16000,Virginia,Chesapeake city,89.159%,86.469%,91.848%,1
51,35000,Virginia,Hampton city,93.999%,90.402%,97.597%,1
51,47672,Virginia,Lynchburg city,90.720%,85.665%,95.775%,1
51,56000,Virginia,Newport News city,90.346%,87.091%,93.601%,1
51,57000,Virginia,Norfolk city,87.337%,84.003%,90.670%,1
51,64000,Virginia,Portsmouth city,85.826%,80.849%,90.802%,1
51,67000,Virginia,Richmond city,85.482%,82.647%,88.317%,1
51,68000,Virginia,Roanoke city,81.548%,76.581%,86.515%,1
51,76432,Virginia,Suffolk city,90.551%,86.454%,94.647%,1
51,82000,Virginia,Virginia Beach city,93.613%,91.659%,95.567%,1
53,03180,Washington,Auburn city,93.807%,85.966%,100.000%,1
53,05210,Washington,Bellevue city,97.123%,92.867%,100.000%,1
53,05280,Washington,Bellingham city,91.539%,85.868%,97.210%,1
53,22640,Washington,Everett city,91.955%,85.988%,97.922%,1
53,23515,Washington,Federal Way city,91.671%,84.006%,99.335%,1
53,35275,Washington,Kennewick city,89.811%,83.339%,96.283%,1
53,35415,Washington,Kent city,95.107%,88.703%,100.000%,1
53,35940,Washington,Kirkland city,96.168%,90.792%,100.000%,1
53,53545,Washington,Pasco city,95.755%,89.640%,100.000%,1
53,57745,Washington,Renton city,93.141%,87.375%,98.907%,1
53,63000,Washington,Seattle city,93.603%,91.678%,95.528%,1
53,67000,Washington,Spokane city,91.301%,87.704%,94.898%,1
53,67167,Washington,Spokane Valley city,92.636%,86.576%,98.696%,1
53,70000,Washington,Tacoma city,92.450%,87.867%,97.034%,1
53,74060,Washington,Vancouver city,92.122%,87.548%,96.695%,1
53,80010,Washington,Yakima city,87.042%,80.970%,93.114%,1
55,02375,Wisconsin,Appleton city,93.690%,88.230%,99.150%,1
55,31000,Wisconsin,Green Bay city,89.779%,84.806%,94.752%,1
55,39225,Wisconsin,Kenosha city,89.820%,85.068%,94.571%,1
55,48000,Wisconsin,Madison city,91.564%,88.423%,94.706%,1
55,53000,Wisconsin,Milwaukee city,88.465%,86.236%,90.694%,1
55,66000,Wisconsin,Racine city,86.134%,79.411%,92.857%,1
