year,state,county,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2019,01,001,all,All,57,57,57,0.00625,1,1
2019,01,001,race-ethnicity,"Black, Non-Hispanic",26,26,26,0.0109335576,1,1
2019,01,001,race-ethnicity,Hispanic,,,,,,
2019,01,001,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,001,race-ethnicity,"White, Non-Hispanic",25,25,25,0.0041995632,1,1
2019,01,003,all,All,167,167,167,0.0050878957,1,1
2019,01,003,race-ethnicity,"Black, Non-Hispanic",41,40,42,0.0114621191,1,1
2019,01,003,race-ethnicity,Hispanic,28,28,28,0.0083882564,1,1
2019,01,003,race-ethnicity,Other Races and Ethnicities,3,2,4,0.0010319917,3,3
2019,01,003,race-ethnicity,"White, Non-Hispanic",82,82,82,0.0035650624,1,1
2019,01,005,all,All,17,16,18,0.0026550055,3,3
2019,01,005,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,01,005,race-ethnicity,Hispanic,,,,,,
2019,01,005,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,005,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,01,007,all,All,41,41,41,0.0126426149,1,1
2019,01,007,race-ethnicity,"Black, Non-Hispanic",18,18,18,0.0250347705,1,1
2019,01,007,race-ethnicity,Hispanic,5,5,5,0.034965035,1,1
2019,01,007,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,007,race-ethnicity,"White, Non-Hispanic",15,15,15,0.0064683053,1,1
2019,01,009,all,All,104,104,104,0.013589442,1,1
2019,01,009,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,01,009,race-ethnicity,Hispanic,34,34,34,0.0281690141,1,1
2019,01,009,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,009,race-ethnicity,"White, Non-Hispanic",65,65,65,0.0103750998,1,1
2019,01,011,all,All,11,11,11,0.0075394106,3,3
2019,01,011,race-ethnicity,"Black, Non-Hispanic",8,8,8,0.0067453626,3,3
2019,01,011,race-ethnicity,Hispanic,3,3,3,0.0124481328,3,3
2019,01,011,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,011,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,01,013,all,All,108,108,108,0.0365853659,1,1
2019,01,013,race-ethnicity,"Black, Non-Hispanic",76,76,76,0.0411255411,1,1
2019,01,013,race-ethnicity,Hispanic,,,,,,
2019,01,013,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,013,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,01,015,all,All,250,250,250,0.0143661648,1,1
2019,01,015,race-ethnicity,"Black, Non-Hispanic",101,99,103,0.0212631579,1,1
2019,01,015,race-ethnicity,Hispanic,7,4,10,0.0057613169,3,3
2019,01,015,race-ethnicity,Other Races and Ethnicities,9,6,12,0.0204545455,3,3
2019,01,015,race-ethnicity,"White, Non-Hispanic",112,109,115,0.0101845958,2,2
2019,01,017,all,All,28,27,29,0.0063176895,3,3
