year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2019,04,46000,race-ethnicity,"White, Non-Hispanic",281,277,285,0.0095731271,1,1
2019,04,54050,all,All,,,,,,
2019,04,54050,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,04,54050,race-ethnicity,Hispanic,,,,,,
2019,04,54050,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,04,54050,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,04,55000,all,All,5001,4987,5015,0.0236822291,1,1
2019,04,55000,race-ethnicity,"Black, Non-Hispanic",915,893,937,0.0615250134,1,1
2019,04,55000,race-ethnicity,Hispanic,2756,2732,2780,0.0221628924,1,1
2019,04,55000,race-ethnicity,Other Races and Ethnicities,473,422,524,0.0306943543,3,3
2019,04,55000,race-ethnicity,"White, Non-Hispanic",686,658,714,0.012133647,2,2
2019,04,65000,all,All,165,165,165,0.0057571528,1,1
2019,04,65000,race-ethnicity,"Black, Non-Hispanic",40,40,40,0.0374531835,1,1
2019,04,65000,race-ethnicity,Hispanic,55,54,56,0.0092266398,1,1
2019,04,65000,race-ethnicity,Other Races and Ethnicities,42,40,44,0.0139211137,2,2
2019,04,65000,race-ethnicity,"White, Non-Hispanic",25,24,26,0.0013430751,2,2
2019,04,71510,all,All,111,111,111,0.0036739152,1,1
2019,04,71510,race-ethnicity,"Black, Non-Hispanic",16,15,17,0.0078086872,3,3
2019,04,71510,race-ethnicity,Hispanic,34,33,35,0.0031388479,2,2
2019,04,71510,race-ethnicity,Other Races and Ethnicities,5,2,8,0.0018552876,3,3
2019,04,71510,race-ethnicity,"White, Non-Hispanic",43,42,44,0.0029377605,1,1
2019,04,73000,all,All,632,632,632,0.0148730379,1,1
2019,04,73000,race-ethnicity,"Black, Non-Hispanic",206,206,206,0.045264777,1,1
2019,04,73000,race-ethnicity,Hispanic,228,228,228,0.0140993136,1,1
2019,04,73000,race-ethnicity,Other Races and Ethnicities,140,140,140,0.019765636,1,1
2019,04,73000,race-ethnicity,"White, Non-Hispanic",57,56,58,0.003880719,1,1
2019,04,77000,all,All,2508,2503,2513,0.026928652,1,1
2019,04,77000,race-ethnicity,"Black, Non-Hispanic",168,159,177,0.0376091336,3,3
2019,04,77000,race-ethnicity,Hispanic,1594,1585,1603,0.0268025289,1,1
2019,04,77000,race-ethnicity,Other Races and Ethnicities,287,268,306,0.0396957123,3,3
2019,04,77000,race-ethnicity,"White, Non-Hispanic",413,404,422,0.0188017846,1,1
2019,04,85540,all,All,284,284,284,0.0100616453,1,1
2019,04,85540,race-ethnicity,"Black, Non-Hispanic",21,21,21,0.056,1,1
2019,04,85540,race-ethnicity,Hispanic,211,211,211,0.0095117883,1,1
2019,04,85540,race-ethnicity,Other Races and Ethnicities,15,14,16,0.0177725118,3,3
2019,04,85540,race-ethnicity,"White, Non-Hispanic",32,32,32,0.0066334992,1,1
2019,05,23290,all,All,240,240,240,0.0225818592,1,1
2019,05,23290,race-ethnicity,"Black, Non-Hispanic",69,69,69,0.0649717514,1,1
2019,05,23290,race-ethnicity,Hispanic,29,29,29,0.0226032736,1,1
2019,05,23290,race-ethnicity,Other Races and Ethnicities,44,44,44,0.03514377,1,1
2019,05,23290,race-ethnicity,"White, Non-Hispanic",97,97,97,0.0137960461,1,1
