year,state,county,descriptive_representation_asian_other,descriptive_representation_asian_other_quality,descriptive_representation_black_nonhispanic,descriptive_representation_black_nonhispanic_quality,descriptive_representation_hispanic,descriptive_representation_hispanic_quality,descriptive_representation_white_nonhispanic,descriptive_representation_white_nonhispanic_quality
2018,01,001,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,003,0,3,0.4225476522547652,3,0,3,1.522751641871063,3
2018,01,005,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,007,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,009,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,011,0,3,0.7661659742196654,3,0,3,2.9235772357723575,3
2018,01,013,0,3,0.5945279383429671,3,0,3,1.72168284789644,3
2018,01,015,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,017,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,019,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,021,0,3,1.0598881666457334,3,0,3,1.083178070885769,3
2018,01,023,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,025,0,3,0.6884888801071012,3,0,3,1.3249900169546018,3
2018,01,027,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,029,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,031,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,033,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,035,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,037,0,3,0,3,0,3,1.1264367816091954,3
2018,01,039,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,041,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,043,0,3,0,3,0,3,1.1381126554498902,3
2018,01,045,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,047,0,3,0,3,0,3,1.4026022304832717,3
2018,01,049,0,3,0,3,0,3,1.165137614678899,3
2018,01,051,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,053,0,3,0,3,0,3,1.5718832891246686,3
2018,01,055,0,3,1.2636897644834375,3,0,3,0.9132735519104546,3
2018,01,057,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,059,0,3,0,3,0,3,1.058703071672355,3
2018,01,061,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,063,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,065,0,3,0.8837567359507311,3,0,3,1.3965936739659366,3
2018,01,067,0,3,0.4198373983739837,3,0,3,1.5015119795301235,3
