year,state,place,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_quality
2018,01,03076,14446.763219999999,11245.376699999999,19248.842999999997,47818.1784,40017.3315,56733.43199999999,109414.476,103943.75219999999,118127.1102,2
2018,01,07000,13372.880399999998,12157.163999999999,15196.454999999998,39510.782999999996,35458.395,43259.24189999999,82060.85699999999,78008.469,90165.63299999999,3
2018,01,35896,33432.200999999994,30392.909999999996,36471.492,76083.58469999999,70916.79,81047.76,151458.00149999998,141529.65089999998,161892.9006,3
2018,01,37000,22906.12317,20261.94,25327.425,56733.43199999999,52681.043999999994,61393.678199999995,119950.68479999999,111460.93194,126839.7444,3
2018,01,50000,15095.145299999998,13170.260999999999,16209.551999999998,40523.88,36876.7308,44474.9583,81047.76,76792.75259999999,90570.8718,3
2018,01,51000,18843.604199999998,17222.648999999998,21072.417599999997,50654.85,48628.655999999995,55720.33499999999,102353.18990999999,95940.28589999999,108401.37899999999,3
2018,01,77256,14082.048299999999,9431.93307,18742.2945,47615.558999999994,41131.7382,52833.00855,95281.77285,79426.8048,111440.66999999998,2
2018,02,03000,41638.2867,36471.492,45082.81649999999,82060.85699999999,72132.5064,92799.68519999999,156219.5574,148874.60415,167161.00499999998,2
2018,04,04720,32419.103999999996,26340.521999999997,37484.589,62710.7043,55720.33499999999,71119.40939999999,107388.28199999999,98878.26719999999,123597.83399999999,2
2018,04,07940,34850.536799999994,27860.167499999996,42144.835199999994,71727.26759999999,65040.827399999995,80034.663,126637.12499999999,115493.05799999999,142147.64007,2
2018,04,12000,34850.536799999994,30392.909999999996,38507.81697,81047.76,76995.37199999999,87531.5808,151964.55,142350.25947,160069.326,3
2018,04,23620,25023.495899999998,21578.966099999998,29379.813,63531.312869999994,59063.5551,68687.9766,121571.63999999998,111440.66999999998,140820.48299999998,3
2018,04,27400,51657.816029999994,47615.558999999994,55720.33499999999,99080.8866,94218.021,102424.10669999999,162095.52,155003.841,172226.49,1
2018,04,27820,25935.283199999998,23301.231,27556.2384,55720.33499999999,53592.8313,60785.81999999999,103437.2037,98270.40899999999,110427.57299999999,1
2018,04,28380,46602.462,40280.73671999999,55619.025299999994,90165.63299999999,80217.02046,98270.40899999999,154395.9828,137781.19199999998,176076.25859999997,2
2018,04,46000,26340.521999999997,25124.8056,28366.715999999997,55720.33499999999,53592.8313,58759.626,105463.39769999999,101309.7,109414.476,2
2018,04,54050,34850.536799999994,30392.909999999996,37484.589,69397.1445,61798.916999999994,75475.72649999999,124003.0728,116506.15499999998,130689.51299999999,2
2018,04,55000,25631.354099999997,25327.425,27657.548099999996,57746.528999999995,55922.954399999995,60785.81999999999,116506.15499999998,113466.86399999999,121571.63999999998,2
2018,04,65000,36826.07595,33736.130099999995,42550.07399999999,86923.7226,82060.85699999999,91786.5882,182357.46,172226.49,202619.4,3
2018,04,71510,36187.824839999994,32976.307349999995,40523.88,68890.59599999999,63318.56249999999,75982.275,113466.86399999999,106375.185,125624.02799999999,1
2018,04,73000,25327.425,22288.134,30392.909999999996,59671.41329999999,54707.238,62812.013999999996,119140.20719999999,108401.37899999999,125624.02799999999,3
2018,04,77000,20261.94,19552.7721,22288.134,45184.1262,42651.3837,46805.081399999995,89760.3942,86113.245,93204.924,2
2018,04,85540,21680.2758,18235.746,23909.0892,43157.932199999996,37889.8278,48628.655999999995,83073.954,80642.52119999999,93914.09189999998,2
2018,05,23290,20869.798199999997,16716.100499999997,24314.327999999998,47615.558999999994,45589.365,51404.54177999999,102322.79699999999,97257.31199999999,112453.76699999999,2
2018,05,24550,20059.3206,17627.887799999997,23301.231,46886.12916,41739.596399999995,52174.4955,95332.42769999999,88645.98749999999,107996.1402,2
