year,state,place,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2021,01,03076,race-ethnicity,"Black, Non-Hispanic",10931.31663,2,30588.8616,2,75998.942862,2
2021,01,03076,race-ethnicity,Hispanic,22352.332845,2,37280.838897,2,101657.192271,2
2021,01,03076,race-ethnicity,Other Races and Ethnicities,21410.023275,2,63188.169498,2,126375.33284700001,2
2021,01,03076,race-ethnicity,"White, Non-Hispanic",20009.285163,2,66275.349438,2,130388.506455,2
2021,01,03076,all,All,18538.704,2,52217.3496,2,103713.7496,2
2021,01,07000,race-ethnicity,"Black, Non-Hispanic",12740.9814,2,32355.278889,2,68064.142779,2
2021,01,07000,race-ethnicity,Hispanic,22352.332845,2,42125.446332,2,81158.3264,2
2021,01,07000,race-ethnicity,Other Races and Ethnicities,16849.977303,2,45916.615764,2,100564.060608,2
2021,01,07000,race-ethnicity,"White, Non-Hispanic",27557.251497000005,2,65715.615786,2,132968.416785,2
2021,01,07000,all,All,14830.9632,2,41712.084,2,95783.304,2
2021,01,35896,race-ethnicity,"Black, Non-Hispanic",25275.469029,3,55434.392169,3,114322.008,3
2021,01,35896,race-ethnicity,Hispanic,28713.300092701193,3,62663.35547221198,3,128461.149795,3
2021,01,35896,race-ethnicity,Other Races and Ethnicities,35806.830612,3,80142.786297,3,174057.832,3
2021,01,35896,race-ethnicity,"White, Non-Hispanic",41129.101386,3,90636.74492366824,3,178668.38887209108,3
2021,01,35896,all,All,34605.5808,3,73433.8664,3,159844.8256,3
2021,01,37000,race-ethnicity,"Black, Non-Hispanic",13411.399707,2,36964.908111,2,81326.361675,2
2021,01,37000,race-ethnicity,Hispanic,20009.285163,2,40785.1488,2,98378.810379,2
2021,01,37000,race-ethnicity,Other Races and Ethnicities,26327.900883,2,73192.309005,2,136486.124148,2
2021,01,37000,race-ethnicity,"White, Non-Hispanic",33448.410552,2,77720.985654,2,154520.09784,2
2021,01,37000,all,All,30485.8688,2,73124.888,2,146867.7328,2
2021,01,50000,race-ethnicity,"Black, Non-Hispanic",13663.639239,1,34646.368707,1,71724.33558,1
2021,01,50000,race-ethnicity,Hispanic,20536.507239,1,42845.0048,1,101698.368165,1
2021,01,50000,race-ethnicity,Other Races and Ethnicities,25291.859268,1,52656.807915,1,97416.36351,1
2021,01,50000,race-ethnicity,"White, Non-Hispanic",26749.477313999996,1,61541.590362,1,122561.432,1
2021,01,50000,all,All,18538.704,1,43256.976,1,98358.12399999998,1
2021,01,51000,race-ethnicity,"Black, Non-Hispanic",15164.677728,1,40679.549295,1,76516.177119,1
2021,01,51000,race-ethnicity,Hispanic,25748.2,1,42892.28578628001,1,104048.886537,1
2021,01,51000,race-ethnicity,Other Races and Ethnicities,23168.593023,1,69623.1328,1,145291.680276,1
2021,01,51000,race-ethnicity,"White, Non-Hispanic",31594.084749,1,71081.88336,1,134148.122,1
2021,01,51000,all,All,18538.704,1,49137.86488,1,99388.052,1
2021,01,77256,race-ethnicity,"Black, Non-Hispanic",14876.045250523504,2,33987.624,2,69005.176,2
2021,01,77256,race-ethnicity,Hispanic,26234.146815,2,67058.009724,2,82394.24,2
2021,01,77256,race-ethnicity,Other Races and Ethnicities,16913.86788,2,36546.392838,2,99102.21247734426,2
2021,01,77256,race-ethnicity,"White, Non-Hispanic",21861.620163,2,60716.965916166475,2,129534.640707,2
2021,01,77256,all,All,13801.0352,2,37489.3792,2,88161.8368,2
2021,02,03000,race-ethnicity,"Black, Non-Hispanic",31594.084749,1,66979.33893,1,105548.919009,1
2021,02,03000,race-ethnicity,Hispanic,34541.542215,1,68979.563142,1,126907.62189899999,1
2021,02,03000,race-ethnicity,Other Races and Ethnicities,34760.371167,1,79128.572817,1,145515.153045,1
2021,02,03000,race-ethnicity,"White, Non-Hispanic",48172.804905,1,98487.211758,1,175988.119161,1
2021,02,03000,all,All,38107.336,1,83918.53344,1,160668.768,1
2021,04,04720,race-ethnicity,"Black, Non-Hispanic",29803.139529,2,57272.191065,2,125754.2088,2
2021,04,04720,race-ethnicity,Hispanic,36181.746258,2,69506.785218,2,115867.90389,2
