year,state,county,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,02,185,25428.7347,3,63825.111,3,113875.18261487992,3
2018,02,188,25428.7347,3,63825.111,3,114484.72660828789,3
2018,02,195,NA,3,NA,3,NA,3
2018,02,198,25448.766464361604,3,63825.111,3,114470.7539744642,3
2018,02,220,25428.7347,3,63825.111000000004,3,114314.36421676814,3
2018,02,230,NA,3,NA,3,NA,3
2018,02,240,NA,3,NA,3,NA,3
2018,02,275,NA,3,NA,3,NA,3
2018,02,282,NA,3,NA,3,NA,3
2018,02,290,25472.088767779205,3,63825.111,3,113968.90624454433,3
2018,04,001,11144.067,2,35458.395,2,78211.0884,2
2018,04,003,19248.843,2,45589.365,2,91178.73,2
2018,04,005,25023.4959,1,63531.31287,1,121571.64,1
2018,04,007,18235.746,2,48122.1075,2,86113.245,2
2018,04,009,18235.746,3,48122.1075,3,86113.245,3
2018,04,011,18235.746,3,48122.1075,3,86113.245,3
2018,04,012,18742.2945,3,42550.074,3,79224.1854,3
2018,04,013,30190.2906,1,65446.0662,1,126637.125,1
2018,04,015,18742.2945,1,42550.074,1,79158.37461887956,1
2018,04,017,11144.067,2,35458.395,2,78211.0884,2
2018,04,019,24111.7086,1,53592.8313,1,109110.5469,1
2018,04,021,27454.9287,1,60785.82,1,101309.7,1
2018,04,023,19248.843,3,45589.365,3,91178.73,3
2018,04,025,21275.037,1,48122.1075,1,93914.0919,1
2018,04,027,21680.2758,1,43157.9322,1,83073.954,1
2018,05,001,16006.9326,3,39321.212289359995,3,82060.857,3
2018,05,003,16209.552,3,38497.686,3,85302.7674,3
2018,05,005,17141.60124,3,39612.0927,3,81047.76,3
2018,05,007,33634.8204,1,68789.2863,1,133384.35102,1
2018,05,009,17141.60124,3,39612.0927,3,81047.76,3
2018,05,011,16209.552,3,38497.686,3,85302.7674,3
2018,05,013,NA,3,NA,3,NA,3
2018,05,015,17141.60124,3,39672.701228025006,3,81047.76,3
2018,05,017,16209.552,3,38497.686,3,85302.7674,3
2018,05,019,18944.9139,3,42550.07400000001,3,84087.051,3
2018,05,021,17526.5781,3,42554.126388,3,85100.148,3
2018,05,023,17526.5781,3,40422.5703,3,75121.14255,3
2018,05,025,16209.552,3,38497.686,3,85302.7674,3
2018,05,027,14487.287099999998,3,42550.074,3,86113.245,3
2018,05,029,20261.94,3,41435.6673,3,70916.79,3
2018,05,031,18235.746,2,42550.074,2,85100.148,2
2018,05,033,20059.3206,3,46901.13717895811,3,95332.4277,3
2018,05,035,18944.9139,2,40523.88,2,90165.633,2
2018,05,037,11346.6864,3,36471.492,3,74158.7004,3
2018,05,039,14487.2871,3,42550.074,3,86113.245,3
2018,05,041,16209.552,3,38497.686,3,85302.7674,3
2018,05,043,16209.552,3,38497.686,3,85302.76740000001,3
2018,05,045,21882.8952,2,50654.85,2,109617.0954,2
2018,05,047,16209.552,3,40523.88,3,81047.76,3
2018,05,049,17526.5781,3,40421.224907184,3,75125.891948736,3
2018,05,051,18944.9139,2,42550.074,2,84087.051,2
2018,05,053,15804.3132,3,39916.0218,3,81047.76,3
2018,05,055,17526.5781,3,42554.126388,3,85100.148,3
2018,05,057,17020.0296,3,36978.0405,3,78616.3272,3
2018,05,059,18944.9139,3,42550.074,3,84087.051,3
2018,05,061,16209.552,3,40523.88,3,81047.76,3
2018,05,063,17526.5781,3,40422.5703,3,75121.14255,3
2018,05,065,17526.5781,3,40422.5703,3,75145.65139262399,3
2018,05,067,17222.649,3,39814.7121,3,82162.1667,3
2018,05,069,15804.3132,2,39916.0218,2,81047.76,2
2018,05,071,20261.94,3,41435.6673,3,70916.79,3
2018,05,073,17020.0296,3,36978.0405,3,78619.33407189601,3
2018,05,075,17526.5781,3,42554.126388,3,85100.148,3
2018,05,077,11346.6864,3,36471.492,3,74158.7004,3
2018,05,079,16209.552,3,38497.686,3,85302.7674,3
2018,05,081,17020.0296,3,36978.0405,3,78616.3272,3
2018,05,083,16209.552,3,40523.88,3,81047.76,3
2018,05,085,21882.8952,2,50654.85,2,109617.09539999999,2
2018,05,087,17141.60124,3,39664.16588579997,3,81047.76,3
2018,05,089,17141.60124,3,39675.81650129999,3,81047.76,3
2018,05,091,17020.0296,2,36978.0405,2,78616.3272,2
2018,05,093,18944.9139,2,40523.88,2,90165.633,2
2018,05,095,11346.6864,3,36471.492,3,74158.7004,3
2018,05,097,18944.9139,3,42550.074,3,84087.051,3
2018,05,099,17020.0296,3,36978.0405,3,78616.3272,3
2018,05,101,17141.60124,3,39713.40239999999,3,81047.76,3
2018,05,103,14487.2871,3,42550.074,3,86113.245,3
2018,05,105,20261.94,3,41435.6673,3,70916.79,3
2018,05,107,11346.6864,3,36471.492,3,74158.7004,3
2018,05,109,17020.0296,3,36978.0405,3,78616.3272,3
2018,05,111,11346.6864,3,36471.492,3,74158.7004,3
2018,05,113,16209.552,3,40523.88,3,81047.76,3
2018,05,115,20261.94,2,41435.6673,2,70916.79,2
2018,05,117,17222.649,3,39814.7121,3,82162.1667,3
2018,05,119,21680.2758,1,50654.85,1,112555.0767,1
2018,05,121,17526.5781,3,42554.126388,3,85100.148,3
2018,05,123,11346.6864,3,36471.492,3,74158.7004,3
2018,05,125,31406.007,1,62812.014,1,110964.51441,1
2018,05,127,16209.552,3,40523.88,3,81047.76,3
2018,05,129,17141.60124,3,39713.4024,3,81047.76,3
2018,05,131,20059.3206,2,46886.12916,2,95271.89312805643,2
2018,05,133,16209.552,3,40523.88,3,81047.76,3
2018,05,135,17526.5781,3,40422.5703,3,75140.72368881604,3
2018,05,137,17526.5781,3,40422.5703,3,75121.14255,3
2018,05,139,14487.2871,2,42550.074,2,86113.245,2
2018,05,141,17526.5781,3,40422.5703,3,75125.47050038399,3
2018,05,143,20869.7982,1,47615.559,1,102322.797,1
2018,05,145,17222.649,2,39814.7121,2,82162.1667,2
2018,05,147,17222.649,3,39814.7121,3,82162.1667,3
2018,05,149,20261.94,3,41435.6673,3,70916.79,3
2018,06,001,39004.2345,1,102221.4873,1,204392.31975,1
2018,06,003,NA,3,NA,3,NA,3
2018,06,005,24922.1862,3,56936.0514,3,118025.8005,3
2018,06,007,20261.94,1,50654.85,1,110427.573,1
2018,06,009,24922.1862,3,56936.0514,3,118025.8005,3
2018,06,011,19248.843,3,47615.559,3,91178.73,3
2018,06,013,40858.20201,1,102120.1776,1,202619.4,1
2018,06,015,23402.5407,3,53585.07908175596,3,103335.894,3
2018,06,017,34536.47673,1,86113.245,1,169187.199,1
2018,06,019,22288.134,1,51971.8761,1,108401.379,1
2018,06,021,19248.843,3,47615.559,3,91178.73,3
2018,06,023,20261.94,1,50654.85,1,98067.7896,1
