year,state,county,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,01,023,race-ethnicity,Hispanic,0,3,15417.809825,3,85063.241058,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,16780.681455,3,35726.36860007474,3,88564.970024,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",17302.662334350003,3,44540.853072,3,90165.633,3
2018,01,023,all,All,13778.1192,3,37484.589,3,81047.76,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",9528.607825,3,23554.79115,3,53397.97702500804,3
2018,01,025,race-ethnicity,Hispanic,0,3,15417.809825,3,85063.241058,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,16716.920768220065,3,35458.395,3,88564.970024,3
2018,01,025,race-ethnicity,"White, Non-Hispanic",17323.816312575,3,44540.853072,3,90140.74975275411,3
2018,01,025,all,All,13778.119199999997,3,37484.589,3,81047.76,3
2018,01,027,race-ethnicity,"Black, Non-Hispanic",13438.561461551999,3,30798.148800000003,3,62206.467944000004,3
2018,01,027,race-ethnicity,Hispanic,9700.049676,3,19888.065252,3,37473.073,3
2018,01,027,race-ethnicity,Other Races and Ethnicities,9741.738077024398,3,25236.246269999996,3,70925.72684929195,3
2018,01,027,race-ethnicity,"White, Non-Hispanic",19845.05248,3,44955.440562,3,84687.910384,3
2018,01,027,all,All,15500.3841,3,38497.686,3,80034.663,3
2018,01,029,race-ethnicity,"Black, Non-Hispanic",13450.476999576,3,30880.882207340994,3,62206.467944000004,3
2018,01,029,race-ethnicity,Hispanic,9700.049676,3,19888.065252,3,37473.073,3
2018,01,029,race-ethnicity,Other Races and Ethnicities,9720.818311972198,3,25236.24627,3,69903.693,3
2018,01,029,race-ethnicity,"White, Non-Hispanic",19845.05248,3,44957.296326820004,3,84687.910384,3
2018,01,029,all,All,15500.3841,3,38497.686,3,80034.663,3
2018,01,031,race-ethnicity,"Black, Non-Hispanic",10187.8612,2,29184.843072,2,58244.61115,2
2018,01,031,race-ethnicity,Hispanic,26358.50208,2,68986.347147,2,101755.46268,2
2018,01,031,race-ethnicity,Other Races and Ethnicities,15388.426416,2,38497.686,2,94882.897437,2
2018,01,031,race-ethnicity,"White, Non-Hispanic",21413.904875,2,51056.453888,2,101427.838432,2
2018,01,031,all,All,16918.7199,2,47615.559,2,97257.312,2
2018,01,033,race-ethnicity,"Black, Non-Hispanic",12967.963689865994,3,29785.0518,3,62150.709507,3
2018,01,033,race-ethnicity,Hispanic,13920.2987,3,26932.007826,3,88564.970024,3
2018,01,033,race-ethnicity,Other Races and Ethnicities,18483.194272,3,35839.571727,3,79021.566,3
2018,01,033,race-ethnicity,"White, Non-Hispanic",20095.358997,3,46801.081888,3,90206.877552,3
2018,01,033,all,All,19046.2236,3,48628.656,3,90165.633,3
2018,01,035,race-ethnicity,"Black, Non-Hispanic",9528.607825,3,23533.188697968402,3,53492.910306176,3
2018,01,035,race-ethnicity,Hispanic,0,3,15417.809825,3,85063.241058,3
2018,01,035,race-ethnicity,Other Races and Ethnicities,16637.298121256743,3,35794.96347558015,3,88564.970024,3
2018,01,035,race-ethnicity,"White, Non-Hispanic",17323.9587,3,44540.853072,3,90155.8907948683,3
2018,01,035,all,All,13778.1192,3,37484.589,3,81047.76,3
2018,01,037,race-ethnicity,"Black, Non-Hispanic",12735.076816,3,27967.465362,3,60785.81999999999,3
2018,01,037,race-ethnicity,Hispanic,26531.493472,3,37788.518099999994,3,63260.404991999996,3
2018,01,037,race-ethnicity,Other Races and Ethnicities,14220.879671876999,3,52084.238895999995,3,72139.24805009448,3
2018,01,037,race-ethnicity,"White, Non-Hispanic",19505.896092,3,50639.558967404795,3,94462.32215645326,3
2018,01,037,all,All,16036.312413000043,3,43247.21137312509,3,84593.5995,3
2018,01,039,race-ethnicity,"Black, Non-Hispanic",10242.4828370755,3,29184.843072,3,58244.61115,3
2018,01,039,race-ethnicity,Hispanic,26358.50208,3,68986.347147,3,101755.46268,3
2018,01,039,race-ethnicity,Other Races and Ethnicities,15388.426416,3,38326.55365476,3,94882.897437,3
2018,01,039,race-ethnicity,"White, Non-Hispanic",21413.904875,3,51056.453888,3,101427.838432,3
2018,01,039,all,All,16918.7199,3,47615.559,3,97257.312,3
2018,01,041,race-ethnicity,"Black, Non-Hispanic",10252.199579792501,3,29184.843072000003,3,58200.49285664242,3
2018,01,041,race-ethnicity,Hispanic,26358.50208,3,68986.347147,3,101755.46268,3
2018,01,041,race-ethnicity,Other Races and Ethnicities,15388.426416,3,38428.5927846,3,94740.19207460922,3
2018,01,041,race-ethnicity,"White, Non-Hispanic",21413.904875,3,51138.527592362014,3,101457.75478514162,3
2018,01,041,all,All,16918.7199,3,47615.559,3,97257.312,3
2018,01,043,race-ethnicity,"Black, Non-Hispanic",19246.3014982832,1,35263.19062265598,1,69450.17402883995,1
2018,01,043,race-ethnicity,Hispanic,19272.010175,1,41018.881785,1,74631.815334,1
2018,01,043,race-ethnicity,Other Races and Ethnicities,13704.495749999998,1,22816.804032,1,50958.7791,1
2018,01,043,race-ethnicity,"White, Non-Hispanic",19102.114592,1,41919.919888,1,83696.11353,1
2018,01,043,all,All,19451.4624,1,44373.6486,1,87227.6517,1
2018,01,045,race-ethnicity,"Black, Non-Hispanic",11133.8474,3,26766.624775,3,56246.0052,3
2018,01,045,race-ethnicity,Hispanic,17713.39704,3,39915.5656356975,3,59294.52932168401,3
2018,01,045,race-ethnicity,Other Races and Ethnicities,18677.578656,3,38544.02035,3,84348.214244,3
2018,01,045,race-ethnicity,"White, Non-Hispanic",21275.037,3,52183.656410172,3,99018.58751056643,3
2018,01,045,all,All,17222.649,3,45386.7456,3,95069.02248,3
2018,01,047,race-ethnicity,"Black, Non-Hispanic",9117.873,3,21984.2049,3,49236.5142,3
2018,01,047,race-ethnicity,Hispanic,21841.477075,3,44433.22235,3,75545.48526684,3
2018,01,047,race-ethnicity,Other Races and Ethnicities,33926.816916544,3,71680.15464299999,3,434112.0645,3
2018,01,047,race-ethnicity,"White, Non-Hispanic",20236.064475,3,50834.17328,3,99283.506,3
2018,01,047,all,All,10130.97,3,28164.096599999997,3,73246.9131,3
2018,01,049,race-ethnicity,"Black, Non-Hispanic",12968.665148,2,25935.2832,2,56724.181636,2
2018,01,049,race-ethnicity,Hispanic,12848.342925,2,28974.5742,2,54604.1969,2
2018,01,049,race-ethnicity,Other Races and Ethnicities,13597.6027,2,33432.200999999994,2,67122.72581999999,2
2018,01,049,race-ethnicity,"White, Non-Hispanic",15919.096335999999,2,39983.424249,2,79075.50624,2
2018,01,049,all,All,14689.906499999997,2,35458.395,2,75982.275,2
2018,01,051,race-ethnicity,"Black, Non-Hispanic",12430.546377,2,36268.8726,2,81370.821675,2
2018,01,051,race-ethnicity,Hispanic,20509.946486999997,2,38396.376299999996,2,79075.50623999999,2
2018,01,051,race-ethnicity,Other Races and Ethnicities,23195.683348,2,47719.679425,2,86456.08834,2
2018,01,051,race-ethnicity,"White, Non-Hispanic",27834.6185,2,63600.754533,2,114978.256434,2
2018,01,051,all,All,20160.6303,2,53694.141,2,102322.797,2
2018,01,053,race-ethnicity,"Black, Non-Hispanic",9528.607825,3,23554.79115,3,53377.60534004815,3
2018,01,053,race-ethnicity,Hispanic,0,3,15417.809825,3,85063.241058,3
2018,01,053,race-ethnicity,Other Races and Ethnicities,16447.866512,3,35458.395,3,88564.970024,3
2018,01,053,race-ethnicity,"White, Non-Hispanic",17297.18956371003,3,44540.853072,3,90153.96209642456,3
2018,01,053,all,All,13778.1192,3,37484.589,3,81047.76,3
2018,01,055,race-ethnicity,"Black, Non-Hispanic",12841.2108,1,30899.4585,1,62944.02236,1
2018,01,055,race-ethnicity,Hispanic,18977.91998,1,28467.383764,1,41389.249968,1
2018,01,055,race-ethnicity,Other Races and Ethnicities,9700.049675999999,1,27346.595315999995,1,87341.25998399999,1
2018,01,055,race-ethnicity,"White, Non-Hispanic",20163.454432,1,47013.349856,1,89936.383625,1
2018,01,055,all,All,22288.134,1,45386.7456,1,89152.536,1
2018,01,057,race-ethnicity,"Black, Non-Hispanic",9928.3506,3,20243.450508,3,47861.643307762555,3
2018,01,057,race-ethnicity,Hispanic,16573.38771,3,30392.91,3,43734.35714,3
2018,01,057,race-ethnicity,Other Races and Ethnicities,12223.252632,3,24910.0618698,3,56044.79133315907,3
2018,01,057,race-ethnicity,"White, Non-Hispanic",16928.02420934944,3,41013.917746982406,3,84348.214244,3
2018,01,057,all,All,15196.455,3,41131.7382,3,88139.439,3
2018,01,059,race-ethnicity,"Black, Non-Hispanic",13073.4543,3,29785.0518,3,62150.709507,3
2018,01,059,race-ethnicity,Hispanic,14055.113937564802,3,26932.007826,3,92699.73842385672,3
2018,01,059,race-ethnicity,Other Races and Ethnicities,18483.194272,3,35839.571727,3,79021.566,3
2018,01,059,race-ethnicity,"White, Non-Hispanic",20095.358997,3,46801.081888,3,90206.877552,3
2018,01,059,all,All,19046.2236,3,48628.656,3,90165.633,3
2018,01,061,race-ethnicity,"Black, Non-Hispanic",11128.079059197444,3,26766.624775,3,56246.0052,3
2018,01,061,race-ethnicity,Hispanic,17713.39704,3,39969.92976887201,3,59372.65783303202,3
2018,01,061,race-ethnicity,Other Races and Ethnicities,18677.578656,3,38552.1129093056,3,84348.214244,3
2018,01,061,race-ethnicity,"White, Non-Hispanic",21275.037,3,52174.76919189122,3,98995.72947480457,3
2018,01,061,all,All,17222.649,3,45386.7456,3,95069.02248,3
2018,01,063,race-ethnicity,"Black, Non-Hispanic",9117.873,3,21990.36768900601,3,49425.408126100934,3
2018,01,063,race-ethnicity,Hispanic,21841.477075,3,44410.1748398148,3,79340.38536340318,3
2018,01,063,race-ethnicity,Other Races and Ethnicities,35281.38963940912,3,71680.15464299999,3,434112.0645,3
2018,01,063,race-ethnicity,"White, Non-Hispanic",20244.87539413201,3,50834.17328,3,99387.49665081123,3
2018,01,063,all,All,10130.97,3,28164.096599999997,3,73246.9131,3
2018,01,065,race-ethnicity,"Black, Non-Hispanic",9117.873,3,21984.2049,3,49236.5142,3
2018,01,065,race-ethnicity,Hispanic,21841.477075,3,44433.22235,3,76483.76834889119,3
2018,01,065,race-ethnicity,Other Races and Ethnicities,35551.880848,3,71680.15464299999,3,434112.0645,3
2018,01,065,race-ethnicity,"White, Non-Hispanic",20236.064475,3,50831.13651909381,3,99293.52995101924,3
2018,01,065,all,All,10130.97,3,28164.096600000004,3,73246.9131,3
2018,01,067,race-ethnicity,"Black, Non-Hispanic",11133.8474,3,26767.807327157505,3,56246.08829043072,3
2018,01,067,race-ethnicity,Hispanic,17713.39704,3,40368.90289031599,3,59653.71302018562,3
2018,01,067,race-ethnicity,Other Races and Ethnicities,18864.768391993042,3,38796.696063318595,3,84348.214244,3
2018,01,067,race-ethnicity,"White, Non-Hispanic",21284.772008171363,3,52156.22079131722,3,99054.09023647818,3
2018,01,067,all,All,17222.649,3,45386.7456,3,95081.05807236003,3
2018,01,069,race-ethnicity,"Black, Non-Hispanic",11133.8474,2,26766.624775,2,56246.0052,2
2018,01,069,race-ethnicity,Hispanic,17713.39704,2,39828.7538,2,59164.8648,2
2018,01,069,race-ethnicity,Other Races and Ethnicities,18677.578656,2,38544.02035,2,84348.214244,2
2018,01,069,race-ethnicity,"White, Non-Hispanic",21275.037000000004,2,52174.607388979166,2,98988.31779972218,2
2018,01,069,all,All,17222.649,2,45386.7456,2,95069.02248,2
2018,01,071,race-ethnicity,"Black, Non-Hispanic",12968.665148,2,25049.784264879003,2,56724.181636,2
2018,01,071,race-ethnicity,Hispanic,12848.342925,2,28974.5742,2,54604.1969,2
2018,01,071,race-ethnicity,Other Races and Ethnicities,13597.6027,2,33432.200999999994,2,67122.72581999999,2
2018,01,071,race-ethnicity,"White, Non-Hispanic",15919.096336000002,2,39983.424249,2,79075.50624,2
2018,01,071,all,All,14689.9065,2,35458.395,2,75982.275,2
2018,01,073,race-ethnicity,"Black, Non-Hispanic",14398.320171,1,36294.818736,1,75807.898356,1
2018,01,073,race-ethnicity,Hispanic,23301.231,1,40523.88,1,86113.245,1
2018,01,073,race-ethnicity,Other Races and Ethnicities,17830.5072,1,56733.432,1,128236.966602,1
2018,01,073,race-ethnicity,"White, Non-Hispanic",28899.78162,1,69057.952425,1,135694.485477,1
2018,01,073,all,All,20971.1079,1,55112.4768,1,108603.99840000001,1
2018,01,075,race-ethnicity,"Black, Non-Hispanic",9928.3506,3,20243.450508,3,47858.357624607364,3
2018,01,075,race-ethnicity,Hispanic,16573.38771,3,30392.910000000003,3,43734.35714,3
2018,01,075,race-ethnicity,Other Races and Ethnicities,12222.99818653536,3,24973.915341300002,3,56955.37983644224,3
2018,01,075,race-ethnicity,"White, Non-Hispanic",16948.93577896464,3,40972.84389517439,3,84348.214244,3
2018,01,075,all,All,15196.455000000002,3,41131.7382,3,88139.439,3
2018,01,077,race-ethnicity,"Black, Non-Hispanic",12947.344784,2,29785.0518,2,62150.709507,2
2018,01,077,race-ethnicity,Hispanic,13920.2987,2,26932.007826,2,89724.49618841086,2
2018,01,077,race-ethnicity,Other Races and Ethnicities,18483.194272,2,35839.571727,2,79021.566,2
2018,01,077,race-ethnicity,"White, Non-Hispanic",20095.358997,2,46801.081888,2,90206.877552,2
2018,01,077,all,All,19046.2236,2,48628.656,2,90165.633,2
2018,01,079,race-ethnicity,"Black, Non-Hispanic",13575.499799999998,3,31837.191408,3,69486.93269360655,3
2018,01,079,race-ethnicity,Hispanic,16060.17655,3,40523.88,3,63260.404992,3
2018,01,079,race-ethnicity,Other Races and Ethnicities,20243.450507999998,3,56246.0052,3,101736.16040543362,3
2018,01,079,race-ethnicity,"White, Non-Hispanic",24208.758387643527,3,51514.951676,3,98270.409,3
2018,01,079,all,All,22085.5146,3,47615.559,3,99688.7448,3
2018,01,081,race-ethnicity,"Black, Non-Hispanic",8914.253392,1,28266.15275,1,66951.199836,1
2018,01,081,race-ethnicity,Hispanic,18767.334088,1,39612.092699999994,1,95838.97620000035,1
2018,01,081,race-ethnicity,Other Races and Ethnicities,14453.755525,1,47109.5823,1,91178.72999999998,1
2018,01,081,race-ethnicity,"White, Non-Hispanic",20587.990368,1,58297.068228,1,114356.375199,1
2018,01,081,all,All,14446.76322,1,47818.1784,1,109414.476,1
2018,01,083,race-ethnicity,"Black, Non-Hispanic",25304.565032,2,60920.9711,2,110495.122844,2
2018,01,083,race-ethnicity,Hispanic,28908.519475,2,53533.24954999999,2,91178.72999999998,2
2018,01,083,race-ethnicity,Other Races and Ethnicities,26766.624775,2,74287.781216,2,124197.62300000002,2
2018,01,083,race-ethnicity,"White, Non-Hispanic",27592.833312,2,66864.402,2,124591.284576,2
2018,01,083,all,All,30392.91,2,73550.8422,2,118633.6587,2
2018,01,085,race-ethnicity,"Black, Non-Hispanic",12461.453522551203,3,36387.6075684,3,81350.66262648003,3
2018,01,085,race-ethnicity,Hispanic,22083.1418695124,3,38396.376299999996,3,79453.03213308641,3
2018,01,085,race-ethnicity,Other Races and Ethnicities,23263.944658835,3,48485.023578750006,3,87580.2282326,3
2018,01,085,race-ethnicity,"White, Non-Hispanic",27835.81058305,3,63600.754533,3,114978.25643400001,3
2018,01,085,all,All,20160.6303,3,53704.01869574999,3,102322.797,3
2018,01,087,race-ethnicity,"Black, Non-Hispanic",9551.057296,3,25910.47195,3,59430.02472,3
2018,01,087,race-ethnicity,Hispanic,12416.674864,3,41334.3576,3,85708.0062,3
2018,01,087,race-ethnicity,Other Races and Ethnicities,15399.0744,3,31094.25352,3,63963.56050684158,3
2018,01,087,race-ethnicity,"White, Non-Hispanic",20822.792953079635,3,47965.735125,3,92438.374494352,3
2018,01,087,all,All,12157.164,3,34040.0592,3,75982.275,3
2018,01,089,race-ethnicity,"Black, Non-Hispanic",12948.275145,1,38326.085478,1,83715.44898,1
2018,01,089,race-ethnicity,Hispanic,16980.436176,1,40523.88,1,85961.518192,1
2018,01,089,race-ethnicity,Other Races and Ethnicities,24625.7385,1,70437.403362,1,129676.416,1
2018,01,089,race-ethnicity,"White, Non-Hispanic",28589.346597,1,69918.663405,1,135957.6174,1
2018,01,089,all,All,24314.328,1,60785.82,1,120558.543,1
2018,01,091,race-ethnicity,"Black, Non-Hispanic",9117.873,3,21984.2049,3,49236.5142,3
2018,01,091,race-ethnicity,Hispanic,21841.477075,3,44433.22235,3,75238.19382820318,3
2018,01,091,race-ethnicity,Other Races and Ethnicities,35277.12213958912,3,71680.15464299999,3,434112.0645,3
2018,01,091,race-ethnicity,"White, Non-Hispanic",20236.064475,3,50834.17328,3,99283.506,3
2018,01,091,all,All,10130.97,3,28164.0966,3,73246.9131,3
2018,01,093,race-ethnicity,"Black, Non-Hispanic",10034.435252244482,3,25327.425,3,50715.82834540993,3
2018,01,093,race-ethnicity,Hispanic,16573.38771,3,30392.91,3,53626.83894009598,3
2018,01,093,race-ethnicity,Other Races and Ethnicities,12848.342925,3,27353.619,3,68754.18939820032,3
