year,state,place,subgroup,subgroup_type,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_quality
2018,01,07000,all,All,14501.461448999999,13569.145190999998,15196.454999999998,36978.040499999996,35332.186725,38483.816071999994,80135.9727,78021.569192,82866.93854999999,3
2018,01,51000,all,All,18082.174248,17131.1239,18977.91998,45990.898098,43649.719747999996,48605.359615999994,98370.81644,95231.11799999999,103115.54833199999,3
2018,01,50000,all,All,15703.003499999999,15019.190216999998,16366.093964999998,40523.88,38842.034351999995,42450.589808,85929.11981599999,82866.93854999999,89936.38362499999,3
2018,01,35896,all,All,31592.577927,30365.679556,32419.103999999996,73803.805824,71695.931728,76231.88787499999,148575.56243199998,145017.64805699998,151964.55,3
2018,01,03076,all,All,16060.176549999998,13918.28185,17923.982932,49720.16312999999,47445.303744,52084.238895999995,103943.75219999999,98395.05252499999,109414.476,2
2018,01,77256,all,All,16158.80022,15123.342684,17923.982932,45548.01554,42450.589808,47615.558999999994,88564.970024,84087.05099999999,94891.61507599999,2
2018,01,37000,all,All,21413.904874999997,20236.064475,22922.938016,56429.50289999999,53771.948796,59148.438363999994,122304.05420399999,117692.57561599999,126839.7444,3
2018,02,03000,all,All,39160.436303999995,35760.767349999995,42826.80132499999,83084.13574999999,79593.479152,86810.59006399999,152889.754422,148850.05436699998,158954.91929999998,2
2018,04,27820,all,All,22180.000128,21092.217299999997,23828.448611999997,53381.388896,51683.245151999996,55675.14425,106124.97262399999,103584.17878199999,108808.42053199999,1
2018,04,54050,all,All,32898.531248,31592.577927,34490.541008,67948.41579,65760.12627,70746.783832,124300.40782499999,119921.38927999999,127350.76815999999,2
2018,04,55000,all,All,23447.8981,22922.938016,24249.620396,54615.299951999994,53552.56943999999,55246.563624999995,110832.8118,109009.23719999999,112493.01166399999,2
2018,04,77000,all,All,17666.597575,16980.436176,18450.951456,42874.12448,42173.603328,44176.688272,87511.03297599999,85961.51819199999,89619.91466,2
2018,04,46000,all,All,24238.200329999996,23554.791149999997,24860.081564999997,52717.00416,51792.089390999994,53759.863184999995,102941.95436799999,101309.7,104818.71977499999,2
2018,04,73000,all,All,21012.526304,18977.91998,22668.714824,53864.015651999995,52681.043999999994,57037.361099999995,110834.403912,106124.97262399999,116780.424112,3
2018,04,71510,all,All,34866.807908999996,33216.9332,37143.890607999994,65798.06375999999,64104.76373599999,68532.10540799999,113466.86399999999,108138.454875,119121.09776699998,1
2018,04,04720,all,All,31074.849158999998,29100.149027999996,32685.147132,61152.530896,57988.704576,64312.187984,106124.97262399999,101427.83843199999,111350.2885,2
2018,04,65000,all,All,35458.395,33929.467549999994,37290.627942,84087.05099999999,81370.821675,85974.322347,174576.385984,169800.35670399998,181686.39476399997,3
2018,04,12000,all,All,35011.507574999996,33146.77542,36938.607749999996,75982.275,74225.985196,78008.469,139199.52779999998,135332.65185,143268.863232,3
2018,04,27400,all,All,47648.23686899999,45589.365,50321.415924999994,94218.021,91178.73,96788.63149999999,154177.08982499997,150951.45299999998,158152.02006799998,1
2018,04,85540,all,All,19914.3769,18629.64345,21413.904874999997,44333.559326999995,42450.589808,45969.187324,86315.86439999999,82060.85699999999,89806.72865699999,2
2018,04,23620,all,All,23301.231,21382.024948,25198.768291999997,59430.024719999994,57280.55684999999,62668.43827499999,110582.59995199999,105435.01590799999,115633.06947499998,3
2018,04,07940,all,All,31324.903331999998,28485.194129999996,33330.891299999996,65369.286675999996,63675.384079999996,68132.010144,116013.71396999998,111444.27073999999,122044.06895999999,2
2018,04,28380,all,All,41816.709906,38544.02035,44540.853072,82548.66207499999,78533.14057599999,85653.60264999999,137781.19199999998,131693.246025,145075.49039999998,2
2018,05,24550,all,All,19272.010175,18235.746,20717.240231999996,44645.005539,42719.908274999994,46612.779333,87341.758192,83838.83851199999,91153.632405,2
2018,05,35710,all,All,18852.607716,17222.648999999998,20064.632224999998,43563.170999999995,42026.053872,44968.696025,86114.45287499999,83681.81219999999,90206.87755199999,2
2018,05,23290,all,All,21413.904874999997,20800.258336,22995.449049,49720.16312999999,47648.23686899999,51663.067112,101309.7,98404.86872399999,104918.123264,2
2018,05,66080,all,All,22288.134,21224.794272,23554.791149999997,50654.85,49251.477,52681.043999999994,103326.134224,100642.83184999999,107067.507525,3
2018,05,41000,all,All,20717.240231999996,19083.71672,21649.330208,49666.699455999995,47648.23686899999,52001.647103999996,109414.476,105116.699776,114986.50949999999,1
2018,06,68000,all,All,40523.88,39691.106223999996,41942.2158,103584.17878199999,101880.61452799999,105700.43668799999,202619.4,199958.5764,206211.81982499998,1
2018,06,53322,all,All,31074.849158999998,28654.173152,32898.531248,66086.257095,63260.404991999996,69593.4261,131398.68089999998,126521.81757199999,137351.824248,2
