year,state,place,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,04,27820,race-ethnicity,"Black, Non-Hispanic",14812.907660999997,1,38015.650455,1,71929.887,1
2018,04,27820,race-ethnicity,Hispanic,20163.454432,1,44572.268224,1,84900.178352,1
2018,04,27820,race-ethnicity,Other Races and Ethnicities,26766.624775000004,1,65369.286676,1,117161.905696,1
2018,04,27820,race-ethnicity,"White, Non-Hispanic",25304.565032,1,59960.69464,1,119035.438732,1
2018,04,27820,all,All,25935.2832,1,55720.335,1,103437.20370000001,1
2018,04,28380,race-ethnicity,"Black, Non-Hispanic",39701.41590509425,3,78008.469,3,134905.07965,3
2018,04,28380,race-ethnicity,Hispanic,43148.4889,3,75374.4168,3,123597.834,3
2018,04,28380,race-ethnicity,Other Races and Ethnicities,37473.073,3,82441.769025,3,126521.817572,3
2018,04,28380,race-ethnicity,"White, Non-Hispanic",41840.9061,3,87473.809775,3,143204.58618,3
2018,04,28380,all,All,46602.462,3,90165.633,3,154395.9828,3
2018,04,46000,race-ethnicity,"Black, Non-Hispanic",18645.313971,2,40523.88,2,72094.742133,2
2018,04,46000,race-ethnicity,Hispanic,20342.957525,2,43510.928384,2,81157.035575,2
2018,04,46000,race-ethnicity,Other Races and Ethnicities,23824.624029,2,52717.00416,2,105966.540066,2
2018,04,46000,race-ethnicity,"White, Non-Hispanic",25895.539101,2,56246.0052,2,108763.48884,2
2018,04,46000,all,All,26340.522,2,55720.335,2,105463.3977,2
2018,04,54050,race-ethnicity,"Black, Non-Hispanic",27657.5481,2,53533.24955,2,105362.088,2
2018,04,54050,race-ethnicity,Hispanic,31630.202496,2,58368.68488,2,98501.945575,2
2018,04,54050,race-ethnicity,Other Races and Ethnicities,28164.0966,2,71695.931728,2,133610.9310782401,2
2018,04,54050,race-ethnicity,"White, Non-Hispanic",33959.871088,2,71092.954075,2,128198.03647767169,2
2018,04,54050,all,All,34850.5368,2,69397.1445,2,124003.0728,2
2018,04,55000,race-ethnicity,"Black, Non-Hispanic",13980.7386,2,38118.791733,2,75982.275,2
