"year","state","place","share_election_turnout","share_election_turnout_quality"
2016,"06","85292",0.559094468188447,1
2016,"08","03455",0.697094188502794,2
2016,"08","04000",0.58959062654012,1
2016,"08","07850",0.69764988410288,1
2016,"08","12815",0.80754931619926,1
2016,"08","16000",0.61179037396769,1
2016,"08","20000",0.632511872187722,1
2016,"08","27425",0.663243644532186,1
2016,"08","32155",0.535647614192621,1
2016,"08","43000",0.663066701098253,1
2016,"08","45970",0.66836764250065,1
2016,"08","46465",0.551092391540077,3
2016,"08","62000",0.552617377333682,1
2016,"08","77290",0.5878955417697,1
2016,"08","83835",0.642942606510359,1
2016,"09","08000",0.380702818075226,1
2016,"09","18430",0.544169666740405,1
2016,"09","37000",0.415975094572066,1
2016,"09","52000",0.462843994905116,1
2016,"09","55990",0.576811094609187,1
2016,"09","73000",0.552942205123392,1
2016,"09","80000",0.45477520726219,1
2016,"11","50000",0.588257253958665,1
2016,"12","07300",0.644499609701511,1
2016,"12","07875",0.586563137015965,1
2016,"12","10275",0.578102542558089,1
2016,"12","12875",0.603375595724265,3
2016,"12","14400",0.67916216661326,1
2016,"12","16475",0.61750540887958,1
2016,"12","16725",0.603227692630071,1
2016,"12","17200",0.56209823916934,1
2016,"12","17935",0.720753369254145,1
2016,"12","24000",0.629825093129265,1
2016,"12","24125",0.494454181402036,1
2016,"12","25175",0.552889468544639,2
2016,"12","30000",0.543070045973817,1
2016,"12","32000",0.598440085336164,1
2016,"12","32275",0.556065127901343,1
2016,"12","35000",0.620806883464731,1
2016,"12","36950",0.540257800236899,1
2016,"12","38250",0.54449083449085,2
2016,"12","39425",0.54427299159012,3
2016,"12","43975",0.611829222830188,1
2016,"12","45000",0.522477930637255,1
2016,"12","45025",0.426563857014222,3
2016,"12","45060",0.656359604514335,1
2016,"12","45975",0.601171618055528,1
2016,"12","49675",0.573684031398276,1
2016,"12","53000",0.587652648077726,3
2016,"12","54000",0.599343834620133,1
2016,"12","54200",0.537291962602983,3
2016,"12","55775",0.654376560622799,1
2016,"12","57425",0.714537146771622,1
2016,"12","58050",0.572689220627955,1
2016,"12","58715",0.615066457105845,1
2016,"12","63000",0.589912991947473,1
2016,"12","69700",0.675643561504979,1
2016,"12","70600",0.630225810990935,1
2016,"12","71000",0.575401190138221,1
2016,"12","76600",0.584338000726394,1
2016,"13","03440",0.45862290578121,1
2016,"13","04000",0.519488262261743,1
2016,"13","04204",0.489529654595434,1
2016,"13","19000",0.479580468064172,1
2016,"13","42425",0.678699329604173,1
2016,"13","49008",0.545468417480322,1
2016,"13","67284",0.687274016825872,1
2016,"13","68516",0.576266082198295,1
2016,"13","69000",0.481845192338772,1
2016,"13","80508",0.373018213220338,3
2016,"15","71550",0.406646098215393,1
2016,"16","08830",0.517144796474753,1
2016,"16","52120",0.447657270209678,3
2016,"16","56260",0.367757242299378,3
2016,"17","02154",0.755510803192804,1
2016,"17","03012",0.495404341857516,1
2016,"17","06613",0.634923555467372,1
2016,"17","12385",0.547756466329485,1
2016,"17","14000",0.586525599753888,1
2016,"17","14351",0.473084477515499,1
2016,"17","23074",0.51254489638278,2
2016,"17","24582",0.741363802268918,1
2016,"17","38570",0.551530265872429,3
2016,"17","51622",0.676022796323021,2
2016,"17","59000",0.555930376503907,1
2016,"17","65000",0.525576455527997,1
2016,"17","68003",0.672069836054425,1
2016,"17","72000",0.628947904271171,1
2016,"17","79293",0.485700679272065,2
2016,"18","05860",0.429344322869449,1
2016,"18","10342",0.683802002635907,1
2016,"18","22000",0.478606909129016,1
2016,"18","23278",0.689156314298743,1
2016,"18","25000",0.51537223266244,1
2016,"18","31000",0.479585157410989,1
2016,"18","36003",0.547468542228736,1
2016,"18","71000",0.541617707893097,1
2016,"19","12000",0.671035890775651,1
2016,"19","19000",0.6026578356911,1
2016,"19","21000",0.61302579192948,1
2016,"19","73335",0.575550799432431,1
2016,"20","36000",0.484731184991378,1
2016,"20","38900",0.505254057582809,1
2016,"20","52575",0.659039622267402,1
2016,"20","53775",0.686423871136505,1
2016,"20","71000",0.528856762041622,1
2016,"20","79000",0.507357119051668,1
2016,"21","46027",0.578464164183581,1
2016,"21","48006",0.381559904281805,1
2016,"22","05000",0.539809092955856,1
2016,"22","40735",0.517872487482256,2
2016,"22","41155",0.524274009119628,1
2016,"22","55000",0.54726900458075,1
2016,"22","70000",0.49761132329571,2
2016,"24","04000",0.527893496580541,1
2016,"24","30325",0.557511236512477,2
2016,"25","07000",0.559363457747029,1
2016,"25","09000",0.600909022366845,1
2016,"25","11000",0.639535713406593,1
2016,"25","23000",0.466978877953934,1
2016,"25","34550",0.541626347283894,1
2016,"25","37000",0.488325107170451,1
2016,"25","37490",0.59284707566182,1
2016,"25","45000",0.501882154499596,1
2016,"25","45560",0.734793950890231,1
2016,"25","55745",0.600932818286359,1
2016,"25","62535",0.661193550395079,1
2016,"25","67000",0.494593019301265,1
2016,"25","82000",0.488615047475036,1
2016,"26","03000",0.660495555366856,1
2016,"26","21000",0.662529642819776,1
2016,"26","22000",0.510376545047291,1
2016,"26","27440",0.75722047497785,1
2016,"26","29000",0.46556919089804,1
2016,"26","34000",0.591957824624147,1
2016,"26","46000",0.557260894225042,1
2016,"26","49000",0.741886786798732,1
2016,"26","69035",0.769415360608102,1
2016,"26","74900",0.749868842271882,1
2016,"26","76460",0.602697215848589,1
2016,"26","80700",0.749782125803344,1
2016,"26","84000",0.597793008427527,1
2016,"26","86000",0.621562453782652,1
2016,"26","88940",0.580117760789519,1
2016,"27","06616",0.799142604894163,1
2016,"27","07966",0.717905037379856,1
2016,"27","17000",0.698411060557825,1
2016,"27","43000",0.699402404187703,1
2016,"27","51730",0.785402439328287,1
2016,"27","54880",0.690080569618026,1
2016,"27","58000",0.669798515232792,1
2016,"27","71428",0.785576337477148,1
2016,"28","36000",0.505297723219004,1
2016,"29","15670",0.561030641178516,1
2016,"29","35000",0.527310301330351,1
2016,"29","38000",0.574163184703959,1
2016,"29","41348",0.668549935698678,1
2016,"29","54074",0.554857388478402,3
2016,"29","65000",0.554795985414446,1
2016,"29","70000",0.492420996644529,1
2016,"30","06550",0.463466294017589,2
2016,"31","28000",0.544597144586903,1
2016,"31","37000",0.546222229080211,1
2016,"32","31900",0.586908933485879,1
2016,"32","40000",0.535437735598503,1
2016,"32","51800",0.52251668243123,1
2016,"32","60600",0.597838922828787,1
2016,"32","68400",0.604043939464421,1
2016,"33","45140",0.587047232880278,1
2016,"33","50260",0.659668583367432,1
2016,"34","13690",0.597813596301553,1
2016,"34","21000",0.505681880161475,1
2016,"34","36000",0.535900839962082,1
2016,"34","51000",0.473956715512527,1
2016,"34","57000",0.572445303947236,1
2016,"34","74000",0.442290599849555,1
2016,"35","02000",0.526547529135388,1
2016,"35","39380",0.471267264546101,2
2016,"35","63460",0.512176580312469,1
2016,"35","70500",0.607096257239258,1
2016,"36","01000",0.468847518790638,1
2016,"36","11000",0.496879875783391,1
2016,"36","50617",0.584304264356131,1
2016,"36","51000",0.503421041864443,1
2016,"36","63000",0.462890412395434,1
2016,"36","73000",0.427815234168286,1
2016,"36","84000",0.52447043009674,1
2016,"37","02140",0.675079910874639,1
2016,"37","10740",0.64349352583718,3
2016,"37","12000",0.588807138765808,1
2016,"37","14100",0.550787383580206,2
2016,"37","19000",0.574694395468031,3
2016,"37","22920",0.476345131605837,2
2016,"37","25580",0.530446641953375,2
2016,"37","28000",0.621521841017612,1
2016,"37","28080",0.435927669410624,3
2016,"37","31400",0.534880790460153,2
2016,"37","55000",0.560321372796053,3
2016,"37","74440",0.526816351955459,2
2016,"37","75000",0.590971176082986,2
2016,"38","25700",0.547867617423293,2
2016,"39","01000",0.521965450675432,1
2016,"39","15000",0.596597724140015,1
2016,"39","16000",0.501497446781635,1
2016,"39","18000",0.573296839839522,1
2016,"39","21000",0.507169778979198,1
2016,"39","61000",0.57112661064694,1
2016,"39","77000",0.545989617013411,1
2016,"40","09050",0.572746305456532,2
2016,"40","23200",0.566250594083512,2
2016,"40","41850",0.267774481045855,1
2016,"40","52500",0.515907130834468,1
2016,"40","55000",0.510757743918902,1
2016,"40","75000",0.516141815732586,1
2016,"41","05350",0.63911824594016,1
2016,"41","05800",0.649543006993203,1
2016,"41","23850",0.645797421352829,1
2016,"41","31250",0.556227629060623,1
2016,"41","34100",0.600029743771316,1
2016,"41","47000",0.600739257330742,1
2016,"41","59000",0.661589919354368,1
2016,"41","64900",0.570931497278972,1
2016,"42","02000",0.504164550264453,1
2016,"42","06088",0.549851218729918,1
2016,"42","24000",0.508849232278804,1
2016,"42","60000",0.620497290020267,1
2016,"42","61000",0.63901080441382,1
2016,"42","63624",0.45248107620028,1
2016,"42","69000",0.517352612837639,1
2016,"44","19180",0.576938901245728,1
2016,"44","54640",0.455199242265282,1
2016,"44","59000",0.478616308497998,1
2016,"44","74300",0.551348328010119,2
2016,"45","13330",0.552928197737893,3
2016,"45","16000",0.47758785468198,3
2016,"45","48535",0.488029960371412,3
2016,"45","50875",0.479329577697618,2
2016,"46","59020",0.566986272704832,1
2016,"47","14000",0.471440898663112,1
2016,"47","15160",0.328537557345333,1
2016,"47","27740",0.492432276490843,3
2016,"47","40000",0.447698525263814,2
2016,"47","48000",0.447950515018583,1
2016,"47","51560",0.331267226629432,3
2016,"47","52006",0.490950761343764,1
2016,"48","01000",0.358361511399022,1
2016,"48","01924",0.584062372095579,1
2016,"48","03000",0.403535723054908,1
2016,"48","04000",0.486712682820876,1
2016,"48","05000",0.537870755770598,1
2016,"48","06128",0.293097530284216,3
2016,"48","07000",0.488372458921209,1
2016,"48","10768",0.412040163142978,2
2016,"48","10912",0.402371236380477,1
2016,"48","13024",0.506089860556844,1
2016,"48","13552",0.510862715592021,3
2016,"48","15976",0.369486401639117,1
2016,"48","16432",0.43037003345634,3
2016,"48","17000",0.380683898557865,1
2016,"48","19000",0.482683261057392,1
2016,"48","19972",0.430706068398585,2
2016,"48","22660",0.35100595964835,1
2016,"48","24000",0.429855010220841,1
2016,"48","26232",0.638353096706437,1
2016,"48","27000",0.432482395468684,1
2016,"48","27684",0.539684938859213,1
2016,"48","29000",0.477001710110809,1
2016,"48","30464",0.438880517653947,1
2016,"48","35000",0.513486184392473,1
2016,"48","37000",0.494703114121475,1
2016,"48","39148",0.28145304116587,2
2016,"48","41464",0.380583119551789,1
2016,"48","41980",0.580648210249613,1
2016,"48","42508",0.452615661550408,1
2016,"48","43888",0.402890391625465,2
2016,"48","45000",0.426391169834798,1
2016,"48","45384",0.447246226576047,1
2016,"48","45744",0.512017286678623,1
2016,"48","47892",0.484878932272646,1
2016,"48","48072",0.43593282460063,1
2016,"48","48768",0.440875127739162,1
2016,"48","50820",0.325360259553707,2
2016,"48","53388",0.323044020732755,2
2016,"48","56000",0.421571411580934,2
2016,"48","56348",0.495726420340326,2
2016,"48","57200",0.389619718892088,1
2016,"48","58016",0.593380381193238,1
2016,"48","61796",0.533034992494049,1
2016,"48","63500",0.390698459561944,3
2016,"48","64472",0.40499443419428,1
2016,"48","65000",0.410720562685459,1
2016,"48","70808",0.480016745593762,2
2016,"48","72176",0.435513143495702,2
2016,"48","74144",0.472704063782132,1
2016,"48","76000",0.358887215850338,1
2016,"48","79000",0.363960748548458,1
2016,"49","43660",0.503718528591858,1
2016,"49","44320",0.562280676762732,1
2016,"49","55980",0.385329306542626,1
2016,"49","57300",0.514143001511536,1
2016,"49","62470",0.373373489657464,1
2016,"49","65330",0.504361710031917,1
2016,"49","67000",0.538766849382748,1
2016,"49","67440",0.637210583789536,1
2016,"49","70850",0.621688131845919,1
2016,"49","82950",0.506650500755232,1
2016,"49","83470",0.446039844738589,1
2016,"51","01000",0.704834355935198,1
2016,"51","16000",0.62960912537832,1
2016,"51","35000",0.510336742792647,1
2016,"51","47672",0.561170140685887,1
2016,"51","56000",0.494702381223276,1
2016,"51","57000",0.400040789248845,1
2016,"51","64000",0.586596926949111,1
2016,"51","67000",0.57507619561067,1
2016,"51","68000",0.538747649187474,1
2016,"51","76432",0.588627632900207,1
2016,"51","82000",0.549931506922526,1
2016,"53","03180",0.531902738383071,1
2016,"53","05210",0.702144858304027,1
2016,"53","05280",0.59609368880155,1
2016,"53","22640",0.499251262824627,1
2016,"53","23515",0.529389155805142,1
2016,"53","35275",0.526052657700073,1
2016,"53","35415",0.539004472607912,1
2016,"53","35940",0.695545434752891,1
2016,"53","53545",0.443932350975068,1
2016,"53","57745",0.55745231769795,1
2016,"53","63000",0.667989287663873,1
2016,"53","67000",0.550660002452001,1
2016,"53","67167",0.54594547740884,1
2016,"53","70000",0.510042231375723,1
2016,"53","74060",0.516117675622709,1
2016,"53","80010",0.506800776607538,1
2016,"55","02375",0.664090536337834,1
2016,"55","31000",0.605614461125713,1
2016,"55","39225",0.582567195510468,1
2016,"55","48000",0.76680090494306,1
2016,"55","53000",0.609914511774423,1
2016,"55","66000",0.565535064859731,1
