year,state,county,injury_death_rate,injury_death_rate_lb,injury_death_rate_ub,injury_deaths_quality
2019,01,001,68.57,58.847994355,78.298145269,1
2019,01,003,74.84,69.7035088,79.966648949,1
2019,01,005,82.14,66.279216636,98.006896402,1
2019,01,007,103.35,84.541436691,122.15665046,1
2019,01,009,104.75,92.954651989,116.54400321,1
2019,01,011,98.26,72.929614702,129.54204823,1
2019,01,013,105.63,85.33019502,125.93383423,1
2019,01,015,92.52,84.627841534,100.41132158,1
2019,01,017,101.02,85.791141132,116.25321298,1
2019,01,019,98.38,81.338876085,115.42678831,1
2019,01,021,88.24,75.855524565,100.62624351,1
2019,01,023,97.2,74.522692262,124.60602934,1
2019,01,025,98.9,81.058227644,116.74912811,1
2019,01,027,103.79,80.754077942,131.3516886,1
2019,01,029,111.13,88.513598835,137.76106978,1
2019,01,031,70.61,60.408574096,80.814308616,1
2019,01,033,77.34,66.92517026,87.745971169,1
2019,01,035,106.45,82.15926846,135.68488809,1
2019,01,037,112.44,85.801624628,144.72929447,1
2019,01,039,89.48,75.868348379,103.0929216,1
2019,01,041,95.57,73.912041845,121.58552938,1
2019,01,043,97.61,88.129897191,107.09688006,1
2019,01,045,81.45,70.164582481,92.742328438,1
2019,01,047,115.81,100.54264085,131.08076674,1
2019,01,049,103.06,92.530289565,113.59002757,1
2019,01,051,75.84,67.401619395,84.287759902,1
2019,01,053,116.86,101.27517793,132.44426136,1
2019,01,055,96.2,87.710614412,104.69502194,1
2019,01,057,93.91,74.115374868,117.37625137,1
2019,01,059,87.7,73.067403868,102.33217034,1
2019,01,061,84.83,69.118093267,100.53903271,1
2019,01,063,85.19,59.33598404,118.47472952,1
2019,01,065,93.48,72.734576902,118.30745566,1
2019,01,067,83.77,65.546104261,105.49644441,1
2019,01,069,71.73,64.488719988,78.970200151,1
2019,01,071,94.6,82.752353305,106.44341025,1
2019,01,073,107.87,104.32177919,111.41772705,1
2019,01,075,101.04,78.768471654,127.66255587,1
2019,01,077,80.29,72.127787158,88.445442004,1
2019,01,079,103.01,87.525814284,118.49608463,1
2019,01,081,63.86,58.371971401,69.338349236,1
2019,01,083,60.27,53.358605929,67.184996178,1
2019,01,085,126.57,97.259527465,161.93745311,1
2019,01,087,110.73,89.236832741,132.2134495,1
2019,01,089,73.6,69.679125571,77.525884626,1
2019,01,091,99.26,80.30579152,121.33797265,1
2019,01,093,85.23,70.407850535,100.05508384,1
2019,01,095,87.39,79.036483775,95.753040506,1
2019,01,097,86.1,82.103245409,90.100997912,1
2019,01,099,97.04,78.204051068,115.86726063,1
2019,01,101,73.28,68.29034699,78.273500771,1
2019,01,103,89.36,81.771235997,96.943593142,1
2019,01,105,94.17,68.14995338,126.84387318,1
2019,01,107,93.85,75.839466857,114.84728959,1
2019,01,109,72.9,59.914081376,85.894523742,1
2019,01,111,97.63,79.471293304,115.79825784,1
2019,01,113,106.5,94.607857509,118.39647173,1
2019,01,115,95.7,86.608617554,104.78367149,1
2019,01,117,59.5,54.893692211,64.098323091,1
2019,01,119,109.4,85.121481777,138.45555113,1
2019,01,121,100.76,90.922638219,110.59801765,1
2019,01,123,101.28,87.417341823,115.14682408,1
2019,01,125,65.2,60.299850628,70.101122777,1
2019,01,127,114.9,103.1470888,126.65879723,1
2019,01,129,113.46,91.577101423,138.99652668,1
2019,01,131,120.96,93.152271827,154.46045474,1
2019,01,133,97.19,79.427116749,114.95441193,1
2019,02,013,NA,NA,NA,NA
2019,02,016,59.76,34.812551305,95.681958786,2
2019,02,020,88.75,83.914691013,93.582137687,1
2019,02,050,210.8,180.97937413,240.61411752,1
2019,02,060,NA,NA,NA,NA
2019,02,063,NA,NA,NA,NA
2019,02,066,NA,NA,NA,NA
2019,02,068,NA,NA,NA,NA
2019,02,070,174.55,126.32154744,235.11555839,1
2019,02,090,87.84,79.560567858,96.128105306,1
2019,02,100,87.03,43.442724424,155.71233001,3
2019,02,105,NA,NA,NA,NA
2019,02,110,86.61,72.207716482,101.00316465,1
2019,02,122,95.31,84.14616716,106.47396096,1
2019,02,130,95.42,73.797703011,121.39744165,1
2019,02,150,69.16,50.631859594,92.24619065,1
2019,02,158,247.6,199.54600039,295.64770774,1
2019,02,164,280.11,175.54472717,424.09300213,2
2019,02,170,90.31,82.272818731,98.34788338,1
2019,02,180,202.98,163.39203718,242.56467416,1
2019,02,185,117.8,89.222591995,152.62702311,1
2019,02,188,229.81,184.31194545,283.12866906,1
2019,02,195,74.01,38.244464989,129.28875007,2
2019,02,198,158.42,117.58115372,208.85484654,1
2019,02,220,76.63,52.748656819,107.61719596,2
2019,02,230,NA,NA,NA,NA
2019,02,240,95.56,65.781540521,134.20673366,2
2019,02,275,136.58,79.562356147,218.6763623,2
2019,02,282,NA,NA,NA,NA
2019,02,290,252.59,195.75524873,320.78277711,1
2019,04,001,203.17,188.44712513,217.88319033,1
2019,04,003,91.81,84.329260259,99.285573536,1
2019,04,005,112.46,104.65907394,120.25454262,1
2019,04,007,162.66,147.42996316,177.8976856,1
2019,04,009,83.17,70.238428947,96.092611668,1
2019,04,011,78.08,54.972387776,107.61685196,1
2019,04,012,173.99,148.71147793,199.26756685,1
2019,04,013,82.54,81.341398352,83.741116345,1
2019,04,015,129.16,122.29304356,136.03263321,1
2019,04,017,164.17,153.48933345,174.85844731,1
2019,04,019,98.43,95.728477611,101.12867197,1
2019,04,021,69.52,66.07008406,72.976823955,1
2019,04,023,65.51,55.098182484,75.928393499,1
2019,04,025,126.09,119.63381223,132.5521439,1
2019,04,027,67.93,62.965111008,72.903425774,1
2019,05,001,102.46,82.490822343,125.79271881,1
2019,05,003,88.16,70.707968854,108.61723077,1
2019,05,005,98.94,85.427552862,112.44959041,1
2019,05,007,58.75,54.683607021,62.815737356,1
2019,05,009,83.86,70.740228387,96.975104213,1
2019,05,011,101.55,76.503493365,132.18497383,1
2019,05,013,130.92,90.666108527,182.9479865,2
2019,05,015,103.94,87.077739495,120.79730767,1
2019,05,017,94.12,69.630759587,124.43210579,1
2019,05,019,62.82,48.969285952,79.366072143,1
2019,05,021,119.54,95.877865691,147.28167748,1
2019,05,023,111.08,92.616490558,129.55067825,1
2019,05,025,96.6,68.689781764,132.05103251,1
2019,05,027,75.52,60.646999349,92.931158641,1
