year,state,county,injury_death_rate
2020,01,001,68.57
2020,01,003,74.84
2020,01,005,82.14
2020,01,007,103.35
2020,01,009,104.75
2020,01,011,98.26
2020,01,013,105.63
2020,01,015,92.52
2020,01,017,101.02
2020,01,019,98.38
2020,01,021,88.24
2020,01,023,97.2
2020,01,025,98.9
2020,01,027,103.79
2020,01,029,111.13
2020,01,031,70.61
2020,01,033,77.34
2020,01,035,106.45
2020,01,037,112.44
2020,01,039,89.48
2020,01,041,95.57
2020,01,043,97.61
2020,01,045,81.45
2020,01,047,115.81
2020,01,049,103.06
2020,01,051,75.84
2020,01,053,116.86
2020,01,055,96.2
2020,01,057,93.91
2020,01,059,87.7
2020,01,061,84.83
2020,01,063,85.19
2020,01,065,93.48
2020,01,067,83.77
2020,01,069,71.73
2020,01,071,94.6
2020,01,073,107.87
2020,01,075,101.04
2020,01,077,80.29
2020,01,079,103.01
2020,01,081,63.86
2020,01,083,60.27
2020,01,085,126.57
2020,01,087,110.73
2020,01,089,73.6
2020,01,091,99.26
2020,01,093,85.23
2020,01,095,87.39
2020,01,097,86.1
2020,01,099,97.04
2020,01,101,73.28
2020,01,103,89.36
2020,01,105,94.17
2020,01,107,93.85
2020,01,109,72.9
2020,01,111,97.63
2020,01,113,106.5
2020,01,115,95.7
2020,01,117,59.5
2020,01,119,109.4
2020,01,121,100.76
2020,01,123,101.28
2020,01,125,65.2
2020,01,127,114.9
2020,01,129,113.46
2020,01,131,120.96
2020,01,133,97.19
2020,02,013,NA
2020,02,016,59.76
2020,02,020,88.75
2020,02,050,210.8
2020,02,060,NA
2020,02,063,NA
2020,02,066,NA
2020,02,068,NA
2020,02,070,174.55
2020,02,090,87.84
2020,02,100,87.03
2020,02,105,NA
2020,02,110,86.61
2020,02,122,95.31
2020,02,130,95.42
2020,02,150,69.16
2020,02,158,247.6
2020,02,164,280.11
2020,02,170,90.31
2020,02,180,202.98
2020,02,185,117.8
2020,02,188,229.81
2020,02,195,74.01
2020,02,198,158.42
2020,02,220,76.63
2020,02,230,NA
2020,02,240,95.56
2020,02,275,136.58
2020,02,282,NA
2020,02,290,252.59
2020,04,001,203.17
2020,04,003,91.81
2020,04,005,112.46
2020,04,007,162.66
2020,04,009,83.17
2020,04,011,78.08
2020,04,012,173.99
2020,04,013,82.54
2020,04,015,129.16
2020,04,017,164.17
2020,04,019,98.43
2020,04,021,69.52
2020,04,023,65.51
2020,04,025,126.09
2020,04,027,67.93
2020,05,001,102.46
2020,05,003,88.16
2020,05,005,98.94
2020,05,007,58.75
2020,05,009,83.86
2020,05,011,101.55
2020,05,013,130.92
2020,05,015,103.94
2020,05,017,94.12
2020,05,019,62.82
2020,05,021,119.54
2020,05,023,111.08
2020,05,025,96.6
2020,05,027,75.52
2020,05,029,80.29
2020,05,031,70.21
2020,05,033,70.72
2020,05,035,106.66
2020,05,037,110.66
2020,05,039,86.46
2020,05,041,86.77
2020,05,043,86.13
2020,05,045,67.19
2020,05,047,93.32
2020,05,049,99.5
2020,05,051,122.35
2020,05,053,87.77
2020,05,055,84.99
2020,05,057,70.14
2020,05,059,108.2
2020,05,061,79.69
2020,05,063,76.09
2020,05,065,97.12
2020,05,067,100.57
2020,05,069,110.18
2020,05,071,79.21
2020,05,073,80.33
2020,05,075,129.68
2020,05,077,111.51
2020,05,079,104.94
2020,05,081,103.94
2020,05,083,93.41
2020,05,085,82.78
2020,05,087,90.12
2020,05,089,103.67
2020,05,091,80.81
2020,05,093,125.63
2020,05,095,142.28
2020,05,097,127.48
2020,05,099,96.61
2020,05,101,110.47
2020,05,103,88.89
2020,05,105,98.81
2020,05,107,152.22
2020,05,109,87.7
2020,05,111,116.84
2020,05,113,111.99
2020,05,115,69.68
2020,05,117,73.89
2020,05,119,93.09
2020,05,121,98.7
2020,05,123,91.17
2020,05,125,82.53
2020,05,127,108.77
2020,05,129,126.31
2020,05,131,73.7
2020,05,133,65.98
2020,05,135,116.38
2020,05,137,97.27
2020,05,139,104.42
2020,05,141,111.08
2020,05,143,51.81
2020,05,145,86.19
2020,05,147,126.99
2020,05,149,83.08
2020,06,001,44.78
2020,06,003,270.76
2020,06,005,102.44
2020,06,007,100.77
2020,06,009,94.9
2020,06,011,71.21
2020,06,013,50.46
2020,06,015,113.98
2020,06,017,73.18
2020,06,019,65.05
2020,06,021,95.81
2020,06,023,105.54
2020,06,025,60.53
2020,06,027,93.08
2020,06,029,84.94
2020,06,031,61.44
2020,06,033,156.09
2020,06,035,109.5
2020,06,037,44.65
2020,06,039,68.97
2020,06,041,61.35
2020,06,043,105.97
2020,06,045,121.54
2020,06,047,67.08
2020,06,049,131.71
2020,06,051,54.64
2020,06,053,57.37
2020,06,055,58.45
2020,06,057,88.16
2020,06,059,44.07
2020,06,061,55.78
2020,06,063,109.64
2020,06,065,60.5
2020,06,067,64.23
2020,06,069,60.37
2020,06,071,57.81
2020,06,073,55.26
2020,06,075,69.46
2020,06,077,68.93
2020,06,079,64.92
2020,06,081,39.24
2020,06,083,59.09
2020,06,085,41.57
2020,06,087,69.01
2020,06,089,104.82
2020,06,091,141.34
2020,06,093,119.29
2020,06,095,61.07
2020,06,097,60.21
2020,06,099,62.12
2020,06,101,68.05
2020,06,103,98.85
2020,06,105,179.12
2020,06,107,58.52
2020,06,109,92.42
2020,06,111,54.33
2020,06,113,48.65
2020,06,115,85.05
2020,08,001,79.55
2020,08,003,99.63
2020,08,005,72.44
2020,08,007,95.37
2020,08,009,134.45
2020,08,011,125.81
2020,08,013,67.73
2020,08,014,58.82
2020,08,015,100.26
2020,08,017,NA
2020,08,019,81.42
2020,08,021,141.94
2020,08,023,151.57
2020,08,025,109.89
2020,08,027,149.91
2020,08,029,130.36
2020,08,031,85.24
2020,08,033,135.29
2020,08,035,55.98
2020,08,037,56.97
2020,08,039,67.07
2020,08,041,100.53
2020,08,043,112.68
2020,08,045,87.19
2020,08,047,62.21
2020,08,049,85.29
2020,08,051,84.07
2020,08,053,NA
2020,08,055,161.73
2020,08,057,NA
2020,08,059,81.13
2020,08,061,NA
2020,08,063,111.61
2020,08,065,86.44
2020,08,067,78.13
2020,08,069,69.01
2020,08,071,164.41
2020,08,073,92.26
2020,08,075,92.05
2020,08,077,110.5
2020,08,079,NA
2020,08,081,127.55
2020,08,083,131.17
2020,08,085,134.25
2020,08,087,100.68
2020,08,089,103.79
2020,08,091,106.4
2020,08,093,114.85
2020,08,095,120.94
2020,08,097,75.07
2020,08,099,82.73
2020,08,101,116.55
2020,08,103,93.85
2020,08,105,151.96
2020,08,107,67.82
2020,08,109,118.98
2020,08,111,NA
2020,08,113,79.09
2020,08,115,121.09
2020,08,117,46.22
2020,08,119,75.39
2020,08,121,142.64
2020,08,123,74.92
2020,08,125,87.54
2020,09,001,57.75
2020,09,003,78.29
2020,09,005,86.44
2020,09,007,81.99
2020,09,009,84.57
2020,09,011,87.81
2020,09,013,66.9
2020,09,015,89.9
2020,10,001,77.35
2020,10,003,88.11
