year,state,county,pctl_20,pctl_50,pctl_80
2018,05,031,18235.75,42550.07,85100.15
2018,05,033,20059.32,46886.13,95332.43
2018,05,035,18944.91,40523.88,90165.63
2018,05,037,11346.69,36471.49,74158.70
2018,05,039,14487.29,42550.07,86113.24
2018,05,041,16209.55,38497.69,85302.77
2018,05,043,16209.55,38497.69,85302.77
2018,05,045,21882.90,50654.85,109617.1
2018,05,047,16209.55,40523.88,81047.76
2018,05,049,17526.58,40422.57,75121.14
2018,05,051,18944.91,42550.07,84087.05
2018,05,053,15804.31,39916.02,81047.76
2018,05,055,17526.58,42554.13,85100.15
2018,05,057,17020.03,36978.04,78616.33
2018,05,059,18944.91,42550.07,84087.05
2018,05,061,16209.55,40523.88,81047.76
2018,05,063,17526.58,40422.57,75121.14
2018,05,065,17526.58,40422.57,75121.14
2018,05,067,17222.65,39814.71,82162.17
2018,05,069,15804.31,39916.02,81047.76
2018,05,071,20261.94,41435.67,70916.79
2018,05,073,17020.03,36978.04,78616.33
2018,05,075,17526.58,42554.13,85100.15
2018,05,077,11346.69,36471.49,74158.70
2018,05,079,16209.55,38497.69,85302.77
2018,05,081,17020.03,36978.04,78616.33
2018,05,083,16209.55,40523.88,81047.76
2018,05,085,21882.90,50654.85,109617.1
2018,05,087,17141.60,39612.09,81047.76
2018,05,089,17141.60,39612.09,81047.76
2018,05,091,17020.03,36978.04,78616.33
2018,05,093,18944.91,40523.88,90165.63
2018,05,095,11346.69,36471.49,74158.70
2018,05,097,18944.91,42550.07,84087.05
2018,05,099,17020.03,36978.04,78616.33
2018,05,101,17141.60,39612.09,81047.76
2018,05,103,14487.29,42550.07,86113.24
2018,05,105,20261.94,41435.67,70916.79
2018,05,107,11346.69,36471.49,74158.70
2018,05,109,17020.03,36978.04,78616.33
2018,05,111,11346.69,36471.49,74158.70
2018,05,113,16209.55,40523.88,81047.76
2018,05,115,20261.94,41435.67,70916.79
2018,05,117,17222.65,39814.71,82162.17
2018,05,119,21680.28,50654.85,112555.1
2018,05,121,17526.58,42554.13,85100.15
2018,05,123,11346.69,36471.49,74158.70
2018,05,125,31406.01,62812.01,110964.5
2018,05,127,16209.55,40523.88,81047.76
2018,05,129,17141.60,39612.09,81047.76
2018,05,131,20059.32,46886.13,95332.43
2018,05,133,16209.55,40523.88,81047.76
2018,05,135,17526.58,40422.57,75121.14
2018,05,137,17526.58,40422.57,75121.14
2018,05,139,14487.29,42550.07,86113.24
2018,05,141,17526.58,40422.57,75121.14
2018,05,143,20869.80,47615.56,102322.8
2018,05,145,17222.65,39814.71,82162.17
2018,05,147,17222.65,39814.71,82162.17
2018,05,149,20261.94,41435.67,70916.79
2018,06,001,39004.23,102221.5,204392.3
2018,06,003,24922.19,56936.05,118025.8
2018,06,005,24922.19,56936.05,118025.8
2018,06,007,20261.94,50654.85,110427.6
2018,06,009,24922.19,56936.05,118025.8
2018,06,011,19248.84,47615.56,91178.73
2018,06,013,40858.20,102120.2,202619.4
