year,state,place,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2021,01,03076,20598.56,2,56440.0544,2,125033.2592,2
2021,01,07000,16890.8192,2,49539.5368,2,127711.072,2
2021,01,35896,36047.48,3,77244.6,3,173027.904,3
2021,01,37000,33987.624,2,82394.24,2,191051.644,2
2021,01,50000,19774.6176,1,46964.7168,1,106082.584,1
2021,01,51000,18950.6752,1,53556.256,1,123591.36,1
2021,01,77256,19774.6176,2,53556.256,2,257482,2
2021,02,03000,40373.1776,1,92693.52,1,185387.04000000004,1
2021,04,04720,36150.4728,2,74566.7872,2,132860.712,2
2021,04,07940,47129.50528,2,88573.808,2,187137.9176,2
2021,04,12000,42947.9976,1,92693.52,1,164788.48,1
2021,04,23620,30382.876,2,87543.88,2,10299278.970072,2
2021,04,27400,54895.1624,1,108348.4256,1,188167.8456,1
2021,04,27820,26901.719360000003,1,66945.32,1,128741,1
2021,04,28380,53144.28480000001,2,106597.548,2,211135.24,2
2021,04,46000,31927.767999999996,1,67460.284,1,129657.63592,1
2021,04,54050,38735.59208,2,82394.24,2,155725.1136,2
2021,04,55000,30897.84,1,70653.0608,1,144601.8912,1
2021,04,65000,44286.904,2,102992.8,2,219992.6208,2
2021,04,71510,42639.0192,1,78913.08336,1,128741,1
2021,04,73000,32957.696,1,82394.24000000002,1,198879.0968,1
2021,04,77000,22761.4088,1,55822.09760000001,1,127711.07200000001,1
2021,04,85540,27293.092,2,62413.6368,2,131006.8416,2
2021,05,23290,29661.926400000004,2,70035.104,2,154489.2,2
2021,05,24550,23482.3584,2,52526.328,2,103816.7424,2
2021,05,35710,20186.5888,2,53453.2632,2,121531.504,2
2021,05,41000,23379.3656,1,56646.04,1,140070.208,1
2021,05,66080,30897.84,3,72094.96,3,154489.2,3
2021,06,00562,37077.408,2,98873.088,2,205985.6,2
2021,06,00884,33472.66,2,81364.312,2,162728.624,2
2021,06,02000,38107.336,1,94753.376,1,195212.55312,1
2021,06,02252,32648.717600000004,1,87440.8872,1,190536.68,1
2021,06,02364,32133.753600000004,2,66945.32,2,124003.3312,2
2021,06,03526,25748.2,2,65915.392,2,139040.28,2
2021,06,04982,32957.696,2,70035.104,2,123591.36,2
2021,06,06000,47273.6952,1,161698.696,1,10299278.970072,1
2021,06,08786,37489.3792,3,97431.1888,3,183327.184,3
2021,06,08954,29249.9552,1,82394.24000000002,1,169938.12,1
2021,06,11194,46758.7312,1,122973.4032,1,216284.88,1
2021,06,11530,44080.9184,1,101962.872,1,210105.312,1
2021,06,13014,27808.056,1,75596.7152,1,170968.048,1
2021,06,13210,51084.42880000001,2,110202.296,2,214225.024,2
2021,06,13214,51496.4,2,112262.152,2,216284.88,2
2021,06,13392,33781.6384,1,90633.664,1,159638.84,1
2021,06,13588,28426.012800000004,1,68078.2408,1,129667.9352,1
2021,06,14218,45934.78880000001,1,92693.52,1,178383.5296,1
2021,06,15044,24409.2936,2,72094.96,2,124621.288,2
2021,06,16000,44904.8608,3,111232.22399999999,3,219683.6424,3
2021,06,16350,43256.976,2,101962.872,2,185181.0544,2
2021,06,16532,49848.5152,2,103507.764,2,205985.6,2
2021,06,17918,45316.832,2,110408.2816,2,221743.49839999998,2
2021,06,19766,30485.8688,1,73124.888,1,150987.4448,1
2021,06,21712,35120.5448,2,82394.24,2,171997.976,2
2021,06,22020,51496.4,1,106082.584,1,183090.30056,1
2021,06,22230,24718.272,1,60250.788,1,132860.712,1
2021,06,22804,33987.624,1,82909.204,1,170453.084,1
2021,06,23182,38725.2928,1,94238.412,1,164788.48,1
2021,06,24638,56543.0472,2,135950.496,2,319277.68,2
2021,06,24680,37180.4008,1,87543.88,1,144189.92,1
2021,06,26000,68284.2264,1,154695.1856,1,278492.5312,1
2021,06,27000,23482.3584,1,66739.3344,1,142130.064,1
2021,06,28000,41197.12,2,94753.376,2,195995.2984,2
2021,06,29000,29661.9264,1,75184.744,1,154685.39716428946,1
2021,06,30000,27190.099200000004,1,82394.24,1,177044.6232,1
2021,06,32548,30897.84,2,72300.9456,2,129976.9136,2
2021,06,33000,39755.2208,1,104043.32656,1,211135.24,1
2021,06,33182,26160.1712,2,65606.4136,2,135435.532,2
2021,06,33434,32133.7536,2,66945.32,2,124003.33119999999,2
2021,06,36000,41197.12,1,112365.1448,1,224524.304,1
2021,06,36448,30897.839999999997,2,72094.96,2,154489.2,2
2021,06,36546,26572.1424,1,72867.406,1,145219.848,1
2021,06,36770,44595.8824,2,113292.08,2,277565.596,2
2021,06,37692,54256.60704,2,102992.8,2,197746.176,2
2021,06,39496,51496.4,3,113292.08,3,243063.00799999997,3
2021,06,39892,47685.6664,2,107112.512,2,179001.4864,2
2021,06,40130,24718.272,1,71682.9888,1,162213.66,1
2021,06,41992,70653.0608,2,163243.588,2,302798.832,2
2021,06,43000,30897.840000000004,1,80334.384,1,158608.912,1
2021,06,44000,25212.63744,1,76317.6648,1,181576.3064,1
2021,06,45484,49230.5584,3,103003.09928,3,178177.544,3
2021,06,46842,36047.48,2,81144.51506552007,2,154489.2,2
2021,06,46898,21360.70672,2,63031.5936,2,147279.704,2
2021,06,47766,79510.4416,2,163758.552,2,286814.34944,2
2021,06,48256,57675.96800000001,1,128741,1,226584.16,1
2021,06,48354,31412.804,1,70241.0896,1,133890.64,1
2021,06,49270,41197.12,1,82394.24,1,144189.92,1
2021,06,49670,75184.744,2,229261.9728,2,707560.536,2
2021,06,50076,47273.6952,2,102992.8,2,167672.2784,2
2021,06,50258,40888.1416,2,101962.872,2,206088.59279999998,2
2021,06,51182,47479.6808,3,107112.512,3,230703.872,3
2021,06,52526,36356.4584,1,90633.664,1,170144.1056,1
2021,06,53000,30897.84,1,87543.88,1,210208.3048,1
2021,06,53322,41197.12,2,104434.6992,2,10299278.970072,2
2021,06,53896,31309.8112,1,74669.78,1,139040.28,1
2021,06,53980,50672.4576,2,111232.224,2,246152.79200000002,2
2021,06,54652,39549.2352,1,93723.448,1,173763.272592,1
2021,06,55156,30897.84,1,74154.816,1,135950.496,1
2021,06,56000,33163.6816,1,92693.52,1,228644.016,1
2021,06,56700,31000.8328,2,83218.1824,2,146249.776,2
2021,06,57456,35017.552,2,96607.2464,2,160668.768,2
2021,06,57792,70653.0608,3,163243.588,3,302798.832,3
2021,06,58072,29867.912000000004,1,77244.6,1,170968.048,1
2021,06,59444,39858.2136,2,87337.8944,2,151399.416,2
