year,state,place,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2021,01,03076,"Black, Non-Hispanic",13269.093011999998,2,35574.410193,2,122973.4032,2
2021,01,03076,Hispanic,24376.126917,2,42739.523139,2,112978.52396871375,2
2021,01,03076,Other Races and Ethnicities,21752.205687,2,72906.28578199998,2,150369.488,2
2021,01,03076,"White, Non-Hispanic",21062.723166,2,70876.154007,2,158917.209954,2
2021,01,07000,"Black, Non-Hispanic",13167.240075,2,34605.5808,2,78984.708798,2
2021,01,07000,Hispanic,22352.332845,2,43153.9832,2,96559.76055,2
2021,01,07000,Other Races and Ethnicities,21410.023275,2,58027.631277,2,324112.365414,2
2021,01,07000,"White, Non-Hispanic",33085.627576522456,2,86711.856945,2,393948.46884,2
2021,01,35896,"Black, Non-Hispanic",25905.903387,3,57933.951945,3,128020.0504,3
2021,01,35896,Hispanic,28904.28903,3,66409.66824619951,3,138041.24984,3
2021,01,35896,Other Races and Ethnicities,36859.262466,3,87447.493749,3,205985.6,3
2021,01,35896,"White, Non-Hispanic",41750.302995,3,93723.448,3,193111.5,3
2021,01,37000,"Black, Non-Hispanic",16057.26492,2,46552.7456,2,167299.204755,2
2021,01,37000,Hispanic,20768.4885,2,45489.4742485608,2,103839.875565,2
2021,01,37000,Other Races and Ethnicities,28418.9593852563,2,77609.308782,2,179044.157907,2
2021,01,37000,"White, Non-Hispanic",34708.5736,2,81986.90820024483,2,173155.01532,2
2021,01,50000,"Black, Non-Hispanic",14210.711619,1,36611.69538,1,79352.045586,1
2021,01,50000,Hispanic,20536.507239,1,44705.676879,1,136906.69443,1
2021,01,50000,Other Races and Ethnicities,27293.092,1,52656.807915,1,111232.04484111996,1
2021,01,50000,"White, Non-Hispanic",27941.174448,1,65585.873586,1,143674.956,1
2021,01,51000,"Black, Non-Hispanic",16485.5664,1,43631.794161,1,91354.6136,1
2021,01,51000,Hispanic,25748.199999999997,1,50516.980062,1,189563.502345,1
2021,01,51000,Other Races and Ethnicities,25952.273667881254,1,79575.518355,1,172053.250413,1
2021,01,51000,"White, Non-Hispanic",33699.954606,1,78040.772265,1,164644.543695,1
2021,01,77256,"Black, Non-Hispanic",15843.11418,2,38645.117265,2,89074.627821,2
2021,01,77256,Hispanic,36837.220017,2,77244.6,2,10101448.989855,2
2021,01,77256,Other Races and Ethnicities,22518.107019,2,60638.911867741204,2,10061488.993851,2
2021,01,77256,"White, Non-Hispanic",26327.900883,2,84351.10319999998,2,10061488.993851,2
2021,02,03000,"Black, Non-Hispanic",34646.368707,1,72253.064943,1,125322.900993,1
2021,02,03000,Hispanic,35806.830612,1,70560.223221,1,151090.4376,1
2021,02,03000,Other Races and Ethnicities,38126.892498,1,87674.52513,1,175872.832902,1
2021,02,03000,"White, Non-Hispanic",49957.792545,1,104936.58726,1,198708.653385,1
2021,04,04720,"Black, Non-Hispanic",29803.139529,2,57272.191065,2,128226.036,2
2021,04,04720,Hispanic,36181.746258,2,69506.785218,2,115867.90389,2
2021,04,04720,Other Races and Ethnicities,41197.12,2,80880.293514,2,130709.732565,2
2021,04,04720,"White, Non-Hispanic",40334.501112,2,82144.016658,2,135435.532,2
2021,04,07940,"Black, Non-Hispanic",44801.868,2,113086.0944,2,10061488.993851,2
2021,04,07940,Hispanic,46338.192195,2,88852.3542,2,284204.10141,2
2021,04,07940,Other Races and Ethnicities,29487.208743,2,82394.24,2,223428.41238,2
2021,04,07940,"White, Non-Hispanic",45284.754192,2,88573.808,2,164788.48,2
2021,04,12000,"Black, Non-Hispanic",32792.936793,1,65300.823525,1,128741,1
2021,04,12000,Hispanic,33987.624,1,74329.913793,1,136526.977914,1
2021,04,12000,Other Races and Ethnicities,50282.030304,1,104022.728,1,193776.248208,1
2021,04,12000,"White, Non-Hispanic",42820.04655,1,90479.697795,1,168456.60546172428,1
2021,04,23620,"Black, Non-Hispanic",33987.624,2,10061488.993851,2,10130968.986903,2
2021,04,23620,Hispanic,36562.444,2,92763.445293,2,10111888.988811,2
2021,04,23620,Other Races and Ethnicities,17508.776,2,56869.553778,2,165323.55051776068,2
2021,04,23620,"White, Non-Hispanic",40010.726352,2,97831.737999,2,10061488.993851,2
2021,04,27400,"Black, Non-Hispanic",37077.408,1,73763.203983,1,139166.666505,1
2021,04,27400,Hispanic,50293.507293,1,99253.11309,1,154368.33861,1
2021,04,27400,Other Races and Ethnicities,53525.56326,1,109525.355544,1,180488.66802,1
2021,04,27400,"White, Non-Hispanic",54651.731883,1,109309.113912,1,181665.232695,1
2021,04,27820,"Black, Non-Hispanic",23551.530675,1,48406.616,1,81326.361675,1
2021,04,27820,Hispanic,23551.530675,1,52454.809559999994,1,104260.177827,1
2021,04,27820,Other Races and Ethnicities,28904.28903,1,77563.252245,1,146409.044121,1
2021,04,27820,"White, Non-Hispanic",30958.562424,1,75470.6543143579,1,147438.056013,1
2021,04,28380,"Black, Non-Hispanic",59154.518157,2,89857.288107,2,558815.399448,2
2021,04,28380,Hispanic,52851.244296,2,102153.301821,2,175135.90966499998,2
2021,04,28380,Other Races and Ethnicities,52129.585839,2,109543.14208,2,190536.68,2
2021,04,28380,"White, Non-Hispanic",54654.556956,2,109757.775963,2,208520.355654,2
2021,04,46000,"Black, Non-Hispanic",26778.128,1,52656.807915,1,96993.769749,1
2021,04,46000,Hispanic,27327.278478,1,57807.56791499999,1,108215.982249,1
2021,04,46000,Other Races and Ethnicities,25705.435569,1,58787.494893,1,122426.693868,1
2021,04,46000,"White, Non-Hispanic",32792.936793,1,67881.551388,1,131170.734075,1
2021,04,54050,"Black, Non-Hispanic",32757.992205000002,2,66371.577225,2,130709.732565,2
2021,04,54050,Hispanic,34811.5664,2,69958.400238,2,123109.401585,2
2021,04,54050,Other Races and Ethnicities,40226.029482,2,94825.7510763672,2,187096.88404672427,2
2021,04,54050,"White, Non-Hispanic",37602.108252,2,81326.361675,2,151399.416,2
2021,04,55000,"Black, Non-Hispanic",21861.620163,1,50293.507293,1,102890.809038,1
2021,04,55000,Hispanic,27436.692954,1,55616.112,1,104499.942453,1
2021,04,55000,Other Races and Ethnicities,32120.300676,1,76420.6576,1,155441.971308,1
2021,04,55000,"White, Non-Hispanic",34104.897408,1,80248.431942,1,164323.317585,1
2021,04,65000,"Black, Non-Hispanic",35648.01705,2,83606.671215,2,161904.6816,2
2021,04,65000,Hispanic,42125.446332,2,82144.016658,2,164919.894888,2
2021,04,65000,Other Races and Ethnicities,38416.3144,2,107524.4832,2,224524.304,2
2021,04,65000,"White, Non-Hispanic",42071.529105,2,98889.354465,2,210105.312,2
2021,04,71510,"Black, Non-Hispanic",42712.97118,1,92958.98715760652,1,139166.666505,1
2021,04,71510,Hispanic,44231.316189,1,78233.670552,1,134559.54354,1
2021,04,71510,Other Races and Ethnicities,42820.04655,1,93311.4768,1,139915.787379,1
2021,04,71510,"White, Non-Hispanic",41352.574155,1,76214.672,1,129534.640707,1
2021,04,73000,"Black, Non-Hispanic",23064.166302,1,54762.67777200001,1,107051.12652,1
2021,04,73000,Hispanic,33359.36792,1,68208.781719,1,149753.972346,1
2021,04,73000,Other Races and Ethnicities,19568.632,1,67772.136912,1,195686.32,1
2021,04,73000,"White, Non-Hispanic",36047.48,1,83933.742945,1,206809.5424,1
2021,04,77000,"Black, Non-Hispanic",19269.52602,1,53646.610017,1,247038.637965,1
