year,state,county,violent_crime_rate,property_crime_rate,coverage_indicator_crime,crime_rate_quality
2017,01,001,252.23407,2997.9822,99.75272871139659,2
2017,01,003,249.73193,2187.3882,100,1
2017,01,005,470.91412,2683.0234,97.50068021922493,2
2017,01,007,326.45139,2320.4517,88.09670872672726,2
2017,01,009,586.07556,1985.7618,99.24027084488814,2
2017,01,011,465.61258,1843.0498,100,1
2017,01,013,590.16394,2915.5107,99.36498336861203,2
2017,01,015,865.52539,3049.8223,99.35523826491223,2
2017,01,017,519.08759,3719.6333,100,1
2017,01,019,305.52655,2486.7542,99.42001013763793,2
2017,01,021,630.85754,2798.0122,89.37659613279824,2
2017,01,023,347.62457,1784.4728,92.97317162807791,2
2017,01,025,435.99219,1930.8226,98.61241961250154,2
2017,01,027,501.23438,845.36548,100,1
2017,01,029,53.691277,1053.6913,100,1
2017,01,031,267.95697,2062.6904,100,1
2017,01,033,445.87155,2893.5779,100,1
2017,01,035,473.17346,1668.137,94.52221587353414,2
2017,01,037,362.65576,2064.3481,86.94367497691597,2
2017,01,039,350.47989,1997.7354,98.3534415879725,2
2017,01,041,173.02286,1160.6949,88.28653146125845,2
2017,01,043,140.17281,2114.6758,96.73658855993639,2
2017,01,045,489.57867,2673.384,98.1114118940868,2
2017,01,047,948.61658,4386.0767,100,1
2017,01,049,439.83969,2524.5403,76.09507340485602,3
2017,01,051,239.96964,2470.7078,100,1
2017,01,053,502.04288,3030.9504,63.36448722380281,3
2017,01,055,804.82703,3723.4197,93.57143562060219,2
2017,01,057,321.8363,1864.2216,34.42352216487181,3
2017,01,059,263.53391,2394.0308,96.3078022620091,2
2017,01,061,465.53879,2233.0723,99.15263727649408,2
2017,01,063,804.32172,2424.97,93.38119811532421,2
2017,01,065,128.27437,513.09747,91.20932673564252,2
2017,01,067,204.11734,1382.166,96.99871540348009,2
2017,01,069,682.34528,3307.2661,97.1079695520008,2
2017,01,071,495.0972,1972.683,34.9493388927151,3
2017,01,073,832.37634,3629.2642,93.22489643748833,2
2017,01,075,164.92184,1068.4067,95.61679695039568,2
2017,01,077,276.6431,2265.0154,99.48912772889135,2
2017,01,079,287.45197,1609.731,96.00881439348098,2
2017,01,081,532.16504,2587.8071,100,1
2017,01,083,185.37743,1888.7312,99.4619219334637,2
2017,01,085,893.21161,3543.0728,84.5124797988867,2
2017,01,087,661.15704,3353.7722,97.74678111587983,2
2017,01,089,651.44055,3446.9292,100,1
2017,01,091,598.70966,2673.5483,97.20993491966647,2
2017,01,093,251.39946,2138.5713,99.47850148999574,2
2017,01,095,324.44424,2729.5181,100,1
2017,01,097,617.70001,4544.6968,99.76280125927461,2
2017,01,099,318.84467,1477.001,94.95648611884005,2
2017,01,101,614.61487,4060.5173,100,1
2017,01,103,318.97525,2498.7795,99.71105879715263,2
2017,01,105,642.4671,3105.2576,60.91111819050653,3
2017,01,107,173.47343,644.3299,86.29426711132285,2
2017,01,109,745.48352,3571.1064,94.13318128619872,2
2017,01,111,295.54477,1795.3242,94.24225663716814,2
2017,01,113,529.40662,3302.6558,99.064619222075,2
2017,01,115,510.20987,1597.5238,95.89668005168318,2
2017,01,117,213.47815,1356.2417,90.38455577711882,2
2017,01,119,583.27423,1615.8273,96.84136193602565,2
2017,01,121,565.79028,3642.0408,95.90226422887474,2
2017,01,123,776.77539,2232.0002,97.4292139425534,2
2017,01,125,386.40881,3218.3088,99.90789607103711,2
2017,01,127,355.92743,2962.9399,99.57974658809252,2
