year,state,county,violent_crime_rate,property_crime_rate,crime_rate_quality
2015,01,001,276.43774,2677.6519,2
2015,01,003,194.88585,2064.71,2
2015,01,005,456.7934,2442.5232,2
2015,01,007,146.12762,1111.4556,2
2015,01,009,433.47839,2087.6321,2
2015,01,011,523.56018,1608.0778,2
2015,01,013,605.33887,2833.1846,2
2015,01,015,709.21985,3437.9866,2
2015,01,017,524.57288,3326.2021,2
2015,01,019,340.30704,2459.4919,2
2015,01,021,493.82153,3033.4751,2
2015,01,023,356.87167,1769.1724,2
2015,01,025,482.2695,1892.6039,2
2015,01,027,317.2261,686.09369,2
2015,01,029,86.56279,1125.3163,2
2015,01,031,285.095,2561.9495,2
2015,01,033,362.43881,3008.0583,2
2015,01,035,544.50757,2185.9216,2
2015,01,037,372.99515,1920.925,2
2015,01,039,433.46109,2738.2053,2
2015,01,041,458.35422,2399.198,2
2015,01,043,131.69928,2091.3359,2
2015,01,045,316.75577,2497.7302,2
2015,01,047,746.39569,5137.2446,2
2015,01,049,260.08716,2295.7964,2
2015,01,051,289.6843,3137.4282,2
2015,01,053,476.3291,2818.2805,2
2015,01,055,524.95221,3988.0842,2
2015,01,057,173.04135,859.23981,2
2015,01,059,274.48257,2628.0918,2
2015,01,061,336.10934,2296.7473,2
2015,01,063,542.51678,1769.0765,2
2015,01,065,172.5511,968.9408,2
2015,01,067,284.53632,1858.1964,2
2015,01,069,382.05676,2853.9065,2
2015,01,071,610.4657,2209.1226,3
2015,01,073,913.28003,4451.0098,2
2015,01,075,136.82846,885.78424,2
2015,01,077,276.46982,2149.1208,2
2015,01,079,214.40434,1325.6832,2
2015,01,081,278.35635,2388.0046,3
2015,01,083,85.094315,1368.0547,2
2015,01,085,602.40967,2658.252,2
2015,01,087,706.62128,3637.7913,2
2015,01,089,591.91876,3386.1152,2
2015,01,091,599.16119,3060.7151,2
2015,01,093,225.4044,1852.9568,2
2015,01,095,255.47638,2927.4214,2
2015,01,097,530.09784,3659.8899,2
2015,01,099,530.61414,2057.8601,2
2015,01,101,468.39337,3774.9592,2
2015,01,103,225.81859,2662.1504,2
2015,01,105,124.32656,455.86407,2
2015,01,107,153.37424,647.04755,2
2015,01,109,605.21698,3352.9021,2
2015,01,111,268.76984,1286.5703,2
2015,01,113,564.86755,3801.542,2
2015,01,115,295.15125,1143.8546,2
2015,01,117,309.0368,1468.0447,2
2015,01,119,442.64673,1602.6864,2
2015,01,121,460.04303,3910.3657,2
2015,01,123,661.05182,2485.0652,2
2015,01,125,433.38431,3296.4663,2
2015,01,127,626.39752,3811.9888,2
2015,01,129,291.59723,1124.7322,2
2015,01,131,443.07803,1320.1917,2
2015,01,133,171.71336,1411.4001,2
2015,02,013,239.44926,1496.5579,3
2015,02,016,315.67871,1753.7706,2
2015,02,020,1083.0446,4023.1675,2
2015,02,050,523.79358,958.43085,2
2015,02,060,0,672.64575,2
2015,02,068,,,
2015,02,070,1020.6124,2121.2727,3
2015,02,090,169.62592,1381.0962,2
2015,02,100,394.633,947.1192,2
2015,02,105,375.05859,2344.1162,3
2015,02,110,870.06958,3730.6143,2
2015,02,122,189.46245,1360.6848,2
2015,02,130,226.12881,2078.9263,2
2015,02,150,338.39728,1562.3875,2
2015,02,158,,,
2015,02,164,,,
2015,02,170,67.263466,799.24823,2
2015,02,180,477.3512,457.03839,2
2015,02,185,825.84906,1052.9575,2
2015,02,188,1122.291,2618.679,2
2015,02,195,,,
2015,02,198,520.42267,3217.1582,3
2015,02,220,157.96005,1658.5806,2
2015,02,230,0,1892.1476,2
2015,02,240,,,
2015,02,261,277.71844,1580.8588,2
2015,02,275,41.981529,1343.4089,2
2015,02,282,,,
2015,02,290,289.17404,1807.3378,3
2015,04,001,2235.7781,1236.8134,2
2015,04,003,582.94507,2625.2305,3
2015,04,005,358.74246,2758.5066,2
2015,04,007,1702.4398,3752.8923,2
2015,04,009,278.76599,1932.7776,2
2015,04,011,1196.348,1805.0162,3
2015,04,012,719.53156,4118.6978,2
2015,04,013,400.77286,2929.8357,2
2015,04,015,252.03065,3005.3191,2
2015,04,017,2365.23,2290.4219,2
2015,04,019,440.78116,4785.5249,2
2015,04,021,316.78571,1936.6232,2
2015,04,023,49.503883,1609.9524,2
2015,04,025,292.45685,2032.8002,2
2015,04,027,338.2695,2316.4851,2
2015,05,001,792.05774,4491.9438,2
2015,05,003,283.13657,2744.9851,2
2015,05,005,250.89519,3220.2275,2
2015,05,007,305.20041,1898.8914,2
2015,05,009,819.4079,3148.6755,2
2015,05,011,315.48584,1541.3737,2
2015,05,013,172.11703,1644.674,2
2015,05,015,342.91077,2274.0398,2
2015,05,017,272.05948,2394.1235,2
2015,05,019,437.4144,2324.04,2
2015,05,021,403.73288,2071.613,3
2015,05,023,239.52567,2481.6428,2
2015,05,025,228.61269,914.45074,2
2015,05,027,290.28781,1592.4359,2
2015,05,029,299.72882,3458.7754,2
2015,05,031,458.05624,3329.053,2
2015,05,033,353.30536,2552.55,2
2015,05,035,1329.5754,4617.7725,2
2015,05,037,572.78406,3737.5608,2
2015,05,039,749.60547,2617.0437,2
2015,05,041,676.97449,3660.677,3
2015,05,043,340.82437,2401.7468,2
2015,05,045,366.09845,3720.2185,2
2015,05,047,406.7337,1626.9348,2
2015,05,049,122.91052,819.4035,2
2015,05,051,583.47137,4984.7188,2
2015,05,053,237.54282,2132.3611,2
2015,05,055,504.57056,3982.2607,2
2015,05,057,575.07697,3473.1028,2
2015,05,059,379.94376,2378.3882,3
2015,05,061,165.41353,1834.5864,2
2015,05,063,507.39502,2663.8237,2
2015,05,065,304.94608,2082.5586,2
2015,05,067,576.76782,4089.2837,2
2015,05,069,915.25189,4660.0991,2
2015,05,071,390.19165,2601.2776,2
2015,05,073,200.11435,1315.0371,3
2015,05,075,214.55391,1042.9703,2
2015,05,077,383.41968,2331.6062,2
2015,05,079,253.25615,1671.4906,2
2015,05,081,192.43105,1860.1667,2
2015,05,083,354.60992,2459.2429,2
2015,05,085,372.67081,1956.8707,2
2015,05,087,221.98262,887.93048,2
2015,05,089,290.39233,2082.1748,2
2015,05,091,505.60263,4757.6753,2
2015,05,093,1170.6068,4261.7402,2
2015,05,095,581.15961,2919.3135,2
2015,05,097,133.77927,1103.679,2
2015,05,099,397.28909,2488.8992,3
2015,05,101,240.11121,1112.094,2
2015,05,103,636.34125,3189.917,3
2015,05,105,323.87869,2394.7395,2
2015,05,107,1045.4569,4397.0688,3
2015,05,109,221.72949,1413.5255,2
2015,05,111,332.77872,3144.7588,2
2015,05,113,217.64938,1869.8062,2
2015,05,115,395.96152,2740.1799,2
2015,05,117,205.04161,1423.23,3
2015,05,119,1092.7917,5425.7583,2
2015,05,121,200.35492,2822.1421,2
2015,05,123,417.46588,3309.6394,3
2015,05,125,257.96014,2352.29,2
2015,05,127,285.36099,2292.3999,2
2015,05,129,101.66476,368.53476,2
2015,05,131,617.46753,4448.2705,2
2015,05,133,173.5107,1810.2949,2
2015,05,135,260.17029,2028.1458,3
2015,05,137,409.44122,1734.104,2
2015,05,139,540.55402,3290.6536,2
2015,05,141,202.73091,2021.3463,2
2015,05,143,474.99301,3646.9351,3
2015,05,145,349.91977,2277.6367,3
2015,05,147,133.51135,1453.7903,2
2015,05,149,359.23181,1529.038,2
2015,06,001,590.82599,3663.0723,2
2015,06,003,810.81079,3153.1531,2
2015,06,005,308.09979,2681.0085,2
2015,06,007,345.14731,3346.3318,2
2015,06,009,287.76657,1802.4449,2
2015,06,011,228.09795,1740.9924,2
2015,06,013,336.18964,2875.0073,2
2015,06,015,554.04712,2267.5571,2
2015,06,017,183.2455,1708.3035,2
2015,06,019,538.43573,3444.2859,2
2015,06,021,378.34174,1834.6005,2
2015,06,023,459.7464,3550.5095,2
2015,06,025,412.8952,3423.5894,2
2015,06,027,531.21576,1314.3483,2
2015,06,029,571.20123,3581.3716,2
2015,06,031,459.7092,2584.0427,2
2015,06,033,535.67834,2921.4597,2
2015,06,035,701.86633,1885.4681,2
2015,06,037,496.20993,2360.3157,2
2015,06,039,553.55554,2389.063,2
2015,06,041,251.894,2272.4053,2
2015,06,043,507.67212,1614.2833,2
2015,06,045,676.56219,1875.6632,2
2015,06,047,621.33319,2953.1951,2
2015,06,049,769.65979,1360.8478,2
2015,06,051,208.49809,1330.0741,2
2015,06,053,444.11359,2197.521,2
2015,06,055,412.05707,1815.2974,2
2015,06,057,292.28232,1734.4781,2
2015,06,059,227.77635,2152.7388,2
2015,06,061,183.80835,1977.1385,2
2015,06,063,526.9162,2678.0378,2
2015,06,065,298.2178,2784.637,2
2015,06,067,550.44342,2798.7092,2
2015,06,069,329.97687,1564.8387,2
2015,06,071,467.405,2800.2009,2
2015,06,073,331.65421,1922.8246,2
2015,06,075,785.02246,6238.8994,2
2015,06,077,792.72174,3447.2927,2
2015,06,079,402.98364,2411.5054,2
2015,06,081,260.21552,2318.2837,2
2015,06,083,322.18973,2103.3391,2
2015,06,085,250.30708,2353.4392,2
2015,06,087,427.14465,3385.7871,2
2015,06,089,779.8009,3259.011,2
