year,state,county,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,other_nh_exposure,other_nh_exposure_quality,white_nh_exposure,white_nh_exposure_quality
2018,01,001,0.7399626794955018,1,0.9293954372152466,2,0.9579599768425688,2,0.23276519069787177,1
2018,01,003,0.7998583747234371,1,0.9240089744036263,1,0.9578581497606578,1,0.1576359413044017,1
2018,01,005,0.4902415626363391,1,0.9354917363033973,2,0.9697053137183876,2,0.5097745110535488,1
2018,01,007,0.6145360296753569,1,0.9638815707920356,3,0.9866148857878803,3,0.19844846344585615,1
2018,01,009,0.9702573107347411,3,0.8520011053785991,1,0.9722417495295312,2,0.12119263712475556,1
2018,01,011,0.21267984959839906,1,0.9941175056267364,3,0.968625980936825,3,0.7165135230051963,1
2018,01,013,0.4475761920893149,1,0.9905377956625631,3,0.9499322786722625,2,0.39585996241457216,1
2018,01,015,0.6069246748493979,1,0.9087706722020147,1,0.9418142198713142,1,0.21814432426317215,1
2018,01,017,0.5580534369521202,1,0.9479362400610211,3,0.9611784555620814,2,0.40853553338998827,1
2018,01,019,0.9389300270558845,2,0.9793785722242337,3,0.9742592218315237,3,0.08058848816682818,1
2018,01,021,0.8405488265760789,1,0.8458848771819356,1,0.9487675594079292,3,0.18376301684437724,1
2018,01,023,0.4024467046043604,1,0.9854694307651835,3,0.9931457204791807,3,0.3063392984884047,1
2018,01,025,0.5000939899824802,1,0.9929683121606719,3,0.9847567511145365,3,0.43742146554836925,1
2018,01,027,0.8357851194926945,1,0.9390096589805241,3,0.9765408199171883,3,0.18967335028546428,1
2018,01,029,0.9562135748488811,2,0.9463639088708256,2,0.9703884040163803,3,0.07187895525325994,1
2018,01,031,0.7455619881684994,1,0.8859398467484918,1,0.9302647581345825,1,0.26461826230471347,1
2018,01,033,0.7684988761529822,1,0.9580669822960931,2,0.9579143323164306,2,0.19621419586679395,1
2018,01,035,0.48191933326028563,1,0.9592656356323959,3,0.9686055172329595,3,0.4649968187806776,1
2018,01,037,0.43583549820418627,1,0.9855114459576935,3,NA,NA,0.231486990893225,1
2018,01,039,0.7618333037854554,1,0.9754429224980106,2,0.9726816812118285,2,0.14885753330417217,1
2018,01,041,0.7593528213021106,1,0.9470071781408413,3,0.9346057761152913,2,0.2830981280077052,1
