year,state,county,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality
2016,01,101,0.305980736411577,1,0.865324250141823,1,0.8980252931575555,1,0.46991515880592194,1
2016,01,097,0.3935582569839748,1,0.9518324040667353,1,0.9103187503596692,1,0.2827642147706443,1
2016,01,121,0.5935776878038767,1,0.9311459120708167,1,0.9601248202949664,1,0.3170540553862723,1
2016,01,089,0.5620264701254972,1,0.887486550453283,1,0.9282087876175998,1,0.2620462808088488,1
2016,01,125,0.4463226579492427,1,0.9321874870946822,1,0.937049579344361,1,0.25867547617894643,1
2016,01,027,0.8260297900518241,1,0.9394315423348608,2,0.9761602839373718,2,0.190395429263711,1
2016,01,031,0.7461170357961701,1,0.890060649476178,1,0.9369552730539407,1,0.2589706911283592,1
2016,01,117,0.8381461570584698,1,0.8817839014827975,1,0.9420068313568507,1,0.19802484710685403,1
2016,01,119,0.2640445934254439,1,0.9937665890104787,3,0.9427333865257405,2,0.7169313150744645,1
2016,01,123,0.6087950582293024,1,0.9352410579644552,1,0.9672134635586526,1,0.2604653010294192,1
2016,01,013,0.4886014407623911,1,0.9426495321164186,2,0.9589424298375735,2,0.40999739422189996,1
2016,01,051,0.7481821535219357,1,0.9448836308253806,1,0.966884267099144,1,0.2465925732507519,1
2016,01,073,0.3117145215685676,1,0.8937844810566041,1,0.9404853719293911,1,0.2813541418584153,1
2016,01,043,0.9619555295169067,1,0.9293644532261087,1,0.9641828599989279,1,0.0736606524804997,1
2016,01,061,0.8874178177782688,1,0.9547610492183692,1,0.9653870962381169,1,0.15666083341956902,1
2016,01,079,0.6181967030653778,1,0.955862631694405,2,0.8787468827742116,1,0.2018723212105376,1
2016,01,081,0.659439503501537,1,0.9293378811903183,1,0.9217300438942369,1,0.2831342763723971,1
2016,01,021,0.8310717570033526,1,0.8692514575899047,1,0.9699686187217287,2,0.18402781317851868,1
2016,01,033,0.7837766041661496,1,0.9618672890131047,2,0.9533302861124426,1,0.19864719805484424,1
2016,01,037,0.44616045394938547,1,0.9638534882426638,3,0.9656323654187292,3,0.2241380253441826,1
2016,01,045,0.7261960893189932,1,0.8880334809530565,1,0.9434305641434689,1,0.27452440573145026,1
2016,01,055,0.561326221634745,1,0.9210404898989428,1,0.9626977701985765,1,0.15120691444457698,1
2016,01,069,0.5397282014806443,1,0.9600574331040415,1,0.9649924261393836,1,0.252024962007148,1
2016,01,063,0.1805055739158407,1,0.9886904535357366,3,0.9868235567912461,3,0.8006418736997067,1
2016,01,005,0.48726440084813655,1,0.9387765136930596,2,0.951727329599693,2,0.5144165111024832,1
2016,01,025,0.5147711474386815,1,0.9925600137648226,3,0.980489084478803,2,0.44324457948547913,1
2016,01,057,0.7964529485018158,1,0.9835247938545362,2,0.9742085907648897,2,0.13112406237046018,1
2016,01,115,0.869282379050224,1,0.9536333526578885,1,0.9732106384375457,1,0.13177284870803813,1
2016,01,003,0.784524756686373,1,0.9430973086660025,1,0.9463463533713128,1,0.157650660827968,1
2016,01,077,0.7712809226557867,1,0.9539303715711328,1,0.9616833056092097,1,0.12985029602565704,1
2016,01,087,0.14126431023143257,1,0.9563599462092829,2,0.9752534377919381,2,0.6074424414743954,1
2016,01,007,0.6528332170483184,1,0.9673645342512619,1,0.9735912459866991,2,0.21686174431188784,1
2016,01,103,0.7199579693612493,1,0.8240096090721343,1,0.9534328863498749,1,0.17631497854996592,1
2016,01,107,0.4866253239471199,1,0.9184903225957137,1,0.9880120678108673,2,0.37323729407240913,1
2016,01,091,0.4354711895020123,1,0.9854924333986386,3,0.9831225429225644,2,0.5033055453007695,1
