year,state,county,desc_rep_total_population,desc_rep_total_nonhisp,desc_rep_asian_other,desc_rep_black_nonhispanic,desc_rep_total_hispanic,desc_rep_white_nonhispanic,desc_rep_total_population_quality,desc_rep_total_nonhisp_quality,desc_rep_asian_other_quality,desc_rep_black_nonhispanic_quality,desc_rep_total_hispanic_quality,desc_rep_white_nonhispanic_quality
2021,01,001,58239,56464,0.04170744689984375,0.19684403921770635,0.03047785847971291,0.730970655402737,1,1,1,1,1,1
2021,01,003,227131,216497,0.04050525907956201,0.08694982190894242,0.04681879620131114,0.8257261228101844,1,1,1,1,1,1
2021,01,005,25259,24083,0.0348786571123164,0.47246525990735977,0.04655766261530544,0.4460984203650184,1,1,1,1,1,1
2021,01,007,22412,21778,0.01235945029448509,0.21885597001606283,0.0282884169195074,0.7404961627699447,1,1,1,1,1,1
2021,01,009,58884,53272,0.03279328849942259,0.01266897629237144,0.09530602540588276,0.8592317098023232,1,1,1,1,1,1
2021,01,011,10386,9498,0.0209897939533988,0.6897746967071057,0.0854997111496245,0.20373579818987095,1,1,1,1,1,1
2021,01,013,19181,18873,0.02679735154580053,0.4479432772013972,0.01605755695740576,0.5092018142953965,1,1,1,1,1,1
2021,01,015,116425,111775,0.0361777968649345,0.21035001073652565,0.03993987545630234,0.7135323169422375,1,1,1,1,1,1
2021,01,017,34834,33888,0.02382729517138428,0.4008440029855888,0.02715737497846931,0.5481713268645576,1,1,1,1,1,1
2021,01,019,24975,24533,0.02674674674674674,0.0462062062062062,0.01769769769769769,0.9093493493493492,1,1,1,1,1,1
2021,01,021,44857,41290,0.03954789664935238,0.08825824286064606,0.07951936152662907,0.7926744989633725,1,1,1,1,1,1
2021,01,023,12792,12654,0.01235146966854284,0.4123671044402752,0.01078799249530956,0.5644934333958724,1,1,1,1,1,1
2021,01,025,23346,23020,0.01756189497130129,0.453268225820269,0.01396384819669322,0.5152060310117365,1,1,1,1,1,1
2021,01,027,14184,13741,0.031866892272983643,0.1327552171460801,0.03123237450648618,0.8041455160744501,1,1,1,1,1,1
2021,01,029,15046,14648,0.02359431078027383,0.0259869732819354,0.02645221321281403,0.9239665027249768,1,1,1,1,1,1
2021,01,031,53043,48761,0.06611616989989254,0.1617367041833984,0.08072695737420583,0.6914201685425032,1,1,1,1,1,1
2021,01,033,56789,55039,0.02838577893606156,0.16297170226628396,0.03081582700875169,0.7778266917889027,1,1,1,1,1,1
2021,01,035,11778,11762,0.01672609950755646,0.48089658685685177,0.00135846493462387,0.5010188487009679,1,1,1,1,1,1
2021,01,037,10442,10168,0.02624018387282129,0.30683777054204175,0.02624018387282129,0.6406818617123157,1,1,1,1,1,1
2021,01,039,37490,36797,0.02976793811683115,0.12325953587623366,0.01848492931448386,0.8284875966924513,1,1,1,1,1,1
2021,01,041,13300,13189,0.04819548872180451,0.241203007518797,0.00834586466165413,0.7022556390977444,1,1,1,1,1,1
2021,01,043,87129,83190,0.03260682436387426,0.01122473573666632,0.04520882828908859,0.9109596116103708,1,1,1,1,1,1
2021,01,045,49443,46043,0.05545779989078332,0.2018283680197399,0.06876605383977509,0.6739477782497016,1,1,1,1,1,1
2021,01,047,39162,39110,0.01368673714314897,0.7160002042796588,0.0013278177825443,0.26898524079464786,1,1,1,1,1,1
2021,01,049,71554,60716,0.03661570282583783,0.01556866143052799,0.1514660256589429,0.7963496100846913,1,1,1,1,1,1
