GEOID,year,NAME,total_people,total_nonhisp,asian_other,black_nonhispanic,total_hispanic,white_nonhispanic
0103076,2020,"Auburn city, Alabama",65508,63278,0.10204860475056482,0.1748488734200403,0.0340416437687,0.6890608780606948
0107000,2020,"Birmingham city, Alabama",210928,202197,0.03249450049305924,0.6807915497231283,0.04139327163771524,0.24532067814609726
0135896,2020,"Hoover city, Alabama",85386,80565,0.07605462253765254,0.1843042184901506,0.05646124657437988,0.683179912397817
0137000,2020,"Huntsville city, Alabama",199845,187181,0.05755460481873452,0.3144136705947109,0.06336911106107233,0.5646626135254823
0150000,2020,"Mobile city, Alabama",189994,184847,0.04233291577628767,0.509121340673916,0.027090329168289524,0.4214554143815068
0151000,2020,"Montgomery city, Alabama",199054,191508,0.0574015091382238,0.6061320043807208,0.037909311041225,0.2985571754398304
0177256,2020,"Tuscaloosa city, Alabama",100633,97812,0.03887392803553506,0.43941848101517395,0.02803255393360031,0.49367503701569065
0203000,2020,"Anchorage municipality, Alaska",292090,264679,0.2879112602280119,0.05086103598206032,0.09384436303878942,0.5673833407511384
0404720,2020,"Avondale city, Arizona",86091,39754,0.07586158831933651,0.09791964316827544,0.5382328001765574,0.2879859683358307
0407940,2020,"Buckeye city, Arizona",74467,42077,0.05415821773402984,0.0598385862193992,0.4349577665274551,0.45104542951911586
0412000,2020,"Chandler city, Arizona",257076,205821,0.16399430518601504,0.05305434968647404,0.19937683797787425,0.5835745071496367
0423620,2020,"Flagstaff city, Arizona",73319,58851,0.14987929458939703,0.01857635810635715,0.1973294780343431,0.6342148692699028
0427400,2020,"Gilbert town, Arizona",248349,205271,0.09277267071741782,0.038345231911543834,0.17345751341861654,0.6954245839524218
0427820,2020,"Glendale city, Arizona",250290,152565,0.0922290143433617,0.06907587198849335,0.3904470813855927,0.4482480322825522
0428380,2020,"Goodyear city, Arizona",83519,59323,0.09752271938121865,0.06940935595493242,0.2897065338425987,0.5433613908212502
0446000,2020,"Mesa city, Arizona",508918,368418,0.07176008708672124,0.04193209908079494,0.2760759100680267,0.6102319037644571
0454050,2020,"Peoria city, Arizona",172109,138417,0.09639240248912026,0.028354124421151712,0.19575966393390234,0.6794938091558257
0455000,2020,"Phoenix city, Arizona",1658422,951154,0.08424755580907634,0.06719821613557948,0.42647046409176914,0.422083763963575
0465000,2020,"Scottsdale city, Arizona",254995,229112,0.0834996764642444,0.020518049373517127,0.10150395105786388,0.7944783231043746
0471510,2020,"Surprise city, Arizona",139007,110939,0.059795549864395316,0.05058738049162992,0.20191788902717128,0.6876991806168035
0473000,2020,"Tempe city, Arizona",191607,149352,0.1554379537282041,0.07957433705449174,0.22052952136404202,0.5444581878532622
0477000,2020,"Tucson city, Arizona",545340,304249,0.07933582719037664,0.04550372244838083,0.44209300619796826,0.4330674441632743
0485540,2020,"Yuma city, Arizona",97428,39754,0.052346348072422715,0.02297080921295726,0.591965348770374,0.332717493944246
0523290,2020,"Fayetteville city, Arkansas",86622,79575,0.08896123386668514,0.057271824709658053,0.08135346678672854,0.7724134746369282
0524550,2020,"Fort Smith city, Arkansas",87788,70604,0.12665740192281405,0.0868797557752768,0.19574429306966784,0.5907185492322413
0535710,2020,"Jonesboro city, Arkansas",77391,72425,0.05496763189518161,0.20798284038195655,0.06416766807509917,0.6728818596477627
0541000,2020,"Little Rock city, Arkansas",198067,183146,0.05752598868059798,0.4086395007749903,0.07533309435696002,0.4585014161874517
0566080,2020,"Springdale city, Arkansas",80433,49607,0.14510213469595812,0.031740703442616834,0.38325065582534534,0.4399065060360797
0600562,2020,"Alameda city, California",79827,69620,0.39345083743595527,0.06924975258997582,0.1278640059127864,0.40943540406128254
0600884,2020,"Alhambra city, California",84509,55053,0.5409483013643517,0.022092321527884606,0.34855459181862286,0.08840478528914081
0602000,2020,"Anaheim city, California",353085,164906,0.20283217922030106,0.025229052494441847,0.5329566534970333,0.2389821147882238
0602252,2020,"Antioch city, California",111468,72963,0.18154089065920265,0.20206696092152007,0.3454354612983098,0.27095668712096743
0602364,2020,"Apple Valley town, California",73339,44650,0.06944463382374998,0.0857933705122786,0.3911834085547935,0.4535785871091779
0603526,2020,"Bakersfield city, California",379879,185720,0.1056125766362447,0.06975115760544805,0.5111074842252401,0.3135287815330671
0604982,2020,"Bellflower city, California",76339,32990,0.1601409502351354,0.11997799290009038,0.5678486749891929,0.1520323818755813
