year,state,place,subgroup_type,subgroup,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2019,01,03076,all,All,0.767704088946861,0.717293633040003,0.818114544853719,1
2019,01,03076,race-ethnicity,"Black, Non-Hispanic",0.58247976326764,0.519659000636203,0.645300525899076,1
2019,01,03076,race-ethnicity,Hispanic,0.961792881752246,0.789916569442205,1.13366919406229,1
2019,01,03076,race-ethnicity,"White, Non-Hispanic",0.837748343696593,0.800349212110668,0.875147475282519,1
2019,01,07000,all,All,0.705543998342209,0.67231144432415,0.738776552360267,1
2019,01,07000,race-ethnicity,"Black, Non-Hispanic",0.71492789103301,0.69224810278287,0.737607679283149,1
2019,01,07000,race-ethnicity,Hispanic,0.689659748054851,0.600764979892723,0.778554516216979,1
2019,01,07000,race-ethnicity,"White, Non-Hispanic",0.776280337219653,0.743301451669791,0.809259222769516,1
2019,01,35896,all,All,1.02188482594291,0.982292664512661,1.06147698737316,1
2019,01,35896,race-ethnicity,"Black, Non-Hispanic",1.00686004036354,0.956738124091344,1.05698195663573,1
2019,01,35896,race-ethnicity,Hispanic,1.02897508103641,0.870580213331423,1.1873699487414,1
2019,01,35896,race-ethnicity,"White, Non-Hispanic",1.10155369447879,1.0715981530479,1.13150923590967,1
2019,01,37000,all,All,0.753754470217065,0.721642803879459,0.78586613655467,1
2019,01,37000,race-ethnicity,"Black, Non-Hispanic",0.619830310565886,0.584854660951126,0.654805960180647,1
2019,01,37000,race-ethnicity,Hispanic,0.74634056664154,0.666313898181507,0.826367235101572,1
2019,01,37000,race-ethnicity,"White, Non-Hispanic",0.851961632575239,0.82596970929901,0.877953555851468,1
2019,01,50000,all,All,0.712847631866187,0.693065768437949,0.732629495294424,1
2019,01,50000,race-ethnicity,"Black, Non-Hispanic",0.698847531576363,0.68147980063035,0.716215262522375,1
2019,01,50000,race-ethnicity,Hispanic,0.63540242019861,0.559330426744048,0.711474413653172,1
2019,01,50000,race-ethnicity,"White, Non-Hispanic",0.753539790856114,0.735662606790396,0.771416974921832,1
2019,01,51000,all,All,0.77152080961083,0.744597846683839,0.798443772537821,1
2019,01,51000,race-ethnicity,"Black, Non-Hispanic",0.836217526889781,0.817255741516863,0.855179312262699,1
2019,01,51000,race-ethnicity,Hispanic,0.488368371056899,0.413399154425469,0.563337587688328,1
2019,01,51000,race-ethnicity,"White, Non-Hispanic",0.996006191935934,0.946847530403965,1.0451648534679,1
2019,01,77256,all,All,0.60695781905315,0.567785350539629,0.64613028756667,1
2019,01,77256,race-ethnicity,"Black, Non-Hispanic",0.566321858898849,0.529647638313454,0.602996079484244,1
2019,01,77256,race-ethnicity,Hispanic,0.726128711334609,0.505490311561199,0.946767111108019,2
2019,01,77256,race-ethnicity,"White, Non-Hispanic",0.649834406565535,0.618633582179787,0.681035230951282,1
2019,02,03000,all,All,,,,
2019,02,03000,race-ethnicity,"Black, Non-Hispanic",,,,
2019,02,03000,race-ethnicity,Hispanic,,,,
2019,02,03000,race-ethnicity,"White, Non-Hispanic",,,,
2019,04,04720,all,All,1.22458271829013,1.17825482702526,1.27091060955499,1
2019,04,04720,race-ethnicity,"Black, Non-Hispanic",1.31530866514166,1.23000819730033,1.40060913298299,1
2019,04,04720,race-ethnicity,Hispanic,1.24292314641227,1.1999558377551,1.28589045506943,1
2019,04,04720,race-ethnicity,"White, Non-Hispanic",1.12567422121017,1.05461600752119,1.19673243489914,1
2019,04,07940,all,All,0.816639310431852,0.76445381231908,0.868824808544625,1
2019,04,07940,race-ethnicity,"Black, Non-Hispanic",0.994712489225492,0.809685976905682,1.1797390015453,2
2019,04,07940,race-ethnicity,Hispanic,0.783452729799416,0.728353353759045,0.838552105839786,1
2019,04,07940,race-ethnicity,"White, Non-Hispanic",0.880279206867063,0.82905580843605,0.931502605298076,1
2019,04,12000,all,All,0.885007507791307,0.864830174589453,0.90518484099316,1
