year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,03076,all,All,0.7527294724295468,0.7310510221481082,0.7744079227109854,2
2014,01,03076,gender,Female,0.675468373488601,0.6446824472622736,0.7062542997149284,2
2014,01,03076,gender,Male,0.8344890377217138,0.8046527113860186,0.864325364057409,2
2014,01,07000,all,All,0.6874509397722918,0.6711103552517751,0.7037915242928084,3
2014,01,07000,gender,Female,0.6519688243068239,0.6295849702521568,0.674352678361491,3
2014,01,07000,gender,Male,0.7282548924245442,0.7015914866427465,0.7549182982063419,3
2014,01,35896,all,All,0.805538894285636,0.7936930486394662,0.8173847399318057,3
2014,01,35896,gender,Female,0.7201967869846886,0.700177536051091,0.7402160379182862,3
2014,01,35896,gender,Male,0.8971496532683654,0.8844356219057445,0.9098636846309862,3
2014,01,37000,all,All,0.7615667290038555,0.7459708983768893,0.7771625596308216,3
2014,01,37000,gender,Female,0.7007619011886318,0.6758013701535193,0.7257224322237443,3
2014,01,37000,gender,Male,0.825083351460265,0.8024996046817578,0.8476670982387722,3
2014,01,50000,all,All,0.6981571734668325,0.6823776370220825,0.7139367099115824,3
2014,01,50000,gender,Female,0.6752535783319785,0.654722185587781,0.6957849710761761,3
2014,01,50000,gender,Male,0.724624728617772,0.700009762444601,0.7492396947909431,3
2014,01,51000,all,All,0.7332050123568753,0.7125459443199095,0.7538640803938411,3
2014,01,51000,gender,Female,0.6894252632553797,0.6621081901489853,0.7167423363617741,3
2014,01,51000,gender,Male,0.7836708189079837,0.7573370982100176,0.8100045396059499,3
2014,01,77256,all,All,0.7249228307816818,0.6988220382784316,0.7510236232849321,2
2014,01,77256,gender,Female,0.684465814851696,0.6494317768677097,0.7194998528356823,2
2014,01,77256,gender,Male,0.7707358904490227,0.7349060957064761,0.8065656851915692,2
2014,02,03000,all,All,0.8167652053588276,0.7978988508148215,0.8356315599028337,2
2014,02,03000,gender,Female,0.7723851217284495,0.74151153368844,0.803258709768459,2
2014,02,03000,gender,Male,0.8610142879572932,0.8399376468917631,0.8820909290228233,2
2014,04,04720,all,All,0.7699886401269271,0.74684265621725765,0.7931346240365966,2.3512247838616713
2014,04,04720,gender,Female,0.7148812630257485,0.6853286629033625,0.7444338631481345,2.343924581005586
2014,04,04720,gender,Male,0.8272882272886075,0.7968871205976544,0.8576893339795606,2.3590029761904763
2014,04,07940,all,All,0.74489470494589,0.7257620666179738,0.7640273432738063,2.5185670598514633
2014,04,07940,gender,Female,0.657254285430374,0.6278367640042055,0.6866718068565425,2.511421319796954
2014,04,07940,gender,Male,0.8369313967287353,0.8136846817905352,0.8601781116669354,2.526196928635953
2014,04,12000,all,All,0.8118068716584367,0.7991406544746388,0.8244730888422346,3
2014,04,12000,gender,Female,0.7357298543595107,0.7147107522363308,0.7567489564826905,3
2014,04,12000,gender,Male,0.8897951423673855,0.8751145396155016,0.9044757451192696,3
2014,04,23620,all,All,0.7521405855011009,0.7287454148430615,0.7755357561591402,3
2014,04,23620,gender,Female,0.7294971656947106,0.6968895611328515,0.7621047702565696,3
2014,04,23620,gender,Male,0.7747747747747747,0.7457674300228436,0.8037821195267059,3
2014,04,27400,all,All,0.8102743452769073,0.79691261452993,0.8236360760238847,1
2014,04,27400,gender,Female,0.7345540606319758,0.7131733956314531,0.7559347256324985,1
2014,04,27400,gender,Male,0.8912570725328842,0.8778168841331877,0.9046972609325808,1
2014,04,27820,all,All,0.7252001976113822,0.7102584691947361,0.7401419260280283,1
2014,04,27820,gender,Female,0.663066199732103,0.6384567751236798,0.6876756243405262,1
2014,04,27820,gender,Male,0.7905384307542181,0.7679303156904141,0.8131465458180221,1
2014,04,28380,all,All,0.7786358673423618,0.7525216339471142,0.8047501007376093,2.4694270582571014
2014,04,28380,gender,Female,0.7158246946446144,0.6823054923867885,0.7493438969024403,2.460280373831776
2014,04,28380,gender,Male,0.8437197512294992,0.8127110911855365,0.8747284112734618,2.4791459781529297
2014,04,46000,all,All,0.7478563093231885,0.7348062017441845,0.7609064169021924,2
2014,04,46000,gender,Female,0.6812811621883689,0.6630757363003752,0.6994865880763625,2
2014,04,46000,gender,Male,0.8109239120071126,0.7960724494618128,0.8257753745524123,2
2014,04,54050,all,All,0.7890516945673199,0.775534028994775,0.8025693601398649,1.5124876913436576
2014,04,54050,gender,Female,0.7426357300415203,0.721879242661238,0.7633922174218025,1.517187769908447
2014,04,54050,gender,Male,0.8374568661576036,0.8152883401205312,0.859625392194676,1.5074321813452247
2014,04,55000,all,All,0.7244114126692617,0.7179213080143676,0.7309015173241558,2
2014,04,55000,gender,Female,0.6494113338371706,0.6412481653225182,0.6575745023518231,2
2014,04,55000,gender,Male,0.7999308715351772,0.791218754487905,0.8086429885824493,2
2014,04,65000,all,All,0.7980663162396409,0.784257670050455,0.8118749624288267,3
2014,04,65000,gender,Female,0.7278866401167058,0.7060573608794711,0.7497159193539404,3
2014,04,65000,gender,Male,0.8704522016217087,0.8556723537223686,0.8852320495210487,3
2014,04,71510,all,All,0.7711929703587527,0.7528100186208204,0.7895759220966849,1.909578544061303
2014,04,71510,gender,Female,0.6988565657023081,0.6697812405766327,0.7279318908279836,1.896551724137931
2014,04,71510,gender,Male,0.8471610654966593,0.8222815045343952,0.8720406264589233,1.9235037653587
2014,04,73000,all,All,0.7902245937383761,0.7689368629141593,0.8115123245625928,2.43453670276775
2014,04,73000,gender,Female,0.7306383132786066,0.7014458712629436,0.7598307552942697,2.432576123731271
2014,04,73000,gender,Male,0.8415268621919157,0.8146751977805584,0.8683785266032731,2.4364813039309685
2014,04,77000,all,All,0.7303479051446892,0.7187358173781708,0.7419599929112075,2
2014,04,77000,gender,Female,0.6734259212694369,0.6574470432285223,0.6894047993103515,2
2014,04,77000,gender,Male,0.7881313795231142,0.7738244249795184,0.80243833406671,2
2014,04,85540,all,All,0.7116856408373118,0.6917407987370234,0.7316304829376001,2
2014,04,85540,gender,Female,0.5990196078431372,0.5707796774140669,0.6272595382722076,2
2014,04,85540,gender,Male,0.8286869291810152,0.8042713818193756,0.8531024765426547,2
2014,05,23290,all,All,0.7790487651058673,0.7596374205906529,0.7984601096210817,2
2014,05,23290,gender,Female,0.6993106559675026,0.6717970105356442,0.726824301399361,2
2014,05,23290,gender,Male,0.856886310318999,0.8331408664643948,0.8806317541736032,2
2014,05,24550,all,All,0.7285562103048854,0.7095634755633373,0.7475489450464334,2
2014,05,24550,gender,Female,0.6640756921922324,0.6352948208114156,0.6928565635730491,2
2014,05,24550,gender,Male,0.7938398914518318,0.7690617780235888,0.8186180048800747,2
2014,05,35710,all,All,0.7239050287518903,0.7032774378065918,0.7445326196971889,2.3088875077688007
2014,05,35710,gender,Female,0.6663240132102249,0.6358146739071469,0.696833352513303,2.3054226475279105
2014,05,35710,gender,Male,0.7832303116523217,0.7559462256601021,0.8105143976445414,2.3126347563605
2014,05,41000,all,All,0.7518284553263455,0.73005991639637,0.7735969942563209,1
2014,05,41000,gender,Female,0.7181811979910067,0.6913562974136206,0.7450060985683927,1
2014,05,41000,gender,Male,0.7885932020627655,0.7585503766835171,0.8186360274420139,1
2014,05,66080,all,All,0.7783666424552265,0.7604498204972372,0.7962834644132157,3
2014,05,66080,gender,Female,0.6973079181304886,0.6715323972968132,0.723083438964164,3
2014,05,66080,gender,Male,0.8575722352619101,0.8361636822860766,0.8789807882377435,3
2014,06,00562,all,All,0.7923223011778888,0.7765901080904588,0.8080544942653188,2
2014,06,00562,gender,Female,0.7485850832962608,0.7252675581007941,0.7719026084917275,2
2014,06,00562,gender,Male,0.8380331219257295,0.8164847342884938,0.8595815095629653,2
2014,06,00884,all,All,0.7893176874247279,0.7680809371733236,0.8105544376761321,1.612006446414182
2014,06,00884,gender,Female,0.7439209003644931,0.7166285169321155,0.7712132837968707,1.6045801526717558
2014,06,00884,gender,Male,0.8368644278521383,0.8077143321757401,0.8660145235285366,1.620307167235495
2014,06,02000,all,All,0.752217952847709,0.7402187899711195,0.7642171157242985,3
2014,06,02000,gender,Female,0.6697539260556049,0.6503297467099505,0.6891781054012593,3
2014,06,02000,gender,Male,0.8344578541441133,0.8181963096402504,0.8507193986479763,3
2014,06,02252,all,All,0.7071080574910009,0.6861965097018821,0.7280196052801198,2.0632443531827516
2014,06,02252,gender,Female,0.6560918642819082,0.622973755954271,0.6892099726095455,2.0651218537754694
2014,06,02252,gender,Male,0.7629183655806159,0.7381872203066846,0.7876495108545472,2.0612589776087873
2014,06,02364,all,All,0.6125046314746931,0.5901629961572877,0.6348462667920985,2.4590386940749696
2014,06,02364,gender,Female,0.5228863636087057,0.4943924330102851,0.5513802942071262,2.457283521575442
2014,06,02364,gender,Male,0.707193011713577,0.6775933974740458,0.7367926259531081,2.46095478975656
2014,06,03526,all,All,0.7124320090672969,0.6994295391212775,0.7254344790133163,1.6179583197655487
2014,06,03526,gender,Female,0.6190829074062197,0.5996927458307606,0.6384730689816789,1.6174613198610672
2014,06,03526,gender,Male,0.8073959135813759,0.7899209170372474,0.8248709101255043,1.6184873949579832
2014,06,04982,all,All,0.7162077641821577,0.698405169528244,0.7340103588360714,2
2014,06,04982,gender,Female,0.6245569299281737,0.6006945262673421,0.6484193335890053,2
2014,06,04982,gender,Male,0.81460197263715906,0.7906365994252428,0.8385673458490753,2
2014,06,06000,all,All,0.7652479666157918,0.7454157830475783,0.7850801501840052,1
