year,state,county,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,001,all,All,0.6917892934162121,0.6720073675234938,0.7115712193089304,3
2014,01,001,race-ethnicity,"Black, Non-Hispanic",0.6417122657498425,0.6034031545566867,0.6800213769429984,3
2014,01,001,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,001,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,001,race-ethnicity,"White, Non-Hispanic",0.7172958961065626,0.6921076005940618,0.7424841916190634,3
2014,01,003,all,All,0.7573410968418874,0.7324519943986681,0.7822301992851067,1
2014,01,003,race-ethnicity,"Black, Non-Hispanic",0.7137129934210527,0.6487805555955276,0.7786454312465777,1
2014,01,003,race-ethnicity,Hispanic,0.8027050867391944,0.698047452377228,0.9073627211011608,1
2014,01,003,race-ethnicity,Other Races and Ethnicities,0.5945485519591142,0.4369948357842141,0.7521022681340142,1
2014,01,003,race-ethnicity,"White, Non-Hispanic",0.7678913162930822,0.7414308614321388,0.7943517711540256,1
2014,01,005,all,All,0.7207047299740329,0.6942555626031784,0.7471538973448874,3
2014,01,005,race-ethnicity,"Black, Non-Hispanic",0.6310838893142294,0.5871636642945535,0.6750041143339054,3
2014,01,005,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,005,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,005,race-ethnicity,"White, Non-Hispanic",0.7724858080308317,0.7427867883826259,0.8021848276790374,3
2014,01,007,all,All,0.650483111075621,0.625010777424909,0.675955444726333,3
2014,01,007,race-ethnicity,"Black, Non-Hispanic",0.5649114631873252,0.5210485169062946,0.6087744094683558,3
2014,01,007,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,007,race-ethnicity,"White, Non-Hispanic",0.7244749182330457,0.6913607918979592,0.7575890445681321,3
2014,01,009,all,All,0.6854698288802162,0.6618036923744788,0.7091359653859537,2
2014,01,009,race-ethnicity,"Black, Non-Hispanic",0.6913613996719519,0.590020212389033,0.7927025869548707,2
2014,01,009,race-ethnicity,Hispanic,0.6436363636363636,0.5252010277044259,0.7620716995683012,2
2014,01,009,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,009,race-ethnicity,"White, Non-Hispanic",0.6879418092408566,0.6640393486996277,0.7118442697820855,2
2014,01,011,all,All,0.7207047299740328,0.6942555626031783,0.7471538973448872,3
2014,01,011,race-ethnicity,"Black, Non-Hispanic",0.6310838893142294,0.5871636642945536,0.6750041143339053,3
2014,01,011,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,011,race-ethnicity,"White, Non-Hispanic",0.7724858080308318,0.742786788382626,0.8021848276790375,3
