statefip,puma,county,pop20,afact,afact2,products,sum_products,county_pop,puma_flag,small_county
01,00100,033,57227,0.301,1,0.301,0.301,57227,3,0
01,00100,059,32113,0.1689,1,0.1689,0.1689,32113,3,0
01,00100,077,93564,0.4921,1,0.4921,0.4921,93564,2,0
01,00100,093,7230,0.038,0.2464,0.0093632,0.15088928,29341,3,0
01,00200,083,103570,0.4884,1,0.4884,0.4884,103570,2,0
01,00200,089,108476,0.5116,0.2795,0.14299220000000004,0.7934442600000001,388153,1,0
01,00301,089,136356,1,0.3513,0.3513,0.7934442600000001,388153,1,0
01,00302,089,105621,1,0.2721,0.2721,0.7934442600000001,388153,1,0
01,00400,049,71608,0.5766,1,0.5766,0.5766,71608,2,0
01,00400,071,52579,0.4234,1,0.4234,0.4234,52579,2,0
01,00500,089,37700,0.2786,0.0971,0.027052060000000003,0.7934442600000001,388153,1,0
01,00500,095,97612,0.7214,1,0.7214,0.7214,97612,2,0
01,00600,079,33073,0.2113,1,0.2113,0.2113,33073,3,0
01,00600,103,123421,0.7887,1,0.7887,0.7887,123421,1,0
01,00700,043,87866,0.7887,1,0.7887,0.7887,87866,1,0
01,00700,133,23540,0.2113,1,0.2113,0.2113,23540,3,0
01,00800,009,59134,0.3922,1,0.3922,0.3922,59134,2,0
01,00800,073,545,0.0036,8e-4,2.88e-6,0.9950692999999999,674721,1,0
01,00800,115,91103,0.6042,1,0.6042,0.6042,91103,2,0
01,00900,055,103436,1,1,1,1,103436,1,0
01,01000,019,24971,0.1577,1,0.1577,0.1577,24971,3,0
01,01000,027,14236,0.0899,1,0.0899,0.0899,14236,3,1
01,01000,029,15056,0.0951,1,0.0951,0.0951,15056,3,1
01,01000,111,21967,0.1387,1,0.1387,0.1387,21967,3,0
01,01000,121,82149,0.5187,1,0.5187,0.5187,82149,2,0
01,01100,015,116441,1,1,1,1,116441,1,0
01,01200,073,2187,0.0097,0.0032,3.104e-5,0.9950692999999999,674721,1,0
01,01200,117,222379,0.9903,0.9971,0.98742813,0.98743455,223024,1,0
01,01301,073,87721,1,0.13,0.13,0.9950692999999999,674721,1,0
01,01302,073,100177,1,0.1485,0.1485,0.9950692999999999,674721,1,0
01,01303,073,182962,0.9976,0.2712,0.27054912000000003,0.9950692999999999,674721,1,0
01,01303,117,438,0.0024,0.002,4.8e-6,0.98743455,223024,1,0
01,01304,073,183511,1,0.272,0.272,0.9950692999999999,674721,1,0
01,01305,073,117618,0.9982,0.1743,0.17398626,0.9950692999999999,674721,1,0
01,01305,117,207,0.0018,9e-4,1.62e-6,0.98743455,223024,1,0
01,01400,057,16321,0.1386,1,0.1386,0.1386,16321,3,1
01,01400,075,13972,0.1187,1,0.1187,0.1187,13972,3,1
01,01400,093,22111,0.1878,0.7536,0.14152608,0.15088928,29341,3,0
01,01400,127,65342,0.5549,1,0.5549,0.5549,65342,2,0
01,01500,107,19123,0.1527,1,0.1527,0.1527,19123,3,0
01,01500,125,106131,0.8473,0.4675,0.39611275000000007,0.9286127500000001,227036,1,0
01,01600,125,120905,1,0.5325,0.5325,0.9286127500000001,227036,1,0
01,01700,007,22293,0.1806,1,0.1806,0.1806,22293,3,0
01,01700,047,38462,0.3116,1,0.3116,0.3116,38462,3,0
01,01700,063,7730,0.0626,1,0.0626,0.0626,7730,3,1
01,01700,065,14785,0.1198,1,0.1198,0.1198,14785,3,1
01,01700,091,19323,0.1565,1,0.1565,0.1565,19323,3,0
01,01700,105,8511,0.0689,1,0.0689,0.0689,8511,3,1
01,01700,119,12345,0.1,1,0.1,0.1,12345,3,1
01,01800,017,34772,0.2645,1,0.2645,0.2645,34772,3,0
01,01800,021,45014,0.3424,1,0.3424,0.3424,45014,3,0
01,01800,037,10387,0.079,1,0.079,0.079,10387,3,1
01,01800,123,41311,0.3142,1,0.3142,0.3142,41311,3,0
01,01900,081,174241,1,1,1,1,174241,1,0
01,02000,101,196511,1,0.8583,0.8583,0.88255904,228954,1,0
01,02100,001,58805,0.3103,1,0.3103,0.3103,58805,3,0
