"state","puma22","place","stab","PlaceName","PUMA22name","pop20","afact2","afact"
"State code","PUMA (2022)","Place code","State abbr.","Place name","PUMA22 name","Total population (2020 Census)","place-to-puma22 allocation factor","puma22-to-place allocation factor"
"01","00100","01756","AL","Anderson town, AL","Lauderdale, Colbert & Franklin Counties",254,1,0.0014 
"01","00100","05140","AL","Belgreen CDP, AL","Lauderdale, Colbert & Franklin Counties",170,1,0.0009 
"01","00100","14152","AL","Cherokee town, AL","Lauderdale, Colbert & Franklin Counties",970,1,0.0053 
"01","00100","26896","AL","Florence city, AL","Lauderdale, Colbert & Franklin Counties",40184,1,0.2197 
"01","00100","35200","AL","Hodges town, AL","Lauderdale, Colbert & Franklin Counties",265,1,0.0014 
"01","00100","39784","AL","Killen town, AL","Lauderdale, Colbert & Franklin Counties",1034,1,0.0057 
"01","00100","42160","AL","Leighton town, AL","Lauderdale, Colbert & Franklin Counties",665,1,0.0036 
"01","00100","42640","AL","Lexington town, AL","Lauderdale, Colbert & Franklin Counties",727,1,0.004 
"01","00100","43648","AL","Littleville town, AL","Lauderdale, Colbert & Franklin Counties",1038,1,0.0057 
"01","00100","53016","AL","Muscle Shoals city, AL","Lauderdale, Colbert & Franklin Counties",16275,1,0.089 
"01","00100","59496","AL","Phil Campbell town, AL","Lauderdale, Colbert & Franklin Counties",992,1,0.0054 
"01","00100","63576","AL","Red Bay city, AL","Lauderdale, Colbert & Franklin Counties",3232,1,0.0177 
"01","00100","66216","AL","Rogersville town, AL","Lauderdale, Colbert & Franklin Counties",1286,1,0.007 
"01","00100","67056","AL","Russellville city, AL","Lauderdale, Colbert & Franklin Counties",10855,1,0.0593 
"01","00100","67536","AL","St. Florian town, AL","Lauderdale, Colbert & Franklin Counties",584,1,0.0032 
"01","00100","69648","AL","Sheffield city, AL","Lauderdale, Colbert & Franklin Counties",9403,1,0.0514 
"01","00100","72672","AL","Spruce Pine CDP, AL","Lauderdale, Colbert & Franklin Counties",215,1,0.0012 
"01","00100","77280","AL","Tuscumbia city, AL","Lauderdale, Colbert & Franklin Counties",9054,1,0.0495 
"01","00100","77580","AL","Underwood-Petersville CDP, AL","Lauderdale, Colbert & Franklin Counties",3051,1,0.0167 
"01","00100","78984","AL","Vina town, AL","Lauderdale, Colbert & Franklin Counties",325,1,0.0018 
"01","00100","80064","AL","Waterloo town, AL","Lauderdale, Colbert & Franklin Counties",178,1,0.001 
"01","00100","99999","AL","[not in a place]","Lauderdale, Colbert & Franklin Counties",82147,0.0483,0.4491 
"01","00200","02260","AL","Ardmore town, AL","Limestone County",1321,1,0.0128 
"01","00200","02956","AL","Athens city, AL","Limestone County",25406,1,0.2453 
"01","00200","20104","AL","Decatur city, AL","Limestone County",58,0.001,0.0006 
