"state","puma2k","placefp14","stab","placefp","placenm","placenm14","PUMA2kName","pop10","afact","AFACT2"
"State code","PUMA (2000)","Place (2014)","State abbreviation","placefp","placenm","Place name 2014","PUMA 2K name","Population (2010)","puma2k to placefp14 allocation factor","placefp14 to puma2k allocation factor"
"01","00100","01756","AL"," "," ","Anderson town, AL","0100100",282,0.0019,1 
"01","00100","14152","AL"," "," ","Cherokee town, AL","0100100",1048,0.0071,1 
"01","00100","26896","AL"," "," ","Florence city, AL","0100100",39319,0.2672,0.9605 
"01","00100","39784","AL"," "," ","Killen town, AL","0100100",965,0.0066,0.0682 
"01","00100","42160","AL"," "," ","Leighton town, AL","0100100",729,0.005,0.0097 
"01","00100","42640","AL"," "," ","Lexington town, AL","0100100",735,0.005,0.1944 
"01","00100","43648","AL"," "," ","Littleville town, AL","0100100",1011,0.0069,1 
"01","00100","53016","AL"," "," ","Muscle Shoals city, AL","0100100",13146,0.0893,1 
"01","00100","66216","AL"," "," ","Rogersville town, AL","0100100",1257,0.0085,0.8253 
"01","00100","67536","AL"," "," ","St. Florian town, AL","0100100",413,0.0028,1 
"01","00100","69648","AL"," "," ","Sheffield city, AL","0100100",9039,0.0614,1 
"01","00100","77280","AL"," "," ","Tuscumbia city, AL","0100100",8519,0.0579,1 
"01","00100","77580","AL"," "," ","Underwood-Petersville CDP, AL","0100100",3247,0.0221,0.0438 
"01","00100","80064","AL"," "," ","Waterloo town, AL","0100100",203,0.0014,1 
"01","00100","99999","AL"," "," "," ","0100100",67224,0.4569,0.0008 
"01","00200","37000","AL"," "," ","Huntsville city, AL","0100200",173324,0.9982,0.1573 
"01","00200","99999","AL"," "," "," ","0100200",308,0.0018,0 
"01","00300","02260","AL"," "," ","Ardmore town, AL","0100300",1194,0.0049,0.1214 
"01","00300","02956","AL"," "," ","Athens city, AL","0100300",21897,0.0898,1 
"01","00300","20104","AL"," "," ","Decatur city, AL","0100300",84,0.0003,0.0015 
"01","00300","23488","AL"," "," ","Elkmont town, AL","0100300",434,0.0018,1 
"01","00300","32440","AL"," "," ","Gurley town, AL","0100300",801,0.0033,1 
"01","00300","33472","AL"," "," ","Harvest CDP, AL","0100300",5281,0.0216,1 
"01","00300","33808","AL"," "," ","Hazel Green CDP, AL","0100300",3630,0.0149,1 
"01","00300","37000","AL"," "," ","Huntsville city, AL","0100300",7055,0.0289,0.0064 
"01","00300","42352","AL"," "," ","Lester town, AL","0100300",111,0.0005,0.0276 
"01","00300","45784","AL"," "," ","Madison city, AL","0100300",42938,0.176,0.6526 
"01","00300","48112","AL"," "," ","Meridianville CDP, AL","0100300",6021,0.0247,1 
"01","00300","51216","AL"," "," ","Moores Mill CDP, AL","0100300",5682,0.0233,1 
"01","00300","51264","AL"," "," ","Mooresville town, AL","0100300",53,0.0002,1 
"01","00300","54168","AL"," "," ","New Hope city, AL","0100300",2810,0.0115,0.6807 
"01","00300","54312","AL"," "," ","New Market CDP, AL","0100300",1597,0.0065,1 
"01","00300","57504","AL"," "," ","Owens Cross Roads town, AL","0100300",1521,0.0062,1 
"01","00300","63912","AL"," "," ","Redstone Arsenal CDP, AL","0100300",1946,0.008,0.0806 
"01","00300","76824","AL"," "," ","Triana town, AL","0100300",496,0.002,1 
"01","00300","99999","AL"," "," "," ","0100300",140410,0.5755,0.0018 
"01","00400","09328","AL"," "," ","Bridgeport city, AL","0100400",2418,0.0194,0.1927 
"01","00400","16600","AL"," "," ","Collinsville town, AL","0100400",1962,0.0158,0.2083 
"01","00400","18856","AL"," "," ","Crossville town, AL","0100400",1862,0.015,0.2972 
"01","00400","21952","AL"," "," ","Dutton town, AL","0100400",315,0.0025,1 
"01","00400","27616","AL"," "," ","Fort Payne city, AL","0100400",14042,0.1129,1 
"01","00400","28672","AL"," "," ","Fyffe town, AL","0100400",1018,0.0082,1 
"01","00400","29608","AL"," "," ","Geraldine town, AL","0100400",896,0.0072,1 
"01","00400","32896","AL"," "," ","Hammondville town, AL","0100400",488,0.0039,0.3523 
"01","00400","34096","AL"," "," ","Henagar city, AL","0100400",2344,0.0189,0.7406 
"01","00400","35632","AL"," "," ","Hollywood town, AL","0100400",1000,0.008,0.5754 
"01","00400","37264","AL"," "," ","Hytop town, AL","0100400",354,0.0028,1 
"01","00400","37312","AL"," "," ","Ider town, AL","0100400",723,0.0058,1 
"01","00400","40888","AL"," "," ","Lakeview town, AL","0100400",143,0.0012,0.572 
"01","00400","41368","AL"," "," ","Langston town, AL","0100400",270,0.0022,1 
"01","00400","48064","AL"," "," ","Mentone town, AL","0100400",360,0.0029,0.3282 
"01","00400","57696","AL"," "," ","Paint Rock town, AL","0100400",210,0.0017,0.0373 
"01","00400","60372","AL"," "," ","Pine Ridge town, AL","0100400",282,0.0023,1 
"01","00400","60720","AL"," "," ","Pisgah town, AL","0100400",722,0.0058,0.2371 
"01","00400","61038","AL"," "," ","Pleasant Groves town, AL","0100400",420,0.0034,1 
"01","00400","62075","AL"," "," ","Powell town, AL","0100400",955,0.0077,1 
"01","00400","63336","AL"," "," ","Rainsville city, AL","0100400",4948,0.0398,1 
"01","00400","67920","AL"," "," ","Sand Rock town, AL","0100400",23,0.0002,0.0112 
"01","00400","68736","AL"," "," ","Scottsboro city, AL","0100400",14770,0.1188,1 
"01","00400","69000","AL"," "," ","Section town, AL","0100400",770,0.0062,0.0014 
"01","00400","69840","AL"," "," ","Shiloh town, AL","0100400",274,0.0022,0.0483 
"01","00400","70896","AL"," "," ","Skyline town, AL","0100400",851,0.0068,1 
"01","00400","73080","AL"," "," ","Stevenson city, AL","0100400",2046,0.0165,0.021 
"01","00400","74400","AL"," "," ","Sylvania town, AL","0100400",1837,0.0148,0.1619 
"01","00400","78240","AL"," "," ","Valley Head town, AL","0100400",558,0.0045,0.2506 
"01","00400","83664","AL"," "," ","Woodville town, AL","0100400",746,0.006,1 
"01","00400","99999","AL"," "," "," ","0100400",66729,0.5367,0.0008 
"01","00500","00484","AL"," "," ","Addison town, AL","0100500",758,0.0038,1 
"01","00500","00988","AL"," "," ","Albertville city, AL","0100500",21160,0.1069,0.9752 
"01","00500","02116","AL"," "," ","Arab city, AL","0100500",8050,0.0407,0.3154 
"01","00500","02500","AL"," "," ","Arley town, AL","0100500",357,0.0018,0.0471 
"01","00500","03676","AL"," "," ","Baileyton town, AL","0100500",610,0.0031,0.3361 
"01","00500","07912","AL"," "," ","Boaz city, AL","0100500",8442,0.0427,0.8839 
"01","00500","16684","AL"," "," ","Colony town, AL","0100500",268,0.0014,1 
"01","00500","18976","AL"," "," ","Cullman city, AL","0100500",14709,0.0743,1 
"01","00500","20955","AL"," "," ","Dodge City town, AL","0100500",593,0.003,1 
"01","00500","21280","AL"," "," ","Double Springs town, AL","0100500",1083,0.0055,0.4287 
"01","00500","21328","AL"," "," ","Douglas town, AL","0100500",744,0.0038,1 
"01","00500","22504","AL"," "," ","East Point CDP, AL","0100500",190,0.001,1 
"01","00500","25384","AL"," "," ","Fairview town, AL","0100500",446,0.0023,0.0517 
"01","00500","29032","AL"," "," ","Garden City town, AL","0100500",492,0.0025,1 
"01","00500","30496","AL"," "," ","Good Hope town, AL","0100500",2264,0.0114,0.5268 
"01","00500","31096","AL"," "," ","Grant town, AL","0100500",906,0.0046,0.0845 
"01","00500","32416","AL"," "," ","Guntersville city, AL","0100500",8197,0.0414,1 
"01","00500","32704","AL"," "," ","Haleyville city, AL","0100500",4125,0.0208,0.9885 
"01","00500","32968","AL"," "," ","Hanceville city, AL","0100500",2982,0.0151,0.5796 
"01","00500","35560","AL"," "," ","Holly Pond town, AL","0100500",798,0.004,0.1075 
"01","00500","39064","AL"," "," ","Joppa CDP, AL","0100500",501,0.0025,0.0426 
"01","00500","44800","AL"," "," ","Lynn town, AL","0100500",659,0.0033,0.0223 
"01","00500","53376","AL"," "," ","Natural Bridge town, AL","0100500",37,0.0002,0.0153 
"01","00500","53400","AL"," "," ","Nauvoo town, AL","0100500",1,0,0.0005 
"01","00500","68280","AL"," "," ","Sardis City town, AL","0100500",6,0,0.0035 
"01","00500","71900","AL"," "," ","South Vinemont town, AL","0100500",749,0.0038,0.0158 
"01","00500","77784","AL"," "," ","Union Grove town, AL","0100500",77,0.0004,0.0253 
"01","00500","81528","AL"," "," ","West Point town, AL","0100500",586,0.003,1 
"01","00500","99999","AL"," "," "," ","0100500",118119,0.5968,0.0015 
