"state","puma12","placefp14","stab","placefp","placenm","placenm14","PUMAname","pop10","afact","AFACT2"
"State code","PUMA (2012)","Place (2014)","State abbreviation","placefp","placenm","Place name 2014","PUMA12 name","Population (2010)","puma12 to placefp14 allocation factor","placefp14 to puma12 allocation factor"
"01","00100","01756","AL"," "," ","Anderson town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",282,0.0015,1 
"01","00100","04852","AL"," "," ","Bear Creek town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1070,0.0057,1 
"01","00100","05140","AL"," "," ","Belgreen CDP, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",129,0.0007,0.0061 
"01","00100","14152","AL"," "," ","Cherokee town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1048,0.0056,1 
"01","00100","26896","AL"," "," ","Florence city, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",39319,0.2106,0.9605 
"01","00100","32560","AL"," "," ","Hackleburg town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1516,0.0081,0.1599 
"01","00100","32704","AL"," "," ","Haleyville city, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",48,0.0003,0.0115 
"01","00100","35200","AL"," "," ","Hodges town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",288,0.0015,0.0062 
"01","00100","39784","AL"," "," ","Killen town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",965,0.0052,0.0682 
"01","00100","42160","AL"," "," ","Leighton town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",729,0.0039,0.0097 
"01","00100","42640","AL"," "," ","Lexington town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",735,0.0039,0.1944 
"01","00100","43648","AL"," "," ","Littleville town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1011,0.0054,1 
"01","00100","53016","AL"," "," ","Muscle Shoals city, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",13146,0.0704,1 
"01","00100","59496","AL"," "," ","Phil Campbell town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1148,0.0061,0.1956 
"01","00100","63576","AL"," "," ","Red Bay city, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",3158,0.0169,0.9535 
"01","00100","66216","AL"," "," ","Rogersville town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1257,0.0067,0.8253 
"01","00100","67056","AL"," "," ","Russellville city, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",9830,0.0527,0.2883 
"01","00100","67536","AL"," "," ","St. Florian town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",413,0.0022,1 
"01","00100","69648","AL"," "," ","Sheffield city, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",9039,0.0484,1 
"01","00100","72672","AL"," "," ","Spruce Pine CDP, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",222,0.0012,1 
"01","00100","77280","AL"," "," ","Tuscumbia city, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",8519,0.0456,1 
"01","00100","77580","AL"," "," ","Underwood-Petersville CDP, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",3247,0.0174,0.0438 
"01","00100","78984","AL"," "," ","Vina town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",358,0.0019,1 
"01","00100","80064","AL"," "," ","Waterloo town, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",203,0.0011,1 
"01","00100","99999","AL"," "," "," ","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",89015,0.4768,0.0011 
"01","00200","02260","AL"," "," ","Ardmore town, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",1194,0.0069,0.1214 
"01","00200","02956","AL"," "," ","Athens city, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",21897,0.1274,1 
"01","00200","20104","AL"," "," ","Decatur city, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",84,0.0005,0.0015 
"01","00200","23488","AL"," "," ","Elkmont town, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",434,0.0025,1 
"01","00200","32440","AL"," "," ","Gurley town, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",8,0,0.01 
"01","00200","33472","AL"," "," ","Harvest CDP, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",5281,0.0307,1 
"01","00200","33808","AL"," "," ","Hazel Green CDP, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",3630,0.0211,1 
