year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,01,043,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,043,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,045,all,All,0,1
2014,01,045,race-ethnicity,Black,0,1
2014,01,045,race-ethnicity,Hispanic,0,2
2014,01,045,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,045,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,047,all,All,0.5609048341357251,1
2014,01,047,race-ethnicity,Black,0.6148561938552125,1
2014,01,047,race-ethnicity,Hispanic,0,3
2014,01,047,race-ethnicity,Other Races and Ethnicities,0.6397306397306397,2
2014,01,047,race-ethnicity,"White, Non-Hispanic",0.10698552548772813,1
2014,01,049,all,All,0,1
2014,01,049,race-ethnicity,Black,0,2
2014,01,049,race-ethnicity,Hispanic,0,1
2014,01,049,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,049,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,051,all,All,0,1
2014,01,051,race-ethnicity,Black,0,1
2014,01,051,race-ethnicity,Hispanic,0,3
2014,01,051,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,051,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,053,all,All,0.18938661510366311,1
2014,01,053,race-ethnicity,Black,0.3702943189596167,1
2014,01,053,race-ethnicity,Hispanic,0,3
2014,01,053,race-ethnicity,Other Races and Ethnicities,0.04524886877828054,2
2014,01,053,race-ethnicity,"White, Non-Hispanic",0.02733485193621868,1
2014,01,055,all,All,0.27947554713594897,1
2014,01,055,race-ethnicity,Black,0.4879626302551204,1
2014,01,055,race-ethnicity,Hispanic,0.6015831134564644,2
2014,01,055,race-ethnicity,Other Races and Ethnicities,0.6190061028770706,1
2014,01,055,race-ethnicity,"White, Non-Hispanic",0.14269832446597316,1
2014,01,057,all,All,0,1
2014,01,057,race-ethnicity,Black,0,2
2014,01,057,race-ethnicity,Hispanic,0,3
2014,01,057,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,057,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,059,all,All,0,1
2014,01,059,race-ethnicity,Black,0,2
2014,01,059,race-ethnicity,Hispanic,0,2
2014,01,059,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,059,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,061,all,All,0,1
2014,01,061,race-ethnicity,Black,0,2
2014,01,061,race-ethnicity,Hispanic,0,2
