year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,04,85540,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,04,85540,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,05,23290,all,All,NA,NA
2014,05,23290,race-ethnicity,Black,NA,NA
2014,05,23290,race-ethnicity,Hispanic,NA,NA
2014,05,23290,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,05,23290,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,05,24550,all,All,NA,NA
2014,05,24550,race-ethnicity,Black,NA,NA
2014,05,24550,race-ethnicity,Hispanic,NA,NA
2014,05,24550,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,05,24550,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,05,35710,all,All,NA,NA
2014,05,35710,race-ethnicity,Black,NA,NA
2014,05,35710,race-ethnicity,Hispanic,NA,NA
2014,05,35710,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,05,35710,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,05,41000,all,All,NA,NA
2014,05,41000,race-ethnicity,Black,NA,NA
2014,05,41000,race-ethnicity,Hispanic,NA,NA
2014,05,41000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,05,41000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,05,66080,all,All,NA,NA
2014,05,66080,race-ethnicity,Black,NA,NA
2014,05,66080,race-ethnicity,Hispanic,NA,NA
2014,05,66080,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,05,66080,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,00562,all,All,NA,NA
2014,06,00562,race-ethnicity,Black,NA,NA
2014,06,00562,race-ethnicity,Hispanic,NA,NA
2014,06,00562,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,00562,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,00884,all,All,NA,NA
2014,06,00884,race-ethnicity,Black,NA,NA
2014,06,00884,race-ethnicity,Hispanic,NA,NA
2014,06,00884,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,00884,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,02000,all,All,NA,NA
2014,06,02000,race-ethnicity,Black,NA,NA
2014,06,02000,race-ethnicity,Hispanic,NA,NA
2014,06,02000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,02000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,02252,all,All,NA,NA
2014,06,02252,race-ethnicity,Black,NA,NA
2014,06,02252,race-ethnicity,Hispanic,NA,NA
2014,06,02252,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,02252,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,02364,all,All,NA,NA
2014,06,02364,race-ethnicity,Black,NA,NA
2014,06,02364,race-ethnicity,Hispanic,NA,NA
2014,06,02364,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,02364,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,03526,all,All,NA,NA
2014,06,03526,race-ethnicity,Black,NA,NA
2014,06,03526,race-ethnicity,Hispanic,NA,NA
2014,06,03526,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,03526,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,04982,all,All,NA,NA
2014,06,04982,race-ethnicity,Black,NA,NA
2014,06,04982,race-ethnicity,Hispanic,NA,NA
2014,06,04982,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,04982,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,06000,all,All,NA,NA
2014,06,06000,race-ethnicity,Black,NA,NA
2014,06,06000,race-ethnicity,Hispanic,NA,NA
2014,06,06000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,06000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,08786,all,All,NA,NA
2014,06,08786,race-ethnicity,Black,NA,NA
2014,06,08786,race-ethnicity,Hispanic,NA,NA
2014,06,08786,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,08786,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,08954,all,All,NA,NA
2014,06,08954,race-ethnicity,Black,NA,NA
2014,06,08954,race-ethnicity,Hispanic,NA,NA
2014,06,08954,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,08954,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,11194,all,All,NA,NA
2014,06,11194,race-ethnicity,Black,NA,NA
2014,06,11194,race-ethnicity,Hispanic,NA,NA
2014,06,11194,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,11194,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,11530,all,All,NA,NA
2014,06,11530,race-ethnicity,Black,NA,NA
2014,06,11530,race-ethnicity,Hispanic,NA,NA
2014,06,11530,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,11530,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,13014,all,All,NA,NA
2014,06,13014,race-ethnicity,Black,NA,NA
2014,06,13014,race-ethnicity,Hispanic,NA,NA
2014,06,13014,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,13014,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,13210,all,All,NA,NA
2014,06,13210,race-ethnicity,Black,NA,NA
2014,06,13210,race-ethnicity,Hispanic,NA,NA
2014,06,13210,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,13210,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,13214,all,All,NA,NA
2014,06,13214,race-ethnicity,Black,NA,NA
2014,06,13214,race-ethnicity,Hispanic,NA,NA
2014,06,13214,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,13214,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,13392,all,All,NA,NA
2014,06,13392,race-ethnicity,Black,NA,NA
2014,06,13392,race-ethnicity,Hispanic,NA,NA
2014,06,13392,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,13392,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,13588,all,All,NA,NA
2014,06,13588,race-ethnicity,Black,NA,NA
2014,06,13588,race-ethnicity,Hispanic,NA,NA
2014,06,13588,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,13588,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,14218,all,All,NA,NA
2014,06,14218,race-ethnicity,Black,NA,NA
2014,06,14218,race-ethnicity,Hispanic,NA,NA
2014,06,14218,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,14218,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,15044,all,All,NA,NA
2014,06,15044,race-ethnicity,Black,NA,NA
2014,06,15044,race-ethnicity,Hispanic,NA,NA
2014,06,15044,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,15044,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,16000,all,All,NA,NA
2014,06,16000,race-ethnicity,Black,NA,NA
2014,06,16000,race-ethnicity,Hispanic,NA,NA
2014,06,16000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,16000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,16350,all,All,NA,NA
2014,06,16350,race-ethnicity,Black,NA,NA
2014,06,16350,race-ethnicity,Hispanic,NA,NA
2014,06,16350,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,16350,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,16532,all,All,NA,NA
2014,06,16532,race-ethnicity,Black,NA,NA
2014,06,16532,race-ethnicity,Hispanic,NA,NA
2014,06,16532,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,16532,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,17918,all,All,NA,NA
2014,06,17918,race-ethnicity,Black,NA,NA
2014,06,17918,race-ethnicity,Hispanic,NA,NA
2014,06,17918,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,17918,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,19766,all,All,NA,NA
2014,06,19766,race-ethnicity,Black,NA,NA
2014,06,19766,race-ethnicity,Hispanic,NA,NA
2014,06,19766,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,19766,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,21712,all,All,NA,NA
2014,06,21712,race-ethnicity,Black,NA,NA
2014,06,21712,race-ethnicity,Hispanic,NA,NA
2014,06,21712,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,21712,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,22020,all,All,NA,NA
2014,06,22020,race-ethnicity,Black,NA,NA
2014,06,22020,race-ethnicity,Hispanic,NA,NA
2014,06,22020,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,22020,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,22230,all,All,NA,NA
2014,06,22230,race-ethnicity,Black,NA,NA
2014,06,22230,race-ethnicity,Hispanic,NA,NA
2014,06,22230,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,22230,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,22804,all,All,NA,NA
2014,06,22804,race-ethnicity,Black,NA,NA
2014,06,22804,race-ethnicity,Hispanic,NA,NA
