year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2016,12,45000,0.22129159419513453,1
2018,12,45000,0.21827660995371836,1
2021,12,45000,0.1780886218823505,1
2023,12,45000,0.09372824916157847,1
2014,12,45025,0,1
2016,12,45025,0,1
2018,12,45025,0,1
2021,12,45025,0,1
2023,12,45025,0,1
2014,12,45060,0.06246442002337166,1
2016,12,45060,0,1
2018,12,45060,0,1
2021,12,45060,0,1
2023,12,45060,0,1
2014,12,45975,0,1
2016,12,45975,0,1
2018,12,45975,0,1
2021,12,45975,0,1
2023,12,45975,0,1
2014,12,49675,0,2
2016,12,49675,0,2
2018,12,49675,0,2
2021,12,49675,0,2
2023,12,49675,0,1
2014,12,53000,0.0735863813193086,1
2016,12,53000,0.1468874592533606,1
2018,12,53000,0.051408819011100816,1
2021,12,53000,0.011960649565449528,1
2023,12,53000,0.0105164044796197,1
2014,12,54000,0,1
2016,12,54000,0,1
2018,12,54000,0,1
2021,12,54000,0.09099166297265433,1
2023,12,54000,0,1
2014,12,54200,0,1
2016,12,54200,0,1
2018,12,54200,0,1
2021,12,54200,0,1
2023,12,54200,0,1
2014,12,55775,0,1
2016,12,55775,0,1
2018,12,55775,0,1
2021,12,55775,0.16894054562619382,1
2023,12,55775,0.14646715794596213,1
2014,12,57425,0,1
2016,12,57425,0,1
2018,12,57425,0,1
2021,12,57425,0,1
2023,12,57425,0,1
2014,12,58050,0.09377465356532626,1
2016,12,58050,0.09525543298110431,1
2018,12,58050,0.07122079594688546,1
2021,12,58050,0.1401661640846728,1
2023,12,58050,0.12199592857716131,1
2014,12,58715,0,1
2016,12,58715,0,1
2018,12,58715,0,1
2021,12,58715,0,1
2023,12,58715,0,1
2014,12,63000,0.1564609381676623,1
2016,12,63000,0.1598616115198241,1
2018,12,63000,0.22312965708670804,1
2021,12,63000,0.12022085302866331,1
2023,12,63000,0,1
2014,12,69700,0,1
2016,12,69700,0,1
2018,12,69700,0,1
2021,12,69700,0,1
2023,12,69700,0,1
2014,12,70600,0.6124610253768219,1
2016,12,70600,0.5920373652546369,1
2018,12,70600,0.5713291462393839,1
2021,12,70600,0.579029953287738,1
2023,12,70600,0.5619494633695729,1
2014,12,71000,0.2284296808821874,1
2016,12,71000,0.27825089484674276,1
2018,12,71000,0.1317188631483321,1
2021,12,71000,0.1799642695460134,1
2023,12,71000,0.1498526877405314,1
2014,12,76600,0.04264680671926007,1
2016,12,76600,0.04458783040751594,1
2018,12,76600,0.05022221706685572,1
2021,12,76600,0.06451330624596027,1
2023,12,76600,0.06599054164405319,1
2014,13,03440,0.5784397028859901,1
2016,13,03440,0.5415011154216538,1
2018,13,03440,0.48817209639453324,1
2021,13,03440,0.48478998207062274,1
2023,13,03440,0.5319413083176004,1
2014,13,04000,0.42287572874559143,1
2016,13,04000,0.4006899134555484,1
2018,13,04000,0.30823447958171213,1
2021,13,04000,0.2636237721292297,1
2023,13,04000,0.25051784323786286,1
2014,13,04204,0.23655260854427815,1
2016,13,04204,0.25562530490250374,1
2018,13,04204,0.1538481305010794,1
2021,13,04204,0.2356847111544769,1
2023,13,04204,0.26269620843069424,1
2014,13,19000,0.31945108032064556,1
2016,13,19000,0.37189421586761984,1
2018,13,19000,0.22615572686675148,1
2021,13,19000,0.23778122575640032,1
2023,13,19000,0.19554026299645247,1
2014,13,42425,0,2
2016,13,42425,0,2
2018,13,42425,0,2
2021,13,42425,0,2
2023,13,42425,0,2
2014,13,49008,0.5658912218525335,1
2016,13,49008,0.6101901174375914,1
2018,13,49008,0.41086095574105763,1
2021,13,49008,0.48556741795175956,1
2023,13,49008,0.4162091223183437,1
2014,13,67284,0,1
2016,13,67284,0,1
2018,13,67284,0,1
2021,13,67284,0,1
2023,13,67284,0,1
2014,13,68516,0,1
2016,13,68516,0,1
2018,13,68516,0,1
2021,13,68516,0,1
2023,13,68516,0,1
2014,13,69000,0.267237472670268,1
2016,13,69000,0.1613501028455602,1
2018,13,69000,0.21593669308760005,1
2021,13,69000,0.12189154676820306,1
2023,13,69000,0.19573722539974425,1
2021,13,72122,0,2
2023,13,72122,0.009618839353236578,1
2014,13,80508,0.08949603247785526,1
2016,13,80508,0.23576267172304566,1
2018,13,80508,0.23380517201936454,1
2021,13,80508,0.10206323926236106,1
2023,13,80508,0,1
2014,15,71550,0.07893060058031795,1
2016,15,71550,0.05172991456926024,1
2018,15,71550,0.04942072153729364,1
2021,15,71550,0.05534384244288841,1
2023,15,71550,0.05638515002932252,1
2014,16,08830,0.18199766724148628,1
2016,16,08830,0.12153023160181686,1
2018,16,08830,0,1
2021,16,08830,0.1414662039955505,1
2023,16,08830,0.1278834897474534,1
2014,16,52120,0,1
2016,16,52120,0,1
2018,16,52120,0,1
2021,16,52120,0,2
2023,16,52120,0,1
2014,16,56260,0.25348413301440953,1
2016,16,56260,0.21973797124259772,1
2018,16,56260,0,1
2021,16,56260,0,1
2023,16,56260,0,1
2014,17,02154,0,1
2016,17,02154,0,1
2018,17,02154,0,1
2021,17,02154,0,2
2023,17,02154,0,1
2014,17,03012,0,1
2016,17,03012,0,1
2018,17,03012,0,1
2021,17,03012,0,1
2023,17,03012,0,1
2014,17,06613,0.2704777894462671,1
2016,17,06613,0.04675402068818135,1
2018,17,06613,0.05303157642051315,1
2021,17,06613,0.05424542982755045,1
2023,17,06613,0.04173016535651233,1
2014,17,12385,0.4661718722273989,1
2016,17,12385,0.49995627273308096,1
2018,17,12385,0.5111667504784589,1
2021,17,12385,0.5085281919908559,1
2023,17,12385,0.5548146212063715,1
2014,17,14000,0.26412712152798423,1
2016,17,14000,0.21358209980098017,1
2018,17,14000,0.15754932494375343,1
2021,17,14000,0.16023684042958725,1
2023,17,14000,0.14932915594129662,1
2014,17,14351,0,1
2016,17,14351,0,1
2018,17,14351,0,1
2021,17,14351,0,1
2023,17,14351,0,1
2014,17,23074,0,1
2016,17,23074,0,1
2018,17,23074,0,1
2021,17,23074,0,1
2023,17,23074,0,1
2014,17,24582,0.2310840591877427,1
2016,17,24582,0.20810234541577824,1
2018,17,24582,0.1953125,1
2021,17,24582,0.22176324796412133,1
2023,17,24582,0,1
2014,17,38570,0.2903219843388739,1
2016,17,38570,0.14059096573710197,1
2018,17,38570,0,1
2021,17,38570,0.0894246629130205,1
2023,17,38570,0.1550922997055379,1
2014,17,51622,0,1
2016,17,51622,0,1
2018,17,51622,0,1
2021,17,51622,0,1
2023,17,51622,0,1
2014,17,59000,0.36773894939726115,1
2016,17,59000,0.3460351417479406,1
2018,17,59000,0.31765391171182655,1
2021,17,59000,0.2940311908721063,1
2023,17,59000,0.2503285556285508,1
2014,17,65000,0.391919272708968,1
2016,17,65000,0.2737535056228139,1
2018,17,65000,0.25693927457721466,1
2021,17,65000,0.2668448994318221,1
2023,17,65000,0.32737476784227854,1
2014,17,68003,0,1
2016,17,68003,0,1
2018,17,68003,0,1
2021,17,68003,0,1
2023,17,68003,0,1
2014,17,72000,0.3077111927432383,1
2016,17,72000,0.3093040299768304,1
2018,17,72000,0.31685388072814347,1
2021,17,72000,0.10348554522988068,1
2023,17,72000,0.059145960726120536,1
2014,17,79293,0.22883166625039725,1
2016,17,79293,0.08411313955309974,1
2018,17,79293,0,1
2021,17,79293,0.08740184215436486,1
2023,17,79293,0,1
2014,18,05860,0.5880215422125735,1
2016,18,05860,0.508991735421837,1
2018,18,05860,0.5864607058784059,1
2021,18,05860,0.44093014318770263,1
2023,18,05860,0.3674898100240931,1
2014,18,10342,0,2
2016,18,10342,0,2
2018,18,10342,0,2
2021,18,10342,0,2
2023,18,10342,0,2
2014,18,22000,0.07751697753625177,1
2016,18,22000,0.19410215979288545,1
2018,18,22000,0.16686524262457755,1
2021,18,22000,1.804944950826012e-4,1
2023,18,22000,0.06800583218402115,1
2014,18,23278,0,2
2016,18,23278,0,2
2018,18,23278,0,2
2021,18,23278,0,2
2023,18,23278,0,2
2014,18,25000,0.3292524288241301,1
2016,18,25000,0.2967457408591278,1
2018,18,25000,0.2998959931588768,1
2021,18,25000,0.09276403314465989,1
2023,18,25000,0.0674821301658813,1
2014,18,31000,0.07750573425081346,1
2016,18,31000,0.07727701092078275,1
2018,18,31000,0.0784523873318686,1
2021,18,31000,0.21793307527289818,1
2023,18,31000,0.2279337992296548,1
2014,18,36003,0.2851077912436927,1
2016,18,36003,0.24944880736987798,1
2018,18,36003,0.1571967165605502,1
2021,18,36003,0.09310081939350993,1
2023,18,36003,0.10498157500092388,1
2014,18,71000,0.3379460208125531,1
2016,18,71000,0.3880166722776194,1
2018,18,71000,0.17243425095790524,1
2021,18,71000,0.2244795779069211,1
2023,18,71000,0.17038387185234175,1
2014,19,12000,0.05148697061255158,1
2016,19,12000,0.047232475242575636,1
2018,19,12000,0,1
2021,19,12000,0.04477126574802464,1
2023,19,12000,0,1
2014,19,19000,0.06075517690404352,1
2016,19,19000,0.06698318597329331,1
2018,19,19000,0,1
2021,19,19000,0.08883778446339656,1
2023,19,19000,0.17719821943382696,1
2014,19,21000,0.06576617395357391,1
2016,19,21000,0.04301395477030998,1
2018,19,21000,0,1
2021,19,21000,0.0943450214306904,1
2023,19,21000,0,1
2014,19,73335,0.06135361938438321,1
2016,19,73335,0.0692925674376539,1
2018,19,73335,0.1434674836976245,1
2021,19,73335,0.07183347683809124,1
2023,19,73335,0.053757406945989655,1
2014,20,36000,0.22140407955049116,1
2016,20,36000,0.24122788133728068,1
2018,20,36000,0.14910930403065742,1
2021,20,36000,0.06938349334104735,1
2023,20,36000,0.06632460691039938,1
2014,20,38900,0.18296833051969394,1
2016,20,38900,0.17906671414567404,1
2018,20,38900,0.17222348517124472,1
2021,20,38900,0.19042072078483682,1
2023,20,38900,0.1982100387023023,1
2014,20,52575,0,1
2016,20,52575,0,1
2018,20,52575,0,1
2021,20,52575,0,1
2023,20,52575,0,1
2014,20,53775,0,1
2016,20,53775,0,1
2018,20,53775,0,1
2021,20,53775,0,1
2023,20,53775,0,1
2014,20,71000,0.18004954869024392,1
2016,20,71000,0.21985428530850556,1
2018,20,71000,0,1
2021,20,71000,0,1
2023,20,71000,0,1
2014,20,79000,0.18387320823816528,1
2016,20,79000,0.12526397442815515,1
2018,20,79000,0.10166495867773019,1
2021,20,79000,0.11441622018931771,1
2023,20,79000,0.08126237033192042,1
2014,21,46027,0.35288150072971913,1
2016,21,46027,0.3252958684714053,1
2018,21,46027,0.3279642140529794,1
2021,21,46027,0.20047009340013608,1
2023,21,46027,0.24623447365163206,1
2014,21,48006,0.048401113723564954,1
2016,21,48006,0.011839369643694402,1
2018,21,48006,0.013767097290674012,1
2021,21,48006,0.07029653183452857,1
2023,21,48006,0.09018445291820175,1
2014,22,05000,0.3694342413975812,1
2016,22,05000,0.40138778116019463,1
2018,22,05000,0.34657810124169247,1
2021,22,05000,0.286868380872952,1
2023,22,05000,0.48796519052333703,1
2014,22,40735,0.2091637936858985,1
2016,22,40735,0.23699054242307802,1
2018,22,40735,0.08831639478943913,1
2021,22,40735,0.10788154118579685,1
2023,22,40735,0.3735266310048059,1
2014,22,41155,0.14729504003439542,1
2016,22,41155,0.12909195407713236,1
2018,22,41155,0.0538822200647613,1
2021,22,41155,0.1863293123692075,1
2023,22,41155,0.443120381306835,1
2014,22,55000,0.3295400519932429,1
2016,22,55000,0.2991019012503347,1
2018,22,55000,0.23917192617173097,1
2021,22,55000,0.29167183535382013,1
2023,22,55000,0.28961111515946464,1
2014,22,70000,0.3433647256702388,1
2016,22,70000,0.27523183900926856,1
2018,22,70000,0.29665222581551914,1
2021,22,70000,0.4099536375454558,1
2023,22,70000,0.399914899693974,1
2014,24,04000,0.21070908325221438,1
2016,24,04000,0.18920153083413063,1
2018,24,04000,0.1762724231345427,1
2021,24,04000,0.22535162594602068,1
2023,24,04000,0.17603260723830635,1
2014,24,30325,0,1
2016,24,30325,0,1
2018,24,30325,0,1
2021,24,30325,0,1
2023,24,30325,0,1
2014,25,07000,0.17792458149511203,1
2016,25,07000,0.20283258629453352,1
2018,25,07000,0.1907565315578398,1
2021,25,07000,0.13792480768536242,1
2023,25,07000,0.10156628912156572,1
2014,25,09000,0.08692511437515049,1
2016,25,09000,0.06845677190911774,1
2018,25,09000,0.07535974902816613,1
2021,25,09000,0,1
2023,25,09000,0,1
2014,25,11000,0,1
2016,25,11000,0,1
2018,25,11000,0,1
2021,25,11000,0,1
2023,25,11000,0,1
2014,25,23000,0.09231222965001966,1
2016,25,23000,0,1
2018,25,23000,0,1
2021,25,23000,0,1
2023,25,23000,0.0638363805392005,1
2014,25,34550,0.14967670931352317,1
2016,25,34550,0.1464546377301948,1
2018,25,34550,0.05585633878316805,1
2021,25,34550,0,1
2023,25,34550,0,1
2014,25,37000,0.16686722823906938,1
2016,25,37000,0.1558222970279488,1
2018,25,37000,0.1527538335904183,1
2021,25,37000,0,1
2023,25,37000,0,1
2014,25,37490,0.04599704267004647,1
2016,25,37490,0,1
2018,25,37490,0,1
2021,25,37490,0,1
2023,25,37490,0,1
2014,25,45000,0.2815916830973293,1
2016,25,45000,0.08817616959064327,1
2018,25,45000,0.04584875995333976,1
2021,25,45000,0.11168254655695106,1
2023,25,45000,0.12019449931621334,1
2014,25,45560,0,1
2016,25,45560,0,1
2018,25,45560,0,1
2021,25,45560,0,1
2023,25,45560,0,1
2014,25,55745,0,1
2016,25,55745,0,1
2018,25,55745,0,1
2021,25,55745,0,1
2023,25,55745,0,1
2014,25,62535,0,1
2016,25,62535,0,1
2018,25,62535,0,1
2021,25,62535,0,1
2023,25,62535,0,1
2014,25,67000,0.429402385069733,1
2016,25,67000,0.5330983688039401,1
2018,25,67000,0.4761426066627703,1
2021,25,67000,0.3328775794404355,1
2023,25,67000,0.33140119633688,1
2014,25,82000,0.4224875832188524,1
2016,25,82000,0.30381839653588766,1
2018,25,82000,0.08440649111727395,1
2021,25,82000,0.16935549914011958,1
2023,25,82000,0.14896635057395782,1
2014,26,03000,0.47564334556462595,1
2016,26,03000,0.5167469135873511,1
2018,26,03000,0.5367727076953791,1
2021,26,03000,0.5300771247172696,1
2023,26,03000,0.5196694732599962,1
2014,26,21000,0.7466661821881473,1
2016,26,21000,0.6597562734352466,1
2018,26,21000,0.6492183710778644,1
2021,26,21000,0.22711724241626885,1
2023,26,21000,0.3517666896604583,1
2014,26,22000,0.6249381276605106,1
2016,26,22000,0.6023278297255246,1
2018,26,22000,0.5260572739955588,1
2021,26,22000,0.40698297309323894,1
2023,26,22000,0.4154955970855908,1
2014,26,27440,0,1
2016,26,27440,0,1
2018,26,27440,0,1
2021,26,27440,0,1
2023,26,27440,0,1
2014,26,29000,0.621022768959867,1
2016,26,29000,0.6248299067270343,1
2018,26,29000,0.6039300980046712,1
2021,26,29000,0.3924431993249021,1
2023,26,29000,0.3730176327507935,1
2014,26,34000,0.42286280205818755,1
2016,26,34000,0.28832555957236616,1
2018,26,34000,0.20319373354450249,1
2021,26,34000,0.08541482454370511,1
2023,26,34000,0.13487898976888993,1
2014,26,46000,0.2929712276977072,1
2016,26,46000,0.3430820100567477,1
2018,26,46000,0.15404104251557443,1
2021,26,46000,0.04969484441085549,1
2023,26,46000,0,1
2014,26,49000,0,1
2016,26,49000,0,1
2018,26,49000,0,1
2021,26,49000,0.012907608695652174,1
2023,26,49000,0.010299839780270085,1
2014,26,69035,0,1
2016,26,69035,0,1
2018,26,69035,0,1
2021,26,69035,0,1
2023,26,69035,3.9830451751936383e-4,1
2014,26,74900,0,1
2016,26,74900,0,1
2018,26,74900,0,1
2021,26,74900,0,1
2023,26,74900,0,1
2014,26,76460,0,1
2016,26,76460,0,1
2018,26,76460,7.478923035082948e-4,1
2021,26,76460,0.0017619120576068638,1
2023,26,76460,0,1
2014,26,80700,0,1
2016,26,80700,0,1
2018,26,80700,0,1
2021,26,80700,0,1
2023,26,80700,0,1
2014,26,84000,0.11004784688995216,1
2016,26,84000,0.15081072773380466,1
2018,26,84000,0.13137639601569576,1
2021,26,84000,0.004120683938805475,1
2023,26,84000,0.06661715134548363,1
2014,26,86000,0.1674303020889959,1
2016,26,86000,0.16018136850783182,1
2018,26,86000,0,1
2021,26,86000,0,1
2023,26,86000,0,1
2014,26,88940,0,1
2016,26,88940,0,1
2018,26,88940,0,1
2021,26,88940,0,1
2023,26,88940,0,1
2014,27,06616,0,1
2016,27,06616,0,1
2018,27,06616,0,1
2021,27,06616,0,1
2023,27,06616,0,1
2014,27,07966,0,1
2016,27,07966,0,1
2018,27,07966,0,1
2021,27,07966,0,2
2023,27,07966,0,1
2014,27,17000,0.41925057395784265,1
2016,27,17000,0.35390714323069256,1
2018,27,17000,0.22182394035039002,1
2021,27,17000,0.2547909788493111,1
2023,27,17000,0.22330131961677732,1
2014,27,43000,0.3826126005867261,1
2016,27,43000,0.32173557776789175,1
2018,27,43000,0.35778607178749094,1
2021,27,43000,0.23719012995935193,1
2023,27,43000,0.24749352928926308,1
2014,27,51730,0,1
2016,27,51730,0,1
2018,27,51730,0,2
2021,27,51730,0,2
2023,27,51730,0,2
2014,27,54880,0,1
2016,27,54880,0,1
2018,27,54880,0.06292342311682651,1
2021,27,54880,0.07657657228143755,1
2023,27,54880,0,1
2014,27,58000,0.20883731652962423,1
2016,27,58000,0.23528563416392917,1
2018,27,58000,0.09800384595749026,1
2021,27,58000,0.059844032549728754,1
2023,27,58000,0.08622335348393255,1
2014,27,71428,0,2
2016,27,71428,0,2
2018,27,71428,0,2
2021,27,71428,0,2
2023,27,71428,0,2
2014,28,36000,0.35536367084850806,1
2016,28,36000,0.4464353751411924,1
2018,28,36000,0.3758976732737588,1
2021,28,36000,0.22029767388398455,1
2023,28,36000,0.2966920849914943,1
2014,29,15670,0.4679575638148761,1
2016,29,15670,0.5140058153250857,1
2018,29,15670,0.4550670001102728,1
2021,29,15670,0.30781738439167333,1
2023,29,15670,0.3877193881464611,1
2014,29,35000,0.08373274468945595,1
2016,29,35000,0.1830348470219471,1
2018,29,35000,0,1
2021,29,35000,0.08814800172160231,1
2023,29,35000,0.13797166509474626,1
2014,29,38000,0.296193848468596,1
2016,29,38000,0.22206401907083664,1
2018,29,38000,0.18872713451767015,1
2021,29,38000,0.11678875361871818,1
2023,29,38000,0.13897822536852997,1
2014,29,41348,0,1
2016,29,41348,0,1
2018,29,41348,0,1
2021,29,41348,0,2
2023,29,41348,0,2
2014,29,54074,0,2
2016,29,54074,0,1
2018,29,54074,0,1
2021,29,54074,0,2
2023,29,54074,0,2
2014,29,65000,0.38347113702911456,1
2016,29,65000,0.3580724999322693,1
2018,29,65000,0.31947845765656824,1
2021,29,65000,0.10425270870414212,1
2023,29,65000,0.1558772210946124,1
2014,29,70000,0.2743268793483624,1
2016,29,70000,0.2550393697643255,1
2018,29,70000,0.2240087149738862,1
2021,29,70000,0.20702034227568386,1
2023,29,70000,0.19647959491745368,1
2014,30,06550,0,1
2016,30,06550,0,1
2018,30,06550,0,1
2021,30,06550,0,1
2023,30,06550,0,1
2014,31,28000,0.20357765523971122,1
2016,31,28000,0.161254637846633,1
2018,31,28000,0.19364599220284046,1
2021,31,28000,0.08654567133410272,1
2023,31,28000,0.06720509560196607,1
2014,31,37000,0.16118995377092038,1
2016,31,37000,0.1544732135236078,1
2018,31,37000,0.10703069746243994,1
2021,31,37000,0.09609223683006725,1
2023,31,37000,0.06696839882298725,1
2014,32,31900,0,1
2016,32,31900,0.06452627497841086,1
2018,32,31900,0,1
2021,32,31900,0,1
2023,32,31900,0,1
2014,32,40000,0.16861721025348897,1
2016,32,40000,0.1510451461876146,1
2018,32,40000,0.0789147631055056,1
2021,32,40000,0.03811929924512516,1
2023,32,40000,0.05087427914800208,1
2014,32,51800,0.19776433065083376,1
2016,32,51800,0.1610303050129516,1
2018,32,51800,0.08739200614706424,1
2021,32,51800,0.06007897549887577,1
2023,32,51800,0.05273987796246408,1
2014,32,60600,0.22692401749590904,1
2016,32,60600,0.210984947366146,1
2018,32,60600,0,1
2021,32,60600,0.10977599990026458,1
2023,32,60600,0.0540954348268893,1
2014,32,68400,0,1
2016,32,68400,0,1
2018,32,68400,0,1
2021,32,68400,0,1
2023,32,68400,0,1
2014,33,45140,0.08279220779220779,1
2016,33,45140,0,1
2018,33,45140,0.0590394425780764,1
2021,33,45140,0,1
2023,33,45140,0,1
2014,33,50260,0,1
2016,33,50260,0,1
2018,33,50260,0,1
2021,33,50260,0,1
2023,33,50260,0,1
2014,34,13690,0,1
2016,34,13690,0,1
2018,34,13690,0,1
2021,34,13690,0,1
2023,34,13690,0,1
2014,34,21000,0,1
2016,34,21000,0,1
2018,34,21000,0,1
2021,34,21000,0,1
2023,34,21000,0,1
2014,34,36000,0.020810788312661282,1
2016,34,36000,0.048170476929505164,1
2018,34,36000,0.02408876139048262,1
2021,34,36000,0,1
2023,34,36000,0.0011823495292910364,1
2014,34,51000,0.31049432992920245,1
2016,34,51000,0.3518999654435386,1
2018,34,51000,0.21894955300127714,1
2021,34,51000,0.21033576025053186,1
2023,34,51000,0.18510495359008458,1
2014,34,57000,0.2940775872552596,1
2016,34,57000,0.24203625692242153,1
2018,34,57000,0.17235696364441383,1
2021,34,57000,0.16554062667312547,1
2023,34,57000,0.1619261950597869,1
2014,34,74000,0.22238878356333494,1
2016,34,74000,0.32594965262113146,1
2018,34,74000,0.29916510031909777,1
2021,34,74000,0.27778695975539214,1
2023,34,74000,0.18604542698568163,1
2014,35,02000,0.15764473670532506,1
2016,35,02000,0.14239738652420275,1
2018,35,02000,0.12053380824215203,1
2021,35,02000,0.08756394099818662,1
2023,35,02000,0.07531958977791346,1
2014,35,39380,0.30423525291548964,1
2016,35,39380,0.1501662705069202,1
2018,35,39380,0.13355239673530958,1
2021,35,39380,0.07761641983554404,1
2023,35,39380,0.18286092235425772,1
2014,35,63460,0,1
2016,35,63460,0,1
2018,35,63460,0,1
2021,35,63460,0,1
2023,35,63460,0,1
2014,35,70500,0,1
2016,35,70500,0,1
2018,35,70500,0,1
2021,35,70500,0,1
2023,35,70500,0,1
2014,36,01000,0.3504043126684636,1
2016,36,01000,0.21541224918952073,1
2018,36,01000,0.2107107344097732,1
2021,36,01000,0.2101734813980861,1
2023,36,01000,0.2771916544448124,1
2014,36,11000,0.44327828368575395,1
2016,36,11000,0.40526383033090585,1
2018,36,11000,0.40372753200238776,1
2021,36,11000,0.270785297707853,1
2023,36,11000,0.278631550366549,1
2014,36,50617,0,1
2016,36,50617,0,1
2018,36,50617,0,1
2021,36,50617,0,1
2023,36,50617,0,1
2014,36,51000,0.23272577597886956,1
2016,36,51000,0.22348321615350664,1
2018,36,51000,0.20566548056433187,1
2021,36,51000,0.16400837387958878,1
2023,36,51000,0.16264921062764728,1
2014,36,63000,0.5804038949440161,1
2016,36,63000,0.47861417519511057,1
2018,36,63000,0.4307516048020793,1
2021,36,63000,0.4227125889088466,1
2023,36,63000,0.33827366933429315,1
2014,36,73000,0.670060107993507,1
2016,36,73000,0.5542659048928913,1
2018,36,73000,0.4444970045840747,1
2021,36,73000,0.3968073049443729,1
2023,36,73000,0.47503056563253526,1
2014,36,84000,0.1816003833253474,1
2016,36,84000,0.23130471154133428,1
2018,36,84000,0.08849445324881142,1
2021,36,84000,0.07535247278837022,1
2023,36,84000,0.10571221504809593,1
2014,37,02140,0.10688671212250982,1
2016,37,02140,0.08867088574191902,1
2018,37,02140,0.10141780594798076,1
2021,37,02140,0,1
2023,37,02140,0.024795547304226156,1
2014,37,10740,0,1
2016,37,10740,0,1
2018,37,10740,0,1
2021,37,10740,0,1
2023,37,10740,0,1
2014,37,12000,0.18631558812450463,1
2016,37,12000,0.08325386612336744,1
2018,37,12000,0.07723628326075012,1
2021,37,12000,0.06336088928726114,1
2023,37,12000,0.06947481272943841,1
2014,37,14100,0,1
2016,37,14100,0,1
2018,37,14100,0,1
2021,37,14100,0.14299414445919903,1
2023,37,14100,0,1
2014,37,19000,0.2686956728729282,1
2016,37,19000,0.2587869168964396,1
2018,37,19000,0.18232261124638235,1
2021,37,19000,0.11470626039021518,1
2023,37,19000,0.03620369931504136,1
2014,37,22920,0.10847973319964564,1
2016,37,22920,0.09803601427057938,1
2018,37,22920,0.08959653805001111,1
2021,37,22920,0.09872559153415057,1
2023,37,22920,0.045459757715270464,1
2014,37,25580,0.2887951517344045,1
2016,37,25580,0.07264986259750751,1
2018,37,25580,0.07662006331052286,1
2021,37,25580,0,1
2023,37,25580,0,1
2014,37,28000,0.2428203893245899,1
2016,37,28000,0.2044075317497676,1
2018,37,28000,0.2133017196613048,1
2021,37,28000,0.12784924004408138,1
2023,37,28000,0.1720345994197971,1
2014,37,28080,0.37993534119934236,1
2016,37,28080,0.5056229641915712,1
2018,37,28080,0.39130202635017386,1
2021,37,28080,0.44212432806134255,1
2023,37,28080,0.44212432592475104,1
2014,37,31400,0.4250985209174804,1
2016,37,31400,0.4369464501869064,1
2018,37,31400,0.20251034468384338,1
2021,37,31400,0.11343945754316269,1
2023,37,31400,0.13370000159930312,1
2014,37,55000,0.1391560526930659,1
2016,37,55000,0.1295477241573694,1
2018,37,55000,0.11380402302593406,1
2021,37,55000,0.09254766263049952,1
2023,37,55000,0.08382277395849258,1
2014,37,74440,0.3662555422309063,1
2016,37,74440,0.3499522914058158,1
2018,37,74440,0.30828306072762246,1
2021,37,74440,0.1818405481294222,1
2023,37,74440,0,1
2014,37,75000,0.41987019204587905,1
2016,37,75000,0.29802788858743545,1
2018,37,75000,0.23818914016953874,1
2021,37,75000,0.26999712438510687,1
2023,37,75000,0.2605829095298626,1
2014,38,25700,0.07629575175052279,1
2016,38,25700,0.08890638679478009,1
2018,38,25700,0.10314823047268931,1
2021,38,25700,0.11869811699849349,1
2023,38,25700,0.1573265991391635,1
2014,39,01000,0.3355182792881474,1
2016,39,01000,0.2891851373425735,1
2018,39,01000,0.24598236182552494,1
2021,39,01000,0.1647464615114056,1
2023,39,01000,0.1731945008300218,1
2014,39,15000,0.5170506359111979,1
2016,39,15000,0.49253782042698824,1
2018,39,15000,0.4346034215221086,1
2021,39,15000,0.43686572093742204,1
2023,39,15000,0.4004043883906312,1
2014,39,16000,0.5453527081701577,1
2016,39,16000,0.5219883415560017,1
2018,39,16000,0.4514902885975224,1
2021,39,16000,0.4143616356350336,1
2023,39,16000,0.4226228582593874,1
2014,39,18000,0.34802634395095416,1
2016,39,18000,0.28639808510644094,1
2018,39,18000,0.3070492608216289,1
2021,39,18000,0.2033091511226754,1
2023,39,18000,0.20644769714798186,1
2014,39,21000,0.552375161261064,1
2016,39,21000,0.5216416757069565,1
2018,39,21000,0.3912208414756756,1
2021,39,21000,0.26229507831592713,1
2023,39,21000,0.20233460321866806,1
2014,39,61000,0,1
2016,39,61000,0,1
2018,39,61000,0,1
2021,39,61000,0,1
2023,39,61000,0,1
2014,39,77000,0.4362898230509637,1
2016,39,77000,0.4245589182688983,1
2018,39,77000,0.37648591663453473,1
2021,39,77000,0.33314546627971897,1
2023,39,77000,0.36868728364312703,1
2014,40,09050,0,1
2016,40,09050,0,1
2018,40,09050,0,1
2021,40,09050,0,1
2023,40,09050,0,1
2014,40,23200,0.04139945754787568,1
2016,40,23200,0.04714949760642384,1
2018,40,23200,0.03985839612499191,1
2021,40,23200,0.034044614468475724,1
2023,40,23200,0,1
2014,40,41850,0.17044843717242208,1
2016,40,41850,0.18884982372407508,1
2018,40,41850,0.18595047395737194,1
2021,40,41850,0.1237283853095185,1
2023,40,41850,0.1713765649695672,1
2014,40,52500,0.07939410510082123,1
2016,40,52500,0.0750199954297472,1
2018,40,52500,0.19374304524851554,1
2021,40,52500,0.07930324774704586,1
2023,40,52500,0.06824629384900319,1
2014,40,55000,0.23370832271863806,1
2016,40,55000,0.24765828491919992,1
2018,40,55000,0.20980950187754085,1
2021,40,55000,0.13095941497556873,1
2023,40,55000,0.1615244346154403,1
