year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2018,06,03526,0.2939343209744308,1
2021,06,03526,0.2598131211034019,1
2023,06,03526,0.2562531362119135,1
2014,06,04982,0,1
2016,06,04982,0,1
2018,06,04982,0,1
2021,06,04982,0,1
2023,06,04982,0,1
2014,06,06000,0.29758965935279796,1
2016,06,06000,0.3904080867484881,1
2018,06,06000,0.4258614885922526,1
2021,06,06000,0.4599189851828163,1
2023,06,06000,0.41559441328494445,1
2014,06,08786,0,1
2016,06,08786,0,1
2018,06,08786,0,1
2021,06,08786,0,1
2023,06,08786,0,1
2014,06,08954,0,1
2016,06,08954,0,1
2018,06,08954,0,1
2021,06,08954,0,1
2023,06,08954,0,1
2014,06,11194,0,1
2016,06,11194,0,1
2018,06,11194,0,2
2021,06,11194,0,2
2023,06,11194,0,2
2014,06,11530,0,1
2016,06,11530,0,1
2018,06,11530,0,1
2021,06,11530,0,1
2023,06,11530,0,1
2014,06,13014,0.38745073106406763,1
2016,06,13014,0.41198657419732865,1
2018,06,13014,0.3310562270907944,1
2021,06,13014,0.41956004516871875,1
2023,06,13014,0.2899069270420526,1
2014,06,13210,0,1
2016,06,13210,0,1
2018,06,13210,0,1
2021,06,13210,4.440734161710845e-4,1
2023,06,13210,0.0021117371724674906,1
2014,06,13214,0,2
2016,06,13214,0,1
2018,06,13214,0,2
2021,06,13214,0,2
2023,06,13214,0,2
2014,06,13392,0,1
2016,06,13392,0,1
2018,06,13392,0,1
2021,06,13392,0,1
2023,06,13392,0,1
2014,06,13588,0,1
2016,06,13588,0,1
2018,06,13588,0,1
2021,06,13588,0,1
2023,06,13588,0,1
2014,06,14218,0,1
2016,06,14218,0,1
2018,06,14218,0,1
2021,06,14218,0,1
2023,06,14218,0,1
2014,06,15044,0.16416531088373224,1
2016,06,15044,0.053603148998903734,1
2018,06,15044,0,1
2021,06,15044,0,1
2023,06,15044,0,1
2014,06,16000,0,1
2016,06,16000,0,1
2018,06,16000,0,1
2021,06,16000,0,1
2023,06,16000,0,1
2014,06,16350,0,1
2016,06,16350,0,1
2018,06,16350,0,1
2021,06,16350,0,1
2023,06,16350,0,1
2014,06,16532,0,1
2016,06,16532,0,1
2018,06,16532,0,1
2021,06,16532,0,1
2023,06,16532,0,1
2014,06,17918,0,1
2016,06,17918,0,1
2018,06,17918,0,1
2021,06,17918,0,1
2023,06,17918,0,1
2014,06,19766,0,1
2016,06,19766,0,1
2018,06,19766,0,1
2021,06,19766,0,1
2023,06,19766,0,1
2014,06,21712,0.25219662253460223,1
2016,06,21712,0,1
2018,06,21712,0.13956758732782318,1
2021,06,21712,0.1311514174336026,1
2023,06,21712,0,1
2014,06,22020,0,1
2016,06,22020,0,1
2018,06,22020,0,1
2021,06,22020,0,1
2023,06,22020,0,1
2014,06,22230,0,1
2016,06,22230,0,1
2018,06,22230,0,1
2021,06,22230,0,1
2023,06,22230,0,1
2014,06,22804,0.08569423795488264,1
2016,06,22804,0.09651278458249125,1
2018,06,22804,0,1
2021,06,22804,0,1
2023,06,22804,0,1
2014,06,23182,0,1
2016,06,23182,0,1
2018,06,23182,0,1
2021,06,23182,0,1
2023,06,23182,0,1
2014,06,24638,0,2
2016,06,24638,0,1
2018,06,24638,0,1
2021,06,24638,0,1
