year,state,county,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb,famstruc_quality
2021,01,001,0.5682735459,0.6235912011,0.5129558906,0.0645681964,0.0920152738,0.037121119,0.0199574447,0.0355765318,0.0043383576,0.2558759467,0.3046083821,0.2071435113,0.0171692699,0.0316768839,0.002661656,0.0741555964,0.1034187875,0.0448924054,2
2021,01,003,0.6894809625,0.7404177669,0.6385441581,0.0371715682,0.0579975908,0.0163455456,0.0240435143,0.0409067396,0.0071802891,0.1893611137,0.2324917193,0.1462305081,0,0,0,0.0599428413,0.0860748163,0.0338108664,1
2021,01,005,0.4462593444,0.5110703439,0.381448345,0.0059837635,0.0160388499,0,0.0458323942,0.0730970775,0.0185677108,0.473040712,0.5381345147,0.4079469093,0,0,0,0.0288837858,0.0507193548,0.0070482169,2
2021,01,007,0.3158481702,0.3821217757,0.2495745647,0.0381109802,0.0654078414,0.0108141189,0.0211514101,0.041665516,0.0006373043,0.5190170394,0.5902499718,0.447784107,0.0002691997,0.0026080585,0,0.1056032004,0.1494188069,0.0617875939,2
2021,01,009,0.5773358133,0.6359343434,0.5187372831,0.0855009892,0.118671483,0.0523304953,0.0930246069,0.1274811276,0.0585680862,0.174822127,0.2198775151,0.1297667389,0.0140557558,0.0280203406,0.000091171,0.0552607078,0.0823650555,0.0281563602,2
2021,01,011,0.4462593416,0.511070341,0.3814483422,0.0059837625,0.0160388479,0,0.0458323868,0.073097068,0.0185677055,0.4730407221,0.5381345249,0.4079469193,0,0,0,0.0288837871,0.0507193565,0.0070482177,2
2021,01,013,0.5160006461,0.5621234089,0.4698778833,0.0549991842,0.0760399729,0.0339583954,0.1023976611,0.1303781183,0.0744172039,0.249127373,0.2890447192,0.2092100268,0.0167998729,0.0286614316,0.0049383143,0.0606752627,0.0827086624,0.038641863,2
2021,01,015,0.5078411256,0.573904587,0.4417776642,0.0621061117,0.0939986256,0.0302135978,0.0475963652,0.0757310561,0.0194616744,0.3246372563,0.3865118643,0.2627626484,0.0041037667,0.0125515566,0,0.0537153745,0.0835077358,0.0239230131,1
2021,01,017,0.5103204366,0.578256734,0.4423841392,0.2305089938,0.2877451046,0.173272883,0.0088949721,0.0216551444,0,0.1908617526,0.2442683885,0.1374551166,0.0144068127,0.0306009271,0,0.0450070322,0.0731820812,0.0168319833,2
2021,01,019,0.4847873328,0.5457712218,0.4238034438,0.0466622442,0.0723989184,0.0209255699,0.0392215929,0.0629091596,0.0155340263,0.3099168504,0.3663480814,0.2534856193,0.007922642,0.018740817,0,0.1114893377,0.1498949071,0.0730837684,2
2021,01,021,0.5103204353,0.5782567327,0.4423841378,0.2305090154,0.2877451281,0.1732729028,0.0088949698,0.0216551405,0,0.1908617359,0.24426837,0.1374551017,0.0144068129,0.0306009274,0,0.0450070307,0.0731820792,0.0168319823,2
2021,01,023,0.4303463213,0.4889729999,0.3717196427,0.0515996309,0.0777935176,0.0254057442,0.0310219011,0.0515510987,0.0104927035,0.4285603385,0.4871568779,0.3699637992,0.002290729,0.0079514227,0,0.0561810792,0.0834469999,0.0289151584,2
2021,01,025,0.4303463017,0.4889729799,0.3717196234,0.0515996328,0.0777935199,0.0254057456,0.0310218995,0.0515510966,0.0104927024,0.4285603501,0.4871568897,0.3699638105,0.0022907281,0.0079514206,0,0.0561810879,0.0834470106,0.0289151651,2
2021,01,027,0.4847873224,0.5457712114,0.4238034335,0.0466622534,0.07239893,0.0209255767,0.0392215925,0.062909159,0.015534026,0.30991686,0.3663480915,0.2534856284,0.0079226426,0.018740818,0,0.1114893291,0.1498948972,0.0730837611,2
2021,01,029,0.4847873297,0.5457712187,0.4238034408,0.0466622464,0.0723989212,0.0209255715,0.0392215916,0.0629091579,0.0155340253,0.3099168622,0.3663480939,0.2534856305,0.0079226391,0.0187408121,0,0.111489331,0.1498948993,0.0730837626,2
2021,01,031,0.5160006649,0.5621234277,0.4698779022,0.0549991889,0.0760399785,0.0339583993,0.1023976344,0.1303780884,0.0744171804,0.2491273996,0.2890447472,0.2092100519,0.0167998653,0.0286614214,0.0049383093,0.0606752468,0.0827086438,0.0386418498,2
2021,01,033,0.5677659344,0.6196657973,0.5158660715,0.1067162488,0.1390631023,0.0743693953,0.0243578022,0.0405083177,0.0082072868,0.1867103392,0.2275355898,0.1458850887,0.0121173309,0.0235798011,0.0006548608,0.1023323444,0.1340854567,0.0705792321,2
2021,01,035,0.4303463247,0.4889730034,0.3717196461,0.0515996252,0.0777935106,0.0254057399,0.0310218976,0.0515510941,0.0104927011,0.4285603359,0.4871568753,0.3699637966,0.0022907281,0.0079514206,0,0.0561810885,0.0834470113,0.0289151656,2
2021,01,037,0.5103204269,0.5782567243,0.4423841294,0.2305090172,0.28774513,0.1732729044,0.0088949711,0.0216551427,0,0.1908617439,0.2442683789,0.1374551089,0.014406814,0.0306009293,0,0.0450070269,0.0731820743,0.0168319796,2
2021,01,039,0.516000659,0.5621234217,0.4698778962,0.0549991837,0.0760399723,0.033958395,0.1023976442,0.1303780993,0.074417189,0.2491273863,0.2890447332,0.2092100394,0.0167998733,0.0286614321,0.0049383145,0.0606752536,0.0827086517,0.0386418554,2
2021,01,041,0.5160006501,0.5621234129,0.4698778873,0.054999192,0.0760399821,0.0339584018,0.1023976475,0.130378103,0.0744171919,0.2491273873,0.2890447343,0.2092100403,0.016799871,0.0286614291,0.004938313,0.060675252,0.0827086499,0.0386418541,2
2021,01,043,0.7380660962,0.7882412312,0.6878909613,0.0598175746,0.0868799259,0.0327552233,0.0300864665,0.0495802961,0.0105926369,0.123425607,0.1609610969,0.085890117,0.0210447308,0.0374241378,0.0046653238,0.0275595249,0.0462410548,0.008877995,1
2021,01,045,0.5156361206,0.5483413643,0.4829308768,0.1061246702,0.1262807701,0.0859685703,0.0641771676,0.0802150469,0.0481392883,0.2595135398,0.2882014175,0.230825662,0.0043747647,0.008693784,0.0000557454,0.0501737372,0.0644600502,0.0358874242,2
2021,01,047,0.3158481777,0.3821217836,0.2495745718,0.0381109865,0.0654078499,0.0108141231,0.0211514072,0.0416655116,0.0006373027,0.5190170341,0.5902499665,0.4477841017,0.0002691998,0.0026080588,0,0.1056031947,0.1494188002,0.0617875893,2
2021,01,049,0.5103723853,0.5677102059,0.4530345647,0.0615310763,0.0890937822,0.0339683705,0.043407394,0.0667801547,0.0200346333,0.3453731803,0.3999120141,0.2908343464,0,0,0,0.0393159641,0.0616074694,0.0170244587,2
2021,01,051,0.5682735252,0.6235911808,0.5129558697,0.0645682072,0.0920152868,0.0371211277,0.0199574428,0.0355765291,0.0043383564,0.2558759569,0.304608393,0.2071435209,0.0171692665,0.031676879,0.0026616539,0.0741556014,0.1034187933,0.0448924095,2
2021,01,053,0.4303463263,0.488973005,0.3717196476,0.0515996288,0.077793515,0.0254057426,0.0310218991,0.051551096,0.0104927021,0.4285603338,0.4871568731,0.3699637945,0.002290729,0.0079514225,0,0.0561810831,0.0834470047,0.0289151614,2
2021,01,055,0.5565164434,0.6327840346,0.4802488521,0.0414941129,0.0721104269,0.0108777989,0.0500203004,0.0834854353,0.0165551656,0.252456354,0.3191483476,0.1857643605,0,0,0,0.0995127893,0.1454686065,0.0535569721,1
2021,01,057,0.6775856619,0.7365971855,0.6185741384,0.0333518387,0.0560213237,0.0106823536,0.0287912455,0.0499034737,0.0076790173,0.1930520191,0.2428839246,0.1432201137,0.0051951131,0.014271521,0,0.0620241217,0.0924766739,0.0315715695,2
2021,01,059,0.5677659288,0.6196657918,0.5158660658,0.106716253,0.1390631071,0.0743693989,0.0243578055,0.040508322,0.008207289,0.1867103444,0.2275355954,0.1458850934,0.0121173283,0.0235797971,0.0006548594,0.10233234,0.1340854518,0.0705792283,2
2021,01,061,0.5156361097,0.5483413535,0.4829308659,0.1061246661,0.1262807656,0.0859685665,0.0641771684,0.0802150478,0.048139289,0.2595135517,0.2882014299,0.2308256735,0.0043747656,0.0086937854,0.0000557458,0.0501737385,0.0644600517,0.0358874253,2
2021,01,063,0.3158481598,0.3821217648,0.2495745549,0.0381109835,0.0654078459,0.0108141211,0.0211514101,0.041665516,0.0006373043,0.5190170491,0.5902499814,0.4477841168,0.0002691997,0.0026080586,0,0.1056031977,0.1494188037,0.0617875917,2
