year,state,county,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb
2018,09,001,0.6869246383,0.7064728584,0.6673764183,0.0603993952,0.0704413015,0.0503574889,0.0550867637,0.0647039455,0.045469582,0.1785904188,0.1947353867,0.1624454508,0.0057426356,0.0089278104,0.0025574609,0.0132561484,0.0180771704,0.0084351263
2018,09,003,0.6248130534,0.6472055137,0.6024205931,0.0791670332,0.0916542462,0.0666798202,0.0356039475,0.0441739252,0.0270339698,0.2320725327,0.2515968059,0.2125482594,0.0064428655,0.0101431819,0.0027425491,0.0219005677,0.02866953,0.0151316054
2018,09,005,0.680781371,0.7277150298,0.6338477122,0.1150020845,0.1471209684,0.0828832005,0.0475850158,0.0690181007,0.0261519308,0.1356083616,0.1700778613,0.101138862,0.00291823,0.0083490025,-0.002512543,0.0181049372,0.0315284912,0.0046813831
2018,09,007,0.6665041613,0.7249471893,0.6080611333,0.0490650138,0.0758411212,0.0222889063,0.0479855138,0.0744804526,0.021490575,0.1967127485,0.2459890108,0.1474364863,0.0052233868,0.0141590121,-0.003712238,0.0345091757,0.0571361996,0.0118821519
2018,09,009,0.6324280494,0.6573657033,0.6074903954,0.0600269164,0.07231289,0.0477409428,0.029467247,0.0382141384,0.0207203557,0.2581495267,0.2807841206,0.2355149328,0.001576692,0.0036288445,-0.000475461,0.0183515685,0.0252937096,0.0114094275
2018,09,011,0.6169152253,0.6591487541,0.5746816965,0.0916853665,0.1167560023,0.0666147307,0.0306015053,0.0455645421,0.0156384684,0.2408999742,0.2780505081,0.2037494402,0.0011716345,0.0041435653,-0.001800296,0.0187262943,0.030502847,0.0069497415
2018,09,013,0.59221891,0.6573050762,0.5271327439,0.0949705725,0.1337999021,0.0561412429,0.0415042421,0.067920747,0.0150877373,0.2416112512,0.2983054382,0.1849170642,0,0,0,0.0296950241,0.0521767673,0.0072132808
2018,09,015,0.6020718816,0.6687521571,0.5353916061,0.1006765328,0.141667955,0.0596851105,0.0365750529,0.062147502,0.0110026037,0.2113742072,0.2669943863,0.1557540281,0.016448203,0.0337754172,-0.000879011,0.0328541226,0.0571376531,0.0085705921
2018,10,001,0.5818911708,0.6411674324,0.5226149092,0.0851100286,0.1186443912,0.0515756661,0.0108192789,0.0232516004,-0.001613043,0.248060118,0.2999622605,0.1961579755,0.0103052407,0.0224417826,-0.001831301,0.063814163,0.0931876039,0.034440722
2018,10,003,0.5956744751,0.627631184,0.5637177661,0.0615352657,0.0771834154,0.0458871161,0.0536815698,0.0683580943,0.0390050452,0.2547777316,0.2831514084,0.2264040548,0.0005992138,0.0021927163,-0.000994289,0.033731744,0.0454877615,0.0219757264
2018,10,005,0.4760924598,0.5254703776,0.426714542,0.1520571604,0.1875586457,0.1165556752,0.0552440438,0.0778312411,0.0326568465,0.2498403009,0.2926426799,0.207037922,0.0119241962,0.0226559199,0.0011924724,0.0548418388,0.0773514526,0.032332225
2018,11,001,0.4463961507,0.4785896441,0.4142026573,0.0348692124,0.0467493779,0.022989047,0.0655394754,0.0815660346,0.0495129161,0.4147994292,0.4467059743,0.3828928841,0.0077628266,0.0134464596,0.0020791936,0.0306329057,0.0417924528,0.0194733586
2018,12,001,0.6230380574,0.6700634068,0.576012708,0.0282596584,0.0443396035,0.0121797134,0.0238795074,0.038694123,0.0090648918,0.2758534571,0.31922236,0.2324845541,0.0094519048,0.0188409935,0.0000628161,0.0395174149,0.0584219065,0.0206129234
2018,12,003,0.5810004793,0.6468002234,0.5152007353,0.0662478242,0.0994167051,0.0330789433,0.0352314208,0.0598184383,0.0106444033,0.292229989,0.352880947,0.231579031,0.0083108021,0.0204178555,-0.003796251,0.0169794846,0.0342089871,-0.000250018
2018,12,005,0.5918826531,0.6302314483,0.5535338578,0.0432935189,0.0591732152,0.0274138225,0.0422233697,0.0579143455,0.0265323938,0.2621846724,0.296502428,0.2278669167,0.0084037578,0.0155264732,0.0012810424,0.0520120282,0.0693378842,0.0346861723
2018,12,007,0.5230196755,0.5711329756,0.4749063753,0.0919191972,0.1197497133,0.0640886812,0.0525252581,0.0740146348,0.0310358814,0.231073892,0.2716783431,0.1904694409,0.0048378512,0.0115217379,-0.001846035,0.096624126,0.1250839975,0.0681642546
2018,12,009,0.6371690825,0.669493157,0.604845008,0.0706223199,0.0878455148,0.0533991249,0.0510153454,0.0658073358,0.0362233549,0.2032285502,0.2302809533,0.1761761471,0.0111989226,0.0182733159,0.0041245294,0.0267657795,0.0376161668,0.0159153922
2018,12,011,0.5877114332,0.6056119561,0.5698109102,0.0613217324,0.070046394,0.0525970708,0.073431907,0.0829174911,0.063946323,0.2438616552,0.2594771372,0.2282461733,0.0090034491,0.0124384237,0.0055684745,0.0246698231,0.030310638,0.0190290081
2018,12,013,0.5158837333,0.5648590023,0.4669084642,0.0808720451,0.1075906192,0.0541534711,0.0143524542,0.0260084662,0.0026964423,0.2696859507,0.3131780193,0.2261938821,0.04663898,0.0673036889,0.025974271,0.0725668367,0.0979904037,0.0471432698
2018,12,015,0.5575581647,0.6239492891,0.4911670403,0.0704908799,0.1047069507,0.0362748092,0.0439322386,0.0713273358,0.0165371415,0.2719986136,0.3314807132,0.212516514,0.0083185304,0.0204593007,-0.00382224,0.0477015727,0.0761913939,0.0192117515
2018,12,017,0.6197883405,0.7007819855,0.5387946954,0.0808776571,0.1263678178,0.0353874965,0.0558343217,0.0941424784,0.017526165,0.212799927,0.2810879954,0.1445118586,0.004470395,0.0156009436,-0.006660154,0.0262293586,0.0528941814,-0.000435464
2018,12,019,0.6564111944,0.703484553,0.6093378359,0.0857325773,0.113483489,0.0579816656,0.0165904518,0.0292513352,0.0039295684,0.1697823303,0.2069966363,0.1325680244,0.0072617523,0.0156777535,-0.001154249,0.0642216938,0.0885210662,0.0399223214
2018,12,021,0.5325235272,0.5770667701,0.4879802844,0.0759365974,0.0995853918,0.0522878031,0.1637162638,0.196749817,0.1306827107,0.1894338267,0.2244167064,0.154450947,0.0038832,0.0094356232,-0.001669223,0.0345065849,0.0508017287,0.018211441
2018,12,023,0.5230196615,0.5711329617,0.4749063613,0.091919204,0.119749721,0.064088687,0.0525252543,0.0740146302,0.0310358783,0.231073891,0.2716783421,0.19046944,0.0048378512,0.0115217379,-0.001846035,0.096624138,0.125084011,0.0681642649
2018,12,027,0.5683250532,0.6299713586,0.5066787478,0.0547949273,0.0831195041,0.0264703504,0.0495763608,0.0765926794,0.0225600423,0.2843531191,0.3404978004,0.2282084379,0.0044856176,0.0128025873,-0.003831352,0.038464922,0.062400572,0.014529272
2018,12,029,0.5230196719,0.5711329721,0.4749063718,0.091919187,0.1197497017,0.0640886723,0.0525252523,0.0740146279,0.0310358767,0.231073901,0.2716783527,0.1904694494,0.004837853,0.0115217409,-0.001846035,0.0966241348,0.1250840074,0.0681642622
2018,12,031,0.5142549097,0.5379234145,0.4905864049,0.096520319,0.1105047873,0.0825358507,0.0699939496,0.0820762749,0.0579116242,0.2633985233,0.2842578531,0.2425391935,0.0055909635,0.0091220084,0.0020599185,0.0502413349,0.0605859565,0.0398967134
2018,12,033,0.5303906319,0.5755110838,0.48527018,0.0383734922,0.0557405407,0.0210064437,0.035159804,0.051811484,0.0185081239,0.3008980718,0.3423635898,0.2594325538,0,0,0,0.0951780002,0.121709207,0.0686467933
2018,12,035,0.5744159366,0.6491824879,0.4996493852,0.0232298884,0.0460081813,0.0004515955,0.1222578907,0.1717941659,0.0727216156,0.213706054,0.2756932953,0.1517188126,0.0420902478,0.0724539323,0.0117265634,0.0242999825,0.0475842494,0.0010157157
2018,12,037,0.5158837384,0.5648590074,0.4669084694,0.0808720425,0.1075906162,0.0541534689,0.0143524525,0.0260084637,0.0026964412,0.2696859637,0.3131780329,0.2261938944,0.0466389833,0.0673036929,0.0259742736,0.0725668197,0.0979903839,0.0471432555
2018,12,039,0.5158837271,0.5648589962,0.4669084581,0.0808720518,0.1075906268,0.0541534767,0.0143524521,0.0260084632,0.002696441,0.2696859655,0.3131780348,0.2261938961,0.046638982,0.0673036914,0.0259742726,0.0725668215,0.097990386,0.047143257
2018,12,041,0.5230196615,0.5711329617,0.4749063613,0.091919204,0.119749721,0.064088687,0.0525252543,0.0740146302,0.0310358783,0.231073891,0.2716783421,0.19046944,0.0048378512,0.0115217379,-0.001846035,0.096624138,0.125084011,0.0681642649
2018,12,043,0.4360992776,0.5185401693,0.353658386,0.0693646972,0.1116031187,0.0271262756,0.1477125394,0.2066987372,0.0887263416,0.282737544,0.357602653,0.207872435,0.0100944619,0.0267127826,-0.006523859,0.0539914799,0.0915630039,0.016419956
2018,12,045,0.515883729,0.5648589981,0.46690846,0.080872042,0.1075906155,0.0541534684,0.0143524514,0.0260084622,0.0026964406,0.2696859657,0.3131780351,0.2261938963,0.0466389776,0.067303686,0.0259742691,0.0725668344,0.0979904009,0.0471432678
2018,12,047,0.5811438917,0.6564254091,0.5058623743,0.0491063537,0.0820786289,0.0161340785,0.0508489661,0.0843704184,0.0173275139,0.2329311851,0.2974290117,0.1684333584,0.0230563001,0.0459567322,0.0001558681,0.0629133033,0.0999621957,0.0258644108
2018,12,049,0.5683250615,0.6299713668,0.5066787562,0.0547949298,0.0831195073,0.0264703524,0.0495763629,0.076592682,0.0225600439,0.284353106,0.3404977864,0.2282084255,0.0044856201,0.0128025921,-0.003831352,0.0384649197,0.062400569,0.0145292704
2018,12,051,0.4360992606,0.5185401519,0.3536583693,0.0693646935,0.111603114,0.027126273,0.1477125617,0.2066987632,0.0887263602,0.282737541,0.3576026498,0.2078724322,0.0100944607,0.0267127803,-0.006523859,0.0539914825,0.0915630074,0.0164199577
2018,12,053,0.5737455791,0.6283584389,0.5191327194,0.1263538904,0.1630451716,0.0896626091,0.0531332891,0.0779034353,0.028363143,0.1912024757,0.2346302384,0.1477747129,0.0100574713,0.0210766743,-0.000961732,0.0455072944,0.0685231757,0.0224914131
2018,12,055,0.5546958747,0.6042131131,0.5051786362,0.0562967067,0.079261356,0.0333320573,0.0596917466,0.0832961406,0.0360873525,0.2841865949,0.3291234108,0.2392497789,0.0050637519,0.0121356244,-0.002008121,0.0400653253,0.0596044798,0.0205261709
2018,12,057,0.577745362,0.5954082435,0.5600824805,0.0713237347,0.0805272834,0.0621201859,0.0466247062,0.0541642681,0.0390851444,0.2480588046,0.2635033586,0.2326142507,0.010271002,0.0138765448,0.0066654591,0.0459763905,0.0534658953,0.0384868857
2018,12,059,0.59188267,0.630231465,0.553533875,0.0432935167,0.0591732126,0.0274138207,0.042223379,0.0579143565,0.0265324015,0.2621846471,0.2965024017,0.2278668925,0.0084037585,0.0155264741,0.0012810428,0.0520120288,0.0693378848,0.0346861727
2018,12,061,0.6534253432,0.736850581,0.5700001055,0.0506650458,0.0891122726,0.0122178189,0.0491275744,0.0870175959,0.0112375528,0.2212528604,0.2940214143,0.1484843066,0,0,0,0.0255291762,0.0531797333,-0.002121381
2018,12,063,0.5158837337,0.5648590028,0.4669084647,0.0808720391,0.1075906123,0.054153466,0.014352454,0.0260084659,0.0026964422,0.26968596,0.3131780291,0.2261938909,0.0466389825,0.067303692,0.025974273,0.0725668306,0.0979903966,0.0471432646
2018,12,065,0.5158837346,0.5648590037,0.4669084656,0.0808720462,0.1075906204,0.054153472,0.0143524502,0.0260084606,0.0026964399,0.2696859617,0.3131780309,0.2261938925,0.0466389748,0.0673036826,0.0259742669,0.0725668325,0.0979903988,0.0471432662
2018,12,067,0.5811438787,0.6564253965,0.5058623609,0.0491063449,0.0820786173,0.0161340725,0.0508489787,0.0843704349,0.0173275225,0.2329311801,0.2974290063,0.1684333539,0.023056297,0.0459567275,0.0001558665,0.0629133206,0.0999622178,0.0258644234
2018,12,069,0.6019321749,0.6422595703,0.5616047796,0.0437103065,0.060553891,0.026866722,0.0386752125,0.0545606536,0.0227897713,0.2812777799,0.318319923,0.2442356369,0,0,0,0.0344045261,0.0494204915,0.0193885608
2018,12,071,0.6333609113,0.6618127466,0.6049090761,0.072141256,0.0874168482,0.0568656638,0.0408296032,0.0525138504,0.029145356,0.2091332725,0.2331452813,0.1851212638,0.0035285715,0.0070296123,0.0000275308,0.0410063854,0.0527148211,0.0292979496
2018,12,073,0.6035228183,0.64648609,0.5605595465,0.0557423717,0.0758925722,0.0355921712,0.0225246864,0.0355570646,0.0094923082,0.2842807579,0.3238982043,0.2446633115,0.0137888088,0.024030926,0.0035466917,0.0201405569,0.0324789621,0.0078021517
2018,12,075,0.5230196816,0.5711329817,0.4749063815,0.0919191912,0.1197497065,0.064088676,0.0525252473,0.0740146219,0.0310358727,0.231073902,0.2716783537,0.1904694503,0.0048378512,0.0115217378,-0.001846035,0.0966241267,0.1250839982,0.0681642552
2018,12,077,0.5158837202,0.5648589893,0.4669084511,0.0808720557,0.1075906314,0.0541534801,0.0143524521,0.0260084632,0.002696441,0.2696859465,0.3131780149,0.2261938781,0.0466389843,0.0673036942,0.0259742744,0.0725668411,0.0979904088,0.0471432735
2018,12,079,0.5811438897,0.6564254072,0.5058623722,0.049106335,0.0820786042,0.0161340658,0.0508489805,0.0843704373,0.0173275238,0.2329311848,0.2974290115,0.1684333582,0.0230563013,0.0459567339,0.0001558687,0.0629133087,0.0999622026,0.0258644147
2018,12,081,0.6109273849,0.6522020734,0.5696526963,0.1067711991,0.1329158047,0.0806265935,0.058978255,0.0789225857,0.0390339244,0.1623530013,0.193573106,0.1311328965,0.0164970568,0.027280681,0.0057134327,0.0444731029,0.0619250485,0.0270211573
2018,12,083,0.4887346535,0.5349205693,0.4425487376,0.097662984,0.1250913033,0.0702346647,0.0775757394,0.1022917365,0.0528597424,0.2741459173,0.3153618724,0.2329299623,0.0066857545,0.0142152931,-0.000843784,0.0551949512,0.0762943749,0.0340955275
2018,12,085,0.6347728965,0.6946996731,0.5748461199,0.0278605113,0.048343299,0.0073777236,0.0927959792,0.1289076259,0.0566843324,0.2077748821,0.2582701938,0.1572795704,0,0,0,0.036795731,0.0602265866,0.0133648753
2018,12,086,0.5540544832,0.5682428485,0.5398661179,0.0595542927,0.0663094991,0.0527990863,0.0955297246,0.1039201047,0.0871393446,0.255231931,0.2676768837,0.2427869783,0.0092058806,0.011931967,0.0064797943,0.0264236878,0.0310019107,0.0218454648
2018,12,087,0.3943436783,0.4649588027,0.3237285539,0.1674592812,0.2214109041,0.1135076583,0.1631244242,0.2165116191,0.1097372293,0.2153108346,0.2747029686,0.1559187005,0.0037877195,0.0126636115,-0.005088173,0.0559740622,0.0891889307,0.0227591938
2018,12,089,0.5810004841,0.646800228,0.5152007402,0.0662478216,0.0994167019,0.0330789413,0.0352314297,0.0598184502,0.0106444092,0.2922299798,0.3528809373,0.2315790224,0.0083107998,0.0204178516,-0.003796252,0.0169794849,0.0342089875,-0.000250018
2018,12,091,0.5847394649,0.6301177943,0.5393611356,0.1145960832,0.1439294949,0.0852626716,0.0399108236,0.0579371861,0.021884461,0.21929096,0.2573942028,0.1811877171,0.0030599755,0.0081462578,-0.002026307,0.0384026928,0.0560990725,0.0207063131
2018,12,093,0.436099245,0.518540136,0.3536583541,0.069364702,0.1116031249,0.0271262791,0.1477125467,0.2066987457,0.0887263477,0.2827375586,0.3576026688,0.2078724484,0.010094458,0.0267127755,-0.006523859,0.0539914897,0.0915630169,0.0164199625
2018,12,095,0.5881057883,0.6092473118,0.5669642648,0.0490266205,0.0583016621,0.0397515788,0.0792978414,0.090904467,0.0676912159,0.2383456109,0.2566475987,0.220043623,0.0081251722,0.0119813801,0.0042689644,0.0370989667,0.0452176844,0.028980249
2018,12,097,0.6305162258,0.6737411394,0.5872913122,0.0779698043,0.1019815707,0.053958038,0.0882289891,0.1136291727,0.0628288055,0.1640142506,0.1971753212,0.1308531799,0.0236216453,0.0372220697,0.010021221,0.0156490848,0.0267640412,0.0045341285
2018,12,099,0.626902512,0.6461081437,0.6076968803,0.0693042338,0.0793898208,0.0592186467,0.0504321216,0.0591224073,0.0417418359,0.2082052662,0.2243291473,0.192081385,0.0111073747,0.0152693328,0.0069454165,0.0340484918,0.0412503411,0.0268466424
2018,12,101,0.6587109883,0.6865169609,0.6309050156,0.0898610881,0.1066324821,0.0730896941,0.0558263645,0.0692903952,0.0423623338,0.1613488319,0.182921461,0.1397762029,0.0085195811,0.0139094807,0.0031296815,0.0257331461,0.0350188513,0.0164474409
2018,12,103,0.5195958583,0.5452327069,0.4939590098,0.0925577302,0.1074288706,0.0776865897,0.0469726049,0.057829445,0.0361157648,0.2875933645,0.310819761,0.2643669681,0.0036734594,0.0067777824,0.0005691364,0.0496069826,0.0607486824,0.0384652829
2018,12,105,0.5121198095,0.5384546326,0.4857849863,0.1122391805,0.1288697935,0.0956085675,0.1140541067,0.130801495,0.0973067184,0.2126569789,0.2342150469,0.1910989109,0.0180274553,0.0250372438,0.0110176669,0.030902469,0.0400198134,0.0217851246
2018,12,107,0.675599433,0.7457681372,0.6054307288,0.0663815531,0.1036950914,0.0290680149,0.0161517817,0.0350461461,-0.002742583,0.1964602578,0.256012628,0.1369078875,0,0,0,0.0454069744,0.076612279,0.0142016697
2018,12,109,0.7642647195,0.7988687233,0.7296607158,0.0435633193,0.0602043701,0.0269222685,0.0610852635,0.0806094728,0.0415610541,0.1164435217,0.1425932376,0.0902938057,0,0,0,0.014643176,0.0244359686,0.0048503834
2018,12,111,0.6030179755,0.6542041961,0.551831755,0.0803338917,0.1087697936,0.0518979898,0.0251263355,0.0414998255,0.0087528455,0.2678312524,0.3141587383,0.2215037665,0.0064610577,0.0148430406,-0.001920925,0.0172294872,0.030842829,0.0036161454
2018,12,113,0.6153978094,0.6704505944,0.5603450244,0.0585871456,0.0851629658,0.0320113255,0.0573619857,0.0836755699,0.0310484016,0.2391022028,0.2873692128,0.1908351929,0.0022542942,0.0076210356,-0.003112447,0.0272965622,0.0457356591,0.0088574653
2018,12,115,0.6203339565,0.6638862006,0.5767817125,0.064228612,0.0862297948,0.0422274291,0.0701276513,0.0930444102,0.0472108924,0.2034523886,0.2395795757,0.1673252015,0.0053349236,0.0118722387,-0.001202392,0.0365224679,0.0533568716,0.0196880643
2018,12,117,0.68169621,0.7121465797,0.6512458402,0.0583978063,0.0737266086,0.043069004,0.0641660954,0.0801848379,0.0481473529,0.1749192048,0.1997530066,0.1500854029,0.0037998237,0.0078217236,-0.000222076,0.0170208599,0.0254763566,0.0085653632
2018,12,119,0.564539671,0.6131906019,0.5158887401,0.0546077372,0.0769024938,0.0323129806,0.0632934159,0.0871853153,0.0394015165,0.259375354,0.3023817507,0.2163689572,0,0,0,0.0581838219,0.0811534423,0.0352142014
2018,12,121,0.5811438852,0.6564254028,0.5058623675,0.0491063422,0.0820786137,0.0161340707,0.0508489623,0.0843704133,0.0173275112,0.2329311973,0.2974290251,0.1684333694,0.0230562956,0.0459567254,0.0001558657,0.0629133176,0.0999622139,0.0258644212
2018,12,123,0.5811438925,0.6564254099,0.5058623751,0.0491063369,0.0820786068,0.0161340671,0.0508489629,0.0843704141,0.0173275116,0.2329311792,0.2974290053,0.1684333531,0.0230563037,0.0459567374,0.0001558699,0.0629133248,0.0999622232,0.0258644264
2018,12,125,0.5230196674,0.5711329675,0.4749063672,0.0919191995,0.1197497159,0.0640886831,0.0525252553,0.0740146315,0.0310358792,0.2310738873,0.2716783381,0.1904694365,0.0048378527,0.0115217405,-0.001846035,0.0966241378,0.1250840108,0.0681642648
2018,12,127,0.6192713847,0.6492622919,0.5892804776,0.0723694869,0.0883726781,0.0563662956,0.0489507292,0.0622774232,0.0356240351,0.2291117918,0.255069166,0.2031544176,0.0026251328,0.0057855629,-0.000535297,0.0276714746,0.0378027472,0.017540202
2018,12,129,0.5158837265,0.5648589956,0.4669084574,0.0808720511,0.107590626,0.0541534761,0.0143524535,0.0260084651,0.0026964419,0.2696859558,0.3131780247,0.2261938869,0.0466389837,0.0673036934,0.025974274,0.0725668295,0.0979903952,0.0471432637
2018,12,131,0.5918826603,0.6302314555,0.5535338651,0.0432935156,0.0591732113,0.0274138198,0.0422233759,0.0579143528,0.0265323989,0.2621846663,0.2965024217,0.2278669109,0.0084037584,0.015526474,0.0012810427,0.0520120236,0.0693378789,0.0346861684
2018,12,133,0.5918826555,0.6302314507,0.5535338602,0.0432935162,0.059173212,0.0274138203,0.0422233807,0.0579143586,0.0265324029,0.2621846713,0.2965024269,0.2278669157,0.0084037578,0.0155264732,0.0012810424,0.0520120185,0.069337873,0.0346861641
